IBGE;q0_1;q0_2;q0_3;q0_4;q0_5;q0_6;q0_7;q0_8;q0_9;q0_10;q0_11;q0_12;q0_13;q0_14;Latitude;Longitude;q1;q2;q3;q4;q5_1;q5_2;q5_3;q5_4;q5_5;q6;q6_4_99;q7;q7_4_99;q8;q9;q10;q11;q11_4_99;q12;q13_1;q13_2;q13_3;q13_4;q13_5;q13_99;q13_99_1;q14;q15_1_1;q15_1_2;q15_1_3;q15_2_1;q15_2_2;q15_2_3;q15_3_1;q15_3_2;q15_3_3;q15_4_1;q15_4_2;q15_4_3;q16_1;q16_2;q16_3;q17_0;q17_1;q17_2;q17_3;q17_4;q18_1;q18_2;q18_3;q18_4;q18_5;q18_0;q19;q20_1;q20_2;q20_3;q20_4;q20_5;q20_6;q20_99;q20_99_1;q21_1;q21_2;q21_3;q21_4;q21_5;q21_6;q21_7;q21_0;q22_1;q22_2;q22_3;q22_4;q22_5;q22_6;q22_7;q22_8;q22_99;q22_99_1;q23;q24_1_1;q24_1_1_98;q24_2_1;q24_2_1_98;q24_3_1;q24_3_1_98;q24_1_2;q24_1_2_98;q24_2_2;q24_2_2_98;q24_3_2;q24_3_2_98;q24_1_3;q24_1_3_98;q24_2_3;q24_2_3_98;q24_3_3;q24_3_3_98;q24_1_4;q24_1_4_98;q24_2_4;q24_2_4_98;q24_3_4;q24_3_4_98;q24_1_5;q24_1_5_98;q24_2_5;q24_2_5_98;q24_3_5;q24_3_5_98;q24_1_6;q24_1_6_98;q24_2_6;q24_2_6_98;q24_3_6;q24_3_6_98;q24_1_7;q24_1_7_98;q24_2_7;q24_2_7_98;q24_3_7;q24_3_7_98;q25;q27_97;Nome_UF;Região;Q_incompleto;q5_1_velha;q5_2_velha;q5_3_velha;q5_4_velha;q5_5_velha;q5_5_rec;q10_velha;q11_velha;q12_velha;q24_1_1_velha;q24_2_1_velha;q24_3_1_velha;q24_1_2_velha;q24_2_2_velha;q24_3_2_velha;q24_1_3_velha;q24_2_3_velha;q24_3_3_velha;q24_1_4_velha;q24_2_4_velha;q24_3_4_velha;q24_1_5_velha;q24_2_5_velha;q24_3_5_velha;q24_1_6_velha;q24_2_6_velha;q24_3_6_velha;EXECUCAO_1MUN;EXECUCAO_2MUN;EXECUCAO_3MUN;EXECUCAO_4MUN;EXECUCAO_5MUN;EXECUCAO_6MUN;LIMP_EXECUCAO
24;FUNDO ESTADUAL DE ASSISTÊNCIA SOCIAL;31;CENTRO ADMINISTRATIVO DO ESTADO, BR 101, KM 0;BL 1; ;LAGOA NOVA; ;59064-901;NATAL;RN;expediente.sethas@gmail.com;(84) 32321801; ;(84) 32321830;-58.278.065.875.672.400;-35.213.992.595.672.600;1;2;1;3;8;1;6;0;15;1; ;1; ;1;1;1;2; ;1;0;0;1;0;0;0; ;1;49;49;0;0;0;0;49;49;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0; ;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;1;Formalização de parcerias: FUNCITERN. Nome do projeto: pagamento de bolsa de pesquisa;2;635761,07; ;635761,07; ;0; ;768189,24; ;768189,24; ;589875; ;2649200; ;1873200; ;0; ;17121618,3; ;8696705,96; ;0; ;125066776,3; ;92899551,97; ;0; ;0; ;0; ;0; ;146241544,9; ;104873408,2; ;589875; ; ; ;24;2;0;8;1;6;0;15;15;1;2;1;635761,07;635761,07;0;768189,24;768189,24;589875;2649200;1873200;0;17121618,3;8696705,96;0;125066776,3;92899551,97;0;0;0;0;1;1;,707081383059037;,50793714750667;,742799604486168; ; 
25;FUNDO ESTADUAL DE ASSISTÊNCIA SOCIAL;3;Presidente Epitácio Pessoa;2501; ;Estados; ;58030-002;JOAO PESSOA;PB;assessoriadegabinte@sedh.pb.gov.br;(83) 31334054; ;(83) 31334064;-7.115;-34.863;1;2;2;2;22;25;36;4;87;3; ;3; ;1;1;1;2; ;5;1;1;1;0;0;0; ;0;223;0;0;223;0;0;0;0;0;12;0;0;223;223;0;1;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;1;0;0; ;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0; ;1;5000000; ;0; ;4999998,96; ;3452059,59; ;2702059,59; ;450000; ;37265770; ;34856618,7; ;0; ;545617,5; ;545617,5; ;0; ;0; ;0; ;0; ;19801457,81; ;16444246,3; ;0; ;66064904,9; ;54548542,09; ;5449998,96; ; ; ;25;2;0;22;25;36;4;87;87;1;2;5;5000000;0;4999998,96;3452059,59;2702059,59;450000;37265770;34856618,7;0;545617,5;545617,5;0;0;0;0;19801457,81;16444246,3;0;0;,782738397050672;,935352166344611;1; ;,830456346082531; 
26;FUNDO ESTADUAL DE ASSISTÊNCIA SOCIAL;32;AVENIDA CRUZ CABUGA;665; ;SANTO AMARO; ;50040-000;RECIFE;PE;feas@sdscj.pe.gov.br;(81) 31832021; ;-81;-803.922.541.135.169;-349.331.747.267.926;1;3;1;3;1;1;1;2;5;3; ;1; ;1;1;1;1; ;0;1;1;1;1;0;0; ;1;185;184;1;185;184;1;59;58;1;17;17;0;185;184;1;0;1;1;1;1;1;1;1;1;1;0;0;1;1;0;0;1;0;0; ;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;1;0; ;4;6855400; ;0; ;6855400; ;16261614,47; ;10964114,47; ;5297500; ;6606480; ;117100; ;6489380; ;161397641,8; ;161397641,8; ;0; ;808763,28; ;88763,28; ;720000; ;0; ;0; ;0; ;191929899,6; ;172567619,6; ;19362280; ; ; ;26;2;0;1;1;1;2;5;5;1;1;0;6855400;0;6855400;16261614,47;10964114,47;5297500;6606480;117100;6489380;161397641,8;161397641,8;0;808763,28;88763,28;720000;0;0;0;0;,674232837718972;,0177250214940483;1;,109751867072897; ; 
27;FUNDO ESTADUAL DE ASSISTÊNCIA SOCIAL;3;Av. Comendador Calaça;1399;Prédio;Poço;Secretaria de Estado da Assistência e Desenvolvimento Social;57025-640;MACEIO;AL;gabineteassistenciasocial@hotmail.com;(82) 33152887; ;-82;-9.657.095.144.070.650;-3.572.359.943.311.310;1;2;3;3;3;2;0;17;22;3; ;1; ;1;1;1;2; ;1;1;1;1;0;0;0; ;0;84;84;0;70;70;0;40;40;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;1;0;0;0;1;0; ;0;0;1;1;0;0;0;0;0;0;0;1;0;0;1;0;1;para a gestão do FEAS e execução do CEAS;4;3780000; ;3550500; ;3550500; ;2172000; ;2134500; ;3297000; ;20047500; ;14524820; ;0; ;0; ;0; ;0; ;0; ;0; ;0; ;4800000; ;245276,96; ;0; ;30799500; ;20455096,96; ;6847500; ; ; ;27;2;0;3;2;0;17;22;22;1;2;1;3780000;3550500;3550500;2172000;2134500;3297000;20047500;14524820;0;0;0;0;0;0;0;4800000;245276,96;0;,939285714285714;,982734806629834;,724520264372116; ; ;,0510993666666667; 
28;FUNDO ESTADUAL DE ASSISTÊNCIA SOCIAL;32;SANTA LUZIA;680; ;SAO JOSE;PROXIMO AO PROCOM;49015-190;ARACAJU;SE;gabinte@inclusao.se.gov.br;(79) 31794836; ;(79) 31794836;-1.092.031.304.164.070;-3.705.179.929.733.270;1;2;2;2;3;3;3;0;9;1; ;3; ;1;1;1;2; ;1;1;1;1;1;0;0; ;1;75;75;0;75;75;0;75;75;0;75;75;0;7;7;0;0;1;1;1;1;1;1;1;1;1;0;0;0;1;1;1;0;0;0; ;0;0;1;0;0;0;0;0;1;0;0;1;0;0;1;0;0; ;1;5049000; ;5009400; ;4890300; ;6950400; ;6890400; ;6890400; ;0; ;286769,6; ;19100; ;0; ;0; ;0; ;252130; ;0; ;0; ;0; ;23271,43; ;0; ;12251530; ;12209841,03; ;11799800; ; ; ;28;2;0;3;3;3;0;9;9;1;2;1;5049000;5009400;4890300;6950400;6890400;6890400;0;286769,6;19100;0;0;0;252130;0;0;0;23271,43;0;,992156862745098;,991367403314917; ; ;0; ; 
29;FUNDO ESTADUAL DE ASSISTÊNCIA SOCIAL;3;AV. LUIS VIANA FILHO;390;3ª AVENIDA;CAB;No prédio da Governadoria;40301-155;SALVADOR;BA;feas@sedesba.ba.gov.br;(71) 31150311; ;-71;-12.951.133.775.153.000;-38.433.952.331.542.900;1;3;1;1;0;0;2;0;2;2; ;1; ;0;1;1;3; ;0;1;1;1;1;0;0; ;1;417;417;0;417;417;0;237;237;0;97;97;0;402;402;0;0;1;1;1;1;1;1;1;1;1;0;0;1;1;0;0;1;1;0; ;0;0;1;0;0;0;0;0;1;1;0;1;1;1;1;1;0; ;4;18152794; ;18102024; ;18102024; ;38850128,5; ;32566903,55; ;32566903,55; ;5247046; ;4042786; ;4042786; ; ;1; ;1; ;1; ;1; ;1; ;1; ;1; ;1; ;1;62249968,5; ;54711713,55; ;54711713,55; ; ; ;29;2;0;0;0;2;0;2;2;1;3;0;18152794;18102024;18102024;38850128,5;32566903,55;32566903,55;5247046;4042786;4042786; ; ; ; ; ; ; ; ; ;,997203185360887;,838270162993155;,770488004107454; ; ; ; 
31;FUNDO ESTADUAL DE ASSISTÊNCIA SOCIAL;31;Papa João Paulo II;4143;14º andar - Prédio Minas;SERRA VERDE; ;30630-900;BELO HORIZONTE;MG;dgfeas@social.mg.gov.br;(31) 39168042; ;-31;-19.781.888.213.772.500;-4.395.095.586.776.730;1;2;1;1;0;0;29;0;29;2; ;3; ;0;1;1;3; ;1;0;1;1;0;0;1;Programas e Projetos específicos do SUAS;1;853;853;0;853;853;0;853;853;0;853;853;0;853;853;0;0;1;1;1;1;0;0;0;0;0;1;0;1;1;0;0;1;1;0; ;0;0;1;0;0;0;0;0;1;0;0;1;0;1;1;1;0; ;4;0; ;0; ;0; ;14505218; ;12848046,55; ;1716000; ;0; ;0; ;0; ;1100646; ;107000; ;0; ;974609685,9; ;588541211,3; ;5220885,21; ;127329718,8; ;85578348,2; ;85578348,2; ;1117545269; ;687074606,1; ;92515233,41; ; ; ;31;3;0;0;0;29;0;29;29;1;3;1;0;0;0;14505218;12848046,55;1716000;0;0;0;1100646;107000;0;974609685,9;588541211,3;5220885,21;127329718,8;85578348,2;85578348,2; ;,885753426801307; ;,0972156351815207;,603873755632249;,672100347087235; 
32;FUNDO ESTADUAL DE ASSISTÊNCIA SOCIAL;32;Doutor João Carlos de Souza;107;Ed. Green Tower;Barro Vermelho;Em frente ao antigo MS Buffet.;29057-530;VITORIA;ES;cfeas.es@setades.es.gov.br;(27) 36366851; ;-27;-20.292.892.063.499.400;-40.298.924.446.105.900;1;2;2;1;0;0;1;0;1;3; ;1; ;1;1;1;2; ;3;1;1;1;1;0;0; ;1;78;78;0;78;78;0;73;73;0;65;65;0;78;78;0;0;1;1;1;1;1;1;1;1;0;0;2;0;1;1;1;0;0;0; ;0;0;1;0;0;0;0;0;1;0;0;1;1;0;0;0;0; ;4;0; ;0; ;15995799; ;6757153,12; ;6757153,12; ;30221098; ;144200330,2; ;136073699,8; ;3100000; ;13001557,72; ;11210234,4; ;0; ;407000; ;54885,94; ;2270000; ;0; ;0; ;24531249,88; ;164366041,1; ;154095973,2; ;76118146,88; ; ; ;32;3;0;0;0;1;0;1;1;1;2;3;0;0;15995799;6757153,12;6757153,12;30221098;144200330,2;136073699,8;3100000;13001557,72;11210234,4;0;407000;54885,94;2270000;0;0;24531249,88; ;1;,943643468855247;,862222407608555;,134854889434889; ; 
33;FUNDO ESTADUAL DE ASSISTÊNCIA SOCIAL;3;Erasmo Braga;118; ;CENTRO; ;20020-001;RIO DE JANEIRO;RJ;ssasdg@gmail.com;(21) 23326398; ;-21;-22.904.594.013.230.200;-4.317.371.606.826.780;1;2;1;3;0;0;8;0;8;2; ;2; ;0;1;1;2; ;3;1;1;1;1;0;0; ;1;92;92;0;92;92;0;88;88;0;59;59;0;81;81;0;0;1;1;1;1;1;1;1;1;1;0;2;0;1;1;1;0;0;0; ;1;1;1;1;1;1;0;0;0;0;0;0;0;0;1;0;0; ;0;20515762,95; ;20515762,95; ;20515762,95; ;18830076,6; ;18830076,6; ;18830076,6; ; ;1; ;1; ;1; ;1; ;1; ;1; ;1; ;1; ;1; ;1; ;1; ;1;39345839,55; ;39345839,55; ;39345839,55; ; ; ;33;3;0;0;0;8;0;8;8;1;2;3;20515762,95;20515762,95;20515762,95;18830076,6;18830076,6;18830076,6; ; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ; 
35;FUNDO ESTADUAL DE ASSISTÊNCIA SOCIAL;32;Boa Vista;170;4º ANDAR - bloco 3;Centro;Edifício Cidade I;01014-930;SAO PAULO;SP;ricardofelleger@sp.gov.br;(11) 27638172; ;-11;-235.460.679.882.952;-4.663.365.840.911.860;1;3;1;1;0;0;18;0;18;2; ;1; ;0;3;1;4;Proteção Social Básica/Proteção Social Especial de Média Complexidade e Proteção Social Especial de Alta Complexidade;1;1;1;1;1;0;1;Emendas Parlamentares Estaduais, programas e ações próprias do Estado;1;624;624;0;624;624;0;377;377;0;357;357;0;558;558;0;0;0;1;1;1;1;1;1;1;0;0;0;1;1;1;1;0;0;0; ;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0; ;2;80903909,96; ;80903909,96; ;80903909,96; ;137382816,1; ;137382816,1; ;13738281,61; ;14500000; ;14500000; ;14500000; ;125632,65; ;125632,65; ;125632,65; ;294788371; ;294788371; ;294788371; ;0; ;0; ;0; ;527700729,7; ;527700729,7; ;404056195,2; ; ; ;35;3;0;0;0;18;0;18;18;1;4;1;80903909,96;80903909,96;80903909,96;137382816,1;137382816,1;13738281,61;14500000;14500000;14500000;125632,65;125632,65;125632,65;294788371;294788371;294788371;0;0;0;1;1;1;1;1; ; 
