IBGE;Ident_0_1;Ident_0_2;Ident_0_3;Ident_0_4;Ident_0_5;Ident_0_6;Ident_0_7;Ident_0_8;Ident_0_9;Ident_0_10;Ident_0_11;Ident_0_12;Ident_0_13;Ident_0_14;Latitude;Longitude;q_1;q_2_1;q_2_2;q_2_3;q_2_4;q_2_5;q_2_6;q_2_7;q_2_99;q_2_99_1;q_3_1;q_3_2;q_3_3;q_3_4;q_3_5;q_3_6;q_3_7;q_3_8;q_3_9;q_4;q_4_99;q_5;q_5_99;q_6;q_6_99;q_7_1_1;q_7_1_2;q_7_1_3;q_7_1_0;q_7_2_1;q_7_2_2;q_7_2_3;q_7_2_4;q_7_2_5;q_7_2_0;q7_3_1;q7_3_2;q7_3_3;q7_3_4;q7_3_0;q_8;q_9_1;q_9_2;q_9_3;q_9_4;q_9_99;q_10_1;q_10_2;q_10_3;q_10_4;q_10_5;q_10_6;q_10_7;q_10_8;q_10_9;q_10_10;q_10_11;q_10_12;q_10_13;q_10_99;q_10_99_1;q_11;q_12;q_13_1;q_13_2;q_13_1_1;q_13_2_1;q_14_1;q_14_2;q_14_3;q_14_4;q_14_5;q_14_6;q_14_7;q_14_8;q_14_9;q_14_99;q_14_99_1;q_15;q_16_1;q_16_2;q_16_3;q_16_4;q_16_5;q_16_6;q_16_7;q_16_8;q_16_9;q_17_1;q_17_2;q_17_3;q_17_4;q_17_1_1;q_17_2_1;q_17_3_1;q_17_4_1;q_18;q_19_1;q_19_2;q_19_3;q_19_4;q_19_5;q_19_6;q_19_7;q_19_99;q_19_99_1;q_20;q_21;q_22;q_23_1_1;q_23_1_2;q_23_1_3_1;q_23_1_3_2;q_23_2_1;q_23_2_2;q_23_2_3_1;q_23_2_3_2;q_23_3_1;q_23_3_2;q_23_3_3_1;q_23_3_3_2;q_23_4_1;q_23_4_2;q_23_4_3_1;q_23_4_3_2;q_24_1_1;q_24_1_2;q_24_2_1;q_24_2_2;q_24_3_1;q_24_3_2;q_24_4_1;q_24_4_2;q_25_1_1;q_25_1_2;q_25_2_1;q_25_2_2;q_25_3_1;q_25_3_2;q_25_4_1;q_25_4_2;q_25_5_1;q_25_5_2;q_25_6_1;q_25_6_2;q_26;q_27;q_28;q_29;q_30;q_31;q_32;q_33;q_34_1;q_34_1_2;q_34_1_3;q_34_1_99;q_34_1_99_1;q_35;q_36_1_1;q_36_1_2;q_36_1_3;q_36_1_4;q_36_1_5;q_36_2_1;q_36_2_2;q_36_2_3;q_36_2_4;q_36_2_5;d_37_9bin1_sum;d_37_9bin2_sum;d_37_9bin3_sum;d_37_10bin1_sum;d_37_10bin2_sum;d_37_10bin3_sum;d_37_10bin4_sum;d_37_10bin5_sum;d_37_11bin1_sum;d_37_11bin2_sum;d_37_11bin3_sum;d_37_11bin4_sum;nu_trabalhador
24;SECRETARIA ESTADUAL DO TRABALHO DA HABITACAO E DA ASSISTENCIA SOCIAL;3;CENTRO ADMINISTRATIVO DO ESTADO, AV. SENADOR SALGADO FILHO,;0; ;LAGOA NOVA;CENTRO ADMINISTRATIVO DO ESTADO;59064-901;NATAL;RN;expediente.sethas@gmail.com;(84) 32321850;1806;-84;-5827897311328830;-3,52139872312545E+016;2;0;0;0;1;1;1;0;1;Cidadania;2;2;2;0;2;2;2;2;0; ;1;2010; ; ;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ;0;0;89;1;10;1;1;1;3;0;1;1;1757;1;0;0; ; ; ;1;14;0; ;1;823;0; ;3;3;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;8;0;1;0;1;0;0; ;2010;0; ; ; ; ;0; ; ; ; ; ;5;18;1;4; ; ;1;3;1;19; ;23
25;SECRETARIA DE ESTADO DO DESENVOLVIMENTO HUMANO;3;EPITÁCIO PESSOA;2501;0;Dos Estados;Em Frente a VIVO;58030-001;JOAO PESSOA;PB;neidefelipe@hotmail.com;(83) 32145531;6660;(83) 32186660;-7117032548979530;-3,48586535453796E+016;2;0;0;0;0;0;1;1;0; ;1;1;1;1;1;1;1;1;1;2017; ;2017; ;2015; ;0;0;0;1;1;1;1;1;1;0;1;0;0;0;0;1;0;0;1;1;0;1;1;0;1;1;1;0;0;0;0;1;0;0;0; ;1;1;1;0;26; ; ; ; ; ; ; ; ; ; ; ; ;1;1;0;1;0;0;0;0;0;0;1;1;0;0;3;4; ; ;1; ; ; ; ; ; ; ; ; ;0;0;173;1;50;1;1;0; ; ; ;1;472;1;1;0; ; ; ;1;18;1;18;0; ;0; ;7;7;3;3;1;1;1;1;1;1;1;1;1;0;1;1;1;8;4;0; ; ; ; ; ; ;0; ; ; ; ;0; ; ; ; ; ;2;21;2;13; ; ;2;3; ;6;14;23
26;SECRETARIA DE DESENVOLVIMENTO SOCIAL, CRIANÇA E JUVENTUDE;3;CRUZ CABUGÁ;1211;0;SANTO AMARO;Palácio Frei Caneca - Antiga Vice-Governadoria;50040-000;RECIFE;PE;sdscj@sdscj.pe.gov.br;(81) 31833000;3001;(81) 31833007;-8044144864383130;-3,48747038841247E+015;2;0;0;0;0;1;0;0;1;Desenvolvimento Social,Criança e Juventude;1;1;1;2;1;1;1;1;2; ;1;2017; ;2017; ;0;0;0;1;0;0;0;0;1;0;1;0;0;1;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ; ; ;0;0;100;1;235;1;0;1;1239;1;0;1;4467;1;0;1;1513;1;0;1;138;1;145;1;412;1;584;6;6;2;2;1;1;1;1;1;1;1;1;1;1;1;1;2;7;0;0; ; ; ; ; ; ;0; ; ; ; ;0; ; ; ; ;2;11;68;7;20; ;2;7;20;1;13;47;81
27;Secretaria de Estado da Assistencia e Desenvolvimento Social;3;Comendador Calaca;1399;predio;poco;Predio da Antiga LBA;57025-640;MACEIO;AL;gabinete.seades.gov@gmail.com;(82) 33152878; ;(82) 33151030;-96606588;-357273048;2;0;0;0;0;1;0;0;0; ;2;1;1;0;1;1;1;1;2; ;1;2011; ;2012; ;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0; ;0;1;0;1; ;40;1;1;1;0;0;0;1;1;1;1;Ofinica para elaboração de Plano Municipal de Atendimento Socioeducativo;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ;0;0;57;1;38;1;1;1;11;0;1;1;3804;1;0;0; ; ; ;1;6;0; ;1;35;0; ;6;6;2;3;2;1;1;2;0;0;1;0;1;0;1;1;1;9;0;0; ; ; ; ; ; ;0; ; ; ; ;0; ; ; ; ;6;25;51;2;20; ;4;5;51; ;29;2;82
28;Secretaria de Estado da Mulher, da lnclusão e Assistência Social, do Trabalho e dos Direitos Humanos;32;Santa Luzia;680; ;São José;Próximo ao Procon.;49015-190;ARACAJU;SE;gabinete@inclusao.se.gov.br;(79) 31794836; ;(79) 31797676;-1.09202287651958E+16;-3,70519924163818E+015;2;0;0;0;1;1;1;1;1;MULHER, INCLUSAO PRODUTIVA;2;2;2;2;2;2;2;2;2; ;1;2015; ;2012; ;0;0;0;1;0;0;0;0;0;1;1;0;0;1;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;0;1;0;0;0;0;0;0;1;0;0;0;2; ; ; ;1; ; ; ; ; ; ; ; ; ;0;75;75;1;5;1;1;0; ; ; ;1;2138;1;0;0; ; ; ;0; ;0; ;0; ;0; ;6;6;2;2;1;1;1;1;1;1;1;1;1;1;1;0;2;3;0;0; ; ; ; ; ; ;0; ; ; ; ;0; ; ; ; ; ;25;32;3;13; ;2; ;7; ;34;16;57
29;SECRETARIA DE JUSTIÇA, DIREITOS HUMANOS E DESENVOLVIMENTO SOCIAL;3;LUIS VIANA FILHO;390;PLATAFORMA IV, 1º ANDAR;CENTRO ADMINISTRATIVO DA BAHIA;Prédio da Governadoria;41745-005;SALVADOR;BA;gabinete@sjdhds.ba.gov.br;(71) 31153168;0;(71) 00000000;-1.29518029525755E+16;-3,84328579902648E+015;2;0;0;0;0;0;0;1;1;Justiça;1;1;1;1;1;1;1;1;1; ;1;2001; ;2012; ;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;0;0;0;1;0;0;0;0;0;0;1;0; ; ;7; ;1; ; ; ; ; ; ; ; ;Videoaula;1;33;10;0; ; ; ;0; ; ; ;1;730;1;0;1;4078;1;0;0; ;0; ;0; ;0; ;6;6;2;2;1;1;1;1;1;1;1;1;0; ;1;1;1;13;1;0; ; ; ; ; ; ;0; ; ; ; ;0; ; ; ; ;2;11;40;7;11;1;1;6;15; ;21;17;53
31;SUBSECRETARIA DE ESTADO DE ASSISTENCIA SOCIAL - SUBAS;31;Papa João Paulo II;4143;14º andar - Prédio Minas;SERRA VERDE;CIDADE ADMINISTRATIVA DO GOVERNO DE MINAS GERAIS;30630-900;BELO HORIZONTE;MG;gabinetesec@social.mg.gov.br;(31) 39168044; ;(31) 39168044;-1.9781847830952E+16;-4,39511060714721E+016;2;0;0;0;0;0;1;0;0; ;1;1;1;1;1;1;1;1;1;2011; ;2013; ;2015; ;0;0;0;1;1;0;1;0;0;0;1;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;1;1;1;5;4;1;1;1;1;1;1;1;1;1;0; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ;1;853;55;1;26;1;0;1;0;1;0;1;1226;1;0;1;4489;1;0;1;24;1;0;1;1193;1;0;6;6;2;2;1;1;1;1;1;1;1;1;0; ;1;1;1;8;2;2;0;0;1;0; ;2014;0; ; ; ; ;0; ; ; ; ;9;68;163;6;43; ;12;34;149;9;53;29;240
32;SECRETARIA DE ESTADO DE TRABALHO, ASSISTÊNCIA E DESENVOLVIMENTO SOCIAL;32;Dr João Carlos Souza;107;Ed Green Tower;Barro Vermelho;Rua da Divisão de Homicídios e Proteção à Pessoa DHPP, em frente ao MS Buffet;29057-530;VITORIA;ES;gabinete@setades.es.gov.br;(27) 36366821;6824;(27) 36366822;-2.02928316859778E+16;-4,02991819381713E+016;2;0;0;0;0;0;1;0;0; ;1;1;2;0;1;1;1;2;1;2012; ; ;1;2012; ;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;1;0;0;1;0;0;1;1;0;1;0;1;0;0;0;1;0;0;0;0; ;1;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ;Telefone, emails,reuniões e assessoramento de forma presencial na sede da Secretaria Estadual;0;0;78;1;58;1;0;0; ; ; ;1;240;1;0;0; ; ; ;1;4;0; ;1;118;0; ;6;6;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;8;0;4;0;1;0;0; ;2009;0; ; ; ; ;0; ; ; ; ; ; ;50;5;32; ; ;4;15; ;23;12;50
33;Secretaria de Estado de Ciência, Tecnologia, Inovação e Desenvolvimento Social do Rio de Janeiro;3;Erasmo Braga;118;9º andar;Centro;Ao lado da ALERJ;20020-000;RIO DE JANEIRO;RJ;ssasdg@gmail.com;(21) 23326378; ;-21;-2.29047101374015E+16;-4,31739199161529E+015;2;0;0;0;0;0;0;0;1;Ciência, Tecnologia e Inovação;2;2;2;0;2;2;2;2;0; ;1;2016; ;2017; ;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ;1;92;4;1;18;0;1;0; ; ; ;1;1690;1;0;0; ; ; ;0; ;0; ;0; ;0; ;6;6;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;5;0;0; ; ; ; ; ; ;0; ; ; ; ;0; ; ; ; ;44;135;140;6;29; ;30;7;26; ;229;64;319
35;Secretaria de Desenvolvimento Social do Estado de São Paulo;32;BELA CINTRA;1032;não há;CONSOLAÇÃO;Próximo à Avenida Paulista;01415-000;SAO PAULO;SP;gilbertonascimento@sp.gov.br;(11) 27638000;0;(11) 27638255;-2.35559375864547E+16;-4,66615319252014E+015;2;0;0;0;1;1;0;0;1;Políticas sobre Drogas / Apenas 2 programas da Política de Segurança Alimentar;1;1;2;0;1;2;2;2;2; ;1;2016; ;2017; ;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;0;0;1;1;0;0;0;0;0; ; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ; ;Reuniões nas Diretorias Regionais para o atendimento específico aos municípios.         - Grupos de Estudo nas Diretorias Regionais.;1;26;504;1;258;1;0;0; ; ; ;1;7653;1;0;0; ; ; ;1;40;1;40;1;496;1;173;6;6;2;2;1;1;1;1;1;1;1;1;1;1;1;1;2;5;0;0; ; ; ; ; ; ;0; ; ; ; ;0; ; ; ; ;11;69;349;25;47; ;25;25;280;1;133;15;429
