IBGE;q0_1;q0_2;q0_3;q0_4;q0_5;q0_6;q0_7;q0_8;q0_9;q0_10;q0_11;q0_12;q0_13;q0_14;Latitude;Longitude;q1;q1_1;q2;q3;q4;q5;q6;q7;q8_1;q8_2;q8_3;q8_4;q8_5;q8_6;q8_7;q8_8;q8_9;q8_10;q8_11;q8_99;q9_1;q9_2;q9_3;q9_4;q9_5;q9_6;q10_1;q10_2;q10_3;q10_4;q10_5;q10_6;q10_7;q10_8;q10_9;q10_10;q10_11;q10_12;q10_13;q11_1;q11_2;q11_3;q11_4;q12;q13;q14_1;q14_2;q15_1;q15_2;q16;q17;q18;q19_1;q19_2;q19_3;q19_4;q19_5;q19_6;q19_7;q19_8;q20;q21;q22;q22_98;q23_1;q23_2;q23_3;q23_4;q23_99;q23_99_1;q24_1;q24_2;q24_3;q24_4;q24_5;q24_6;q24_7;q24_8;q24_99_1;q25;q26;q27;q28_0;q28_1;q28_2;q28_3;q28_4;q28_5;q28_6;q28_7;q29;q30_1;q30_2;q30_3;q30_4;q30_5;q30_99;q30_99_1;q31;q31_1_99;q32_1;q32_2;q32_3;q32_4;q32_5;q32_6;q32_7;q32_8;q32_9;q32_10;q32_11;q32_12;q32_13;q32_14;q32_15;q32_16;q32_17;q32_18;q32_19;q32_20;q32_21;q32_22;q32_23;q32_24;q32_25;q32_26;q32_27;q32_28;q32_29;q32_99;q32_99_1;q33;q34;q35;q36;q36_98;q37;q38;q39;q40;q41_1;q41_2;q41_3;q41_4;q41_5;q42;q43;q44;q45_1;q45_1_98;q45_2;q45_2_98;q45_3;q45_3_98;q46;q47;q48;q48_1;q49_1;q49_2;q49_3;q49_4;q49_5;q49_6;q49_7;q49_8;q49_9;q49_99;q49_99_1;q50;q51;q51_98;q52_1;q52_1_98;q52_2;q52_2_98;q53_1;q53_2;q53_3;q53_99;q53_0;q53_99_1;q54;q54_98;q55;q55_98;q56;q56_97;q57;q58;q59;q60;q61;q62;q63_1;q63_2;q63_0;q64_1;q64_2;q64_3;q64_4;q64_5;q64_6;q64_99;q64_99_1;q65_1;q65_2;q65_3;q65_4;q65_99;q65_0;q65_99_1;q66;q67_1;q67_2;q67_3;q67_4;q67_5;q67_6;q67_7;q67_8;q67_99;q67_99_1;q68_1;q68_2;q69_1;q69_2;q69_3;q69_4;q70_1;q70_2;q70_3;q70_4;q70_5;q70_6;UF;Regiao;Q_completo;q1_velha;q1_1_velha;q2_velha;q3_velha;q5_velha;q8_1_velha;q8_2_velha;q8_3_velha;q8_4_velha;q8_5_velha;q8_6_velha;q8_7_velha;q8_8_velha;q8_9_velha;q8_10_velha;q8_11_velha;q8_99_velha;q13_velha;q14_1_velha;q14_2_velha;q22_velha;q22_98_velha;q28_0_velha;q28_1_velha;q28_2_velha;q28_3_velha;q28_4_velha;q28_5_velha;q28_6_velha;q28_7_velha;q30_1_velha;q30_2_velha;q30_3_velha;q30_4_velha;q30_5_velha;q30_99_velha;q36_velha;q36_98_velha;q43_velha;q44_velha;q45_1_velha;q45_1_98_velha;q45_2_velha;q45_2_98_velha;q45_3_velha;q45_3_98_velha;q48_velha;q48_1_velha;q49_1_velha;q49_2_velha;q49_3_velha;q49_4_velha;q49_5_velha;q49_6_velha;q49_7_velha;q49_8_velha;q49_9_velha;q49_99_velha;q51_velha;q51_98_velha;q52_1_velha;q52_1_98_velha;q52_2_velha;q52_2_98_velha;q53_1_velha;q53_2_velha;q53_3_velha;q53_99_velha;q53_0_velha;q54_velha;q54_98_velha;q55_velha;q55_98_velha;q56_velha;q56_97_velha;q63_1_velha;q63_2_velha;q63_0_velha;q64_1_velha;q64_2_velha;q64_3_velha;q64_4_velha;q64_5_velha;q64_6_velha;q64_99_velha;q65_1_velha;q65_2_velha;q65_3_velha;q65_4_velha;q65_99_velha;q65_0_velha;q67_1_velha;q67_2_velha;q67_3_velha;q67_4_velha;q67_5_velha;q67_6_velha;q67_7_velha;q67_8_velha;q67_99_velha;d1;d3;d5;d9_exclusivas;d9_exclusivas_categoria;d9_compartilhadas;d9_compartilhadas_categoria;d9_maximo15;d9_maximo15_categoria;d9_mais15;d9_mais15_categoria;d9_total;d9_total_categoria;d9_5;d11_exclusivos;d11_exclusivos_categoria;d11_compartilhados;d11_compartilhados_categoria;d11_internet;d11_internet_categoria;d11_total;d11_total_categoria;d15_2;d25;d27;d31_1_99;d36;d45_1;d45_2;d45_3;d48_1;d50;d51;d52;d52_total;d54;d55;d56;d71_6bin1_sum;d71_6bin2_sum;d71_6bin3_sum;d71_6bin4_sum;d71_6bin1_TIT_sum;d71_6bin1_SUPL_sum;d71_6bin2_TIT_sum;d71_6bin2_SUPL_sum;d71_6bin3_TIT_sum;d71_6bin3_SUPL_sum;d71_6bin4_TIT_sum;d71_6bin4_SUPL_sum;d71_6bin5_TIT_sum;d71_6bin5_SUPL_sum;nu_conselheiros
24;CONSELHO ESTADUAL DE ASSISTÊNCIA SOCIAL;32;Nossa Senhora da Candelária;0; ;Candelária;Vizinho a OAB/RN;59065-490;NATAL;24;ceas@rn.gov.br;(84) 3232-4540; ; ;-5.837.363;-352.201.877;1995; ;0; ;1;1995;1;1;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;2;1;1;1;1;1;0;1;1;1;1;1;1;0;0;2;2;1;1;1;1;3;3;7;8;1;1;3;3;2;2;2;3;3;3;3;1;1;12; ;1;1;1;1;0; ;0;1;0;0;1;1;0;0; ;2;1;15;0;1;1;0;0;0;0;0;1;0;1;1;0;1;0; ;0; ;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;0;0;1;0;0;1;1;0;1;0;1;0; ;1;3;0; ; ;1;1;1;1;3;4;4;3;1;3;3;0; ;1; ;1; ;1;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ;8;0; ; ;1; ;1; ; ; ; ;1; ;0; ;1; ; ;1;1;2;1;1;1;1;0;1;0;0;1;0;0;0;1;0; ;0;1;1;0;0;0; ;1;0;1;1;1;0;0;0;0;1;Comissão de acompanhamento das deliberações das conferências.;16;16;8;8;16;16;2;2;4;4;4;8;24;2;0;1995; ;0; ;1995;0;0;0;0;0;0;0;0;0;0;1;1;1;3;3;12; ;0;1;1;0;0;0;0;0;0;1;1;0;1;0; ; ;3;0; ;1; ;1; ;1; ; ; ; ; ; ; ; ; ; ; ; ;0; ; ;1; ;1;0;0;0;0;1;0; ;1; ; ;1;0;1;0;0;1;0;0;0;1;0;0;1;1;0;0;0;0;1;1;1;0;0;0;0;1;2; ;2;2;2;2;2;2;2;2;2;4;1;2;4;3;2;2;3;2;6;3;1;1;5; ; ; ; ; ; ;2;0; ; ;0;1; ;3;6;4;18;2;1;4;2;1;3;9;9;7;6;31
25;CONSELHO ESTADUAL DE ASSISTÊNCIA SOCIAL;27;DOM ADALTO;58; ;CENTRO; ;58101-670;JOAO PESSOA;25;ceaspb@gmail.com;(83) 3221-2118;0;(83) 3221-2941;-7.115.999.869.134.330;-3.488.299.727.439.880;1995; ;1;2015;1;2016;1;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;1;1;1;1;0;0;1;0;0;0;1;0;1;0;1;1;2;2;3;3;1;0;3;0;5;8;1;1;2;3;3;3;3;3;0;3;3;0;3;7; ;0;1;1;0;0; ;1;0;1;0;1;0;0;0; ;2;1;13;0;1;1;0;0;0;0;0;1;0;1;0;0;1;0; ;1;4;1;1;1;1;0;0;1;0;0;0;1;1;1;0;1;0;0;1;1;0;1;1;1;0;1;0;0;0;0;0; ;0;3;0; ; ;1;1;1;1;3;4;4;4;0;3;3;0;0; ;3; ;3; ;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0; ;0; ;0; ; ; ; ; ;1; ;0; ;0; ;0; ;0;2;1;1;1;1;1;1;0;1;1;1;1;1;0;0; ;0;1;1;1;0;0; ;1;1;1;1;1;0;0;0;0;0; ;18;16;9;9;9;9;3;3;3;3;3;3;25;2;0;1995; ;1;2015;2016;0;0;0;0;0;0;0;0;0;0;1;0;0;3;0;7; ;0;1;1;0;0;0;0;0;0;1;0;0;1;0; ; ;3;0;0; ;3; ;3; ; ; ; ; ; ; ; ; ; ; ; ; ;0; ;0; ;0; ;0;0;0;0;1;0; ;0; ;0; ;1;1;0;1;1;1;1;1;0;0;0;1;1;1;0;0;1;1;1;1;0;0;0;0;0;2;6;6;1;1;2;2;2;2;1;1;3;1;1;4;3;6;3;5;3;10;4;1;1;5;2; ;0;1;1; ;0;0;0;0;0;1;1;3;1;1;10;2;1;1; ;1; ;6;4;4;1;15
26;CONSELHO ESTADUAL DE ASSISTÊNCIA SOCIAL;32;GERVÁSIO PIRES;399;EDIFICIO;BOA VISTA;EDIFÍCIO DO PRO-RURAL;50050-070;RECIFE;26;ceaspe@hotmail.com;(81) 3183-3292; ;(81) 3183-3291;-805.888.445;-348.861.744.639.894;1995; ;1;2006;1;2007;1;1;1;0;0;0;0;0;0;0;0;0;1;0;1;0;1;1;2;1;1;1;1;1;1;0;0;1;1;0;1;0;1;7;7;1;1;1;1;8;0;5;8;1;1;4;3;3;3;3;3;3;3;3;1;3;12; ;1;1;1;0;0; ;1;1;1;1;1;1;1;0; ;2;1;12;0;0;1;0;0;0;1;1;1;0;1;1;0;0;0; ;0; ;0;1;1;1;1;0;1;1;1;1;1;1;1;0;0;0;0;1;1;0;1;1;1;1;1;0;0;1;1;0; ;1;3;1;2018; ;1;2;1;0;1;4;4;4;4;1;3;0;0; ;0; ;0; ;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0; ;0; ;0; ;0;0;0;1;0;Conselho estadual não inscreve OSC. Competência do CMAS.;0; ;0; ;0; ;0;2;1;1;1;1;1;1;0;1;1;1;1;0;1;0; ;1;1;0;0;0;0; ;1;1;0;1;1;0;0;0;0;1;Comissão de articulação e política;18;18;9;9;18;18;3;3;3;6;6;6;26;2;0;1995; ;1;2006;2007;1;0;0;0;0;0;0;0;0;0;1;0;1;8;0;12; ;0;0;1;0;0;0;1;1;0;1;1;0;0;0;2018; ;3;0;0; ;0; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ;0; ;0; ;0; ;0;0;0;1;0;0; ;0; ;0; ;1;1;0;1;1;1;1;0;1;0;1;1;0;0;0;0;1;0;1;1;0;0;0;0;1;2;4;4;1;1;2;2;2;2;1;1;3;1;2;14;5;2;2;8;4;16;5;1;1;5; ;6;0;0;0; ;0;0;0;0;0;1;1;6;6;6;18;3;3;3;3;2;4;9;9;8;10;36
27;CONSELHO ESTADUAL DE ASSISTÊNCIA SOCIAL;32;COMENDADOR CALAÇA;1399; ;POÇO;ANTIGO PRÉDIO DA LBA;57025-580;MACEIO;27;conselhoal@yahoo.com.br;(82) 3315-2888; ;(82) 3315-2888;-9.657.848.211.309.890;-3.572.440.624.237.060;1996; ;1;2019;1;2012;1;1;1;0;0;0;0;0;0;0;0;0;0;0;2;2;1;1;1;1;1;0;1;1;0;0;0;0;1;0;1;0;1;2;2;0;0;1;1;2;0;5;6;1;1;4;0;0;3;3;3;2;2;2;1;2;5; ;1;1;1;0;1;Grupo de aplicativo do Fórum Estadual dos Conselhos Municipais de Assistência Social FECOMAS;0;1;1;1;1;0;0;1;Processo de eleições da sociedade civil, participação da sociedade civil,etc;2;1;12;0;0;1;0;0;0;0;0;1;0;1;1;0;1;0; ;1;8;1;1;1;1;1;0;1;0;0;0;0;0;1;1;1;1;1;0;1;1;1;0;1;0;0;0;0;0;0;0; ;0;0;1;2014; ;2;1;1;0;4;3;4;0;0;1;3;0;4; ;3; ;7; ;0;1;27;2018;1;0;0;0;1;0;0;0;1;1;Sobre inscrição de entidades para PAA, Banco de Alimentos, Mesa Brasil,etc;0;0; ;0; ;0; ;0;0;0;1;0;O Ceas Alagoas não certifica entidades de assistência social,apenas os CMAS;0; ;0; ;0; ;0;2;1;1;1;1;1;1;0;0;0;0;0;0;1;1;Movimento da População em Situação de Rua;1;1;0;0;0;0; ;1;1;1;1;1;0;0;0;0;0; ;14;14;7;7;7;7;2;1;2;2;1;2;27;2;0;1996; ;1;2019;2012;1;0;0;0;0;0;0;0;0;0;0;0;1;2;0;5; ;0;0;1;0;0;0;0;0;0;1;1;0;1;0;2014; ;3;0;4; ;3; ;7; ;27;2018;1;0;0;0;1;0;0;0;1;1;0; ;0; ;0; ;0;0;0;1;0;0; ;0; ;0; ;1;1;0;0;0;0;0;0;1;1;1;1;0;0;0;0;1;1;1;1;0;0;0;0;0;2;6;5;4;3;2;2;3;2;3;2;6;2;1;4;3;0;0;2;2;4;3;1;1;5;3;5;1;1;1;6;0;0;0;0;0;1;1;5;2;4;13;4;1;1;1;2;2;7;6;7;4;24
28;CONSELHO ESTADUAL DE ASSISTÊNCIA SOCIAL;35;Baltazar Goes Edf Estado de Sergipe;86;25º Andar;Centro;BANESE;49010-500;ARACAJU;28;ceas@inclusao.se.gov.br;(79) 3246-1417; ; ;-10.909.293.693.655.900;-3.705.001.831.054.680;1995; ;1;2013;1;2015;1;1;0;1;0;0;0;0;0;0;0;0;1;1;1;1;0;1;3;0;1;0;0;1;0;0;0;1;1;0;1;1;1;4;3;0;0;1;1;3;0;5;8;1;1;2;3;0;3;3;3;3;3;2;1;3;8; ;1;1;1;1;1;Reuniões Ampliadas;0;0;1;0;1;0;0;1;Censo SUAS e Atualização do CADSUAS;2;1;14;0;1;1;0;0;0;0;0;1;0;1;0;0;0;0; ;0; ;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1;1;1;1;1;1;1;0;1;1;0; ;1;3;1;2018; ;1;1;1;1;4;2;4;4;3;3;3;1;0; ;4; ;4; ;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0; ;0; ;0; ; ; ; ; ;1; ;0; ;0; ;0; ;0;2;1;1;1;1;0;1;0;1;1;1;1;1;1;0; ;1;1;1;0;0;0; ;1;1;1;1;1;1;0;0;0;0; ;18;18;9;9;18;18;3;3;3;5;6;7;28;2;0;1995; ;1;2013;2015;0;1;0;0;0;0;0;0;0;0;1;1;1;3;0;8; ;0;1;1;0;0;0;0;0;0;1;0;0;0;0;2018; ;3;1;0; ;4; ;4; ; ; ; ; ; ; ; ; ; ; ; ; ;0; ;0; ;0; ;0;0;0;0;1;0; ;0; ;0; ;0;1;0;1;1;1;1;1;1;0;1;1;1;0;0;0;1;1;1;1;1;0;0;0;0;2;5;6;2;2;1;1;1;1;2;2;3;1;2;7;4;0;0;3;2;7;4;1;1;5; ;6;0;1;1; ;0;0;0;0;0;1;1;6;7;5;18;3;3;3;4;3;2;9;9;9;9;36
29;CONSELHO ESTADUAL DE ASSISTÊNCIA SOCIAL;3;LUIS VIANA FILHO;390;3ª AVENIDA - PLATAFORMA IV;CAB;SECRETARIA DE JUSTIÇA, DIREITOS HUMANOS E DESENVOLVIMENTO SOCIAL;41745-005;SALVADOR;29;ceasba@sjdhds.ba.gov.br;(71) 3115-0312; ; ;-12.950.287.425.644.700;-3.843.154.907.234.740;1995; ;0; ;1;1997;1;1;1;1;0;0;0;0;0;1;0;0;1;0;1;0;0;0;1;0;1;0;0;1;0;1;0;0;0;1;1;1;1;5;5;0;0;1;1;5;0;5;8;1;1;4;2;3;3;3;3;0;3;3;1;2; ;1;0;1;1;1;0; ;0;0;0;0;1;0;0;0; ;0;1;18;0;0;1;0;0;0;0;0;2;0;1;0;1;0;0; ;0; ;1;1;1;1;0;1;1;1;0;1;1;1;1;0;0;1;0;1;1;1;1;1;1;1;1;0;1;1;1;1;Pacto de Aprimoramento;1;4;1; ;1;2;2;1;1;2;0;4;3;0;0; ; ;0; ;0; ;0; ;1;0; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0; ;0; ;0; ; ; ; ; ;1; ;0; ; ;1; ;1;0;2;1;0;0;1;1;1;0;1;0;1;1;1;1;0; ;1;1;1;0;0;0; ;1;1;1;1;1;1;1;0;0;0; ;10;10;5;5;10;10;2;2;1;4;4;2;29;2;0;1995; ;0; ;1997;1;1;0;0;0;0;0;1;0;0;1;0;1;5;0; ;1;0;0;1;0;0;0;0;0;0;1;0;1;0;0; ;1; ;0;0; ;0; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ;0; ;0; ;0; ;0;0;0;0;1;0; ; ;1; ;1;1;1;0;1;0;1;1;1;1;0;1;1;1;0;0;0;1;1;1;1;1;1;0;0;0;2; ;2;1;1;0;0;1;1;0;0;1;1;1;10;4;0;0;5;3;10;4;1; ;5; ; ;0;0;0; ;0;0;0;0;0; ; ;4;1;4;9;2;2; ;1;2;2;3;6;4;5;18
31;CONSELHO ESTADUAL DE ASSISTÊNCIA SOCIAL;3;Amazonas;558;4º andar;CENTRO;PRÓXIMO A Praça Sete, esquina com rua São Paulo, Casa dos Direitos Humanos;30180-001;BELO HORIZONTE;31;ceasmg@yahoo.com.br;(31) 3270-3645; ; ;-19.919.695.372.179.300;-4.393.999.099.731.440;1996; ;1;2011;1;2016;1;1;0;1;0;0;0;0;0;0;1;0;1;1;1;0;2;4;6;1;1;0;0;1;1;0;0;1;0;1;1;1;1;22;20;0;0;1;1;10;1;5;12;1;1;2;3;3;3;3;3;0;0;0;1;2;8; ;1;1;1;1;1;atendimento e capacitação;1;1;1;1;1;1;1;1;plano de assistência social - pessoas atingidas por barragens;2;1;11;0;1;1;0;0;0;1;0;1;0;1;0;1;0;1;Fórum Estadual de Usuários;1;19;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;barragens;1;3;1;2018; ;1;1;1;1;1;3;4;1;1;1;2;1;0; ;0; ;0; ;1;0; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0; ;0; ;0; ; ; ; ; ;1; ;0; ;0; ;0; ;0;2;1;1;1;1;1;1;0;1;0;0;0;0;1;1;comunidades tradicionais - quilombolas e indígenas;0;1;1;0;0;0; ;1;1;1;1;1;1;0;0;0;1;monitoramento das deliberações das conferências;20;20;20;20;40;40;3;2;5;5;5;6;31;3;0;1996; ;1;2011;2016;0;1;0;0;0;0;0;0;1;0;1;1;1;10;1;8; ;0;1;1;0;0;0;1;0;0;1;0;1;0;1;2018; ;2;1;0; ;0; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ;0; ;0; ;0; ;0;0;0;0;1;0; ;0; ;0; ;1;1;0;1;0;0;0;0;1;1;0;1;1;0;0;0;1;1;1;1;1;0;0;0;1;2;5;6;1;1;6;4;3;2;4;3;7;2;4;42;5;0;0;20;5;42;5;2;1;5;4;6;0;0;0; ;0;0;0;0;0;1;1;4;8;5;18;2;2;5;3;2;3;9;9;9;8;35
32;CONSELHO ESTADUAL DE ASSISTÊNCIA SOCIAL;32;DR JOÃO CARLOS SOUZA;107;ED GREEN TOWER;BARRO VERMELHO;PRÓXIMO A DHPP, EM FRENTE AO MS BUFFET;29057-530;VITORIA;32;ceas.es@setades.es.gov.br;(27) 3636-6878; ; ;-2.029.292.225.225.140;-4.029.901.027.679.440;1995; ;1;2012;1;2016;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;2;1;4;1;1;1;0;1;1;0;0;1;0;1;1;1;1;6;6;2;2;1;1;0;1;5;8;1;1;1;2;2;2;2;3;2;2;3;1;1;8; ;1;0;1;1;0; ;0;1;0;0;1;0;0;0; ;2;1;10;0;0;1;0;0;0;0;0;1;0;1;0;0;1;0; ;1;10;1;1;1;0;0;1;1;1;0;1;1;1;1;0;0;0;0;1;0;1;1;1;0;0;1;0;0;0;0;1;Reunião conjunta com o Conselho Estadual de Defesa dos Direitos da Pessoa Idosa;1;3;1;2017; ;1;1;1;1;2;3;3;4;3;1;2;0;0; ;0; ;0; ;1;0; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0; ;0; ;0; ;0;0;0;1;0;Não houve regulamentação do Conselho quanto o processo de inscrição.;0; ;0; ;0; ;0;2;1;1;1;1;0;1;0;0;0;0;0;0;1;0; ;1;1;0;0;0;0; ;1;0;1;1;1;0;1;0;0;0; ;20;20;10;10;10;10;3;4;3;3;4;3;32;3;0;1995; ;1;2012;2016;1;0;0;0;0;0;0;0;0;0;1;0;1;0;1;8; ;0;0;1;0;0;0;0;0;0;1;0;0;1;0;2017; ;2;0;0; ;0; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ;0; ;0; ;0; ;0;0;0;1;0;0; ;0; ;0; ;0;1;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;1;1;1;0;1;0;0;0;2;5;6;0;0;3;2;2;2;1;1;3;1;3;12;5;4;3;8;4;16;5;1;1;4;3;6;0;0;0; ;0;0;0;0;0;1;1;4;11;2;20;2;2;6;5;1;1;9;11;9;8;37
33;CONSELHO ESTADUAL DE ASSISTÊNCIA SOCIAL;27;PÇA. CRISTIANO OTTONI S/Nº;0;SALA 645 -  6º ANDAR;CENTRO;CENTRAL DO BRASIL, CENTRO, RJ;20221-250;RIO DE JANEIRO;33;ceas.riodejaneiro@gmail.com;(21) 2334-9536; ;(21) 2334-5541;-2.290.365.266.255.470;-4.319.135.427.474.970;1996; ;0; ;1;2005;1;1;0;1;0;0;0;0;0;0;0;0;1;1;2;1;0;0;4;1;1;0;0;1;1;1;0;1;0;0;1;1;1;3;3;0;0;1;1;3;0;5;8;0;0;98;0;0;0;0;0;0;0;0;1;4;5; ;1;1;1;1;0; ;1;1;0;0;1;0;1;0; ;4;1;10;0;1;1;0;0;0;0;0;1;0;1;1;1;0;0; ;1;4;1;1;1;0;1;1;1;1;1;0;1;1;1;1;0;0;0;0;0;0;0;1;1;0;1;1;0;0;0;0; ;1;0;1;2012; ;1;1;1;1;2;1;0;0;4;1;3;0;1; ;1; ;2; ;1;0; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0; ;0; ;0; ; ; ; ; ;1; ;0; ;0; ;0; ;0;2;1;1;1;1;0;1;0;0;0;0;0;0;1;0; ;0;1;0;0;0;0; ;1;1;1;1;1;0;1;0;0;0; ;20;20;20;20;20;20;2;4;4;4;8;8;33;3;0;1996; ;0; ;2005;0;1;0;0;0;0;0;0;0;0;1;1;1;3;0;5; ;0;1;1;0;0;0;0;0;0;1;1;1;0;0;2012; ;3;0;1; ;1; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;0; ;0; ;0; ;0;0;0;0;1;0; ;0; ;0; ;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;1;1;1;0;1;0;0;0;2; ;4;3;2;0;0;2;2;1;1;3;1;3;6;3;0;0;3;2;6;3;1;2;4;2;5;1;1;1; ;0;0;0;0;0;1;1;2;9;1;9;1;1;4;5; ;1;5;4;5;7;21
35;CONSELHO ESTADUAL DE ASSISTÊNCIA SOCIAL;32;GUAIANASES;1058; ;CAMPOS ELÍSEOS;AO LADO DO TERMINAL PRINCESA ISABEL;01204-001;SAO PAULO;35;conseas@sp.gov.br;(11) 3337-0838; ;(11) 3225-9680;-23.533.351.422.867.200;-4.664.597.511.291.500;1995; ;0; ;1;2012;1;1;0;0;0;0;0;0;0;0;0;0;1;0;8;4;8;4;4;1;1;0;0;1;0;1;0;1;0;1;1;1;1;10;10;0;0;1;1;4;0;5;8;1;1;4;2;2;2;2;3;0;0;2;1;1;9; ;1;1;1;0;0; ;0;1;1;1;1;1;0;0; ;2;1;19;0;1;1;0;0;0;1;0;1;0;1;0;1;0;0; ;1;4;1;1;1;1;1;1;1;1;0;0;1;1;1;1;0;0;0;1;1;1;1;1;1;1;1;1;0;0;0;0; ;1;3;0; ; ;1;1;1;1;1;3;3;3;1;0; ; ;0; ;0; ;0; ;0;1;26;2014;1;1;1;1;1;1;1;1;1;0; ;0;0; ;0; ;0; ; ; ; ; ;1; ;0; ;0; ;0; ;0;3;1;1;1;1;0;1;0;0;0;0;0;0;1;0; ;1;1;0;0;0;0; ;1;1;1;1;1;1;1;0;0;0; ;24;24;12;12;12;12;1;1;3;1;1;3;35;3;0;1995; ;0; ;2012;0;0;0;0;0;0;0;0;0;0;1;0;1;4;0;9; ;0;1;1;0;0;0;1;0;0;1;0;1;0;0; ; ; ;0;0; ;0; ;0; ;26;2014;1;1;1;1;1;1;1;1;1;0;0; ;0; ;0; ;0;0;0;0;1;0; ;0; ;0; ;0;1;0;0;0;0;0;0;1;0;1;1;0;0;0;0;1;1;1;1;1;1;0;0;0;2; ;5;12;5;12;5;16;5;8;5;24;4;3;20;5;0;0;10;4;20;5;1;1;5;2; ;0;0;0;5;0;0;0;0;0;1;1;1;15;1;22;1; ;9;6;1; ;11;11;11;6;39
41;CONSELHO ESTADUAL DE ASSISTÊNCIA SOCIAL;32;Jacy Loureiro de Campos, s/n;0;1° andar - ala D;Centro Cívico;Secretaria de Estado da Justiça, Família e Trabalho - SEJUFPalácio das Araucárias;80530-915;CURITIBA;41;ceas@sejuf.pr.gov.br;(41) 3210-2416; ; ;-25.415.020.340.120.600;-4.926.975.846.268.760;1996; ;1;2013;1;2015;1;1;1;1;0;0;0;0;0;0;0;0;1;0;0;0;5;5;5;1;1;1;0;1;1;1;1;1;0;1;0;1;1;4;4;7;7;1;0;1;3;5;8;1;1;4;3;3;3;3;3;0;3;3;1;1;3; ;1;1;1;0;0; ;1;1;1;1;1;1;1;1;Reuniões Descentralizadas;0;1;13;0;1;1;0;0;0;1;0;1;0;1;0;1;0;1;Publicação do Calendário das Reuniões;0; ;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0; ;1;1;1;2017; ;1;1;1;1;1;4;4;4;0;3;3;0;0; ;1; ;1; ;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1; ;0; ;0; ; ; ; ; ;1; ;0; ; ;1;0; ;1;2;1;0;1;1;1;1;0;1;1;1;1;0;0;0; ;1;1;0;0;0;0; ;1;0;1;1;1;0;0;0;1;1;Documentação e Rede Socioassistencial;30;30;15;15;30;30;5;5;5;10;10;10;41;4;0;1996; ;1;2013;2015;1;1;0;0;0;0;0;0;0;0;1;0;0;1;3;3; ;0;1;1;0;0;0;1;0;0;1;0;1;0;1;2017; ;3;0;0; ;1; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;0; ;0; ;0;0;0;0;1;0; ; ;1;0; ;1;1;0;1;1;1;1;0;0;0;1;1;0;0;0;0;0;1;1;1;0;0;0;1;1;2;5;6;0;0;10;5;5;3;5;3;10;2;3;8;4;14;5;11;5;22;5;1; ;5; ;6;0;1;1; ;1;1;0;0;0; ;1;10;10;10;30;5;5;5;5;5;5;15;15;15;15;60
