IBGE;Latitude;Longitude;q0_1;q0_2;q0_3;q0_4;q0_5;q0_6;q0_7;q0_8;q0_9;q0_10;q0_11;q0_12;q0_13;q1;q2;q3;q4;q5;q6;q7;q8;q8_4_99;q9;q10_1;q10_2;q10_3;q10_4;q10_5;q10_99;q10_99_1;q11;q12_1;q12_2;q12_3;q13_1;q13_2;q13_3;q14_0;q14_1;q14_2;q14_3;q14_4;q15_1;q15_2;q15_3;q15_4;q15_0;q16;q17;q18_1_1;q18_1_1_98;q18_1_2;q18_1_2_98;q18_1_3;q18_1_3_98;q18_1_4;q18_1_4_98;q18_1_5;q18_1_5_98;q18_1_6;q18_1_6_98;q18_1_7;q18_1_7_98;q18_2_1;q18_2_1_98;q18_2_2;q18_2_2_98;q18_2_3;q18_2_3_98;q18_2_4;q18_2_4_98;q18_2_5;q18_2_5_98;q18_2_6;q18_2_6_98;q18_2_7;q18_2_7_98;q18_3_1;q18_3_1_98;q18_3_2;q18_3_2_98;q18_3_3;q18_3_3_98;q18_3_4;q18_3_4_98;q18_3_5;q18_3_5_98;q18_3_6;q18_3_6_98;q18_3_7;q18_3_7_98;q19_0;Região;UF;Q_incompleto;q4_velha;q5_velha;q6_velha;q7_velha;q8_velha;q9_velha;q10_1_velha;q10_2_velha;q10_3_velha;q10_4_velha;q10_5_velha;q10_99_velha;q11_velha;q12_1_velha;q12_2_velha;q12_3_velha;q13_1_velha;q13_2_velha;q13_3_velha;q18_1_1_velha;q18_2_1_velha;q18_3_1_velha;q18_1_2_velha;q18_2_2_velha;q18_3_2_velha;q18_1_3_velha;q18_2_3_velha;q18_3_3_velha;q18_1_4_velha;q18_2_4_velha;q18_3_4_velha;q18_1_5_velha;q18_2_5_velha;q18_3_5_velha;q18_1_6_velha;q18_2_6_velha;q18_3_6_velha;q18_1_7_velha;q18_2_7_velha;q18_3_7_velha;EXECUCAO_1MUN;EXECUCAO_2MUN;EXECUCAO_3MUN;EXECUCAO_4MUN;EXECUCAO_5MUN;EXECUCAO_6MUN;EXECUCAO_7MUN;LIMP_EXECUCAO;d5;d12_1;d12_2;d12_3;d13_1;d13_2;d13_3
24;-5827931999822030;-352140435576439;FUNDO ESTADUAL DE ASSISTÊNCIA SOCIAL;Rodovia;CENTRO ADMINISTRATIVO DO ESTADO, BR 101, KM 0;1; ;LAGOA NOVA; ;59064901;NATAL;RN;feas.sethas@gmail.com;84981939411; ;Sim;O(a) Secretário(a) Estadual de Assistência Social;Sim, a totalidade dos recursos próprios é alocada no FEAS;Sim, com recursos do FEAS e de outras fontes;9; Sim, apenas fundo-a-fundo;Sim; O cofinanciamento foi realizado por nível de proteção (Proteção Social Básica/Proteção Social Especial); ; Não houve frequência regular; Não; Sim; Sim; Não; Não; Não; ; Sim;80;80;0;0;0;0; Sim; Não; Não; Não; Não; Não; Não; Não; Não; Sim; Sim, houve repasse de recursos aos municípios para construção e/ou reforma de unidades da assistência social.; Mais de 10%;460825,67; ;8143520,03; ;0; ;961142,82; ;6576577,6; ;0; ;16142066,12; ;0; ;5545194,82; ;0; ;616952,46; ;30460; ;0; ;6192607,28; ;0; ;3847820,29; ;0; ;0; ;0; ;0; ;3847820,29; ; ;Região Nordeste;Rio Grande do Norte; Não;3;9;1;1;2;0;0;1;1;0;0;0;1;80;80;0;0;0;0;460825,67;0;0;8143520,03;5545194,82;3847820,29;0;0;0;961142,82;616952,46;0;6576577,6;30460;0;0;0;0;16142066,12;6192607,28;3847820,29;0;,680933404666778; ;,641894677005442;,00463158832034461; ;,383631638847481; ;Entre 1 e 20 entidades;Entre 51 e 100 municipios;Entre 51 e 100 municipios;nenhum municipio;nenhum municipio;nenhum municipio;nenhum municipio
25;-7.1195104388199904E+16;-3,48478469252586E+016;FUNDO ESTADUAL DE ASSISTÊNCIA SOCIAL;Avenida;Presidente Epitácio Pessoa;2501; ;Estados; ;58030002;JOAO PESSOA;PB;assessoriadegabinte@sedh.pb.gov.br;8331334054; ;Sim;O(a) Secretário(a) Estadual de Assistência Social;Sim, a totalidade dos recursos próprios é alocada no FEAS;Sim, com recursos do FEAS e de outras fontes;67; Sim, apenas fundo-a-fundo;Sim; O cofinanciamento foi realizado por nível de proteção (Proteção Social Básica/Proteção Social Especial); ; Anualmente; Sim; Sim; Sim; Sim; Sim; Não; ; Não;223;202;0;223;202;0; Não; Sim; Sim; Sim; Sim; Sim; Sim; Sim; Sim; Não; Não; de 3% a 5%.;3617938,62; ;626318,81; ;0; ;0; ;0; ;7995049,5; ;12239306,93; ;3617938,62; ;626318,81; ;0; ;0; ;0; ;7995049,5; ;12239306,93; ;3900000; ;2100000; ;1000000; ;1000000; ;0; ;0; ;8000000; ; ;Região Nordeste;Paraíba; Não;3;67;1;1;2;5;1;1;1;1;1;0;0;223;202;0;223;202;0;3617938,62;3617938,62;3900000;626318,81;626318,81;2100000;0;0;1000000;0;0;1000000;0;0;0;7995049,5;7995049,5;0;12239306,93;12239306,93;8000000;1;1; ; ; ;1;1; ;Entre 41 e 70 entidades;Entre 151 e 300 municipios;Entre 151 e 300 municipios;nenhum municipio;Entre 151 e 300 municipios;Entre 151 e 300 municipios;nenhum municipio
26;-8048609269085270;-3,48780861496925E+015;FUNDO ESTADUAL DE ASSISTÊNCIA SOCIAL;Rua;AVENIDA CRUZ CABUGA;665; ;SANTO AMARO; ;50040000;RECIFE;PE;feas@sas.pe.gov.br;8131832021; ;Sim;O(a) Secretário(a) Estadual de Assistência Social;Sim, a totalidade dos recursos próprios é alocada no FEAS;Sim, com recursos do Fundo Estadual de Assistência Social (FEAS);4; Sim, apenas fundo-a-fundo;Sim; O cofinanciamento foi realizado por serviço socioassistencial (PAIF, PAEFI, entre outros); ; Mensalmente; Sim; Sim; Sim; Sim; Não; Sim;Beneficio Emergencial e Programa Bom Prato (Cozinhas Comunitárias); Sim;185;184;1;185;184;1; Não; Sim; Sim; Sim; Sim; Sim; Sim; Sim; Sim; Não; Não; Mais de 10%;12529313,23; ;26509468,76; ;3276000; ;5791730,52; ;172782302; ;22081221,6; ;242970036,11; ;0; ;15146292,9; ;0; ;5791715,62; ;172693202,87; ;428434,6; ;194059645,99; ;12448200; ;9189500; ;3216000; ;0; ;0; ;20736000; ;45589700; ; ;Região Nordeste;Pernambuco; Não;1;4;1;1;1;1;1;1;1;1;0;1;1;185;184;1;185;184;1;12529313,23;0;12448200;26509468,76;15146292,9;9189500;3276000;0;3216000;5791730,52;5791715,62;0;172782302;172693202,87;0;22081221,6;428434,6;20736000;242970036,11;194059645,99;45589700;0;,571354071148124;0;,999997427366493;,999484327220041;,0194026674683614;,798697852199945; ;Entre 1 e 20 entidades;Entre 151 e 300 municipios;Entre 151 e 300 municipios;Entre 1 e 50 municipios;Entre 151 e 300 municipios;Entre 151 e 300 municipios;Entre 1 e 50 municipios
27;-9657744793819850;-3,5724520682852E+015;FUNDO ESTADUAL DE ASSISTÊNCIA SOCIAL;Avenida;Av. Comendador Calaça;1399;Prédio;Poço;Secretaria de Estado da Assistência e Desenvolvimento Social;57025640;MACEIO;AL;gabineteassistenciasocial@hotmail.com;8233152887; ;Sim;O(a) Secretário(a) Estadual de Assistência Social;Sim, a maior parte dos recursos próprios é alocada no FEAS;Sim, com recursos do FEAS e de outras fontes;2; Sim, apenas fundo-a-fundo;Sim; O cofinanciamento foi realizado por nível de proteção (Proteção Social Básica/Proteção Social Especial); ; Mensalmente; Sim; Sim; Sim; Não; Não; Não; ; Não;70;40;0;0;0;0; Sim; Não; Não; Não; Não; Não; Não; Não; Não; Sim; Não; Mais de 10%;39222065,02; ;4502421,88; ;4227762,57; ;267841,5; ;115; ;72991,93; ;48293197,9; ;3868065,02; ;323790,28; ;3632772,57; ;253927,56; ;115; ;72991,93; ;8151662,36; ;3726000; ;323790,28; ;2532690; ;253927,56; ;115; ;72991,93; ;6909514,77; ; ;Região Nordeste;Alagoas; Não;3;2;1;1;2;1;1;1;1;0;0;0;0;70;40;0;0;0;0;39222065,02;3868065,02;3726000;4502421,88;323790,28;323790,28;4227762,57;3632772,57;2532690;267841,5;253927,56;253927,56;115;115;115;72991,93;72991,93;72991,93;48293197,9;8151662,36;6909514,77;,0986196167393942;,0719146913882713;,859265985223006;,948051590212868;1;1;,168795248906058; ;Entre 1 e 20 entidades;Entre 51 e 100 municipios;Entre 1 e 50 municipios;nenhum municipio;nenhum municipio;nenhum municipio;nenhum municipio
28;-1.09367886270153E+16;-3,70631182193756E+015;FUNDO ESTADUAL DE ASSISTÊNCIA SOCIAL;Avenida;HERMES FONTES;2120; ;LUZIA;FUNDO DA CAIXA ECONÔMICA;49045760;ARACAJU;SE;feas@seasic.se.gov.br;7931794836; ;Sim;O(a) Secretário(a) Estadual de Assistência Social;Sim, a menor parte dos recursos próprios é alocada no FEAS;Sim, com recursos do Fundo Estadual de Assistência Social (FEAS);1; Sim, apenas fundo-a-fundo;Sim; O cofinanciamento foi realizado por nível de proteção (Proteção Social Básica/Proteção Social Especial); ; Mensalmente; Sim; Sim; Sim; Sim; Não; Não; ; Sim;75;75;0;75;75;0; Não; Sim; Sim; Sim; Sim; Sim; Sim; Sim; Sim; Não; Não; de 3% a 5%.;5974140; ;9171860; ;4626000; ;,777; ;80000; ;250000; ;20122000; ;0; ;632262,77; ;0; ;,777; ;168146,95; ;232845,59; ;2011428,69; ;9011099,75; ;8829260; ;1537500; ;0; ;0; ;0; ;19377859,75; ; ;Região Nordeste;Sergipe; Não;1;1;1;1;2;1;1;1;1;1;0;0;1;75;75;0;75;75;0;5974140;0;9011099,75;9171860;632262,77;8829260;4626000;0;1537500;20000;978173,38;0;80000;168146,95;0;250000;232845,59;0;20122000;2011428,69;19377859,75;0;,0689350655156097;0;48,908669;2,101836875;,93138236;,0999616683232283;1;Entre 1 e 20 entidades;Entre 51 e 100 municipios;Entre 51 e 100 municipios;nenhum municipio;Entre 51 e 100 municipios;Entre 51 e 100 municipios;nenhum municipio
29;-1.2951133775153E+16;-3,84339523315429E+016;FUNDO ESTADUAL DE ASSISTÊNCIA SOCIAL;Avenida;AV. LUIS VIANA FILHO;390;3ª AVENIDA;CAB;No prédio da Governadoria;40301155;SALVADOR;BA;feas@seades.ba.gov.br;7131150311; ;Sim;Outro(a) Funcionário(a) da Secretaria de Assistência Social;Sim, a totalidade dos recursos próprios é alocada no FEAS;Sim, com recursos do Fundo Estadual de Assistência Social (FEAS);2; Sim, apenas fundo-a-fundo;Sim; O cofinanciamento foi realizado por serviço socioassistencial (PAIF, PAEFI, entre outros); ; Mensalmente; Sim; Sim; Sim; Sim; Sim; Não; ; Sim;417;417;0;417;417;0; Não; Sim; Sim; Sim; Sim; Sim; Sim; Sim; Sim; Não; Não; Mais de 10%;28123437; ;26931414; ;17545148,89; ;2085000; ;0; ;11083833,36; ;85768833,25; ;25614460; ;24252470; ;17545148,89; ;1885000; ;0; ;11083833,36; ;80380912,25; ;25614460; ;24252470; ;17545148,89; ;1885000; ;0; ;11083833,36; ;80380912,25; ; ;Região Nordeste;Bahia; Não;1;2;1;1;1;1;1;1;1;1;1;0;1;417;417;0;417;417;0;28123437;25614460;25614460;26931414;24252470;24252470;17545148,89;17545148,89;17545148,89;2085000;1885000;1885000;0;0;0;11083833,36;11083833,36;11083833,36;85768833,25;80380912,25;80380912,25;,910786971023492;,900527168755417;1;,904076738609113; ;1;,937180898983489; ;Entre 1 e 20 entidades;Mais de 300 municipios;Mais de 300 municipios;nenhum municipio;Mais de 300 municipios;Mais de 300 municipios;nenhum municipio
31;-1.97818882137725E+16;-4,39509558677673E+015;FUNDO ESTADUAL DE ASSISTÊNCIA SOCIAL;Rodovia;Papa João Paulo II;4143;14º andar - Prédio Minas;SERRA VERDE; ;30630900;BELO HORIZONTE;MG;dgfeas@social.mg.gov.br;3139168042; ;Sim;O(a) Secretário(a) Estadual de Assistência Social;Sim, a maior parte dos recursos próprios é alocada no FEAS;Sim, com recursos do FEAS e de outras fontes;24; Sim, apenas fundo-a-fundo;Sim; O cofinanciamento foi comum a todos os serviços socioassistenciais; ; Mensalmente; Não; Sim; Sim; Não; Não; Sim;Piso único que pode ser alocado para todos os serviços tipificados e para benefícios eventuais, Programas e projetos de assistência social (ex.:Aproximação Suas); Sim;853;853;0;853;853;0; Não; Sim; Sim; Sim; Sim; Não; Não; Não; Não; Sim; Não; Mais de 10%;0; ;16723010,81; ;0; ;13289878,64; ;3834530; ;81725261; ;115572680,45; ;0; ;16722371,55; ;0; ;8765227,71; ;3822355,81; ;81725260,8; ;111035215,87; ;0; ;3015000; ;0; ;0; ;3822355,81; ;81725260,8; ;88562616,61; ; ;Região Sudeste;Minas gerais; Não;3;24;1;1;3;1;0;1;1;0;0;1;1;853;853;0;853;853;0;0;0;0;16723010,81;16722371,55;3015000;0;0;0;13289878,64;8765227,71;0;3834530;3822355,81;3822355,81;81725261;81725260,8;81725260,8;115572680,45;111035215,87;88562616,61; ;,999961773629924; ;,65954159157017;,996825115463955;,999999997552776;,960739297883092; ;Entre 21 e 40 entidades;Mais de 300 municipios;Mais de 300 municipios;nenhum municipio;Mais de 300 municipios;Mais de 300 municipios;nenhum municipio
32;-2.02928920634994E+16;-4,02989244461059E+016;FUNDO ESTADUAL DE ASSISTÊNCIA SOCIAL;Rua;Doutor João Carlos de Souza;107;Ed. Green Tower;Barro Vermelho;Rua da Divisão de Homicídios e Proteção à Pessoa (DHPP);29057530;VITORIA;ES;cfeas.es@setades.es.gov.br;2736366851; ;Sim;O(a) Secretário(a) Estadual de Assistência Social;Sim, a totalidade dos recursos próprios é alocada no FEAS;Sim, com recursos do Fundo Estadual de Assistência Social (FEAS);1; Sim, apenas fundo-a-fundo;Sim; O cofinanciamento foi realizado por nível de proteção (Proteção Social Básica/Proteção Social Especial); ; Trimestralmente; Sim; Sim; Sim; Sim; Sim; Sim;CONSTRUÇÃO E REFORMA DE CRAS E CREAS; Sim;78;78;0;78;78;0; Não; Sim; Sim; Sim; Sim; Sim; Sim; Sim; Sim; Não; Sim, houve repasse de recursos aos municípios para construção e/ou reforma de unidades da assistência social.; Mais de 10%;23702222; ;69287400,87; ;84579283; ;15845322,23; ;12295315,8; ;9678307,63; ;215387851,53; ;0; ;6765983,83; ;61487268,34; ;15222622,84; ;5297269,59; ;0; ;88773144,6; ;23702222; ;67321426,83; ;6200000; ;0; ;10004484,21; ;7831016,18; ;115059149,22; ; ;Região Sudeste;Espirito Santo; Não;1;1;1;1;2;3;1;1;1;1;1;1;1;78;78;0;78;78;0;23702222;0;23702222;69287400,87;6765983,83;67321426,83;84579283;61487268,34;6200000;15845322,23;15222622,84;0;12295315,8;5297269,59;10004484,21;9678307,63;0;7831016,18;215387851,53;88773144,6;115059149,22;0;,0976509978010956;,726977885825776;,960701374136713;,43083639950102;0;,412154835889783; ;Entre 1 e 20 entidades;Entre 51 e 100 municipios;Entre 51 e 100 municipios;nenhum municipio;Entre 51 e 100 municipios;Entre 51 e 100 municipios;nenhum municipio
33;-2.29045940132302E+16;-4,31737160682678E+015;FUNDO ESTADUAL DE ASSISTÊNCIA SOCIAL;Avenida;Erasmo Braga;118; ;CENTRO; ;20020001;RIO DE JANEIRO;RJ;subgsuas@sedsdh.rj.gov.br;2123326398; ;Sim;Outro(a) Funcionário(a) da Secretaria de Assistência Social;Sim, a totalidade dos recursos próprios é alocada no FEAS;Sim, com recursos do Fundo Estadual de Assistência Social (FEAS);7; Sim, apenas fundo-a-fundo;Sim; O cofinanciamento foi realizado por nível de proteção (Proteção Social Básica/Proteção Social Especial); ; Trimestralmente; Sim; Sim; Sim; Sim; Não; Não; ; Sim;92;92;0;86;86;0; Não; Sim; Sim; Sim; Sim; Sim; Sim; Sim; Sim; Não; Sim, houve construção e/ou reforma direta pelo estado de unidades da assistência social nos municípios.; de 3% a 5%.; ; Sim; ; Sim; ; Sim; ; Sim; ;1; ; Sim; ; Sim; ; Sim; ; Sim; ; Sim; ; Sim; ; Sim; ; Sim; ; Sim;23408452; ;23045361,12; ; ; Sim; ; Sim; ; Sim; ; Sim;46453813,12; ; ;Região Sudeste;Rio de Janeiro; Não;1;7;1;1;2;3;1;1;1;1;0;0;1;92;92;0;86;86;0; ; ;23408452; ; ;23045361,12; ; ; ; ; ; ; ; ; ; ; ; ; ; ;46453813,12; ; ; ; ; ; ; ; ;Entre 1 e 20 entidades;Entre 51 e 100 municipios;Entre 51 e 100 municipios;nenhum municipio;Entre 51 e 100 municipios;Entre 51 e 100 municipios;nenhum municipio
35;-2354621388214560;-4,66333128511632E+015;FUNDO ESTADUAL DE ASSISTÊNCIA SOCIAL;Rua;Boa Vista;170;4º ANDAR - bloco 3;Centro;Edifício Cidade I;01014930;SAO PAULO;SP;ricardofelleger@sp.gov.br;1127638172; ;Sim;Outro(a) Funcionário(a) da Secretaria de Assistência Social;Sim, a totalidade dos recursos próprios é alocada no FEAS;Sim, com recursos do Fundo Estadual de Assistência Social (FEAS);18; Sim, por ambos;Sim; Outra organização.;PROTEÇÃO SOCIAL BÁSICA, PROTEÇÃO SOCIAL ESPECIAL DE MÉDIA COMPLEXIDADE, PROTEÇÃO SOCIAL ESPECIAL DE ALTA COMPLEXIDADE.; Mensalmente; Sim; Sim; Sim; Sim; Sim; Não; ; Sim;645;645;0;592;592;0; Não; Sim; Sim; Sim; Sim; Sim; Sim; Sim; Sim; Não; Sim, houve repasse de recursos aos municípios para construção e/ou reforma de unidades da assistência social.; de 3% a 5%.;76140796,6; ;154394316,02; ;25375657,36; ;4566748,2; ;87029867,32; ;47863280,58; ;395370666,08; ;75472086,74; ;153094527,99; ;25137347,62; ;4403201,52; ;62208723,72; ;46809940,29; ;367125827,88; ;75472086,74; ;126017348,59; ;25137347,62; ;0; ;2641910; ;45472765,77; ;274741458,72; ; ;Região Sudeste;São Paulo; Não;1;18;3;1;98;1;1;1;1;1;1;0;1;645;645;0;592;592;0;76140796,6;75472086,74;75472086,74;154394316,02;153094527,99;126017348,59;25375657,36;25137347,62;25137347,62;4566748,2;4403201,52;0;87029867,32;62208723,72;2641910;47863280,58;46809940,29;45472765,77;395370666,08;367125827,88;274741458,72;,991217456477202;,991581373825759;,990608726441284;,964187497791098;,714797409621054;,977992726841207;,92856111840557; ;Entre 1 e 20 entidades;Mais de 300 municipios;Mais de 300 municipios;nenhum municipio;Mais de 300 municipios;Mais de 300 municipios;nenhum municipio
41;-2541495250639500;-4,92697119712829E+016;FUNDO ESTADUAL DE ASSISTÊNCIA SOCIAL;Rua;JACY LOUREIRO DE CAMPOS;0;PALÁCIO DAS ARAUCÁRIAS;CENTRO CÍVICO; ;80530915;CURITIBA;PR;gabinete@seds.pr.gov.br;4132102447; ;Sim;O(a) Secretário(a) Estadual de Assistência Social;Sim, a totalidade dos recursos próprios é alocada no FEAS;Sim, com recursos do Fundo Estadual de Assistência Social (FEAS);4; Sim, por ambos;Sim; Outra organização.;O cofinanciamento é realizado por meio de serviços, nível de proteção e aprimoramento da gestão.; Trimestralmente; Sim; Sim; Sim; Sim; Sim; Não; ; Sim;0;399;0;0;399;0; Não; Sim; Sim; Sim; Sim; Sim; Sim; Sim; Sim; Não; Sim, houve repasse de recursos aos municípios para construção e/ou reforma de unidades da assistência social.; de 5% a 10%.;126421377; ;33417040; ;0; ;18079700; ;180000; ;111755; ;178209872; ;87871022,9; ;2272984,01; ;0; ;611184,88; ;2726,89; ;56903,82; ;90814822,5; ;12929000; ;22003427,65; ;0; ;15168750; ;0; ;0; ;50101177,65; ; ;Região Sul;Paraná; Não;1;4;3;1;98;3;1;1;1;1;1;0;1;0;399;0;0;399;0;126421377;87871022,9;12929000;33417040;2272984,01;22003427,65;0;0;0;18079700;611184,88;15168750;180000;2726,89;0;111755;56903,82;0;178209872;90814822,5;50101177,65;,695064592596551;,068018711711151; ;,0338050343755704;,0151493888888889;,509183660686323;,509594791134803; ;Entre 1 e 20 entidades;nenhum municipio;Mais de 300 municipios;nenhum municipio;nenhum municipio;Mais de 300 municipios;nenhum municipio
42;-2.7590153584434E+16;-4,85745906829834E+016;FUNDO ESTADUAL DE ASSISTÊNCIA SOCIAL;Rua;Dr. Fúlvio Aducci;767; ;ESTREITO; ;88075001;FLORIANOPOLIS;SC;gefas@sas.sc.gov.br;4836640619;619;Sim;O(a) Secretário(a) Estadual de Assistência Social;Sim, a maior parte dos recursos próprios é alocada no FEAS;Não; ; Sim, apenas fundo-a-fundo;Sim; Outra organização.;o cofinanciamento foi para todos os serviços socioassistenciais, bem como Beneficio Eventual e Incentivo a Gestão; Não houve frequência regular; Sim; Sim; Sim; Sim; Sim; Não; ; Sim;294;294;0;280;280;0; Não; Sim; Sim; Sim; Sim; Sim; Sim; Sim; Sim; Não; Sim, houve repasse de recursos aos municípios para construção e/ou reforma de unidades da assistência social.; de 3% a 5%.;18780477,68; ;19038223,16; ;16234590,86; ;946707,28; ;0; ;25968,52; ;55025967,5; ;0; ;4041666,56; ;18249325,79; ;0; ;0; ;25968,52; ;22316960,87; ;22128510,45; ;20550257,93; ;16314032,14; ;1007199,48; ;0; ;0; ;60000000; ; ;Região Sul;Santa Catarina; Não;0; ;1;1;98;0;1;1;1;1;1;0;1;294;294;0;280;280;0;18780477,68;0;22128510,45;19038223,16;4041666,56;20550257,93;16234590,86;18249325,79;16314032,14;946707,28;0;1007199,48;0;0;0;25968,52;25968,52;0;55025967,5;22316960,87;60000000;0;,212292214774102;1,1241013677138;0; ;1;,405571439884269; ; ;Entre 151 e 300 municipios;Entre 151 e 300 municipios;nenhum municipio;Entre 151 e 300 municipios;Entre 151 e 300 municipios;nenhum municipio
43;-3.00404735540995E+16;-5,12310290336608E+016;FUNDO ESTADUAL  DE ASSISTÊNCIA  SOCIAL;Avenida;Borges de Medeiros;1501;8º andar;Centro; ;90119900;PORTO ALEGRE;RS;das@igualdade.rs.gov.br;5132886422; ;Sim;Outro(a) Funcionário(a) da Secretaria de Assistência Social;Sim, a maior parte dos recursos próprios é alocada no FEAS;Não; ; Sim, por ambos;Sim; O cofinanciamento foi realizado por nível de proteção (Proteção Social Básica/Proteção Social Especial); ; Anualmente; Sim; Sim; Sim; Sim; Sim; Não; ; Sim;496;496;20;70;70;0; Não; Não; Não; Não; Sim; Não; Não; Não; Sim; Não; Sim, houve repasse de recursos aos municípios para construção e/ou reforma de unidades da assistência social.; de 3% a 5%.; ; Sim; ; Sim; ; Sim; ; Sim;37542100; ; ; Sim; ; Sim; ; Sim; ; Sim; ; Sim;14205800,54; ; ; Sim; ; Sim; ; Sim;1217100,45; ;5280564,28; ;2652003,27; ;769470,6; ;2505184,88; ; ; Sim;12424323,48; ; ;Região Sul;Rio Grande do Sul; Não;0; ;3;1;2;5;1;1;1;1;1;0;1;496;496;20;70;70;0; ; ;1217100,45; ; ;5280564,28; ; ;2652003,27; ;14205800,54;769470,6;37542100; ;2505184,88; ; ; ; ; ;12424323,48; ; ; ; ; ; ; ; ; ;Mais de 300 municipios;Mais de 300 municipios;Entre 1 e 50 municipios;Entre 51 e 100 municipios;Entre 51 e 100 municipios;nenhum municipio
50;-2045246789234640;-5,45535135269165E+015;FUNDO ESTADUAL DE ASSISTÊNCIA SOCIAL;Rua;DESEMBARGADOR JOSÉ NUNES DA CUNHA, BLOCO III;0; ;JARDIM VERANEIO; ;79031902;CAMPO GRANDE;MS;gabinete@sead.ms.gov.br;6733184129; ;Sim;O(a) Secretário(a) Estadual de Assistência Social;Sim, a menor parte dos recursos próprios é alocada no FEAS;Sim, com recursos do Fundo Estadual de Assistência Social (FEAS);2; Sim, apenas fundo-a-fundo;Sim; O cofinanciamento foi comum a todos os serviços socioassistenciais; ; Mensalmente; Sim; Sim; Sim; Sim; Não; Não; ; Sim;79;79;0;79;79;0; Sim; Não; Não; Não; Não; Sim; Sim; Sim; Não; Não; Não; de 5% a 10%.;0; ;0; ;0; ;0; ;0; ;556032123,16; ;556032123,16; ;0; ;0; ;0; ;0; ;0; ;433127092,33; ;433127092,33; ;0; ;0; ;0; ;0; ;0; ;22331946; ;22331946; ; ;Região Centro Oeste;Mato Grosso do Sul; Não;1;2;1;1;3;1;1;1;1;1;0;0;1;79;79;0;79;79;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;556032123,16;433127092,33;22331946;556032123,16;433127092,33;22331946; ; ; ; ; ;,778960556934165;,778960556934165; ;Entre 1 e 20 entidades;Entre 51 e 100 municipios;Entre 51 e 100 municipios;nenhum municipio;Entre 51 e 100 municipios;Entre 51 e 100 municipios;nenhum municipio
51;-154526104506718;-559544708309247;FUNDO ESTADUAL DE ASSISTÊNCIA SOCIAL;Rua;Jornalista Amaro Figueiredo Falcão;503; ;CPA I;Entre o Supermercado COMPER e a Faculdade FASIPE (sede provisória);78055125;CUIABA;MT;saas@setasc.mt.gov.br;6536135773; ;Sim;Outro(a) Funcionário(a) da Secretaria de Assistência Social;Sim, a maior parte dos recursos próprios é alocada no FEAS;Não; ; Sim, apenas fundo-a-fundo;Sim; O cofinanciamento foi comum a todos os serviços socioassistenciais; ;Semestralmente; Não; Não; Não; Não; Não; Sim;Piso MT para serviços, gestão, CMAS e Piso Ben Eventuais; Sim;0;141;0;0;141;0; Não; Sim; Sim; Sim; Sim; Sim; Sim; Sim; Sim; Não; Não; Mais de 10%;0; ;0; ;0; ;0; ;0; ;228777919,76; ;228777919,76; ;0; ;0; ;0; ;1375485,01; ;40806,89; ;0; ;1416291,9; ;0; ;678000; ;14408620,11; ;0; ;0; ;13903630,83; ;28990250,94; ; ;Região Centro Oeste;Mato Grosso; Não;0; ;1;1;3;4;0;0;0;0;0;1;1;0;141;0;0;141;0;0;0;0;0;0;678000;0;0;14408620,11;0;1375485,01;0;0;40806,89;0;228777919,76;0;13903630,83;228777919,76;1416291,9;28990250,94; ; ; ; ; ;0;,006190684404709; ; ;nenhum municipio;Entre 101 e 150 municipios;nenhum municipio;nenhum municipio;Entre 101 e 150 municipios;nenhum municipio
52;-1.66809035623761E+16;-4,92548900842666E+015;FUNDO ESTADUAL DE ASSISTÊNCIA SOCIAL;Praça;Dr. Pedro Ludovico Teixeira;332;Bloco C 1° Andar;Setor Central;Praça Cívica;74003010;GOIANIA;GO;ggfeas.seds@goias.gov.br;62981694664; ;Sim;O(a) Secretário(a) Estadual de Assistência Social;Sim, a totalidade dos recursos próprios é alocada no FEAS;Sim, com recursos do Fundo Estadual de Assistência Social (FEAS);350; Sim, apenas fundo-a-fundo;Sim; O cofinanciamento foi comum a todos os serviços socioassistenciais; ; Anualmente; Sim; Sim; Sim; Sim; Sim; Não; ; Sim;246;246;92;246;246;92; Não; Sim; Sim; Sim; Sim; Sim; Sim; Sim; Sim; Não; Não; Mais de 10%;9748037,61; ;15349871,95; ;0; ;0; ;0; ;25476782,77; ;50574692,33; ;9748037,61; ;15349871,95; ;0; ;0; ;0; ;25476782,77; ;50574692,33; ;9740887,77; ;3025699,05; ;2186582,35; ;0; ;0; ;0; ;14953169,17; ; ;Região Centro Oeste;Goiás; Não;1;350;1;1;3;5;1;1;1;1;1;0;1;246;246;92;246;246;92;9748037,61;9748037,61;9740887,77;15349871,95;15349871,95;3025699,05;0;0;2186582,35;0;0;0;0;0;0;25476782,77;25476782,77;0;50574692,33;50574692,33;14953169,17;1;1; ; ; ;1;1; ;Mais de 100 entidades;Entre 151 e 300 municipios;Entre 151 e 300 municipios;Entre 51 e 100 municipios;Entre 151 e 300 municipios;Entre 151 e 300 municipios;Entre 51 e 100 municipios
