IBGE;q0_1;q0_2;q0_3;q0_4;q0_5;q0_6;q0_7;q0_8;q0_9;q0_10;q0_11;q0_12;q0_13;q0_14;Latitude;Longitude;q1;q2;q3;q4;q5_1;q5_2;q5_3;q5_4;q5_5;q6;q6_4_99;q7;q7_4_99;q8;q9;q10;q11;q11_4_99;q12;q13_1;q13_2;q13_3;q13_4;q13_5;q13_99;q13_99_1;q14;q15_1_1;q15_1_2;q15_1_3;q15_2_1;q15_2_2;q15_2_3;q15_3_1;q15_3_2;q15_3_3;q15_4_1;q15_4_2;q15_4_3;q16_1;q16_2;q16_3;q17_0;q17_1;q17_2;q17_3;q17_4;q18_1;q18_2;q18_3;q18_4;q18_5;q18_0;q19;q20_1;q20_2;q20_3;q20_4;q20_5;q20_6;q20_99;q20_99_1;q21_1;q21_2;q21_3;q21_4;q21_5;q21_6;q21_7;q21_0;q22_1;q22_2;q22_3;q22_4;q22_5;q22_6;q22_7;q22_8;q22_99;q22_99_1;q23;q24_1_1;q24_1_1_98;q24_2_1;q24_2_1_98;q24_3_1;q24_3_1_98;q24_1_2;q24_1_2_98;q24_2_2;q24_2_2_98;q24_3_2;q24_3_2_98;q24_1_3;q24_1_3_98;q24_2_3;q24_2_3_98;q24_3_3;q24_3_3_98;q24_1_4;q24_1_4_98;q24_2_4;q24_2_4_98;q24_3_4;q24_3_4_98;q24_1_5;q24_1_5_98;q24_2_5;q24_2_5_98;q24_3_5;q24_3_5_98;q24_1_6;q24_1_6_98;q24_2_6;q24_2_6_98;q24_3_6;q24_3_6_98;q24_1_7;q24_1_7_98;q24_2_7;q24_2_7_98;q24_3_7;q24_3_7_98;q25;q27_97;Nome_UF;Região;Q_incompleto;q5_1_velha;q5_2_velha;q5_3_velha;q5_4_velha;q5_5_velha;q5_5_rec;q10_velha;q11_velha;q12_velha;q24_1_1_velha;q24_2_1_velha;q24_3_1_velha;q24_1_2_velha;q24_2_2_velha;q24_3_2_velha;q24_1_3_velha;q24_2_3_velha;q24_3_3_velha;q24_1_4_velha;q24_2_4_velha;q24_3_4_velha;q24_1_5_velha;q24_2_5_velha;q24_3_5_velha;q24_1_6_velha;q24_2_6_velha;q24_3_6_velha;EXECUCAO_1MUN;EXECUCAO_2MUN;EXECUCAO_3MUN;EXECUCAO_4MUN;EXECUCAO_5MUN;EXECUCAO_6MUN;LIMP_EXECUCAO;d25_8bin1_sum;d25_8bin2_sum;d25_8bin3_sum;d25_9bin1_sum;d25_9bin2_sum;d25_9bin3_sum;d25_9bin4_sum;d25_9bin5_sum;d25_10bin1_sum;d25_10bin2_sum;d25_10bin3_sum;d25_10bin4_sum;nu_trabalhador
24;FUNDO ESTADUAL DE ASSISTÊNCIA SOCIAL;31;CENTRO ADMINISTRATIVO DO ESTADO, BR 101, KM 0;BL 1; ;LAGOA NOVA; ;59064-901;NATAL;RN;expediente.sethas@gmail.com;(84) 32321801; ;(84) 32321830;-58.278.065.875.672.400;-35.213.992.595.672.600;1;2;2;1;0;0;14;0;14;3; ;1; ;2;1;1;2; ;0;0;0;0;1;0;0; ;0;0;0;0;0;0;0;0;0;0;0;0;0;152;152;0;0;1;1;1;1;1;1;1;1;1;0;0;1;1;0;0;1;0;0; ;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0; ;2;0; ;0; ;0; ;0; ;0; ;0; ;3194048; ;209200; ;2984848; ;2664364,7; ;2664364,7; ;0; ;0; ;0; ;0; ;0; ;0; ;0; ;5858412,7; ;2873564,7; ;2984848; ; ; ;24;2; ;0;0;14;0;14;14;1;2;0;0;0;0;0;0;0;3194048;209200;2984848;2664364,7;2664364,7;0;0;0;0;0;0;0; ; ;,0654968240928126;1; ; ; ; ;1;3;1;1; ; ; ; ; ;4; ;4
25;FUNDO ESTADUAL DE ASSISTÊNCIA SOCIAL;3;Desembargador Souto Maior;288; ;Centro; ;58013-190;JOAO PESSOA;PB;gabinete.sedh@sedh.pb.gov.br;(83) 32186658; ;(83) 32186658;-7.115;-34.863;1;2;3;2;17;22;40;0;79;3; ;3; ;0;1;1;3; ;5;1;1;1;1;0;0; ;0;669;669;0;223;223;0;223;223;0;223;223;0;223;223;0;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;1;0;0; ;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0; ;2;394667,97; ;2280011,65; ;1666666,32; ;9981504,38; ;8314838,06; ;166666,32; ;57144504,38; ;55477841,37; ;1666666,32; ;0; ;0; ;0; ;0; ;0; ;0; ;0; ;0; ;0; ;67520676,73; ;66072691,08; ;3499998,96; ; ; ;25;2; ;17;22;40;0;79;79;1;3;5;394667,97;2280011,65;1666666,32;9981504,38;8314838,06;166666,32;57144504,38;55477841,37;1666666,32;0;0;0;0;0;0;0;0;0;5,77703746772255;,833024536527829;,970834238076211; ; ; ; ; ; ;1; ; ; ; ; ; ; ;1; ;1
26;FUNDO ESTADUAL DE ASSISTÊNCIA SOCIAL;32;GERVÁSIO PIRES;399; ;BOA VISTA;PRÉDIO DO PRORURAL;50050-070;RECIFE;PE;severino.ssilva@sdscj.pe.gov.br;(81) 31830781; ;(81) 31833093;-803.922.541.135.169;-349.331.747.267.926;1;3;1;1;0;2;2;0;4;1; ;3; ;1;1;1;1; ;0;0;1;1;1;0;0; ;1;0;257;257;0;185;185;0;56;56;0;16;16;0;85;0;0;1;1;1;1;1;1;1;1;1;0;0;1;0;0;0;0;0;0; ;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0; ;3;0; ;0; ;0; ;,777; ;,777; ;180000; ;0; ;7546086; ;130400; ;4080732,09; ;0; ;0; ;,777; ;,777; ;0; ;0; ;153433,17; ;0; ;5748231,71; ;171518149,1; ;310400; ; ; ;26;2; ;0;2;2;0;4;4;1;1;0;0;0;0;427536,36;6599100,71;180000;0;7546086;130400;4080732,09;0;0;1239963,26;157219529,2;0;0;153433,17;0; ;15,4351800862037; ;0;126,793699677844; ;1;2;4;8; ;2; ;1; ;8; ;3;3;14
27;FUNDO ESTADUAL DE ASSISTÊNCIA SOCIAL;3;Av. Comendador Calaça;1399;Prédio;Poço;Secretaria de Estado da Assistência e Desenvolvimento Social;57025-640;MACEIO;AL;gabineteassistenciasocial@hotmail.com;(82) 33152887; ;-82;-9.657.095.144.070.650;-3.572.359.943.311.310;1;2;2;3;0;0;1;0;1;1; ;1; ;1;1;1;2; ;1;1;1;0;0;0;0; ;0;110;110;0;70;70;0;40;40;0;0;0;0;82;82;0;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;1;0; ;0;0;1;0;0;0;0;0;1;0;0;0;0;1;1;0;0; ;4;3780000; ;4059000; ;4059000; ;1200000; ;1237500; ;1235000; ;0; ;0; ;0; ;0; ;0; ;0; ;0; ;0; ;0; ;13266447,89; ;13286558,72; ;0; ;18246447,89; ;18583058,72; ;5294000; ; ; ;27;2; ;0;0;1;0;1;1;1;2;1;3780000;4059000;4059000;1200000;1237500;1235000;0;0;0;0;0;0;0;0;0;13266447,89;13286558,72;0;1,07380952380952;1,03125; ; ; ;1,00151591670708; ; ;4;8; ; ; ;1; ;4; ;7;1;12
28;FUNDO ESTADUAL DE ASSISTÊNCIA SOCIAL;32;SANTA LUZIA;680; ;SAO JOSE;PROXIMO AO PROCOM;49015-190;ARACAJU;SE;gabinte@inclusao.se.gov.br;(79) 31794836; ;(79) 31794836;-10.920.322.990.923.800;-3.705.174.028.873.440;1;2;2;0; ; ; ; ; ;4;Secretaria Estadual e Administração;1; ;1;1;1;1; ;1;1;1;1;1;0;0; ;1;225;225;0;75;75;0;75;75;0;75;75;0;7;7;0;0;1;1;1;1;1;1;1;1;1;0;2;1;1;0;0;0;1;0; ;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;Transporte,,,;2; ; ; ; ;410875; ; ; ; ; ;579200; ; ; ; ; ;95000; ; ; ; ; ; ;1; ; ; ; ; ;1; ; ; ; ; ;1; ;1; ;1;1085075; ; ; ;28;2; ; ; ; ; ; ; ;1;1;1; ; ;410875; ; ;579200; ; ;95000; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2; ; ; ; ; ;1; ;2; ;3
29;FUNDO ESTADUAL DE ASSISTÊNCIA SOCIAL;3;AV. LUIS VIANA FILHO;390;3ª AVENIDA;CAB;No prédio da Governadoria;40301-155;SALVADOR;BA;feas@sedesba.ba.gov.br;(71) 31150311; ;-71;-12.951.133.775.153.000;-38.433.952.331.542.900;1;3;1;1;0;0;2;0;2;2; ;2; ;1;1;1;1; ;0;1;1;1;1;0;0; ;1;0;741;0;0;417;0;0;226;0;0;98;0;0;387;0;0;1;1;1;1;1;1;1;1;1;0;0;1;1;0;0;1;1;0; ;0;0;0;0;0;0;0;1;0;1;1;1;0;1;1;1;0; ;4;21100000; ; ;1;11160432; ;31490000; ; ;1;14545725,21; ;2622000; ; ;1;1530580; ;0; ;0; ;0; ;0; ;0; ;0; ;0; ;0; ;0; ;55212000; ;0; ;27236737,21; ; ; ;29;2; ;0;0;2;0;2;2;1;1;0;21100000; ;11160432;31490000; ;14545725,21;2622000; ;1530580;0;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ;5;4; ; ; ; ; ;2; ;6;1;9
31;FUNDO ESTADUAL DE ASSISTÊNCIA SOCIAL;31;Papa João Paulo II;4143;14º andar - Prédio Minas;SERRA VERDE; ;30630-900;BELO HORIZONTE;MG;dgfeas@social.mg.gov.br;(31) 39168042; ;-31;-19.781.888.213.772.500;-4.395.095.586.776.730;1;2;1;1;0;0;30;0;30;2; ;2; ;0;1;1;3; ;1;0;0;0;0;0;1;Piso Mineiro, que consiste em cofinanciamento de valor que pode ser aplicado pelos municípios em qualquer serviço tipificado ou benefício eventual;1;0;2559;0;0;853;0;0;853;0;0;853;0;0;853;0;0;1;1;1;1;0;0;0;0;0;1;0;1;1;0;0;1;1;0; ;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0; ;4;0; ;0; ;0; ;13263283,53; ;11678052,43; ;0; ;0; ;0; ;0; ;812526; ;0; ;0; ;61000; ;60000; ;0; ;61538233,47; ;0; ;54041693,6; ;75675043; ;11738052,43; ;54041693,6; ; ; ;31;3; ;0;0;30;0;30;30;1;3;1;0;0;0;13263283,53;11678052,43;0;0;0;0;812526;0;0;61000;60000;0;61538233,47;0;54041693,6; ;,880479739695348; ;0;,983606557377049;0; ;1;6;5; ; ; ;1; ;6; ;3;3;12
32;FUNDO ESTADUAL DE ASSISTÊNCIA SOCIAL;32;Doutor João Carlos de Souza;107;Ed. Green Tower;Barro Vermelho;Em frente ao antigo MS Buffet.;29057-530;VITORIA;ES;cfeas.es@setades.es.gov.br;(27) 36366851; ;-27;-20.292.892.063.499.400;-40.298.924.446.105.900;1;2;2;1;0;0;1;0;1;3; ;1; ;1;1;1;2; ;3;1;1;1;1;0;0; ;1;78;78;0;78;78;0;73;73;0;65;65;0;78;78;0;0;1;1;1;1;1;1;1;1;1;0;0;0;1;1;1;0;0;0; ;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0; ;1;0; ;0; ;18525134; ;6617281,07; ;5776481,64; ;29754351,96; ;37699661; ;36522774,49; ;9300000; ;14167894,73; ;11067027,67; ;0; ;456231,03; ;18923,12; ;0; ;0; ;0; ;0; ;58941067,83; ;53385206,92; ;57579485,96; ; ; ;32;3; ;0;0;1;0;1;1;1;2;3;0;0;18525134;6617281,07;5776481,64;29754351,96;37699661;36522774,49;9300000;14167894,73;11067027,67;0;456231,03;18923,12;0;0;0;0; ;,872938836796304;,968782570485183;,78113423913053;,0414770560432946; ; ; ;1;6; ;2; ; ; ;3; ;3;1;7
33;FUNDO ESTADUAL DE ASSISTÊNCIA SOCIAL;3;Erasmo Braga;118; ;CENTRO; ;20020-001;RIO DE JANEIRO;RJ;ssasdg@gmail.com;(21) 23326398; ;-21;-22.904.594.013.230.200;-4.317.371.606.826.780;1;2;1;0; ; ; ; ; ;2; ;2; ;1;1;1;2; ;3;1;1;1;1;0;0; ;1;92;92;0;92;92;0;88;88;0;66;66;0;81;81;0;1;0;0;0;0;1;1;1;1;1;0;0;1;0;0;0;0;0;0; ;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0; ;1; ;1; ;1;23622745,85; ; ;1; ;1;21270341,61; ; ;1; ;1;500000; ;0; ;0; ;0; ;0; ;0; ;0; ;0; ;0; ;0; ;0; ;0; ;45393087,46; ; ; ;33;3; ; ; ; ; ; ; ;1;2;3; ; ;23622745,85; ; ;21270341,61; ; ;500000;0;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ;1; ;5;1; ; ; ; ;1; ;3;2;6
35;FUNDO ESTADUAL DE ASSISTÊNCIA SOCIAL;32;Boa Vista;170;4º ANDAR - bloco 3;Centro;Edifício Cidade I;01014-930;SAO PAULO;SP;ricardofelleger@sp.gov.br;(11) 27638172; ;-11;-23.546.247;-466.334.081;1;3;1;1;0;0;18;0;18;2; ;1; ;0;3;1;4;Proteção Social Básica, Proteção Social Especial de MédiaComplexidade e Proteção Social Especial de Alta Complexidade;1;1;1;1;1;0;0; ;1;0;1403;0;0;630;0;0;382;0;0;391;0;0;258;0;0;1;1;1;1;1;1;1;1;0;0;0;0;1;1;1;1;1;0; ;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;"""Diárias e Deslocamentos para capacitações	""";1;77731472,17; ;77731472,17; ;77731472,17; ;139034193,5; ;139034193,5; ;139034193,5; ;4295952,98; ;4295952,98; ;4295952,98; ;459453,41; ;459453,41; ;459453,41; ;111269273,2; ;111269273,2; ;111269273,2; ;165862630,3; ;165862630,3; ;165862630,3; ;498652975,6; ;498652975,6; ;498652975,6; ; ; ;35;3; ;0;0;18;0;18;18;1;4;1;77731472,17;77731472,17;77731472,17;139034193,5;139034193,5;139034193,5;4295952,98;4295952,98;4295952,98;459453,41;459453,41;459453,41;111269273,2;111269273,2;111269273,2;165862630,3;165862630,3;165862630,3;1;1;1;1;1;1; ; ; ;12; ; ; ; ; ;5; ;7; ;12
41;FUNDO ESTADUAL DE ASSISTÊNCIA SOCIAL;32;JACY LOUREIRO DE CAMPOS;0;PALÁCIO DAS ARAUCÁRIAS;CENTRO CÍVICO; ;80530-915;CURITIBA;PR;gabinete@seds.pr.gov.br;(41) 32102447; ;-41;-2.541.495.250.639.500;-49.269.711.971.282.900;0;2;1;3;0;0;4;0;4;2; ;1; ;1;3;1;4;O cofinanciamento é por serviço, por nível de proteção e para vários serviços bem como aprimoramento de gestão,;3;1;1;1;1;1;0; ;1;320;320;0;172;172;0;46;46;0;102;102;0;398;398;0;0;0;1;1;1;0;0;0;0;1;0;1;0;1;1;1;1;0;0; ;0;0;0;0;1;0;0;0;0;0;1;1;0;0;1;0;0; ;1;28438000; ;3714473,49; ;2767244,16; ;2240558; ;17048644,56; ;16238376,4; ;12000000; ;11975000; ;0; ;9135000; ;9112500; ;9112500; ;21144998; ;10912746,13; ;0; ;5031500; ;2165000; ;1875000; ;77990056; ;54928364,18; ;29993120,56; ; ; ;41;4; ;0;0;4;0;4;4;1;4;3;28438000;3714473,49;2767244,16;2240558;17048644,56;16238376,4;12000000;11975000;0;9135000;9112500;9112500;21144998;10912746,13;0;5031500;2165000;1875000;,130616551445249;7,60910655292119;,997916666666667;,997536945812808;,51609114032548;,430289178177482; ; ;14;23; ;1; ;4;1;9; ;26;2;37
42;FUNDO ESTADUAL DE ASSISTÊNCIA SOCIAL;32;Dr. Fúlvio Aducci;767; ;ESTREITO; ;88075-001;FLORIANOPOLIS;SC;gestaofeas@sst.sc.gov.br;(48) 36640692;692;-48;-2.758.985.881.164.100;-4.857.503.056.526.180;1;2;1;0; ; ; ; ; ;2; ;1; ;1;1;1;2; ;0;1;1;1;1;0;0; ;1;261;261;0;204;204;0;18;18;0;39;39;0;295;295;0;0;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0; ;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0; ;1;0; ;0; ;17445913,9; ;0; ;0; ;105652,85; ;0; ;0; ;29333156,7; ;2315534,6; ;2086173,08; ;0; ;0; ;0; ;0; ;0; ;0; ;0; ;2315534,6; ;2086173,08; ;46884723,45; ; ; ;42;4; ; ; ; ; ; ; ;1;2;0;0;0;17445913,9;0;0;105652,85;0;0;29333156,7;2315534,6;2086173,08;0;0;0;0;0;0;0; ; ; ;,900946623730002; ; ; ; ;2;2; ; ; ; ; ;1; ;2;1;4
43;FUNDO ESTADUAL  DE ASSISTÊNCIA  SOCIAL;3;Borges de Medeiros;1501;8º andar;Centro; ;90119-900;PORTO ALEGRE;RS;das@igualdade.rs.gov.br;(51) 32886422; ;-51;-30.040.547.855.294.500;-5.123.115.777.969.360;1;2;1;0; ; ; ; ; ;1; ;1; ;0;2; ; ; ; ;1;1;1;0;0;0; ;0;523;0;0;491;0;0;19;0;0;13;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;1;1;1;1;0;0; ;0;0;0;1;0;0;0;0;1;1;1;0;0;0;1;0;0; ;1;4040000; ;3735122,57; ;3735122,57; ;960000; ;1264877,43; ;1264877,43; ;0; ;0; ;0; ;0; ;0; ;0; ;0; ;0; ;0; ;0; ;0; ;0; ;5000000; ;5000000; ;5000000; ; ; ;43;4; ; ; ; ; ; ; ; ; ; ;4040000;3735122,57;3735122,57;960000;1264877,43;1264877,43;0;0;0;0;0;0;0;0;0;0;0;0;,92453528960396;1,31758065625; ; ; ; ; ; ;1;8; ;3; ; ; ;7; ;2; ;9
50;FUNDO ESTADUAL DE ASSISTÊNCIA SOCIAL;32;DESEMBARGADOR JOSÉ NUNES DA CUNHA, BLOCO III;S/N; ;JARDIM VERANEIO; ;79031-902;CAMPO GRANDE;MS;sedhast@sedhast.ms.gov.br;(67) 33184129; ;(67) 33184173;-2.045.246.789.234.640;-5.455.351.352.691.650;1;2;2;2;17;16;7;10;50;1; ;2; ;1;1;1;3; ;1;1;1;1;1;0;0; ;1;237;237;0;79;79;0;79;79;0;79;79;0;79;79;0;1;0;0;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0; ;0;0;1;0;0;0;0;0;1;1;1;0;0;0;0;0;0; ;3;0; ;0; ;0; ;5055000; ;30976,05; ;0; ;0; ;0; ;0; ;0; ;0; ;0; ;93150249; ;75730680,08; ;0; ;126648758; ;106840142,7; ;27858341,46; ;224854007; ;182601798,8; ;27858341,46; ; ; ;50;5; ;17;16;7;10;50;50;1;3;1;0;0;0;5055000;30976,05;0;0;0;0;0;0;0;93150249;75730680,08;0;126648758;106840142,7;27858341,46; ;,00612780415430267; ; ;,812994929084945;,843594081672716; ; ;12;13;2;2; ; ;1;18; ;7; ;25
51;FUNDO ESTADUAL DE ASSISTÊNCIA SOCIAL;32;Júlio Domingos de Campos;100; ;Centro Político Administrativo;Próximo a Casa Civil Mato Grosso;78049-931;CUIABA;MT;rosangelagomes@setasc.mt.gov.br;(65) 36135773; ;-65;-154.526.104.506.718;-559.544.708.309.247;1;3;1;0; ; ; ; ; ;2; ;2; ;2;1;1;3; ;4;0;0;0;0;0;1;Outros serviços socioassistenciais e Beneficios Eventuais;0;0;141;0;0;141;0;0;0;0;0;0;0;0;141;0;1;0;0;0;0;1;1;1;1;0;0;0;1;1;1;1;0;0;0; ;0;0;1;0;0;0;0;0;1;0;0;1;0;0;1;0;0; ;1;0; ;0; ;0; ;0; ;0; ;0; ;0; ;0; ;0; ;0; ;0; ;0; ;0; ;0; ;0; ;16909640,27; ;680684,62; ;16228955,65; ;16909640,27; ;680684,62; ;16228955,65; ; ; ;51;5; ; ; ; ; ; ; ;1;3;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16909640,27;680684,62;16228955,65; ; ; ; ; ;,0402542342197325; ; ; ;6;1;1; ; ; ;4; ;2; ;6
52;FUNDO ESTADUAL DE ASSISTÊNCIA SOCIAL;27;Dr. Pedro Ludovico Teixeira;332; ;Setor Central; ;74003-010;GOIANIA;GO;feasgoias@gmail.com;(62) 32019187; ;-62;-1.668.063.635.115.390;-4.925.490.617.752.070;1;2;0;0; ; ; ; ; ;2; ;2; ;1;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;0;0;0; ;0;0;1;0;0;0;0;0;1;0;1;1;0;0;1;0;0; ;4; ; ; ;1; ; ; ; ; ;1; ; ; ; ;29530999; ; ; ; ; ;11283925,67; ; ; ; ; ;28594447,84; ; ; ; ; ; ;1; ; ; ;1;69409372,51; ; ;1; ; ;52;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;29530999; ; ;11283925,67; ; ;28594447,84; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ;1; ;1
