IBGE;q0_1;q0_2;q0_3;q0_4;q0_5;q0_6;q0_7;q0_8;q0_9;q0_10;q0_11;q0_12;q0_13;q0_14;Latitude;Longitude;q1;q2_1;q2_2;q2_3;q2_4;q2_5;q2_6;q2_7;q2_99;q2_99_1;q3_1;q3_2;q3_3;q3_4;q3_5;q3_6;q3_7;q3_8;q3_9;q4;q4_97;q5;q5_97;q6;q6_97;q7_1_1;q7_1_2;q7_1_3;q7_1_0;q7_2_1;q7_2_2;q7_2_3;q7_2_4;q7_2_5;q7_2_0;q7_3_1;q7_3_2;q7_3_3;q7_3_4;q7_3_0;q8;q9_1;q9_2;q9_3;q9_4;q9_99;q10_1;q10_2;q10_3;q10_4;q10_5;q10_6;q10_7;q10_8;q10_9;q10_10;q10_11;q10_12;q10_13;q10_99;q10_99_1;q11;q12;q13_1;q13_2;q13_1_99;q13_2_99;q14_1;q14_2;q14_3;q14_4;q14_5;q14_6;q14_7;q14_8;q14_9;q14_99;q14_99_1;q15;q16_1;q16_2;q16_3;q16_4;q16_5;q16_6;q16_7;q16_8;q16_9;q17_1;q17_2;q17_3;q17_4;q17_1_99;q17_2_99;q17_3_99;q17_4_99;q18;q19_1;q19_2;q19_3;q19_4;q19_5;q19_6;q19_99;q19_99_1;q20;q21;q22;q23_1;q23_1_99;q23_1_1;q23_2;q23_2_99;q23_2_1;q23_3;q23_3_99;q23_3_1;q23_4;q23_4_99;q23_4_1;q24_1;q24_1_99;q24_2;q24_2_99;q24_3;q24_3_99;q24_4;q24_4_99;q25_1_1;q25_1_2;q25_2_1;q25_2_2;q25_3_1;q25_3_2;q25_4_1;q25_4_2;q25_5_1;q25_5_2;q25_6_1;q25_6_2;q26;q27;q28;q29;q30;q31;q32;q33;q34_1;q34_2;q34_3;q34_99;q34_99_1;q35;q36_1_1;q36_1_2;q36_1_3;q36_1_4;q36_1_5;q36_2_1;q36_2_2;q36_2_3;q36_2_4;q36_2_5;UF;Regiao;Q_completo;q2_1_velha;q2_2_velha;q2_3_velha;q2_4_velha;q2_5_velha;q2_6_velha;q2_7_velha;q2_99_velha;q7_1_1_velha;q7_1_2_velha;q7_1_3_velha;q7_2_1_velha;q7_2_2_velha;q7_2_3_velha;q7_2_4_velha;q7_2_5_velha;q7_3_1_velha;q7_3_2_velha;q7_3_3_velha;q7_3_4_velha;q9_1_velha;q9_2_velha;q9_3_velha;q9_4_velha;q9_99_velha;q10_1_velha;q10_2_velha;q10_3_velha;q10_4_velha;q10_5_velha;q10_6_velha;q10_7_velha;q10_8_velha;q10_9_velha;q10_10_velha;q10_11_velha;q10_12_velha;q10_13_velha;q10_99_velha;q13_1_velha;q13_2_velha;q13_1_99_velha;q13_2_99_velha;q14_1_velha;q14_2_velha;q14_3_velha;q14_4_velha;q14_5_velha;q14_6_velha;q14_7_velha;q14_8_velha;q14_9_velha;q14_99_velha;q16_1_velha;q16_2_velha;q16_3_velha;q16_4_velha;q16_5_velha;q16_6_velha;q16_7_velha;q16_8_velha;q16_9_velha;q17_1_velha;q17_2_velha;q17_3_velha;q17_4_velha;q19_1_velha;q19_2_velha;q19_3_velha;q19_4_velha;q19_5_velha;q19_6_velha;q19_99_velha;q23_1_99_velha;q23_1_1_velha;q23_2_99_velha;q23_2_1_velha;q23_3_99_velha;q23_3_1_velha;q24_1_99_velha;q24_2_99_velha;q24_3_99_velha;q24_4_99_velha;q27_velha;q31_velha;q32_velha;q34_1_velha;q34_2_velha;q34_3_velha;q34_99_velha;q35_velha;q36_1_2_velha;q36_1_3_velha;q36_1_4_velha;q36_1_5_velha;q36_2_2_velha;q36_2_3_velha;q36_2_4_velha;q36_2_5_velha;d_4;d_5;d_6;d_17_1;d_17_2;d_17_3;d_17_4;d_21;d_22;d_23_1;d_23_2;d_23_3;d_23_4;d_24_1;d_24_2;d_24_3;d_24_4;d_25_1_1;d_25_1_2;d_25_2_1;d_25_2_2;d_25_3_1;d_25_3_2;d_25_4_1;d_25_4_2;d_25_5_1;d_25_5_2;d_25_6_1;d_25_6_2;d_31;d_32;d_36_1_1;d_36_1_5;d_36_2_1;d_36_2_5;d_37_9bin1_sum;d_37_9bin2_sum;d_37_9bin3_sum;d_37_10bin1_sum;d_37_10bin2_sum;d_37_10bin3_sum;d_37_10bin4_sum;d_37_10bin5_sum;d_37_11bin1_sum;d_37_11bin2_sum;d_37_11bin3_sum;d_37_11bin4_sum;nu_trabalhador
24;SECRETARIA ESTADUAL DO TRABALHO DA HABITACAO E DA ASSISTENCIA SOCIAL;3;CENTRO ADMINISTRATIVO DO ESTADO, AV. SENADOR SALGADO FILHO,;0; ;LAGOA NOVA;CENTRO ADMINISTRATIVO DO ESTADO;59064-901;NATAL;RN;expediente.sethas@gmail.com;(84) 32321850;1806;-84;-5.827.897.311.328.830;-35.213.987.231.254.500;2;0;0;0;1;1;1;0;0; ;2;2;2;2;2;2;2;2;2; ;1;2010; ; ;1; ; ; ;1; ; ; ; ; ;1; ; ; ; ;1;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;1;0;1;1;1;Atendimento virtual;1;167;66;1;12;2;1;4;2;1;2471;1;0; ; ;1;12;0; ;1;237;0; ;3;3;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;8;0;1;0;1;0;0; ;2010;0; ; ; ; ;0; ; ; ; ;24;2;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;0;1;1;1;12;2;4;2;2471;1;12; ;237; ;1;8;0;0;1;0;0;2010; ; ; ; ; ; ; ; ;0;7;0; ; ; ; ;4;4;4;2;6;1;4;1;4;1;2;2;2;2;2;2;2;2;2;2;2;2;3;1;1; ;1; ; ;8;27; ;15;2; ;2;4;1;11;19;35
25;SECRETARIA DE ESTADO DO DESENVOLVIMENTO HUMANO;3;EPITÁCIO PESSOA;2501;0;Dos Estados;Em Frente a VIVO;58030-001;JOAO PESSOA;PB;neidefelipe@hotmail.com;(83) 32145531;6660;(83) 32186660;-7.117.032.548.979.530;-34.858.653.545.379.600;2;0;0;0;0;1;1;1;0; ;1;1;1;1;1;1;1;1;1;2017; ;2017; ;2015; ; ; ; ;1;1;1;1;1;1;0;1;0;0;0;0;1;0;0;1;1;0;1;1;1;1;1;1;0;1;0;0;0;0;0;0; ;1;1;1;0;26; ; ; ; ; ; ; ; ; ; ; ; ;1;1;0;1;0;0;0;0;0;0;1;1;0;0;3;4; ; ;1;1;1;1;1;1;1;1;Redes Sociais;0;0;50;1;300;2;0; ; ;1;1000;1;0; ; ;0; ;0; ;0; ;0; ;7;7;5;7;0;1;0;0;2;0;0;0;1;1;1;1;1;7;0;0; ; ; ; ; ; ;0; ; ; ; ;0; ; ; ; ;25;2;0;0;0;0;0;1;1;1;0;0;0;0;1;1;1;1;1;1;0;0;0;0;0;1;1;0;1;1;1;1;1;1;0;1;0;0;0;0;0;0;1;0;26; ; ; ; ; ; ; ; ; ; ; ;1;0;1;0;0;0;0;0;0;1;1;0;0;1;1;1;1;1;1;1;300;2; ; ;1000;1; ; ; ; ;1;7;0; ; ; ; ; ; ; ; ; ; ; ; ; ;3;3;5;1;1;0;0;0;3;4;1;5;1;1;1;1;1;3;3;2;3;1;2;1;1;2;1;1;1;3;1;1; ;1; ; ;2;29;2;20; ; ;3;4; ;6;21;31
26;SECRETARIA DE DESENVOLVIMENTO SOCIAL, CRIANÇA E JUVENTUDE;3;CRUZ CABUGÁ;665;0;SANTO AMARO;Palácio Frei Caneca - Antiga Vice-Governadoria;50040-000;RECIFE;PE;sdscj@sdscj.pe.gov.br;(81) 31833000;3001;(81) 31833007;-8.048.670.352.211.290;-3.487.805.128.097.530;2;0;0;0;0;1;0;0;1;Sistema Socioeducativo, Pessoas com Deficiência, Pessoa Idosa, LGBT. Igualdade Racial e Juventude;1;1;1;2;1;1;1;1;2; ;1;2017; ;2017; ; ; ; ;1; ; ; ; ; ;1;1;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;Transferência de Recursos Financeiros;1;1;0;1; ;60;1;1;1;1;0;0;1;1;1;0; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;0;1;1;1;1;1;Atreves do Sistema de Informação da Assistência Social - SIGAS;1;185;159;1;562;1;1;1195;1;1;1916;1;1;2788;1;1;118;1;199;1;177;1;200;6;6;2;2;1;1;1;1;1;1;1;1;1;1;1;1;2;7;0;2;0;1;0;0; ;2018;0; ; ; ; ;0; ; ; ; ;26;2;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1; ;60;1;1;1;1;0;0;1;1;1;0; ; ; ; ; ; ; ; ; ; ; ; ; ;1;0;1;1;1;1;1;562;1;1195;1;1916;1;118;199;177;200;1;7;0;0;1;0;0;2018; ; ; ; ; ; ; ; ;0;3;3; ; ; ; ;4;4;5;6;6;6;4;4;4;4;3;3;2;2;2;2;2;2;2;2;2;2;3;1;1; ;1; ;2;9;73;7;24; ;1;10;22;1;17;44;84
27;Secretaria de Estado da Assistencia e Desenvolvimento Social;3;Comendador Calaca;1399;predio;poco;Predio da Antiga LBA;57025-640;MACEIO;AL;gabinete.seades.gov@gmail.com;(82) 33152878; ;(82) 33151030;-96.604.414;-357.270.601;2;0;0;0;0;1;0;0;0; ;2;1;1;2;1;1;1;1;2;2019; ;2015; ;2015; ; ; ; ;1; ; ; ; ; ;1; ; ; ; ;1;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;1;0;1; ;40;1;1;1;0;0;1;1;1;1;1;Realiza oficina sobre a elaboração do plano municipal de MSE, oficina sobre o RMA;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;0;1;0;1;1;0; ;0;0;74;1;28;1;1;12;2;1;3116;1;0; ; ;1;2;0; ;1;15;0; ;6;6;2;2;1;1;1;2;1;0;1;1;1;1;1;1;1;11;0;0; ; ; ; ; ; ;0; ; ; ; ;0; ; ; ; ;27;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;1; ;40;1;1;1;0;0;1;1;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;0;1;0;1;1;0;28;1;12;2;3116;1;2; ;15; ;1;11;0; ; ; ; ; ; ; ; ; ; ; ; ; ;1;5;5; ; ; ; ;0;4;4;4;6;1;2;1;4;1;3;3;2;2;2;2;2;2;2;1;2;2;4;1;1; ;1; ;6;21;48;1;18; ;4;9;50; ;18;7;75
28;Secretaria de Estado da Inclusao, Assistência Social e do Trabalho;32;Santa Luzia;680; ;São José;Próximo ao Procon.;49015-190;ARACAJU;SE;gabinete@seit.se.gov.br;(79) 31794836; ;(79) 31797676;-10.920.228.765.195.800;-3.705.199.241.638.180;2;0;0;0;0;1;1;1;0; ;1;2;1;0;2;1;1;1;2; ;1;2015; ;2014; ; ; ; ;1; ; ; ; ; ;1;1;0;0;1;0;1;0;0;1;0;0;1;1;1;1;0;1;0;0;1;0;0;0;1;0; ;1;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;0;0;0;1;0;0;0;0;1;0;0;0;2; ; ; ;1;1;0;1;0;1;1;0; ;1;75;65;1;10;2;0; ; ;1;283;1;0; ; ;0; ;0; ;0; ;0; ;6;6;2;2;1;1;1;1;1;1;1;1;1;0;1;1;2;8;0;0; ; ; ; ; ; ;0; ; ; ; ;0; ; ; ; ;28;2;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;1;1;1;1;0;1;0;0;1;0;0;0;1;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;0;0;0;1;0;0;0;0;1;0;0;0;1;0;1;0;1;1;0;10;2; ; ;283;1; ; ; ; ;0;8;0; ; ; ; ; ; ; ; ; ; ; ; ; ;0;5;6;1;0;0;0;4;4;3;1;4;1;1;1;1;1;3;3;2;2;2;2;2;2;2;2;2;2;3;1;1; ;1; ; ;11;16; ;11; ; ;2;6; ;16;5;27
29;SECRETARIA DE JUSTIÇA, DIREITOS HUMANOS E DESENVOLVIMENTO SOCIAL;3;LUIS VIANA FILHO;390;PLATAFORMA IV, 1º ANDAR;CENTRO ADMINISTRATIVO DA BAHIA;Prédio da Governadoria;41745-005;SALVADOR;BA;gabinete@sjdhds.ba.gov.br;(71) 31156184;0;(71) 00000000;-12.951.802.952.575.500;-3.843.285.799.026.480;2;0;0;0;0;0;0;0;1;Secretaria de Justiça, Direitos Humanos e Desenvolvimento Social;1;2;2;2;2;1;1;1;2; ;1;2001; ; ;1; ; ; ;1; ; ; ; ; ;1; ; ; ; ;1;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;1;0;1; ;12;1;1;0;0;0;0;1;1;1;0; ;1;1;0;0;0;1;0;0;0;0;0;0;1;0; ; ;6; ;1;1;1;1;1;1;1;0; ;1;36;19;1;1600;1;0; ; ;1;364;1;0; ; ;0; ;0; ;1;50;0; ;6;6;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;11;0;0; ; ; ; ; ; ;0; ; ; ; ;0; ; ; ; ;29;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;1; ;12;1;1;0;0;0;0;1;1;1;0;1;0;0;0;1;0;0;0;0;0;0;1;0;1;1;1;1;1;1;0;1600;1; ; ;364;1; ; ;50; ;1;11;0; ; ; ; ; ; ; ; ; ; ; ; ; ;0;8;0;0;0;2;0;3;3;6;1;4;1;1;1;4;1;3;3;2;2;2;2;2;2;2;2;2;2;4;1;1; ;1; ;1;11;43;8;12;1;1;6;14; ;26;15;55
31;SUBSECRETARIA DE ESTADO DE ASSISTENCIA SOCIAL - SUBAS;31;Papa João Paulo II;4143;14º andar - Prédio Minas;SERRA VERDE;CIDADE ADMINISTRATIVA DO GOVERNO DE MINAS GERAIS;30630-900;BELO HORIZONTE;MG;gabinetesec@social.mg.gov.br;(31) 39168044; ;(31) 39168044;-19.781.847.830.952.000;-43.951.106.071.472.100;2;0;0;0;1;1;1;1;1;Esportes, Políticas sobre Drogas;1;1;1;1;1;1;1;1;1;2011; ;2019; ;2019; ; ; ; ;1;1;0;1;0;0;0;1;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;1;1;1;5;4;1;1;1;0;0;0;1;1;1;0; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ; ;1;853;86;1;62;1;1;20;1;1;7202;1;1;990;1;1;17;0; ;1;13;1;29;6;6;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;8;0;2;0;0;1;0; ;2014;0; ; ; ; ;0; ; ; ; ;31;3;0;0;0;0;1;1;1;1;1;0;0;0;1;0;1;0;0;1;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;5;4;1;1;1;0;0;0;1;1;1;0; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;1;1;1;0;62;1;20;1;7202;1;17; ;13;29;1;8;0;0;0;1;0;2014; ; ; ; ; ; ; ; ;6;1;1; ; ; ; ;6;4;4;4;6;5;4;1;4;4;3;3;2;2;2;2;2;2;2;2;2;2;3;1;1; ;1; ;7;51;124;6;37; ;8;30;118;8;41;15;182
32;SECRETARIA DE ESTADO DE TRABALHO, ASSISTÊNCIA E DESENVOLVIMENTO SOCIAL;32;Dr João Carlos Souza;107;Ed Green Tower;Barro Vermelho;Rua da Divisão de Homicídios e Proteção à Pessoa DHPP, em frente ao MS Buffet;29057-530;VITORIA;ES;gabinete@setades.es.gov.br;(27) 36366821;6824;(27) 36366822;-20.292.831.685.977.800;-40.299.181.938.171.300;2;0;0;0;0;0;1;0;0; ;1;1;2;0;1;1;1;1;1;2012; ;2019; ;2012; ; ; ; ;1; ; ; ; ; ;1; ; ; ; ;1;1;0;0;1;0;0;1;1;0;1;0;1;0;0;0;0;0;0;0;0; ;1;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;0;0;0;1;0;0;0;0;0; ; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ;Assessoramento técnico de forma presencial na sede da secretaria;0;0;77;1;20;2;1;10;2;1;1536;1;1;376;1;1;6;0; ;1;60;0; ;6;6;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;8;0;4;0;1;0;0; ;2009;0; ; ; ; ;0; ; ; ; ;32;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;1;0;1;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;1;0;0;0;0;0; ; ; ; ;1;1;1;0;1;1;1;20;2;10;2;1536;1;6; ;60; ;1;8;0;0;1;0;0;2009; ; ; ; ; ; ; ; ;6;1;6; ; ; ; ;0;4;4;3;6;4;3;1;4;1;3;3;2;2;2;2;2;2;2;2;2;2;3;1;1; ;1; ; ;4;45;5;25; ;1;3;15; ;26;8;49
33;Secretaria de Estado de Desenvolvimento Social e Direitos Humanos do Rio de Janeiro;3;Erasmo Braga;118;9º andar;Centro;Ao lado da ALERJ;20020-000;RIO DE JANEIRO;RJ;ssgssa.rj@gmail.com;(21) 23345551; ;-21;-22.904.589.071.773.900;-4.317.369.997.501.370;2;0;0;0;0;0;0;1;0; ;2;2;2;2;2;1;1;2;2;2018; ;2016; ;2016; ; ; ; ;1;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0; ;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;1;1;1;1;1;Telefone, email, encontros regionais, whatsapp;0;0;11;1;26;1;1;26;1;1;26;1;0; ; ;0; ;0; ;0; ;0; ;6;6;2;1;1;1;1;1;1;2;1;1;0; ;1;1;1;9;0;0; ; ; ; ; ; ;0; ; ; ; ;0; ; ; ; ;33;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;1;1;1;1;26;1;26;1;26;1; ; ; ; ; ;9;0; ; ; ; ; ; ; ; ; ; ; ; ; ;2;4;4; ; ; ; ;0;3;4;4;4;1;1;1;1;1;3;3;2;2;2;2;2;2;2;2;2;2;3;1;1; ;1; ;41;134;156;10;30; ;33;6;25; ;256;50;331
35;Secretaria de Desenvolvimento Social do Estado de São Paulo;32;BELA CINTRA;1032;não há;CONSOLAÇÃO;Próximo à Avenida Paulista;01415-000;SAO PAULO;SP;celiaparnes@sp.gov.br;(11) 27638000;0;(11) 27638255;-23.555.937.586.454.700;-4.666.153.192.520.140;2;0;0;0;0;0;0;0;1;Políticas sobre Drogas e 2 programas da política de Segurança Alimentar;1;1;0;0;1;2;2;2;2; ;1;2016; ;2017; ; ; ; ;1; ; ; ; ; ;1;1;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;0;1;0;1;0;0;0;0;0; ; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ;Assessoramento técnico de forma presencial no Escritório Regional / Grupos de Estudo;1;38;450;1;6574;1;1;773;1;1;9999;1;1;3689;1;1;30;1;1718;1;160;1;3689;6;6;2;2;1;1;1;1;1;1;1;1;0; ;1;1;4;9;0;0; ; ; ; ; ; ;0; ; ; ; ;0; ; ; ; ;35;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;1;0;1;0;0;0;0;0; ; ; ; ;1;1;1;1;1;1;1;6574;1;773;1;9999;1;30;1718;160;3689; ;9;0; ; ; ; ; ; ; ; ; ; ; ; ; ;0;4;3; ; ; ; ;3;5;6;5;6;6;4;6;4;6;3;3;2;2;2;2;2;2;2;2;2;2;3;1;1; ;1; ;10;75;336;26;42; ;28;27;260; ;149;12;421
41;Secretaria de Estado da Justiça, Família e Trabalho - SEJUF;32;JACY LOUREIRO CAMPOS;0;PALACIO DAS ARAUCÁRIAS;CENTRO CÍVICO; ;80530-915;CURITIBA;PR;gabinete@seds.pr.gov.br;(41) 32102400;2711;-41;-2.541.546.610.365.380;-49.269.969.463.348.300;2;0;0;0;0;0;1;1;1;Justiça e Garantia de Direitos;1;2;2;2;1;1;1;1;2; ;1;2018; ; ;1; ; ; ;1; ; ; ; ; ;1; ; ; ; ;1;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;0;0;0;1;0;0;0;0;0; ; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ; ;0;0;399;1;686;1;0; ; ;1;3162;1;1;1784;1;0; ;0; ;0; ;0; ;6;6;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;8;0;2;0;1;0;0; ;2002;0; ; ; ; ;0; ; ; ; ;41;4;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;1;0;0;0;0;0; ; ; ; ;1;1;1;1;1;1;0;686;1;0;1;3162;1; ; ; ; ;1;8;0;0;1;0;0;2002; ; ; ; ; ; ; ; ;0;2;0; ; ; ; ;0;5;5;1;6;6;1;1;1;1;3;3;2;2;2;2;2;2;2;2;2;2;3;1;1; ;1; ;12;57;218;14;53; ;18;24;123;13;112;39;287
42;Secretaria de Estado de Desenvolvimento Social;32;Fúlvio Aducci;767; ;Estreito; ;88000-000;FLORIANOPOLIS;SC;gabinete@sst.sc.gov.br;(48) 36640773; ;-48;-27.589.801.758.750.800;-48.575.094.938.278.200;2;0;0;0;1;1;0;1;0; ;1;2;1;2;1;1;1;1;1; ;1;2017; ;2018; ; ; ; ;1; ; ; ; ; ;1;1;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ; ;0;0;54;0; ; ;0; ; ;1;656;1;0; ; ;0; ;0; ;0; ;0; ;6;6;2;2;1;1;1;1;1;1;1;1;1;1;1;1;2;8;8;2;0;1;0;0; ;1993;0; ; ; ; ;0; ; ; ; ;42;4;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;1;1;1;0; ; ; ; ;656;1; ; ; ; ;1;8;8;0;1;0;0;1993; ; ; ; ; ; ; ; ;0;3;2; ; ; ; ;0;4;1;1;5;1;1;1;1;1;3;3;2;2;2;2;2;2;2;2;2;2;3;3;1; ;1; ; ;3;17;1;10; ; ;4;14; ;2;4;20
43;Secretaria do Trabalho e Assistência Social;3;Av. Borges de Medeiros;1501;8º andar;Centro;Centro Administrativo do Estado do Rio Grande do Sul;90119-900;PORTO ALEGRE;RS;das@stas.rs.gov.br;(51) 32886400;6483;(51) 32886526;-30.040.770.758.545.100;-51.231.071.949.005.100;2;0;0;0;0;1;1;0;0; ;0;2;2;2;2;2;2;2;0; ;1;2017; ;2017; ; ; ; ;1; ; ; ; ; ;1; ; ; ; ;1;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;1;0;1; ;18;1;1;1;0;0;0;0;0;1;0; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;0;1;0;1;1;1;Comunicação via redes sociais;1;0;167;1;5;2;1;2;2;0; ; ;0; ; ;0; ;0; ;0; ;0; ;6;6;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;8;0;0; ; ; ; ; ; ;0; ; ; ; ;0; ; ; ; ;43;4;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;1; ;18;1;1;1;0;0;0;0;0;1;0; ; ; ; ; ; ; ; ; ; ; ; ; ;1;0;1;0;1;1;1;5;2;2;2; ; ; ; ; ; ;1;8;0; ; ; ; ; ; ; ; ; ; ; ; ; ;0;3;3; ; ; ; ;0;4;2;2;1;1;1;1;1;1;3;3;2;2;2;2;2;2;2;2;2;2;3;1;1; ;1; ;1;4;37;1;28; ;1; ;35;1;2;4;42
50;SECRETARIA DE ESTADO DE DIREITOS HUMANOS, ASSISTÊNCIA SOCIAL E TRABALHO;3;DESEMBARGADOR JOSÉ NUNES DA CUNHA, BLOCO III;0; ;JARDIM VERANEIO; ;79031-310;CAMPO GRANDE;MS;sedhast@sedhast.ms.gov.br;(67) 33184100;4141;(67) 33184111;-20.452.508.102.404.900;-54.553.685.188.293.400;2;0;0;0;0;1;1;1;1;Procon;1;1;1;2;1;1;1;2;2;2016; ;2016; ;2016; ; ; ; ;1; ; ; ; ; ;1;1;0;0;0;0;1;0;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0; ;1;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;0;0;1;1;0;0;0;0;0;0;1;0; ; ;6; ;1;1;1;1;0;1;1;1;Plantão técnico para atendimento aos Municípios nas reuniões da CIB/MS.;1;79;40;1;125;1;0; ; ;1;2006;1;0; ; ;0; ;0; ;0; ;0; ;6;6;2;2;1;2;1;0;1;1;1;1;1;1;1;1;1;9;0;1;1;0;0;0; ;2013;0; ; ; ; ;0; ; ; ; ;50;5;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;0;0;1;1;0;0;0;0;0;0;1;0;1;1;1;0;1;1;1;125;1; ; ;2006;1; ; ; ; ;1;9;0;1;0;0;0;2013; ; ; ; ; ; ; ; ;4;4;4;0;0;2;0;4;3;4;1;6;1;1;1;1;1;3;3;2;2;2;2;2;1;2;2;2;2;3;1;1; ;1; ;1;23;75;13;32; ;1;11;70;1;21;7;99
