IBGE;q0_1;q0_2;q0_3;q0_4;q0_5;q0_6;q0_7;q0_8;q0_9;q0_10;q0_11;q0_12;q0_13;q0_14;Latitude;Longitude;q1;q2_1;q2_2;q2_3;q2_4;q2_5;q2_6;q2_7;q2_99;q2_99_1;q3_1;q3_2;q3_3;q3_4;q3_5;q3_6;q3_7;q3_8;q3_9;q3_10;q4;q4_97;q5;q5_97;q6;q6_99;q7_1_1;q7_1_2;q7_1_0;q7_2_1;q7_2_2;q7_2_3;q7_2_4;q7_2_5;q7_2_0;q7_3_1;q7_3_2;q7_3_3;q7_3_4;q7_3_0;q8_0;q8_1;q8_2;q8_3;q8_4;q9;q10;q11_1;q11_2;q11_1_1;q11_1_2;q11_1_3;q11_1_4;q11_1_5;q11_2_1;q11_2_2;q11_2_3;q11_2_4;q11_2_5;q12_0;q12_1;q12_2;q12_3;q12_4;q12_5;q12_6;q12_7;q12_8;q12_9;q12_10;q12_11;q12_99;q12_99_1;q13_0;q13_1;q13_2;q13_3;q13_4;q13_5;q13_6;q13_7;q13_99;q13_99_1;q14_1;q14_2;q14_3;q14_4;q14_5;q14_6;q14_7;q14_8;q14_9;q14_10;q14_99;q14_0;q14_99_1;q15;q16_1;q16_2;q16_1_1;q16_2_1;q17_1;q17_2;q17_3;q17_4;q17_5;q17_6;q17_7;q17_8;q17_9;q17_99;q17_99_1;q18;q19_1;q19_2;q19_3;q19_4;q19_5;q19_6;q19_7;q19_8;q19_9;q20;q21_1;q21_2;q21_3;q21_4;q21_5;q21_6;q21_7;q21_8;q21_9;q21_10;q21_99;q21_99_1;q22;q23;q24_1;q24_2;q24_3;q24_4;q24_99;q24_99_1;q25;q26_1_1;q26_1_2;q26_2_1;q26_2_2;q26_3_1;q26_3_2;q26_4_1;q26_4_2;q26_5_1;q26_5_2;q26_6_1;q26_6_2;q27;q28;q29;q30;q31;q32;q33;q34;q35;q36_1;q36_2;q36_3;q36_4;q36_5;q36_0;q37_0;q37_1;q37_2;q37_3;q37_4;q37_5;q37_6;q37_7;q37_8;q37_99;q37_99_1;q38_1;q38_2;q38_3;q38_4;q38_99;q38_99_1;q39;q40_1;q40_1_99;q40_2;q40_2_99;q40_3;q40_3_99;q40_4;q40_4_99;q41_1;q41_1_99;q41_2;q41_2_99;q41_3;q41_3_99;q41_4;q41_4_99;q42;q42_98;q43;q44;q44_99_1;q45;q46_1_1;q46_1_2;q46_1_3;q46_1_4;q46_1_5;q46_2_1;q46_2_2;q46_2_3;q46_2_4;q46_2_5;q47;q48;q48_1_99;q48_2_99;q49;q50;UF;Regiao;Q_incompleto;q7_1_1_velha;q7_1_2_velha;q7_1_0_velha;q7_2_1_velha;q7_2_2_velha;q7_2_3_velha;q7_2_4_velha;q7_2_5_velha;q7_2_0_velha;q7_3_1_velha;q7_3_2_velha;q7_3_3_velha;q7_3_4_velha;q7_3_0_velha;q8_0_velha;q8_1_velha;q8_2_velha;q8_3_velha;q8_4_velha;q12_0_velha;q12_1_velha;q12_2_velha;q12_3_velha;q12_4_velha;q12_5_velha;q12_6_velha;q12_7_velha;q12_8_velha;q12_9_velha;q12_10_velha;q12_11_velha;q12_99_velha;q13_0_velha;q13_1_velha;q13_2_velha;q13_3_velha;q13_4_velha;q13_5_velha;q13_6_velha;q13_7_velha;q13_99_velha;q14_0_velha;q14_1_velha;q14_2_velha;q14_3_velha;q14_4_velha;q14_5_velha;q14_6_velha;q14_7_velha;q14_8_velha;q14_9_velha;q14_10_velha;q14_99_velha;q16_1_velha;q16_2_velha;q16_1_1_velha;q16_2_1_velha;q17_1_velha;q17_2_velha;q17_3_velha;q17_4_velha;q17_5_velha;q17_6_velha;q17_7_velha;q17_8_velha;q17_9_velha;q17_99_velha;q19_1_velha;q19_2_velha;q19_3_velha;q19_4_velha;q19_5_velha;q19_6_velha;q19_7_velha;q19_8_velha;q19_9_velha;q24_1_velha;q24_2_velha;q24_3_velha;q24_4_velha;q24_99_velha;q25_velha;q28_velha;q36_1_velha;q36_2_velha;q36_3_velha;q36_4_velha;q36_5_velha;q36_0_velha;q37_0_velha;q37_1_velha;q37_2_velha;q37_3_velha;q37_4_velha;q37_5_velha;q37_6_velha;q37_7_velha;q37_8_velha;q37_99_velha;q44_velha;q45_velha;q50_velha;d_40_1;d_40_2;d_40_3;d_40_4;d_41_1;d_41_2;d_41_3;d_41_4;d_42
24;SECRETARIA ESTADUAL DO TRABALHO DA HABITACAO E DA ASSISTENCIA SOCIAL;3;SENADOR SALGADO FILHO;0; ;LAGOA NOVA;CENTRO ADMINISTRATIVO DO ESTADO;59064-901;NATAL;RN;expediente.sethas@gmail.com;(84) 32321850;1806;-84;-5.827.897.311.328.830;-35.213.987.231.254.500;2;0;0;0;1;1;1;0;0; ;2;2;2;2;2;2;2;2;2;2; ;1;0; ;0; ; ; ;1; ; ; ; ; ;1;1;0;0;0;0;1; ; ; ; ;1;1;1;0;RN Acolhe; ; ; ; ; ; ; ; ; ;0;1;1;0;1;0;0;0;0;1;1;1;1;Monitoramento e orientação técnica aos municípios no processo de adesão ao PAB;0;1;0;0;0;0;0;0;1;Quebra do pacto federativo, quando o Ministério ofertou capacitações individuais para os municipios sem articulação com o estado,;1;0;0;0;0;1;0;1;1;0;1;0;Instituiu Auxílio Financeiro Emergencial para as famílias dos municípios reconhecidos em Decreto Estadual em situação de emergência,;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;0;0;0;1;0;0;0;0;1;1;1;1;1;0;1;0;1;1;0;0; ;Cadastro Único e Programa Auxílio Brasil, Censo SUAS, Trabalho Social com Famílias, Fundo de Assistência Social, Programa Criança Feliz, Serviço de Convivência e Fortalecimento de Vínculos, e Calamidades Publicas e Emergências,;0; ; ; ; ; ; ; ;3;3;2;2;1;1;1;1;1;1;1;1;0; ;1;1;1;6;0;6;0;1;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0; ;1;0;0;0;0; ;0;0; ;0; ;0; ;0; ;0; ;0; ;0; ;0; ;0; ;1;2; ;2010;0; ; ; ; ;0; ; ; ; ;1; ;0;0;0; ;24;2; ;0;0;1;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;1;1;0;1;0;0;0;0;1;1;1;1;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;1;1;0;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;0;0;0;1;0;0;0;0; ; ; ; ; ; ; ;1;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;2;2010; ;1;1;1;1;1;1;1;1;1
25;SECRETARIA DE ESTADO DO DESENVOLVIMENTO HUMANO;3;EPITÁCIO PESSOA;2501;0;Dos Estados;Em Frente a VIVO;58030-001;JOAO PESSOA;PB;assessoriadegabinete@sedh.pb.gov.br;(83) 31334054; ;-83;-7.119.502.657.536.250;-3.484.788.179.398.090;2;0;0;0;0;1;1;1;0; ;1;1;1;2;1;1;1;1;2;1;2017; ;0; ;1;2020; ; ;1;1;1;1;1;1;0;1;0;1;0;0;0;1;0;1;1;1;1;1;1;Abono Natalino;Cartão Alimentação; ; ; ;Programa Paraíba que Acolhe; ; ; ; ;0;0;0;0;0;0;0;0;0;1;1;1;0; ;0;1;0;0;0;1;0;1;0; ;1;0;0;0;0;0;0;1;0;0;0;0; ;1;1;0;26; ;0;0;0;0;0;0;0;0;0;1;x;1;1;0;0;0;0;0;0;0;1;0;1;1;1;1;1;1;0;0;0;0;0; ;Família Acolhedora, Elaboração de Planos, Paraíba que Acolhe e Sistemas;0; ; ; ; ; ; ; ;7;7;4;5;2;1;0;0;1;0;1;0;1;1;1;1;1;10;0;5;0;1;1;0;1;0;0;0;0;0;1;1;1;0;0;1;0; ;0;1;1;1;0; ;1;0; ;1;30;0; ;1;372;0; ;0; ;0; ;0; ; ;1;0; ; ; ;0; ; ; ; ;0; ; ; ; ;2; ;0;0;0; ;25;2; ;0;0;1;1;1;1;1;1;0;1;0;1;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;26; ;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1; ; ; ; ; ; ;1;1;1;0;1;0;0;0;0;0;1;1;1;0;0;1;0; ; ; ;1;4;1;4;1;1;1;1;7
26;SECRETARIA ESTADUAL DE DESENVOLVIMENTO SOCIAL, CRIANÇA E JUVENTUDE;3;CONDE DA BOA VISTA;1410;0;BOA VISTA;EMPRESARIAL PALMIRA II;50060-001;RECIFE;PE;gabinete@sdscj.pe.gov.br;(81) 31833007;3002;(81) 31833007;-805.417.310.733.939;-348.952.603.340.149;2;0;0;0;0;1;0;0;1;CRIANÇA E JUVENTUDE;1;1;1;2;1;1;1;1;1;1;2021; ;0; ;0; ; ; ;1; ; ; ; ; ;1;1;0;0;1;0;0;0;0;1;1;1;1;1;1;BENEFÍCIO DE TRANSFERÊNCIA DE RENDA AS FAMÍLIAS;BENEFÍCIO CONTINUADO PERNAMBUCO PROTEGE;PROGRAMA CHAPÉU DE PALHA;BENEFÍCIO CONTINUADO PARA FAMILIARES DE FALECIDOS VÍTIMAS DAS CHUVAS - MAIO 2022;AUXÍLIO PERNAMBUCO E COZINHAS COMUNITÁRIAS;PROGRAMA VIDA NOVA; ; ; ; ;0;1;0;1;1;0;0;1;0;1;1;1;1;APOIO TÉCNICO AOS MUNICÍPIOS;0;0;0;0;0;1;0;0;1;FALTA DE MATERIAL IMPRESSO PARA FORMAÇÃO;1;1;1;1;0;1;0;0;1;0;0;0; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ; ; ;0;1;1;1;1;0;1;0;1;1;1;0; ;ENCONTRO TÉCNICO REGIONALIZADO:PSB, PSEM,PSEA,VIGILÂNCIA SOCIOASSISTENCIAL E CADASTRO ÚNICO,CONTRALE SOCIAL,SEGURANÇA ALIMENTAR E NUTRICIONAL,SEGMENTOS SOCIAIS,POLÍTICAS PARA CRIANÇA E JUVENTUDE;0; ; ; ; ; ; ; ;1;1;2;2;1;1;1;1;1;1;1;1;1;1;1;0;1;10;0;9;9;0;0;1;1;1;0;0;0;1;1;1;1;0;0;0;0; ;0;1;1;0;0; ;1;1;55;1;267;1;1246;1;5582;1;1;1;7;1;5;1;27;32; ;0; ; ; ;0; ; ; ; ;0; ; ; ; ;1; ;4;2;0; ;26;2; ;0;0;1;0;0;0;0;0;1;1;0;0;1;0;0;0;0;1;1;0;1;0;1;1;0;0;1;0;1;1;1;1;0;0;0;0;0;1;0;0;1;0;1;1;1;1;0;1;0;0;1;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;0;0;1;1;1;0;0;0;1;1;1;1;0;0;0;0; ; ; ;4;4;6;6;2;3;2;4;4
27;Secretaria de Estado da Assistencia e Desenvolvimento Social;3;Comendador Calaca;1399;predio;poco;Predio da Antiga LBA;57025-640;MACEIO;AL;gabinete.seades.gov@gmail.com;(82) 33152878; ;(82) 33151030;-9.657.678.982.820.010;-3.572.466.909.885.400;2;0;0;0;0;1;0;0;0; ;1;1;1;2;1;1;1;1;1;2;2019; ;0; ;0; ; ; ;1; ; ; ; ; ;1; ; ; ; ;1;0;0;0;1;0;1;1;1;0;Programa Criança Alagoana;Pacto Contra a Fome; ; ; ; ; ; ; ; ;0;1;1;1;1;1;0;1;1;1;0;0;0; ;0;0;1;1;1;0;0;0;0; ;1;1;0;1;0;1;0;0;0;0;1;0;Realizou entrega de provimentos aos municípios durante a situação de emergência, realizou o pagamento de auxílio financeiro para famílias desalojadas e desabrigadas;1;0;1; ;40;1;0;1;0;0;0;0;0;1;0; ;0; ; ; ; ; ; ; ; ; ;0;1;1;1;0;1;1;0;1;0;0;0; ;Auxílio Brasil, Programa Criança Feliz, PAEFI, AEPETI, Programa estaduais, entre outros;0; ; ; ; ; ; ; ;6;6;2;1;1;2;1;1;1;1;1;1;1;1;1;1;0;4;0;2;2;0;1;1;0;0;0;0;0;1;1;1;1;0;0;0;0; ;0;1;1;0;0; ;0;1;8;1;12;1;380;1;400;0; ;0; ;0; ;0; ;0; ;1;3; ;2022;0; ; ; ; ;0; ; ; ; ;1; ;1;1;0; ;27;2; ;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;1;1;1;1;1;0;1;1;1;0;0;0;0;0;1;1;1;0;0;0;0;0;1;1;0;1;0;1;0;0;0;0;1;0;1; ;40;1;0;1;0;0;0;0;0;1;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;0;1;1;0;0;0;0;0;1;1;1;1;0;0;0;0;3;2022; ;3;4;4;4;1;1;1;1;1
28;Secretaria de Estado da Inclusao E Assistência Social;32;Santa Luzia;680; ;São José; ;49015-190;ARACAJU;SE;gabinete@seias.se.gov.br;(79) 31794836; ;(79) 31797676;-10.920.228.765.195.800;-3.705.199.241.638.180;2;0;0;0;0;1;0;1;0; ;1;1;1;1;1;1;1;1;1;1; ;1;1; ;0; ; ; ;1; ; ; ; ; ;1;1;0;0;1;0;1; ; ; ; ;1;1;1;1;MÃO AMIGA;CMAIS;CMAIS SPI;CMAIS SERGIPE ACOLHE;0;ALUGUEL SOCIAL;NOVO LAR;MÃO AMIGA BACIA LEITEIRA;0;0;0;1;1;1;1;0;1;1;0;1;1;0;0; ;0;0;1;0;0;0;0;1;1;Pouca assistência do Ministério da Cidadania ao Estado;0;0;1;0;0;0;0;0;0;0;0;0; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;0;1;0;1;0;0;0;0;1;1;1;1;1;0;1;0;1;1;0;0; ;Eventos: Abuso e Exploração Sexual de Crianças e Adolescentes, Trabalho Infantil e Empatia e Inclusão, Oficinas: Monitoramento e avaliação do Trabalho Infantil nos territórios, Atendimento x  Acompanhamento no âmbito do PAIF e o  PAF como instrumento de pactuação com a família, AF como instrumento de pactuação com aAprimoramento da gestão dos serviços de acolhimento de execução direta;0; ; ; ; ; ; ; ;6;6;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;2;0;3;0;0;1;0;1;1;0;1; ; ; ; ; ; ; ; ; ; ;0;0;0;1;0; ;0;0; ;0; ;0; ;0; ;0; ;0; ;0; ;0; ;0; ;0; ; ; ;0; ; ; ; ;0; ; ; ; ;1; ;0;7;0; ;28;2; ;0;0;1;0;0;0;0;0;1;1;0;0;1;0;1;0;0;0;0;0;1;1;1;1;0;1;1;0;1;1;0;0;0;0;1;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;0;1;0;1;0;0;0;0; ; ; ; ; ; ;1;0;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0; ; ; ;1;1;1;1;1;1;1;1;1
29;SECRETARIA DE JUSTIÇA, DIREITOS HUMANOS E DESENVOLVIMENTO SOCIAL;3;LUIS VIANA FILHO;390;PLATAFORMA IV, 1º ANDAR;CENTRO ADMINISTRATIVO DA BAHIA;Prédio da Governadoria;41745-005;SALVADOR;BA;gabinete@sjdhds.ba.gov.br;(71) 31156184;0;(71) 00000000;-12.950.130.005.649.100;-3.843.457.460.403.440;2;0;0;0;0;1;0;1;1;Pessoa com Deficiência, Política de Drogas, FUNDAC, Procon;1;2;2;2;2;1;1;1;2;2; ;1;0; ;0; ; ; ;1; ; ; ; ; ;1;1;0;0;0;0;1; ; ; ; ;0;0; ; ; ; ; ; ; ; ; ; ; ; ;0;1;1;1;1;0;0;0;0;1;1;1;0; ;0;1;1;0;0;1;0;1;0; ;1;1;1;1;1;1;1;0;0;0;0;0; ;1;0;1; ;12;1;0;1;0;0;0;1;1;1;0; ;1;1;0;0;0;1;0;0;0;0;1;1;1;1;1;1;0;0;1;1;1;0; ;O SUAS na situação de calamidade púbica e emergência,Webinário sobre Beneficiários e Programas de Transferência de Renda,SIMPLIFICA SUAS debate averiguação revisão cadastral de dados do CAdÚnico,Reunião Municípios em Situação de Calamidade,Orientação Técnica do RAF,Reuniões de supervisão on-line com as equipes da UR,Escuta Integrada do Setor CadÚnico,Orientação Técnica sobre RL e CadÚnico,Roda de conversa sobre saúde mental - Acolhimento,Reunião de alinhamento presencial para atividades referente ao TR Calamidade - Produto 1 - Diagnóstico Situacional,Assessoramento das Unidades Regionais de Acolhimento para crianças e adolescentes,1 º Seminário com o Sistema de Garantia de Direitos ,Seminário Trabalho Infantil e Proteção Social organizado pelo Ministério Público do Trabalho,Reunião de assessoramento para utilização do recurso do PETI ,Evento Articula em Ação a Intersetorialidade,Apoio Técnico - Orientação Censo SUAS Bahia 2022,Caravana da Justiça Social - Implantação da vigilância no;0; ; ; ; ; ; ; ;6;6;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;11;0;7;3;1;1;1;1;1;0;0;0;1;1;1;1;1;1;1;0; ;0;1;1;1;0; ;1;0; ;0; ;0; ;1;1109;0; ;0; ;0; ;0; ;1109; ;0; ; ; ;0; ; ; ; ;0; ; ; ; ;1; ;2;0;0; ;29;2; ;0;0;1;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;1;1;1;1;0;0;0;0;1;1;1;0;0;1;1;0;0;1;0;1;0;0;1;1;1;1;1;1;1;0;0;0;0;0;1; ;12;1;0;1;0;0;0;1;1;1;0;1;0;0;0;1;0;0;0;0; ; ; ; ; ; ;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1;1;0; ; ; ;1;1;1;6;1;1;1;1;6
31;SUBSECRETARIA DE ESTADO DE ASSISTENCIA SOCIAL - SUBAS;31;Papa João Paulo II;4143;14º andar - Prédio Minas;SERRA VERDE;Cidade Administrativa Presidente Tancredo Neves;30630-900;BELO HORIZONTE;MG;gabinetesec@social.mg.gov.br;(31) 39168044; ;(31) 39168044;-19.781.847.830.952.000;-43.951.106.071.472.100;2;0;0;0;1;1;1;1;1;Esportes e Políticas sobre Drogas;1;1;1;1;1;1;1;1;1;0;2011; ;0; ;0; ; ; ;1;1;0;1;0;0;0;1;0;0;0;0;1; ; ; ; ;1;1;0;1; ; ; ; ; ;Aproximação SUAS;Rede Cuidar;Recupera Minas; ; ;0;1;1;1;1;0;0;1;0;1;1;1;0; ;0;1;1;0;0;1;0;1;0; ;1;0;0;0;0;1;1;1;1;0;0;0; ;1;1;1;4;20;1;1;1;1;1;1;1;1;1;0; ;0; ; ; ; ; ; ; ; ; ;1;1;1;1;1;0;1;0;1;1;1;0; ;Programa Percursos Gerais, Aproximação SUAS, Vigilância socioassistencial, Trabalho Social com Famílias na Proteção Social Básica, Serviço de Proteção e Atendimento Integral à Família, Serviço de Convivência e Fortalecimento de Vínculos, A atuação da Política de Assistência Social em contexto de calamidade pública e emergência, A oferta de serviços da Proteção Social de Alta Complexidade por meio de Consórcio Público, Atualizações do Cadastro único e Programa Sociais e Programa Auxílio Brasil, Benefícios Socioassistenciais, Orientações Gerais Sobre a Proteção Social Especial de Média Complexidade;0; ; ; ; ; ; ; ;6;6;2;2;1;1;1;1;1;1;1;1;0; ;1;1;1;10;0;5;5;1;0;1;0;0;0;0;0;1;1;1;1;0;1;0;0; ;0;1;1;0;0; ;0;0; ;1;48;0; ;1;1140;0; ;0; ;0; ;1;57;0; ;2;3; ;2014;0; ; ; ; ;0; ; ; ; ;1; ;5;3;0; ;31;3; ;0;0;1;1;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;1;1;1;0;0;1;0;1;1;1;0;0;1;1;0;0;1;0;1;0;0;1;0;0;0;0;1;1;1;1;0;0;1;1;4;20;1;1;1;1;1;1;1;1;1;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;0;1;0;0;0;0;0;1;1;1;1;0;1;0;0;3;2014; ;1;4;1;6;1;1;1;4;1
32;SECRETARIA DE ESTADO DE TRABALHO, ASSISTÊNCIA E DESENVOLVIMENTO SOCIAL;32;Dr João Carlos Souza;107;Ed Green Tower;Barro Vermelho;Rua da Divisão de Homicídios e Proteção à Pessoa DHPP, em frente ao MS Buffet;29057-530;VITORIA;ES;gabinete@setades.es.gov.br;(27) 36366821;6824;(27) 36366822;-20.292.831.685.977.800;-40.299.181.938.171.300;2;0;0;0;0;1;1;0;0; ;1;1;2;2;1;1;1;2;1;2;2018; ;0; ;0; ; ; ;1; ; ; ; ; ;1; ; ; ; ;1;0;0;0;1;0;1;1;1;0;Projeto Bolsa Capixaba; ; ; ; ; ; ; ; ; ;0;1;1;1;1;1;0;1;1;1;1;1;0; ;0;0;0;0;0;1;0;1;1;Informações para orientar os municípios quanto ao Programa Auxílio Brasil, O governo federal tem demorado na divulgação das informações de modo geral, bem como na publicação do ?Informe Bolsa e Cadastro? que anteriormente antecedia os procedimentos adotados, relacionados à gestão do Cadastro Único e do Programa Bolsa Família?,;1;0;0;0;0;1;0;0;0;0;1;0;Execução do Programa Temporário de Transferência de Renda aos cidadãos atingidos social e economicamente pela pandemia do novo Coronavírus (COVID-19) - Cartão ES Solidário;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;0;0;0;1;0;0;0;0;0;0;1;1;1;1;1;1;0;1;1;1;0; ;Plano Municipal pela Primeira Infância, Visita Domiciliar, Desenvolvimento da Criança, Primeira Infância, Intersetorialidade, Monitoramento físico e financeiro, Brincar, O território da criança, Integração Serviço de Acolhimento Institucional de crianças com o Programa Criança Feliz, Boas práticas, Adesão ao Programa Criança Feliz, PIARTE, Financiamento do Programa Criança Feliz, Plano Estadual pela Primeira Infância, Programa Estadual Compra Direta de Alimentos, Cadastro Único, PETI, Programa Estadual Bolsa Capixaba, Programa Auxílio Brasil, Segurança Alimentar e Nutricional, Interface SUAS e SINASE, Segura Pública, Assistência e Direitos Humanos, Emergências e Calamidades, Família Acolhedora, Programa BPC na Escola, RMA CRAS e CREAS;0; ; ; ; ; ; ; ;6;6;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;10;0;4;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;Execução do Programa Temporário de Transferência de Renda aos cidadãos atingidos social e economicamente pela pandemia do novo Coronavírus (COVID-19) - Cartão ES Solidário,;0;0;0;0;1;Trabalho presencial não foi alterado em 2022,;2;1;225;1;187;1;478;1;734;1;12;1;38;1;8;1;518;1850; ;4;2; ;2009;0; ; ; ; ;0; ; ; ; ;1; ;2;3;0; ;32;3; ;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;1;1;1;1;1;0;1;1;1;1;1;0;0;0;0;0;0;1;0;1;1;0;1;0;0;0;0;1;0;0;0;0;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;1;0;0;0;0;0; ; ; ; ; ; ;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;2;2009; ;4;4;4;5;4;4;3;5;6
33;Secretaria de Estado de Desenvolvimento Social e Direitos Humanos do Rio de Janeiro;3;Erasmo Braga;118;9º andar;Centro;Ao lado da ALERJ;20020-000;RIO DE JANEIRO;RJ;subsuas.gab@sedsdh.rj.gov.br;(21) 23345551; ;-21;-22.903;-43.208;2;0;0;0;0;1;0;1;0; ;1;1;1;1;1;1;1;1;1;1;2018; ;0; ;0; ; ; ;1; ; ; ; ; ;1;1;0;0;1;0;0;0;0;1;0;0;1;1;0;SUPERA RJ; ; ; ; ; ; ; ; ; ;0;1;1;1;1;0;0;1;0;1;1;1;0; ;0;1;1;0;0;1;0;1;0; ;1;0;0;1;0;1;1;0;0;0;0;0; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ; ; ;1;1;0;1;1;0;0;0;1;1;0;0; ;Vigilância Socioassistencial, Fundo e financiamento, Gestão do Trabalho PAIF/PAEFI, Benefícios Eventuais, CADÚNICO Acolhimento Institucionall, Medida Socioeducativa, Capacitações sobre calamidades/emergências, Família Acolhedora, Centro Pop e Centro Dia;0; ; ; ; ; ; ; ;6;6;2;1;1;2;1;1;1;1;1;1;1;1;1;0;1;12;0;5;2;1;1;0;1;0;0;0;0;0;1;1;0;0;0;0;0; ;0;1;1;0;0; ;1;0; ;0; ;0; ;1;877;0; ;1;5;0; ;1;0;739; ;0; ; ; ;0; ; ; ; ;0; ; ; ; ;1; ;0;3;0; ;33;3; ;0;0;1;0;0;0;0;0;1;1;0;0;1;0;0;0;0;1;0;0;1;1;1;1;0;0;1;0;1;1;1;0;0;1;1;0;0;1;0;1;0;0;1;0;0;1;0;1;1;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;0;1;0;0;0;0;0;1;1;0;0;0;0;0; ; ; ;1;1;1;5;1;2;1;1;5
35;Secretaria de Desenvolvimento Social do Estado de São Paulo;32;BOA VISTA;170; ;CENTRO; ;01014-930;SAO PAULO;SP;celialeao@sp.gov.br;(11) 27638000;0;(11) 27638255;-23.546.048.317.205.200;-466.335.940.361.023;2;0;0;0;0;0;0;0;1;Segurança Alimentar e  Política de Drogas;1;1;2;2;1;1;1;2;2;2; ;1;0; ;0; ; ; ;1; ; ; ; ; ;1;1;1;0;0;0;1; ; ; ; ;0;1;1;0;Programa Renda Cidadã e Ação Jovem;Programa Prospera;Programa Vale Gás;Programa Sp Acolhe;Programa São Paulo Amigo do Idoso; ; ; ; ; ;0;1;1;1;1;0;0;1;1;1;1;1;0; ;0;0;1;0;0;1;0;0;0; ;1;0;0;0;0;1;0;0;1;0;0;0; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;0;0;0;1;0;0;0;0;0;1;1;1;1;0;1;1;0;1;1;1;0; ;Série Dialogando - Emergências e Calamidades no SUAS,  Positividade Tóxica nos Serviços Socioassistenciais e Vigilância Socioassistencial Função da Assistência Social, Capacitação Sistema MSEWEB (Sistema Estadual de Medida Socioeducativa em Meio Aberto),  Capacitação sobre o Sistema  PMASweb -  Novas funções, registro de informações e atualização 2023,  Capacitação de Supervisores do Programa Criança Feliz, Capacitação de Entrevistadores do Cadastro Único,  Capacitação sobre atualização do Cadastro Único,  Seminário: Como organizar a Vigilância Socioassistencial em município de pequeno porte I e II,    Orientação técnica sobre organização de consórcio municipal para oferta de Serviço de Acolhimento Institucional para Mulheres vítimas de violência,  Orientação Técnica para Gestão Social do Programa Vida Longa, Prevenção à Violência contra Pessoa Idosa: Envelhecimento e Proteção Social Integral Dependência, Cuidado e Desigualdade de Gênero nos serviços de PSB no domicílio e PSE de média;1;1;1;0;0;0; ;13;6;6;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;14;0;8;8;0;0;1;1;0;0;0;0;0;1;0;1;0;1;0;1;Levantamento de ações de Inclusão Produtiva no Estado de São Paulo e apoio aos municípios nas ações do Programa Acessuas Trabalho, Pesquisa: Ações da Política de Assistência Social no Estado de São Paulo para a Erradicação do Trabalho Infantil,;0;1;1;0;0; ;2;1;628;1;854;1;1192;1;1623;0; ;1;86;0; ;1;1643;0; ;0; ; ; ;0; ; ; ; ;0; ; ; ; ;1; ;5;2;1;0;35;3; ;0;0;1;0;0;0;0;0;1;1;1;0;0;0;1;0;0;0;0;0;1;1;1;1;0;0;1;1;1;1;1;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;1;0;0;0;0;0;1;1;0;0;0;13;1;0;0;1;1;0;0;0;0;0;1;0;1;0;1;0;1; ; ;0;5;5;6;6;1;4;1;6;1
