IBGE;q0_1;q0_2;q0_3;q0_4;q0_5;q0_6;q0_7;q0_8;q0_9;q0_10;q0_11;q0_12;q0_13;q0_14;Latitude;Longitude;q1;q2;q3;q4;q5_1;q5_2;q5_3;q5_4;q5_5;q6;q6_4_99;q7;q7_4_99;q8;q9;q10;q11;q11_4_99;q12;q13_1;q13_2;q13_3;q13_4;q13_5;q13_99;q13_99_1;q14;q15_1_1;q15_1_2;q15_1_3;q15_2_1;q15_2_2;q15_2_3;q15_3_1;q15_3_2;q15_3_3;q15_4_1;q15_4_2;q15_4_3;q16_1;q16_2;q16_3;q17_0;q17_1;q17_2;q17_3;q17_4;q18_1;q18_2;q18_3;q18_4;q18_5;q18_0;q19;q20_1;q20_2;q20_3;q20_4;q20_5;q20_6;q20_99;q20_99_1;q21_1;q21_2;q21_3;q21_4;q21_5;q21_6;q21_7;q21_0;q22_1;q22_2;q22_3;q22_4;q22_5;q22_6;q22_7;q22_8;q22_99;q22_99_1;q23;q24_1_1;q24_1_1_98;q24_2_1;q24_2_1_98;q24_3_1;q24_3_1_98;q24_1_2;q24_1_2_98;q24_2_2;q24_2_2_98;q24_3_2;q24_3_2_98;q24_1_3;q24_1_3_98;q24_2_3;q24_2_3_98;q24_3_3;q24_3_3_98;q24_1_4;q24_1_4_98;q24_2_4;q24_2_4_98;q24_3_4;q24_3_4_98;q24_1_5;q24_1_5_98;q24_2_5;q24_2_5_98;q24_3_5;q24_3_5_98;q24_1_6;q24_1_6_98;q24_2_6;q24_2_6_98;q24_3_6;q24_3_6_98;q24_1_7;q24_1_7_98;q24_2_7;q24_2_7_98;q24_3_7;q24_3_7_98;q25;q27_97;Nome_UF;Região;Q_incompleto;q5_1_velha;q5_2_velha;q5_3_velha;q5_4_velha;q5_5_velha;q10_velha;q11_velha;q12_velha;q5_5_rec;EXECUCAO_1MUN;EXECUCAO_2MUN;EXECUCAO_3MUN;EXECUCAO_4MUN;EXECUCAO_5MUN;EXECUCAO_6MUN;LIMP_EXECUCAO;d25_8bin1_sum;d25_8bin2_sum;d25_8bin3_sum;d25_9bin1_sum;d25_9bin2_sum;d25_9bin3_sum;d25_9bin4_sum;d25_9bin5_sum;d25_10bin1_sum;d25_10bin2_sum;d25_10bin3_sum;d25_10bin4_sum;nu_trabalhador
24;FUNDO ESTADUAL DE ASSISTÊNCIA SOCIAL;31;CENTRO ADMINISTRATIVO DO ESTADO, BR 101, KM 0;BL 1; ;LAGOA NOVA; ;59064-901;NATAL;RN;expediente.sethas@gmail.com;(84) 32321801; ;(84) 32321830;-58.278.065.875.672.400;-35.213.992.595.672.600;1;2;1;2;0;0;1;0;1;2; ;2; ;2;3;0;2; ;5;0;0;1;0;0;0; ;0;0;52;0;0;0;0;0;0;0;0;52;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;1;1;0;0;1;1;0; ;0;0;0;0;0;0;0;1;1;0;0;0;0;1;1;0;0; ;2;0; ;0; ;0; ;2467200; ;1101036; ;1072500; ;0; ;0; ;0; ;0; ;0; ;0; ;0; ;0; ;0; ;0; ;0; ;0; ;2467200; ;1101036; ;1072500; ; ; ;24;2; ;0;0;1;0;1;0;2;5;1; ;,446269455252918; ; ; ; ; ; ;1;2; ;1; ; ; ; ; ;3; ;3
25;FUNDO ESTADUAL DE ASSISTÊNCIA SOCIAL;3;Desembargador Souto Maior;288; ;Centro; ;58013-190;JOAO PESSOA;PB;gabinete.sedh@sedh.pb.gov.br;(83) 32186658; ;(83) 32186658;-7.115;-34.863;1;2;2;2;0;0;4;0;4;3; ;1; ;2;1;1;2; ;5;1;1;1;1;0;0; ;0;0;255;0;0;189;0;0;64;0;0;2;0;0;180;0;0;1;1;1;0;1;1;1;1;1;0;1;1;1;0;0;0;0;0; ;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0; ;2;1176903,07; ;1176903,07; ;17255,31; ;3758314,05; ;3758314,05; ;319217,39; ;0; ;0; ;2960,89; ;1198085,05; ;1198085,05; ;0; ;336335; ;336335; ;0; ;0; ;0; ;0; ;6469637,17; ;6469637,17; ;339433,59; ; ; ;25;2; ;0;0;4;0;4;1;2;5;4;1;1; ;1;1; ; ; ; ;1; ; ; ; ; ; ; ;1; ;1
26;FUNDO ESTADUAL DE ASSISTÊNCIA SOCIAL;32;GERVÁSIO PIRES;399; ;BOA VISTA;PRÉDIO DO PRORURAL;50050-070;RECIFE;PE;severino.ssilva@sdscj.pe.gov.br;(81) 31830781; ;(81) 31833093;-803.922.541.135.169;-349.331.747.267.926;1;2;1;1;0;1;2;1;4;3; ;1; ;1;3;1;1; ;0;1;1;1;0;0;0; ;1;260;259;2;185;185;0;56;56;0;19;18;2;0;0;0;0;1;1;1;1;0;0;0;0;0;1;0;0;1;0;0;1;1;0; ;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;1;0; ;3;6840000; ;34083,8; ;4786542,07; ;11920400; ;8278842,1; ;2278500; ;460000; ;0; ;42000; ;3471200; ;5107720,5; ;0; ;0; ;0; ;0; ;0; ;0; ;0; ;22691600; ;13420646,4; ;7107042,07; ; ; ;26;2; ;0;1;2;1;4;1;1;0;4;,00498301169590643;,694510427502433;0;1,47145670085273; ; ; ;2;4;8; ;2; ;1; ;8; ;3;3;14
27;FUNDO ESTADUAL DE ASSISTÊNCIA SOCIAL;3;Av. Comendador Calaça;1399;Prédio;Poço;Secretaria de Estado da Assistência e Desenvolvimento Social;57025-640;MACEIO;AL;gabineteassistenciasocial@hotmail.com;(82) 33152887; ;-82;-9.657.095.144.070.650;-3.572.359.943.311.310;1;2;1;3;0;0;0;2;2;1; ;1; ;1;1;1;2; ;5;1;1;0;0;0;0; ;0;110;110;0;70;70;0;40;40;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;1;1;0;0;0;0;0; ;0;0;1;1;0;0;0;0;1;0;0;0;0;1;1;0;0; ;4;4536720; ;4104720; ;4104000; ;1620480; ;1500480; ;1500000; ;0; ;0; ;0; ;1621043,14; ;1621043,14; ;0; ;2547080,95; ;2547080,95; ;0; ;1055; ;1055; ;0; ;10326379,09; ;9774379,09; ;5604000; ; ; ;27;2; ;0;0;0;2;2;1;2;5;2;,904777019520711;,925947867298578; ;1;1;1; ; ;3;8; ; ; ; ; ;4; ;6;1;11
28;FUNDO ESTADUAL DE ASSISTÊNCIA SOCIAL;32;SANTA LUZIA;680; ;SAO JOSE;PROXIMO AO PROCOM;49015-190;ARACAJU;SE;gabinte@inclusao.se.gov.br;(79) 31794836; ;(79) 31794836;-10.920.322.990.923.800;-3.705.174.028.873.440;1;2;3;0; ; ; ; ; ;1; ;1; ;1;1;1;1; ;1;1;1;1;1;0;0; ;1;225;225;0;75;75;0;75;75;0;75;75;0;7;7;0;0;1;1;1;0;1;1;1;0;0;0;0;0;1;1;1;0;0;0; ;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;capacitação das equipes;2;3992687,5; ;3872530; ;2022222,5; ;22812523; ;15694037,67; ;5850332,5; ;0; ;0; ;69475; ; ;1; ;1; ;1;0; ;0; ; ;1;241000; ;136968,45; ; ;1;27046210,5; ;19703536,12; ;7942030; ; ;1;28;2; ; ; ; ; ; ;1;1;1; ;,969905608690888;,687957122059669; ; ; ;,568333817427386; ; ;1;2; ; ; ; ; ;1; ;2; ;3
29;FUNDO ESTADUAL DE ASSISTÊNCIA SOCIAL;3;AV. LUIS VIANA FILHO;390;3ª AVENIDA;CAB;No prédio da Governadoria;40301-155;SALVADOR;BA;feas@sedesba.ba.gov.br;(71) 31150311; ;-71;-12.951.133.775.153.000;-38.433.952.331.542.900;1;3;1;1;0;0;2;0;2;2; ;2; ;1;1;1;2; ;0;1;1;1;1;0;0; ;1;0;666;0;0;370;0;0;207;0;0;89;0;0;336;0;0;1;1;1;0;1;1;1;1;1;0;0;1;1;1;1;1;1;0; ;0;0;0;0;0;0;1;0;0;0;1;1;0;0;1;1;0; ;4;21099636; ;14692292; ;14692292; ;36779324; ;17620346,09; ;17620346,09; ;2621040; ;1730720; ;1730720; ;0; ;0; ;0; ;0; ;0; ;0; ;0; ;0; ;0; ;60500000; ;34043358,09; ;34043358,09; ; ; ;29;2; ;0;0;2;0;2;1;2;0;2;,696329168901302;,479082924145098;,660318041693374; ; ; ; ; ;6;6; ; ; ; ; ;3; ;8;1;12
31;FUNDO ESTADUAL DE ASSISTÊNCIA SOCIAL;31;Papa João Paulo II;4143;14º andar - Prédio Minas;SERRA VERDE; ;30630-900;BELO HORIZONTE;MG;dgfeas@social.mg.gov.br;(31) 39168042; ;-31;-19.781.888.213.772.500;-4.395.095.586.776.730;1;2;1;1;0;0;89;0;89;2; ;1; ;0;1;1;3; ;1;0;0;0;0;0;1;Piso único que pode ser alocado para todos os serviços tipificados e para benefícios eventuais;1;2559;2559;0;853;853;0;853;853;0;853;853;0;853;853;0;0;1;1;1;1;0;0;0;0;0;1;2;1;1;0;0;1;1;0; ;0;0;1;0;0;0;0;0;1;0;0;1;0;0;1;1;1;Realização de treinamentos e capacitações aos municípios;4;0; ;0; ;0; ;24054969; ;19544310,87; ;2230000; ;0; ;0; ;0; ;136491,85; ;136491,85; ;0; ;0; ;0; ;0; ;63797822; ;21504343,1; ;21504343,1; ;87989282,85; ;41185145,82; ;23734343,1; ; ; ;31;3; ;0;0;89;0;89;1;3;1;89; ;,812485390024822; ;1; ;,337070176157424; ;1;6;5; ; ; ;1; ;7; ;2;3;12
32;FUNDO ESTADUAL DE ASSISTÊNCIA SOCIAL;32;Doutor João Carlos de Souza;107;Ed. Green Tower;Barro Vermelho;Em frente ao antigo MS Buffet.;29057-530;VITORIA;ES;cfeas.es@setades.es.gov.br;(27) 36366851; ;-27;-20.292.892.063.499.400;-40.298.924.446.105.900;1;2;2;1;0;0;1;0;1;3; ;1; ;1;1;1;2; ;4;1;1;1;1;0;0; ;1;78;78;0;78;78;0;73;73;0;64;64;0;78;78;0;0;1;1;1;1;1;1;1;1;0;0;0;0;1;1;1;0;0;0; ;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0; ;1;0; ;0; ;18459441; ;6106481,64; ;5776481,64; ;28651151; ;21302571,67; ;20698766,54; ;3100000; ;14742542,24; ;11463966,31; ;0; ;84000; ;8832,2; ;0; ;260614,24; ;96000; ;0; ;42496209,79; ;38044046,69; ;50210592; ; ; ;32;3; ;0;0;1;0;1;1;2;4;1; ;,945959061296711;,971655763475246;,777611223585004;,105145238095238;,368360531642477; ; ;3;6; ;3; ; ; ;3; ;5;1;9
33;FUNDO ESTADUAL DE ASSISTÊNCIA SOCIAL;3;Erasmo Braga;118; ;CENTRO; ;20020-001;RIO DE JANEIRO;RJ;ssasdg@gmail.com;(21) 23326398; ;-21;-22.904.594.013.230.200;-4.317.371.606.826.780;1;2;1;3;0;0;12;0;12;2; ;3; ;1;1;1;2; ;3;1;1;1;1;0;0; ;1;246;246;0;92;92;0;88;88;0;66;66;0;76;76;0;0;1;1;1;1;1;1;1;1;1;0;0;1;0;0;0;0;0;0; ;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0; ;1;13450001; ;9914397; ;9022906,8; ;42319954,21; ;12077866,57; ;3054959,77; ;0; ;0; ;0; ;40000; ;6541,43; ;0; ;0; ;0; ;0; ;43867315,15; ;27022,74; ;0; ;99677270,36; ;22025827,74; ;12077866,57; ; ; ;33;3; ;0;0;12;0;12;1;2;3;12;,737129833670644;,285394131337365; ;,16353575; ;,000616010802293197; ;1; ;5;1; ; ; ; ;1; ;3;2;6
35;FUNDO ESTADUAL DE ASSISTÊNCIA SOCIAL;32;Boa Vista;170;4º ANDAR - bloco 3;Centro;Edifício Cidade I;01014-930;SAO PAULO;SP;ricardofelleger@sp.gov.br;(11) 27638172; ;-11;-23.548;-46.636;1;3;1;1;0;0;18;0;18;2; ;1; ;0;1;1;4;Proteção Social Básica, Proteção Social Especial de Média Complexidade e Proteção Social Especial de Alta Complexidade,;1;1;1;1;0;0;0; ;1;1305;1305;0;627;627;0;347;347;0;331;331;0;0;0;0;0;1;1;1;1;0;0;0;0;0;1;0;0;1;1;1;0;0;0; ;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0; ;1;81278271; ;81278271; ;81278271; ;105103062; ;105103062; ;105103062; ;0; ;0; ;0; ;750000; ;750000; ;750000; ;118652982; ;118652982; ;118652982; ;0; ;0; ;0; ;305784315; ;305784315; ;305784315; ; ; ;35;3; ;0;0;18;0;18;1;4;1;18;1;1; ;1;1; ; ; ; ;12; ; ; ; ; ;5; ;7; ;12
41;FUNDO ESTADUAL DE ASSISTÊNCIA SOCIAL;32;JACY LOUREIRO DE CAMPOS;0;PALÁCIO DAS ARAUCÁRIAS;CENTRO CÍVICO; ;80530-915;CURITIBA;PR;gabinete@seds.pr.gov.br;(41) 32102447; ;-41;-2.541.495.250.639.500;-49.269.711.971.282.900;0;2;1;3;0;0;4;0;4;2; ;1; ;1;3;1;4;O cofinanciamento é por serviço, por nível de proteção e para vários serviços bem como aprimoramento de gestão,;3;1;1;1;1;1;0; ;1;897;897;0;263;263;0;354;354;0;280;280;0;77;77;0;0;1;1;1;1;0;0;0;0;1;0;1;0;1;1;1;1;0;0; ;0;0;0;0;1;0;0;0;0;0;1;1;0;0;1;0;0; ;1;43583093; ;9675730; ;9675730; ;31281267; ;17451400; ;17451400; ;17040000; ;14921758; ;0; ;13555280; ;10212250,15; ;10006250; ;13893321; ;8449750; ;8449750; ;1506800; ;1506800; ;1506800; ;120859761; ;62217688,15; ;47089930; ; ; ;41;4; ;0;0;4;0;4;1;4;3;4;,222006501466062;,557886609899784;,875690023474178;,753378030553408;,608187919936493;1; ; ;14;23; ;1; ;4;1;9; ;26;2;37
42;FUNDO ESTADUAL DE ASSISTÊNCIA SOCIAL;32;Dr. Fúlvio Aducci;767; ;ESTREITO; ;88075-001;FLORIANOPOLIS;SC;gestaofeas@sst.sc.gov.br;(48) 36640692;692;-48;-27.591.865.152.732.700;-4.857.755.184.173.580;1;2;1;1;0;0;9;0;9;2; ;1; ;1;1;1;2; ;5;1;0;0;0;0;0; ;0;0;371;0;0;285;0;0;86;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0; ;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0; ;1;12000000; ;0; ;11152998,62; ;18900000; ;535241,59; ;4739999,42; ;2000000; ;0; ;0; ;0; ;0; ;0; ;12000000; ;5886651,65; ;0; ;2100000; ;2045222,07; ;0; ;47000000; ;8467115,31; ;15892998,04; ; ; ;42;4; ;0;0;9;0;9;1;2;5;9;0;,0283196608465608;0; ;,490554304166667;,973915271428571; ; ;1;3; ; ; ; ; ;1; ;2;1;4
