NU_IDENTIFICADOR;IBGE;q33_3;q33_9;q33_10;q33_11;q33_12;q33_13;q33_14;q33_15_1;q33_15_2;IBGE7;UF;Regiao;Município;areaKm2;Nome_UF;Pop_total_2022;Porte_pop2022;Q_incompleto;DataCenso;DataCenso_2023;Faixas_etarias;d33_9;d33_11;d33_9bin1;d33_9bin2;d33_9bin3;d33_10bin1;d33_10bin2;d33_10bin3;d33_10bin4;d33_10bin5;d33_11bin1;d33_11bin2;d33_11bin3;d33_11bin4;d33_9bin1_sum;d33_9bin2_sum;d33_9bin3_sum;d33_10bin1_sum;d33_10bin2_sum;d33_10bin3_sum;d33_10bin4_sum;d33_10bin5_sum;d33_11bin1_sum;d33_11bin2_sum;d33_11bin3_sum;d33_11bin4_sum;nu_trabalhadores;d33_15_1_1bin_Gestão;d33_15_1_1bin_PopRua;d33_15_1_1bin_Abordagem;d33_15_1_1bin_Cadastramento;d33_15_1_1bin_Outros;d33_15_2_1bin_Gestão;d33_15_2_1bin_PopRua;d33_15_2_1bin_Abordagem;d33_15_2_1bin_Cadastramento;d33_15_2_1bin_Outros;Gestao;PopRua;Abordagem;Cadastramento;Outros;d33_15_1_1bin_Gestão_sum;d33_15_1_1bin_PopRua_sum;d33_15_1_1bin_Abordagem_sum;d33_15_1_1bin_Cadastramento_sum;d33_15_1_1bin_Outros_sum;d33_15_2_1bin_Gestão_sum;d33_15_2_1bin_PopRua_sum;d33_15_2_1bin_Abordagem_sum;d33_15_2_1bin_Cadastramento_sum;d33_15_2_1bin_Outros_sum
43156098076;431560; Masculino; Superior Completo; Psicóloga(o); Servidor Estatutário; Técnico(a) de Nível Superior; De 21 a 30 horas semanais;01/05/2016; Atividades de gestão (administrativo); ;4315602;Rio Grande do Sul;Região Sul;Rio Grande;2709,522;RS;191900;Grande;completo;31.08.2023;8/31/2023;41 a 50 anos;Nível Superior;Servidor Estatutário; ; ;Nível Superior; ; ; ; ;Psicólogo;Servidor Estatutário; ; ; ;1;2;4;0;2;0;0;1;4;0;0;3;7;Atividades de gestão (administrativo); ; ; ; ; ; ; ; ; ;1; ; ; ; ;1;3; ; ;2; ; ; ; ; 
53001097546;530010; Feminino; Especialização; Assistente Social; Servidor Estatutário; Técnico(a) de Nível Superior; De 31 a 40 horas semanais;28/10/2008; Serviço Especializado para Pessoas em Situação de Rua; Outros;5300108;Distrito Federal;Região Centro Oeste;Brasília;5779,997;DF;2817381;Metrópole;completo;31.08.2023;8/31/2023;41 a 50 anos;Nível Superior;Servidor Estatutário; ; ;Nível Superior; ;Assistente Social; ; ; ;Servidor Estatutário; ; ; ;4;19;20;1;2;0;0;3;25;1;0;17;43; ;Serviço Especializado para Pessoas em Situação de Rua; ; ; ; ; ; ; ;Outros; ;1; ; ;1;1;19; ; ;19; ;1; ;5;28
53001097546;530010; Masculino; Fundamental Completo; Sem formação profissional; Terceirizado; Outros; De 41 a 44 horas semanais;10/03/2020; ; ;5300108;Distrito Federal;Região Centro Oeste;Brasília;5779,997;DF;2817381;Metrópole;completo;31.08.2023;8/31/2023;51 a 60 anos;Nível fundamental;Outros vínculos não permanentes;Nível fundamental; ; ; ; ; ; ; ; ; ; ;Outros vínculos não permanentes;4;19;20;1;2;0;0;3;25;1;0;17;43; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;19; ; ;19; ;1; ;5;28
11002096408;110020; Masculino; Superior Incompleto; Profissional de nível médio; Servidor Estatutário; Educador(a) Social; De 31 a 40 horas semanais;07/05/2014; Serviço Especializado para Pessoas em Situação de Rua; Outros;1100205;Rondonia;Região Norte;Porto Velho;34090,962;RO;460434;Grande;completo;31.08.2023;8/31/2023;30 a 40 anos;Nível Médio;Servidor Estatutário; ;Nível Médio; ; ; ; ; ; ;Servidor Estatutário; ; ; ;1;7;8;0;1;0;0;1;15;0;1;0;16; ;Serviço Especializado para Pessoas em Situação de Rua; ; ; ; ; ; ; ;Outros; ;1; ; ;1;4;9;2; ; ; ;1; ; ;14
11002096408;110020; Feminino; Fundamental Completo; Sem formação profissional; Servidor Estatutário; Serviços Gerais; De 31 a 40 horas semanais;12/11/2004; ; ;1100205;Rondonia;Região Norte;Porto Velho;34090,962;RO;460434;Grande;completo;31.08.2023;8/31/2023;61 a 80 anos;Nível fundamental;Servidor Estatutário;Nível fundamental; ; ; ; ; ; ; ;Servidor Estatutário; ; ; ;1;7;8;0;1;0;0;1;15;0;1;0;16; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;4;9;2; ; ; ;1; ; ;14
11002096408;110020; Masculino; Superior Completo; Profissional de nível médio; Servidor Estatutário; Educador(a) Social; De 31 a 40 horas semanais;23/07/2012; Serviço Especializado para Pessoas em Situação de Rua; Outros;1100205;Rondonia;Região Norte;Porto Velho;34090,962;RO;460434;Grande;completo;31.08.2023;8/31/2023;61 a 80 anos;Nível Superior;Servidor Estatutário; ; ;Nível Superior; ; ; ; ; ;Servidor Estatutário; ; ; ;1;7;8;0;1;0;0;1;15;0;1;0;16; ;Serviço Especializado para Pessoas em Situação de Rua; ; ; ; ; ; ; ;Outros; ;1; ; ;1;4;9;2; ; ; ;1; ; ;14
11002096408;110020; Masculino; Superior Completo; Sem formação profissional; Comissionado; Outros; De 31 a 40 horas semanais;14/08/2023; Atividades de gestão (administrativo); Outros;1100205;Rondonia;Região Norte;Porto Velho;34090,962;RO;460434;Grande;completo;31.08.2023;8/31/2023;51 a 60 anos;Nível Superior;Comissionado; ; ;Nível Superior; ; ; ; ; ; ; ;Comissionado; ;1;7;8;0;1;0;0;1;15;0;1;0;16;Atividades de gestão (administrativo); ; ; ; ; ; ; ; ;Outros;1; ; ; ;1;4;9;2; ; ; ;1; ; ;14
11002096408;110020; Feminino; Superior Completo; Assistente Social; Servidor Estatutário; Técnico(a) de Nível Superior; De 31 a 40 horas semanais;09/01/2015; Serviço Especializado para Pessoas em Situação de Rua; Outros;1100205;Rondonia;Região Norte;Porto Velho;34090,962;RO;460434;Grande;completo;31.08.2023;8/31/2023;61 a 80 anos;Nível Superior;Servidor Estatutário; ; ;Nível Superior; ;Assistente Social; ; ; ;Servidor Estatutário; ; ; ;1;7;8;0;1;0;0;1;15;0;1;0;16; ;Serviço Especializado para Pessoas em Situação de Rua; ; ; ; ; ; ; ;Outros; ;1; ; ;1;4;9;2; ; ; ;1; ; ;14
11002096408;110020; Masculino; Médio Completo; Sem formação profissional; Servidor Estatutário; Outros; De 31 a 40 horas semanais;15/04/2010; Atividades de gestão (administrativo); Outros;1100205;Rondonia;Região Norte;Porto Velho;34090,962;RO;460434;Grande;completo;31.08.2023;8/31/2023;51 a 60 anos;Nível Médio;Servidor Estatutário; ;Nível Médio; ; ; ; ; ; ;Servidor Estatutário; ; ; ;1;7;8;0;1;0;0;1;15;0;1;0;16;Atividades de gestão (administrativo); ; ; ; ; ; ; ; ;Outros;1; ; ; ;1;4;9;2; ; ; ;1; ; ;14
11002096408;110020; Masculino; Médio Completo; Profissional de nível médio; Servidor Estatutário; Educador(a) Social; De 31 a 40 horas semanais;10/07/2012; Serviço Especializado para Pessoas em Situação de Rua; Outros;1100205;Rondonia;Região Norte;Porto Velho;34090,962;RO;460434;Grande;completo;31.08.2023;8/31/2023;51 a 60 anos;Nível Médio;Servidor Estatutário; ;Nível Médio; ; ; ; ; ; ;Servidor Estatutário; ; ; ;1;7;8;0;1;0;0;1;15;0;1;0;16; ;Serviço Especializado para Pessoas em Situação de Rua; ; ; ; ; ; ; ;Outros; ;1; ; ;1;4;9;2; ; ; ;1; ; ;14
11002096408;110020; Feminino; Superior Completo; Profissional de nível médio; Servidor Estatutário; Apoio Administrativo; De 31 a 40 horas semanais;08/01/2014; Atividades de gestão (administrativo); Outros;1100205;Rondonia;Região Norte;Porto Velho;34090,962;RO;460434;Grande;completo;31.08.2023;8/31/2023;41 a 50 anos;Nível Superior;Servidor Estatutário; ; ;Nível Superior; ; ; ; ; ;Servidor Estatutário; ; ; ;1;7;8;0;1;0;0;1;15;0;1;0;16;Atividades de gestão (administrativo); ; ; ; ; ; ; ; ;Outros;1; ; ; ;1;4;9;2; ; ; ;1; ; ;14
11002096408;110020; Feminino; Superior Incompleto; Profissional de nível médio; Servidor Estatutário; Educador(a) Social; De 31 a 40 horas semanais;01/03/1999; Serviço Especializado para Pessoas em Situação de Rua; Outros;1100205;Rondonia;Região Norte;Porto Velho;34090,962;RO;460434;Grande;completo;31.08.2023;8/31/2023;51 a 60 anos;Nível Médio;Servidor Estatutário; ;Nível Médio; ; ; ; ; ; ;Servidor Estatutário; ; ; ;1;7;8;0;1;0;0;1;15;0;1;0;16; ;Serviço Especializado para Pessoas em Situação de Rua; ; ; ; ; ; ; ;Outros; ;1; ; ;1;4;9;2; ; ; ;1; ; ;14
11002096408;110020; Masculino; Médio Completo; Profissional de nível médio; Servidor Estatutário; Educador(a) Social; De 31 a 40 horas semanais;18/03/2010; Serviço Especializado para Pessoas em Situação de Rua; Outros;1100205;Rondonia;Região Norte;Porto Velho;34090,962;RO;460434;Grande;completo;31.08.2023;8/31/2023;41 a 50 anos;Nível Médio;Servidor Estatutário; ;Nível Médio; ; ; ; ; ; ;Servidor Estatutário; ; ; ;1;7;8;0;1;0;0;1;15;0;1;0;16; ;Serviço Especializado para Pessoas em Situação de Rua; ; ; ; ; ; ; ;Outros; ;1; ; ;1;4;9;2; ; ; ;1; ; ;14
11002096408;110020; Feminino; Médio Completo; Sem formação profissional; Servidor Estatutário; Educador(a) Social; De 31 a 40 horas semanais;27/07/2016; Serviço de Abordagem Social; Outros;1100205;Rondonia;Região Norte;Porto Velho;34090,962;RO;460434;Grande;completo;31.08.2023;8/31/2023;41 a 50 anos;Nível Médio;Servidor Estatutário; ;Nível Médio; ; ; ; ; ; ;Servidor Estatutário; ; ; ;1;7;8;0;1;0;0;1;15;0;1;0;16; ; ;Serviço de Abordagem Social; ; ; ; ; ; ;Outros; ; ;1; ;1;4;9;2; ; ; ;1; ; ;14
11002096408;110020; Masculino; Superior Completo; Psicóloga(o); Servidor Estatutário; Técnico(a) de Nível Superior; De 31 a 40 horas semanais;20/08/2012; Serviço de Abordagem Social; Serviço Especializado para Pessoas em Situação de Rua;1100205;Rondonia;Região Norte;Porto Velho;34090,962;RO;460434;Grande;completo;31.08.2023;8/31/2023;30 a 40 anos;Nível Superior;Servidor Estatutário; ; ;Nível Superior; ; ; ; ;Psicólogo;Servidor Estatutário; ; ; ;1;7;8;0;1;0;0;1;15;0;1;0;16; ; ;Serviço de Abordagem Social; ; ; ;Serviço Especializado para Pessoas em Situação de Rua; ; ; ; ;1;1; ; ;4;9;2; ; ; ;1; ; ;14
11002096408;110020; Feminino; Superior Completo; Profissional de nível médio; Servidor Estatutário; Educador(a) Social; De 31 a 40 horas semanais;16/11/2011; Serviço Especializado para Pessoas em Situação de Rua; Outros;1100205;Rondonia;Região Norte;Porto Velho;34090,962;RO;460434;Grande;completo;31.08.2023;8/31/2023;30 a 40 anos;Nível Superior;Servidor Estatutário; ; ;Nível Superior; ; ; ; ; ;Servidor Estatutário; ; ; ;1;7;8;0;1;0;0;1;15;0;1;0;16; ;Serviço Especializado para Pessoas em Situação de Rua; ; ; ; ; ; ; ;Outros; ;1; ; ;1;4;9;2; ; ; ;1; ; ;14
11002096408;110020; Feminino; Superior Completo; Outra(o) profissional de nível superior; Servidor Estatutário; Educador(a) Social; De 31 a 40 horas semanais;14/06/2010; Serviço Especializado para Pessoas em Situação de Rua; Outros;1100205;Rondonia;Região Norte;Porto Velho;34090,962;RO;460434;Grande;completo;31.08.2023;8/31/2023;41 a 50 anos;Nível Superior;Servidor Estatutário; ; ;Nível Superior; ; ; ; ; ;Servidor Estatutário; ; ; ;1;7;8;0;1;0;0;1;15;0;1;0;16; ;Serviço Especializado para Pessoas em Situação de Rua; ; ; ; ; ; ; ;Outros; ;1; ; ;1;4;9;2; ; ; ;1; ; ;14
11002096408;110020; Feminino; Superior Completo; Profissional de nível médio; Servidor Estatutário; Coordenador(a); De 41 a 44 horas semanais;20/08/2012; Atividades de gestão (administrativo); Outros;1100205;Rondonia;Região Norte;Porto Velho;34090,962;RO;460434;Grande;completo;31.08.2023;8/31/2023;30 a 40 anos;Nível Superior;Servidor Estatutário; ; ;Nível Superior; ; ; ; ; ;Servidor Estatutário; ; ; ;1;7;8;0;1;0;0;1;15;0;1;0;16;Atividades de gestão (administrativo); ; ; ; ; ; ; ; ;Outros;1; ; ; ;1;4;9;2; ; ; ;1; ; ;14
11002096408;110020; Feminino; Médio Completo; Profissional de nível médio; Servidor Estatutário; Educador(a) Social; De 31 a 40 horas semanais;21/05/2012; Serviço Especializado para Pessoas em Situação de Rua; Outros;1100205;Rondonia;Região Norte;Porto Velho;34090,962;RO;460434;Grande;completo;31.08.2023;8/31/2023;30 a 40 anos;Nível Médio;Servidor Estatutário; ;Nível Médio; ; ; ; ; ; ;Servidor Estatutário; ; ; ;1;7;8;0;1;0;0;1;15;0;1;0;16; ;Serviço Especializado para Pessoas em Situação de Rua; ; ; ; ; ; ; ;Outros; ;1; ; ;1;4;9;2; ; ; ;1; ; ;14
12004097308;120040; Feminino; Superior Completo; Psicóloga(o); Servidor Temporário; Técnico(a) de Nível Superior; De 21 a 30 horas semanais;18/06/2021; Serviço de Abordagem Social; ;1200401;Acre;Região Norte;Rio Branco;8834,942;AC;364756;Grande;completo;31.08.2023;8/31/2023;30 a 40 anos;Nível Superior;Outros vínculos não permanentes; ; ;Nível Superior; ; ; ; ;Psicólogo; ; ; ;Outros vínculos não permanentes;3;11;14;1;8;0;0;1;0;0;1;27;28; ; ;Serviço de Abordagem Social; ; ; ; ; ; ; ; ; ;1; ; ;3;6;7;1;8; ; ; ; ; 
12004097308;120040; Feminino; Superior Completo; Assistente Social; Servidor Temporário; Educador(a) Social; De 31 a 40 horas semanais;01/06/2022; Serviço Especializado para Pessoas em Situação de Rua; ;1200401;Acre;Região Norte;Rio Branco;8834,942;AC;364756;Grande;completo;31.08.2023;8/31/2023;30 a 40 anos;Nível Superior;Outros vínculos não permanentes; ; ;Nível Superior; ;Assistente Social; ; ; ; ; ; ;Outros vínculos não permanentes;3;11;14;1;8;0;0;1;0;0;1;27;28; ;Serviço Especializado para Pessoas em Situação de Rua; ; ; ; ; ; ; ; ; ;1; ; ; ;3;6;7;1;8; ; ; ; ; 
12004097308;120040; Masculino; Superior Completo; Assistente Social; Servidor Temporário; Técnico(a) de Nível Superior; De 21 a 30 horas semanais;01/06/2022; Serviço de Abordagem Social; ;1200401;Acre;Região Norte;Rio Branco;8834,942;AC;364756;Grande;completo;31.08.2023;8/31/2023;16 a 29 anos;Nível Superior;Outros vínculos não permanentes; ; ;Nível Superior; ;Assistente Social; ; ; ; ; ; ;Outros vínculos não permanentes;3;11;14;1;8;0;0;1;0;0;1;27;28; ; ;Serviço de Abordagem Social; ; ; ; ; ; ; ; ; ;1; ; ;3;6;7;1;8; ; ; ; ; 
12004097308;120040; Feminino; Superior Incompleto; Profissional de nível médio; Terceirizado; Educador(a) Social; De 31 a 40 horas semanais;19/01/2021; Serviço Especializado para Pessoas em Situação de Rua; ;1200401;Acre;Região Norte;Rio Branco;8834,942;AC;364756;Grande;completo;31.08.2023;8/31/2023;30 a 40 anos;Nível Médio;Outros vínculos não permanentes; ;Nível Médio; ; ; ; ; ; ; ; ; ;Outros vínculos não permanentes;3;11;14;1;8;0;0;1;0;0;1;27;28; ;Serviço Especializado para Pessoas em Situação de Rua; ; ; ; ; ; ; ; ; ;1; ; ; ;3;6;7;1;8; ; ; ; ; 
12004097308;120040; Masculino; Superior Completo; Enfermeira(o); Servidor Temporário; Serviços Gerais; De 31 a 40 horas semanais;01/06/2022; Outros; ;1200401;Acre;Região Norte;Rio Branco;8834,942;AC;364756;Grande;completo;31.08.2023;8/31/2023;16 a 29 anos;Nível Superior;Outros vínculos não permanentes; ; ;Nível Superior; ; ; ; ; ; ; ; ;Outros vínculos não permanentes;3;11;14;1;8;0;0;1;0;0;1;27;28; ; ; ; ;Outros; ; ; ; ; ; ; ; ; ;1;3;6;7;1;8; ; ; ; ; 
12004097308;120040; Feminino; Superior Completo; Outra(o) profissional de nível superior; Servidor Temporário; Educador(a) Social; De 31 a 40 horas semanais;18/08/2023; Serviço de Abordagem Social; ;1200401;Acre;Região Norte;Rio Branco;8834,942;AC;364756;Grande;completo;31.08.2023;8/31/2023;16 a 29 anos;Nível Superior;Outros vínculos não permanentes; ; ;Nível Superior; ; ; ; ; ; ; ; ;Outros vínculos não permanentes;3;11;14;1;8;0;0;1;0;0;1;27;28; ; ;Serviço de Abordagem Social; ; ; ; ; ; ; ; ; ;1; ; ;3;6;7;1;8; ; ; ; ; 
12004097308;120040; Masculino; Médio Completo; Profissional de nível médio; Terceirizado;Técnico(a) de Nível Médio; De 41 a 44 horas semanais;14/08/2023; Outros; ;1200401;Acre;Região Norte;Rio Branco;8834,942;AC;364756;Grande;completo;31.08.2023;8/31/2023;16 a 29 anos;Nível Médio;Outros vínculos não permanentes; ;Nível Médio; ; ; ; ; ; ; ; ; ;Outros vínculos não permanentes;3;11;14;1;8;0;0;1;0;0;1;27;28; ; ; ; ;Outros; ; ; ; ; ; ; ; ; ;1;3;6;7;1;8; ; ; ; ; 
12004097308;120040; Feminino; Médio Completo; Profissional de nível médio; Servidor Temporário; Serviços Gerais; De 31 a 40 horas semanais;18/08/2023; Outros; ;1200401;Acre;Região Norte;Rio Branco;8834,942;AC;364756;Grande;completo;31.08.2023;8/31/2023;16 a 29 anos;Nível Médio;Outros vínculos não permanentes; ;Nível Médio; ; ; ; ; ; ; ; ; ;Outros vínculos não permanentes;3;11;14;1;8;0;0;1;0;0;1;27;28; ; ; ; ;Outros; ; ; ; ; ; ; ; ; ;1;3;6;7;1;8; ; ; ; ; 
12004097308;120040; Masculino; Médio Completo; Profissional de nível médio; Terceirizado; Apoio Administrativo; De 31 a 40 horas semanais;02/05/2022; Atividades de gestão (administrativo); ;1200401;Acre;Região Norte;Rio Branco;8834,942;AC;364756;Grande;completo;31.08.2023;8/31/2023;16 a 29 anos;Nível Médio;Outros vínculos não permanentes; ;Nível Médio; ; ; ; ; ; ; ; ; ;Outros vínculos não permanentes;3;11;14;1;8;0;0;1;0;0;1;27;28;Atividades de gestão (administrativo); ; ; ; ; ; ; ; ; ;1; ; ; ; ;3;6;7;1;8; ; ; ; ; 
12004097308;120040; Feminino; Especialização; Assistente Social; Servidor Temporário; Técnico(a) de Nível Superior; De 31 a 40 horas semanais;14/08/2023; Serviço de Abordagem Social; ;1200401;Acre;Região Norte;Rio Branco;8834,942;AC;364756;Grande;completo;31.08.2023;8/31/2023;51 a 60 anos;Nível Superior;Outros vínculos não permanentes; ; ;Nível Superior; ;Assistente Social; ; ; ; ; ; ;Outros vínculos não permanentes;3;11;14;1;8;0;0;1;0;0;1;27;28; ; ;Serviço de Abordagem Social; ; ; ; ; ; ; ; ; ;1; ; ;3;6;7;1;8; ; ; ; ; 
12004097308;120040; Feminino; Superior Completo; Assistente Social; Terceirizado; Educador(a) Social; De 31 a 40 horas semanais;19/01/2021; Serviço de Abordagem Social; ;1200401;Acre;Região Norte;Rio Branco;8834,942;AC;364756;Grande;completo;31.08.2023;8/31/2023;51 a 60 anos;Nível Superior;Outros vínculos não permanentes; ; ;Nível Superior; ;Assistente Social; ; ; ; ; ; ;Outros vínculos não permanentes;3;11;14;1;8;0;0;1;0;0;1;27;28; ; ;Serviço de Abordagem Social; ; ; ; ; ; ; ; ; ;1; ; ;3;6;7;1;8; ; ; ; ; 
12004097308;120040; Masculino; Médio Completo; Profissional de nível médio; Servidor Temporário; Outros; De 31 a 40 horas semanais;18/08/2023; Outros; ;1200401;Acre;Região Norte;Rio Branco;8834,942;AC;364756;Grande;completo;31.08.2023;8/31/2023;51 a 60 anos;Nível Médio;Outros vínculos não permanentes; ;Nível Médio; ; ; ; ; ; ; ; ; ;Outros vínculos não permanentes;3;11;14;1;8;0;0;1;0;0;1;27;28; ; ; ; ;Outros; ; ; ; ; ; ; ; ; ;1;3;6;7;1;8; ; ; ; ; 
