IBGE;NU_IDENTIFICADOR;q37_3;q37_9;q37_10;q37_11;q37_12;q37_13;IBGE7;UF;Regiao;Município;Pop_total_2010;Pop_Urbana2010;Pop_Rural2010;Porte_pop2010;areaKm2;Q_incompleto;Estadual;DataCenso;DataCenso_2022;d_30_2_Faixas_etarias;d37_9;d37_11;d37_9bin1;d37_9bin2;d37_9bin3;d37_10bin1;d37_10bin2;d37_10bin3;d37_10bin4;d37_10bin5;d37_11bin1;d37_11bin2;d37_11bin3;d37_11bin4;d37_9bin1_sum;d37_9bin2_sum;d37_9bin3_sum;d37_10bin1_sum;d37_10bin2_sum;d37_10bin3_sum;d37_10bin4_sum;d37_10bin5_sum;d37_11bin1_sum;d37_11bin2_sum;d37_11bin3_sum;d37_11bin4_sum;nu_familias_acolhedoras;filter_$
530010;5300103310442; Feminino; Superior Completo; Outra formação de nível superior; Voluntária(o); Família Acolhedora;01/01/2020;5300108;Distrito Federal;Região Centro Oeste;Brasília;2570160;2482210;87950;Metrópole;5779,997;completo;Municipal;31.08.2022;8/31/2022; ;2;Outros vínculos não permanentes; ; ;Nível Superior; ; ; ; ; ; ; ; ;Outros vínculos não permanentes;1;4;27; ; ; ;1;3; ; ; ;32;32;Selected
530010;5300103310442; Feminino; Fundamental Completo; Sem formação profissional; Sem Vínculo; Família Acolhedora;01/01/2020;5300108;Distrito Federal;Região Centro Oeste;Brasília;2570160;2482210;87950;Metrópole;5779,997;completo;Municipal;31.08.2022;8/31/2022;51 a 60 anos;0;Outros vínculos não permanentes;Nível fundamental; ; ; ; ; ; ; ; ; ; ;Outros vínculos não permanentes;1;4;27; ; ; ;1;3; ; ; ;32;32;Selected
110020;1100203309440; Feminino; Superior Completo; Outra formação de nível superior; Voluntária(o); Família Acolhedora;13/07/2021;1100205;Rondonia;Região Norte;Porto Velho;428527;390733;37794;Grande;34090,962;completo;Municipal;31.08.2022;8/31/2022;30 a 40 anos;2;Outros vínculos não permanentes; ; ;Nível Superior; ; ; ; ; ; ; ; ;Outros vínculos não permanentes;2;1;9;2; ; ;1;1; ; ; ;12;12;Selected
110020;1100203309440; Feminino; Superior Completo; Outra formação de nível superior; Voluntária(o); Família Acolhedora;12/07/2022;1100205;Rondonia;Região Norte;Porto Velho;428527;390733;37794;Grande;34090,962;completo;Municipal;31.08.2022;8/31/2022;16 a 29 anos;2;Outros vínculos não permanentes; ; ;Nível Superior; ; ; ; ; ; ; ; ;Outros vínculos não permanentes;2;1;9;2; ; ;1;1; ; ; ;12;12;Selected
110020;1100203309440; Feminino; Fundamental Incompleto; Sem formação profissional; Voluntária(o); Família Acolhedora;13/09/2022;1100205;Rondonia;Região Norte;Porto Velho;428527;390733;37794;Grande;34090,962;completo;Municipal;31.08.2022;8/31/2022;61 a 80 anos;0;Outros vínculos não permanentes;Nível fundamental; ; ; ; ; ; ; ; ; ; ;Outros vínculos não permanentes;2;1;9;2; ; ;1;1; ; ; ;12;12;Selected
110020;1100203309440; Feminino; Superior Completo; Pedagoga(o); Voluntária(o); Família Acolhedora;05/08/2021;1100205;Rondonia;Região Norte;Porto Velho;428527;390733;37794;Grande;34090,962;completo;Municipal;31.08.2022;8/31/2022;41 a 50 anos;2;Outros vínculos não permanentes; ; ;Nível Superior;Pedagogo; ; ; ; ; ; ; ;Outros vínculos não permanentes;2;1;9;2; ; ;1;1; ; ; ;12;12;Selected
110020;1100203309440; Feminino; Superior Completo; Pedagoga(o); Voluntária(o); Família Acolhedora;02/06/2021;1100205;Rondonia;Região Norte;Porto Velho;428527;390733;37794;Grande;34090,962;completo;Municipal;31.08.2022;8/31/2022;41 a 50 anos;2;Outros vínculos não permanentes; ; ;Nível Superior;Pedagogo; ; ; ; ; ; ; ;Outros vínculos não permanentes;2;1;9;2; ; ;1;1; ; ; ;12;12;Selected
110020;1100203309440; Feminino; Superior Completo; Outra formação de nível superior; Voluntária(o); Família Acolhedora;11/08/2022;1100205;Rondonia;Região Norte;Porto Velho;428527;390733;37794;Grande;34090,962;completo;Municipal;31.08.2022;8/31/2022;30 a 40 anos;2;Outros vínculos não permanentes; ; ;Nível Superior; ; ; ; ; ; ; ; ;Outros vínculos não permanentes;2;1;9;2; ; ;1;1; ; ; ;12;12;Selected
110020;1100203309440; Feminino; Superior Completo; Outra formação de nível superior; Voluntária(o); Família Acolhedora;05/08/2021;1100205;Rondonia;Região Norte;Porto Velho;428527;390733;37794;Grande;34090,962;completo;Municipal;31.08.2022;8/31/2022;30 a 40 anos;2;Outros vínculos não permanentes; ; ;Nível Superior; ; ; ; ; ; ; ; ;Outros vínculos não permanentes;2;1;9;2; ; ;1;1; ; ; ;12;12;Selected
110020;1100203309440; Feminino; Superior Completo; Outra formação de nível superior; Voluntária(o); Família Acolhedora;11/07/2022;1100205;Rondonia;Região Norte;Porto Velho;428527;390733;37794;Grande;34090,962;completo;Municipal;31.08.2022;8/31/2022;30 a 40 anos;2;Outros vínculos não permanentes; ; ;Nível Superior; ; ; ; ; ; ; ; ;Outros vínculos não permanentes;2;1;9;2; ; ;1;1; ; ; ;12;12;Selected
110020;1100203309440; Feminino; Superior Completo; Advogada(o); Voluntária(o); Família Acolhedora;15/07/2022;1100205;Rondonia;Região Norte;Porto Velho;428527;390733;37794;Grande;34090,962;completo;Municipal;31.08.2022;8/31/2022;30 a 40 anos;2;Outros vínculos não permanentes; ; ;Nível Superior; ; ; ;Advogado; ; ; ; ;Outros vínculos não permanentes;2;1;9;2; ; ;1;1; ; ; ;12;12;Selected
110020;1100203309440; Feminino; Superior Completo; Psicóloga(o); Voluntária(o); Família Acolhedora;11/05/2020;1100205;Rondonia;Região Norte;Porto Velho;428527;390733;37794;Grande;34090,962;completo;Municipal;31.08.2022;8/31/2022;30 a 40 anos;2;Outros vínculos não permanentes; ; ;Nível Superior; ; ; ; ;Psicólogo; ; ; ;Outros vínculos não permanentes;2;1;9;2; ; ;1;1; ; ; ;12;12;Selected
110020;1100203309440; Masculino; Fundamental Incompleto; Sem formação profissional; Voluntária(o); Família Acolhedora;20/09/2018;1100205;Rondonia;Região Norte;Porto Velho;428527;390733;37794;Grande;34090,962;completo;Municipal;31.08.2022;8/31/2022;30 a 40 anos;0;Outros vínculos não permanentes;Nível fundamental; ; ; ; ; ; ; ; ; ; ;Outros vínculos não permanentes;2;1;9;2; ; ;1;1; ; ; ;12;12;Selected
110020;1100203309440; Feminino; Médio Completo; Sem formação profissional; Sem Vínculo; Família Acolhedora;20/09/2018;1100205;Rondonia;Região Norte;Porto Velho;428527;390733;37794;Grande;34090,962;completo;Municipal;31.08.2022;8/31/2022;30 a 40 anos;Nível Médio;Outros vínculos não permanentes; ;1; ; ; ; ; ; ; ; ; ;Outros vínculos não permanentes;2;1;9;2; ; ;1;1; ; ; ;12;12;Selected
120040;1200403306082; Feminino; Médio Completo; Sem formação profissional; Sem Vínculo; Família Acolhedora;30/06/2022;1200401;Acre;Região Norte;Rio Branco;336038;308545;27493;Grande;8834,942;completo;Municipal;31.08.2022;8/31/2022;30 a 40 anos;Nível Médio;Outros vínculos não permanentes; ;1; ; ; ; ; ; ; ; ; ;Outros vínculos não permanentes;1;3;2; ; ; ; ; ; ; ; ;6;6;Selected
120040;1200403306082; Feminino; Superior Incompleto; Sem formação profissional; Sem Vínculo; Família Acolhedora;05/08/2021;1200401;Acre;Região Norte;Rio Branco;336038;308545;27493;Grande;8834,942;completo;Municipal;31.08.2022;8/31/2022;16 a 29 anos;Nível Médio;Outros vínculos não permanentes; ;1; ; ; ; ; ; ; ; ; ;Outros vínculos não permanentes;1;3;2; ; ; ; ; ; ; ; ;6;6;Selected
120040;1200403306082; Masculino; Superior Completo; Outra formação de nível superior; Sem Vínculo; Família Acolhedora;25/06/2015;1200401;Acre;Região Norte;Rio Branco;336038;308545;27493;Grande;8834,942;completo;Municipal;31.08.2022;8/31/2022;41 a 50 anos;2;Outros vínculos não permanentes; ; ;Nível Superior; ; ; ; ; ; ; ; ;Outros vínculos não permanentes;1;3;2; ; ; ; ; ; ; ; ;6;6;Selected
120040;1200403306082; Feminino; Superior Completo; Profissional de nível médio; Sem Vínculo; Família Acolhedora;30/01/2015;1200401;Acre;Região Norte;Rio Branco;336038;308545;27493;Grande;8834,942;completo;Municipal;31.08.2022;8/31/2022;41 a 50 anos;2;Outros vínculos não permanentes; ; ;Nível Superior; ; ; ; ; ; ; ; ;Outros vínculos não permanentes;1;3;2; ; ; ; ; ; ; ; ;6;6;Selected
120040;1200403306082; Feminino; Fundamental Incompleto; Sem formação profissional; Sem Vínculo; Família Acolhedora;24/06/2021;1200401;Acre;Região Norte;Rio Branco;336038;308545;27493;Grande;8834,942;completo;Municipal;31.08.2022;8/31/2022;51 a 60 anos;0;Outros vínculos não permanentes;Nível fundamental; ; ; ; ; ; ; ; ; ; ;Outros vínculos não permanentes;1;3;2; ; ; ; ; ; ; ; ;6;6;Selected
120040;1200403306082; Feminino; Médio Completo; Sem formação profissional; Sem Vínculo; Família Acolhedora;21/07/2022;1200401;Acre;Região Norte;Rio Branco;336038;308545;27493;Grande;8834,942;completo;Municipal;31.08.2022;8/31/2022;41 a 50 anos;Nível Médio;Outros vínculos não permanentes; ;1; ; ; ; ; ; ; ; ; ;Outros vínculos não permanentes;1;3;2; ; ; ; ; ; ; ; ;6;6;Selected
130260;1302603310450; Feminino; Superior Completo; Enfermeira(o); Sem Vínculo; Família Acolhedora;12/08/2022;1302603;Amazonas;Região Norte;Manaus;1802014;1792881;9133;Metrópole;11401,092;completo;Municipal;31.08.2022;8/31/2022;16 a 29 anos;2;Outros vínculos não permanentes; ; ;Nível Superior; ; ; ; ; ; ; ; ;Outros vínculos não permanentes; ;5;5;1; ; ;1; ; ; ; ;10;10;Selected
130260;1302603310450; Feminino; Médio Completo; Profissional de nível médio; Sem Vínculo; Família Acolhedora;01/08/2022;1302603;Amazonas;Região Norte;Manaus;1802014;1792881;9133;Metrópole;11401,092;completo;Municipal;31.08.2022;8/31/2022;30 a 40 anos;Nível Médio;Outros vínculos não permanentes; ;1; ; ; ; ; ; ; ; ; ;Outros vínculos não permanentes; ;5;5;1; ; ;1; ; ; ; ;10;10;Selected
130260;1302603310450; Feminino; Médio Completo; Profissional de nível médio; Sem Vínculo; Família Acolhedora;08/07/2022;1302603;Amazonas;Região Norte;Manaus;1802014;1792881;9133;Metrópole;11401,092;completo;Municipal;31.08.2022;8/31/2022;51 a 60 anos;Nível Médio;Outros vínculos não permanentes; ;1; ; ; ; ; ; ; ; ; ;Outros vínculos não permanentes; ;5;5;1; ; ;1; ; ; ; ;10;10;Selected
130260;1302603310450; Feminino; Médio Completo; Profissional de nível médio; Sem Vínculo; Família Acolhedora;09/11/2020;1302603;Amazonas;Região Norte;Manaus;1802014;1792881;9133;Metrópole;11401,092;completo;Municipal;31.08.2022;8/31/2022;51 a 60 anos;Nível Médio;Outros vínculos não permanentes; ;1; ; ; ; ; ; ; ; ; ;Outros vínculos não permanentes; ;5;5;1; ; ;1; ; ; ; ;10;10;Selected
130260;1302603310450; Feminino; Superior Completo; Outra formação de nível superior; Sem Vínculo; Família Acolhedora;19/09/2022;1302603;Amazonas;Região Norte;Manaus;1802014;1792881;9133;Metrópole;11401,092;completo;Municipal;31.08.2022;8/31/2022;41 a 50 anos;2;Outros vínculos não permanentes; ; ;Nível Superior; ; ; ; ; ; ; ; ;Outros vínculos não permanentes; ;5;5;1; ; ;1; ; ; ; ;10;10;Selected
130260;1302603310450; Feminino; Superior Completo; Pedagoga(o); Sem Vínculo; Família Acolhedora;02/08/2022;1302603;Amazonas;Região Norte;Manaus;1802014;1792881;9133;Metrópole;11401,092;completo;Municipal;31.08.2022;8/31/2022;51 a 60 anos;2;Outros vínculos não permanentes; ; ;Nível Superior;Pedagogo; ; ; ; ; ; ; ;Outros vínculos não permanentes; ;5;5;1; ; ;1; ; ; ; ;10;10;Selected
130260;1302603310450; Feminino; Superior Completo; Outra formação de nível superior; Sem Vínculo; Família Acolhedora;01/08/2022;1302603;Amazonas;Região Norte;Manaus;1802014;1792881;9133;Metrópole;11401,092;completo;Municipal;31.08.2022;8/31/2022;41 a 50 anos;2;Outros vínculos não permanentes; ; ;Nível Superior; ; ; ; ; ; ; ; ;Outros vínculos não permanentes; ;5;5;1; ; ;1; ; ; ; ;10;10;Selected
130260;1302603310450; Feminino; Médio Completo; Profissional de nível médio; Sem Vínculo; Família Acolhedora;19/12/2020;1302603;Amazonas;Região Norte;Manaus;1802014;1792881;9133;Metrópole;11401,092;completo;Municipal;31.08.2022;8/31/2022;41 a 50 anos;Nível Médio;Outros vínculos não permanentes; ;1; ; ; ; ; ; ; ; ; ;Outros vínculos não permanentes; ;5;5;1; ; ;1; ; ; ; ;10;10;Selected
130260;1302603310450; Feminino; Superior Completo; Advogada(o); Sem Vínculo; Família Acolhedora;05/07/2022;1302603;Amazonas;Região Norte;Manaus;1802014;1792881;9133;Metrópole;11401,092;completo;Municipal;31.08.2022;8/31/2022;30 a 40 anos;2;Outros vínculos não permanentes; ; ;Nível Superior; ; ; ;Advogado; ; ; ; ;Outros vínculos não permanentes; ;5;5;1; ; ;1; ; ; ; ;10;10;Selected
130260;1302603310450; Feminino; Médio Completo; Profissional de nível médio; Sem Vínculo; Família Acolhedora;11/11/2020;1302603;Amazonas;Região Norte;Manaus;1802014;1792881;9133;Metrópole;11401,092;completo;Municipal;31.08.2022;8/31/2022;30 a 40 anos;Nível Médio;Outros vínculos não permanentes; ;1; ; ; ; ; ; ; ; ; ;Outros vínculos não permanentes; ;5;5;1; ; ;1; ; ; ; ;10;10;Selected
130260;1302603313727; Feminino; Médio Completo; Profissional de nível médio; Sem Vínculo; Família Acolhedora;01/06/2022;1302603;Amazonas;Região Norte;Manaus;1802014;1792881;9133;Metrópole;11401,092;completo;Municipal;31.08.2022;8/31/2022;30 a 40 anos;Nível Médio;Outros vínculos não permanentes; ;1; ; ; ; ; ; ; ; ; ;Outros vínculos não permanentes; ;6; ; ; ; ; ; ; ; ; ;6;6;Selected
130260;1302603313727; Feminino; Superior Incompleto; Profissional de nível médio; Sem Vínculo; Família Acolhedora;01/08/2022;1302603;Amazonas;Região Norte;Manaus;1802014;1792881;9133;Metrópole;11401,092;completo;Municipal;31.08.2022;8/31/2022;30 a 40 anos;Nível Médio;Outros vínculos não permanentes; ;1; ; ; ; ; ; ; ; ; ;Outros vínculos não permanentes; ;6; ; ; ; ; ; ; ; ; ;6;6;Selected
130260;1302603313727; Feminino; Médio Completo; Profissional de nível médio; Sem Vínculo; Família Acolhedora;01/08/2022;1302603;Amazonas;Região Norte;Manaus;1802014;1792881;9133;Metrópole;11401,092;completo;Municipal;31.08.2022;8/31/2022;41 a 50 anos;Nível Médio;Outros vínculos não permanentes; ;1; ; ; ; ; ; ; ; ; ;Outros vínculos não permanentes; ;6; ; ; ; ; ; ; ; ; ;6;6;Selected
130260;1302603313727; Feminino; Médio Completo; Profissional de nível médio; Sem Vínculo; Família Acolhedora;01/06/2022;1302603;Amazonas;Região Norte;Manaus;1802014;1792881;9133;Metrópole;11401,092;completo;Municipal;31.08.2022;8/31/2022;41 a 50 anos;Nível Médio;Outros vínculos não permanentes; ;1; ; ; ; ; ; ; ; ; ;Outros vínculos não permanentes; ;6; ; ; ; ; ; ; ; ; ;6;6;Selected
130260;1302603313727; Feminino; Superior Incompleto; Profissional de nível médio; Sem Vínculo; Família Acolhedora;01/06/2022;1302603;Amazonas;Região Norte;Manaus;1802014;1792881;9133;Metrópole;11401,092;completo;Municipal;31.08.2022;8/31/2022;30 a 40 anos;Nível Médio;Outros vínculos não permanentes; ;1; ; ; ; ; ; ; ; ; ;Outros vínculos não permanentes; ;6; ; ; ; ; ; ; ; ; ;6;6;Selected
130260;1302603313727; Feminino; Médio Completo; Profissional de nível médio; Sem Vínculo; Família Acolhedora;01/06/2022;1302603;Amazonas;Região Norte;Manaus;1802014;1792881;9133;Metrópole;11401,092;completo;Municipal;31.08.2022;8/31/2022;41 a 50 anos;Nível Médio;Outros vínculos não permanentes; ;1; ; ; ; ; ; ; ; ; ;Outros vínculos não permanentes; ;6; ; ; ; ; ; ; ; ; ;6;6;Selected
130340;1303403309096; Feminino; Médio Completo; Profissional de nível médio; Sem Vínculo; Família Acolhedora;03/01/2022;1303403;Amazonas;Região Norte;Parintins;102033;69890;32143;Grande;5956,373;completo;Municipal;31.08.2022;8/31/2022;41 a 50 anos;Nível Médio;Outros vínculos não permanentes; ;1; ; ; ; ; ; ; ; ; ;Outros vínculos não permanentes; ;2; ; ; ; ; ; ; ; ; ;2;2;Selected
130340;1303403309096; Feminino; Superior Incompleto; Profissional de nível médio; Sem Vínculo; Família Acolhedora;03/01/2022;1303403;Amazonas;Região Norte;Parintins;102033;69890;32143;Grande;5956,373;completo;Municipal;31.08.2022;8/31/2022;41 a 50 anos;Nível Médio;Outros vínculos não permanentes; ;1; ; ; ; ; ; ; ; ; ;Outros vínculos não permanentes; ;2; ; ; ; ; ; ; ; ; ;2;2;Selected
150157;1501573311598; Feminino; Médio Incompleto; Sem formação profissional; Sem Vínculo; Família Acolhedora;15/07/2021;1501576;Pará;Região Norte;Bom Jesus do Tocantins;15298;8158;7140;Pequeno I;2816,616;completo;Municipal;31.08.2022;8/31/2022;41 a 50 anos;0;Outros vínculos não permanentes;Nível fundamental; ; ; ; ; ; ; ; ; ; ;Outros vínculos não permanentes;3;1; ; ; ; ; ; ; ; ; ;4;4;Selected
150157;1501573311598; Feminino; Fundamental Completo; Sem formação profissional; Sem Vínculo; Família Acolhedora;15/07/2021;1501576;Pará;Região Norte;Bom Jesus do Tocantins;15298;8158;7140;Pequeno I;2816,616;completo;Municipal;31.08.2022;8/31/2022;41 a 50 anos;0;Outros vínculos não permanentes;Nível fundamental; ; ; ; ; ; ; ; ; ; ;Outros vínculos não permanentes;3;1; ; ; ; ; ; ; ; ; ;4;4;Selected
150157;1501573311598; Feminino; Fundamental Incompleto; Sem formação profissional; Outro vínculo não permanente; Família Acolhedora;28/07/2017;1501576;Pará;Região Norte;Bom Jesus do Tocantins;15298;8158;7140;Pequeno I;2816,616;completo;Municipal;31.08.2022;8/31/2022;41 a 50 anos;0;Outros vínculos não permanentes;Nível fundamental; ; ; ; ; ; ; ; ; ; ;Outros vínculos não permanentes;3;1; ; ; ; ; ; ; ; ; ;4;4;Selected
150157;1501573311598; Feminino; Médio Completo; Profissional de nível médio; Sem Vínculo; Família Acolhedora;15/07/2021;1501576;Pará;Região Norte;Bom Jesus do Tocantins;15298;8158;7140;Pequeno I;2816,616;completo;Municipal;31.08.2022;8/31/2022;41 a 50 anos;Nível Médio;Outros vínculos não permanentes; ;1; ; ; ; ; ; ; ; ; ;Outros vínculos não permanentes;3;1; ; ; ; ; ; ; ; ; ;4;4;Selected
150230;1502303306524; Feminino; Superior Completo; Advogada(o); Sem Vínculo; Família Acolhedora;06/02/2017;1502301;Pará;Região Norte;Capitão Poço;51893;21441;30452;Médio;2899,553;completo;Municipal;31.08.2022;8/31/2022;30 a 40 anos;2;Outros vínculos não permanentes; ; ;Nível Superior; ; ; ;Advogado; ; ; ; ;Outros vínculos não permanentes; ;1;1; ; ; ;1; ; ; ; ;2;2;Selected
150230;1502303306524; Feminino; Médio Completo; Sem formação profissional; Sem Vínculo; Família Acolhedora;18/12/2017;1502301;Pará;Região Norte;Capitão Poço;51893;21441;30452;Médio;2899,553;completo;Municipal;31.08.2022;8/31/2022;61 a 80 anos;Nível Médio;Outros vínculos não permanentes; ;1; ; ; ; ; ; ; ; ; ;Outros vínculos não permanentes; ;1;1; ; ; ;1; ; ; ; ;2;2;Selected
150275;1502753313123; Feminino; Médio Completo; Profissional de nível médio; Sem Vínculo; Família Acolhedora;07/10/2021;1502756;Pará;Região Norte;Concórdia do Pará;28216;15088;13128;Pequeno II;690,947;completo;Municipal;31.08.2022;8/31/2022;30 a 40 anos;Nível Médio;Outros vínculos não permanentes; ;1; ; ; ; ; ; ; ; ; ;Outros vínculos não permanentes; ;3; ; ; ; ; ; ; ; ; ;3;3;Selected
150275;1502753313123; Feminino; Médio Completo; Profissional de nível médio; Sem Vínculo; Família Acolhedora;07/10/2021;1502756;Pará;Região Norte;Concórdia do Pará;28216;15088;13128;Pequeno II;690,947;completo;Municipal;31.08.2022;8/31/2022;30 a 40 anos;Nível Médio;Outros vínculos não permanentes; ;1; ; ; ; ; ; ; ; ; ;Outros vínculos não permanentes; ;3; ; ; ; ; ; ; ; ; ;3;3;Selected
