IBGE;NU_IDENTIFICADOR;q40_3;q40_9;q40_10;q40_11;q40_12;q40_13;q40_14;IBGE7;UF;Regiao;Município;Pop_total_2010;Pop_Urbana2010;Pop_Rural2010;Porte_pop2010;areaKm2;Q_incompleto;Estadual;DataCenso;DataCenso_2022;d40_2_Faixas_etarias;d40_9;d40_11;d40_9bin1;d40_9bin2;d40_9bin3;d40_10bin1;d40_10bin2;d40_10bin3;d40_10bin4;d40_10bin5;d40_11bin1;d40_11bin2;d40_11bin3;d40_11bin4;d40_9bin1_sum;d40_9bin2_sum;d40_9bin3_sum;d40_10bin1_sum;d40_10bin2_sum;d40_10bin3_sum;d40_10bin4_sum;d40_10bin5_sum;d40_11bin1_sum;d40_11bin2_sum;d40_11bin3_sum;d40_11bin4_sum;nu_trabalhadores;filter_$
110020;1100203309440; Feminino; Superior Completo; Sem formação profissional; Comissionada(o); Coordenador(a); De 31 a 40 horas semanais;16/09/2019;1100205;Rondonia;Região Norte;Porto Velho;428527;390733;37794;Grande;34090,962;completo;Municipal;31.08.2022;8/31/2022;16 a 29 anos;Nível Superior;Comissionado; ; ;Nível Superior; ; ; ; ; ; ; ;Comissionado; ; ; ;5; ;1; ; ;2;4; ;1; ;5;Selected
110020;1100203309440; Feminino; Superior Completo; Assistente Social; Servidor(a) Estatutária(o); Técnico(a) de nível superior; De 21 a 30 horas semanais;09/07/2012;1100205;Rondonia;Região Norte;Porto Velho;428527;390733;37794;Grande;34090,962;completo;Municipal;31.08.2022;8/31/2022;51 a 60 anos;Nível Superior;Servidor Estatutário; ; ;Nível Superior; ;Assistente Social; ; ; ;Servidor Estatutário; ; ; ; ; ;5; ;1; ; ;2;4; ;1; ;5;Selected
110020;1100203309440; Feminino; Superior Completo; Outra formação de nível superior; Servidor(a) Estatutária(o); Cuidador(a); De 31 a 40 horas semanais;09/07/2012;1100205;Rondonia;Região Norte;Porto Velho;428527;390733;37794;Grande;34090,962;completo;Municipal;31.08.2022;8/31/2022;41 a 50 anos;Nível Superior;Servidor Estatutário; ; ;Nível Superior; ; ; ; ; ;Servidor Estatutário; ; ; ; ; ;5; ;1; ; ;2;4; ;1; ;5;Selected
110020;1100203309440; Feminino; Superior Completo; Psicóloga(o); Servidor(a) Estatutária(o); Apoio Administrativo; De 31 a 40 horas semanais;14/04/2015;1100205;Rondonia;Região Norte;Porto Velho;428527;390733;37794;Grande;34090,962;completo;Municipal;31.08.2022;8/31/2022;30 a 40 anos;Nível Superior;Servidor Estatutário; ; ;Nível Superior; ; ; ; ;Psicólogo;Servidor Estatutário; ; ; ; ; ;5; ;1; ; ;2;4; ;1; ;5;Selected
110020;1100203309440; Feminino; Superior Completo; Psicóloga(o); Servidor(a) Estatutária(o); Técnico(a) de nível superior; De 21 a 30 horas semanais;23/07/2012;1100205;Rondonia;Região Norte;Porto Velho;428527;390733;37794;Grande;34090,962;completo;Municipal;31.08.2022;8/31/2022;30 a 40 anos;Nível Superior;Servidor Estatutário; ; ;Nível Superior; ; ; ; ;Psicólogo;Servidor Estatutário; ; ; ; ; ;5; ;1; ; ;2;4; ;1; ;5;Selected
120040;1200403306082; Feminino; Superior Completo; Psicóloga(o); Servidor(a) Temporária(o); Técnico(a) de nível superior; De 21 a 30 horas semanais;01/06/2022;1200401;Acre;Região Norte;Rio Branco;336038;308545;27493;Grande;8834,942;completo;Municipal;31.08.2022;8/31/2022;30 a 40 anos;Nível Superior;Outros vínculos não permanentes; ; ;Nível Superior; ; ; ; ;Psicólogo; ; ; ;Outros vínculos não permanentes;1; ;6;1;1; ; ;2;3; ; ;4;7;Selected
120040;1200403306082; Feminino; Superior Completo; Psicóloga(o); Terceirizada(o); Técnico(a) de nível superior; De 31 a 40 horas semanais;28/11/2019;1200401;Acre;Região Norte;Rio Branco;336038;308545;27493;Grande;8834,942;completo;Municipal;31.08.2022;8/31/2022;16 a 29 anos;Nível Superior;Outros vínculos não permanentes; ; ;Nível Superior; ; ; ; ;Psicólogo; ; ; ;Outros vínculos não permanentes;1; ;6;1;1; ; ;2;3; ; ;4;7;Selected
120040;1200403306082; Masculino; Fundamental Incompleto; Sem formação profissional; Outro vínculo não permanente; Motorista; De 31 a 40 horas semanais;01/12/2020;1200401;Acre;Região Norte;Rio Branco;336038;308545;27493;Grande;8834,942;completo;Municipal;31.08.2022;8/31/2022;51 a 60 anos;Nível fundamental;Outros vínculos não permanentes;Nível fundamental; ; ; ; ; ; ; ; ; ; ;Outros vínculos não permanentes;1; ;6;1;1; ; ;2;3; ; ;4;7;Selected
120040;1200403306082; Masculino; Especialização; Pedagoga(o); Servidor(a) Estatutária(o); Coordenador(a); De 31 a 40 horas semanais;01/01/2018;1200401;Acre;Região Norte;Rio Branco;336038;308545;27493;Grande;8834,942;completo;Municipal;31.08.2022;8/31/2022;51 a 60 anos;Nível Superior;Servidor Estatutário; ; ;Nível Superior;Pedagogo; ; ; ; ;Servidor Estatutário; ; ; ;1; ;6;1;1; ; ;2;3; ; ;4;7;Selected
120040;1200403306082; Feminino; Superior Completo; Outra formação de nível superior; Servidor(a) Estatutária(o); Educador(a) Social; De 21 a 30 horas semanais;03/11/2016;1200401;Acre;Região Norte;Rio Branco;336038;308545;27493;Grande;8834,942;completo;Municipal;31.08.2022;8/31/2022;30 a 40 anos;Nível Superior;Servidor Estatutário; ; ;Nível Superior; ; ; ; ; ;Servidor Estatutário; ; ; ;1; ;6;1;1; ; ;2;3; ; ;4;7;Selected
120040;1200403306082; Feminino; Especialização; Outra formação de nível superior; Servidor(a) Estatutária(o); Educador(a) Social; De 21 a 30 horas semanais;15/02/2008;1200401;Acre;Região Norte;Rio Branco;336038;308545;27493;Grande;8834,942;completo;Municipal;31.08.2022;8/31/2022;30 a 40 anos;Nível Superior;Servidor Estatutário; ; ;Nível Superior; ; ; ; ; ;Servidor Estatutário; ; ; ;1; ;6;1;1; ; ;2;3; ; ;4;7;Selected
120040;1200403306082; Feminino; Superior Completo; Assistente Social; Servidor(a) Temporária(o); Técnico(a) de nível superior; De 21 a 30 horas semanais;01/06/2022;1200401;Acre;Região Norte;Rio Branco;336038;308545;27493;Grande;8834,942;completo;Municipal;31.08.2022;8/31/2022;30 a 40 anos;Nível Superior;Outros vínculos não permanentes; ; ;Nível Superior; ;Assistente Social; ; ; ; ; ; ;Outros vínculos não permanentes;1; ;6;1;1; ; ;2;3; ; ;4;7;Selected
130260;1302603310450; Feminino; Especialização; Psicóloga(o); Outro vínculo não permanente; Técnico(a) de nível superior; De 31 a 40 horas semanais;01/07/2022;1302603;Amazonas;Região Norte;Manaus;1802014;1792881;9133;Metrópole;11401,092;completo;Municipal;31.08.2022;8/31/2022;16 a 29 anos;Nível Superior;Outros vínculos não permanentes; ; ;Nível Superior; ; ; ; ;Psicólogo; ; ; ;Outros vínculos não permanentes; ;1;3; ;1; ; ;2; ; ; ;4;4;Selected
130260;1302603310450; Feminino; Especialização; Psicóloga(o); Empregada(o) Privada(o) (CLT); Coordenador(a); Mais de 44 horas semanais;01/07/2022;1302603;Amazonas;Região Norte;Manaus;1802014;1792881;9133;Metrópole;11401,092;completo;Municipal;31.08.2022;8/31/2022;51 a 60 anos;Nível Superior;Outros vínculos não permanentes; ; ;Nível Superior; ; ; ; ;Psicólogo; ; ; ;Outros vínculos não permanentes; ;1;3; ;1; ; ;2; ; ; ;4;4;Selected
130260;1302603310450; Feminino; Especialização; Assistente Social; Outro vínculo não permanente; Técnico(a) de nível superior; De 21 a 30 horas semanais;01/10/2022;1302603;Amazonas;Região Norte;Manaus;1802014;1792881;9133;Metrópole;11401,092;completo;Municipal;31.08.2022;8/31/2022;51 a 60 anos;Nível Superior;Outros vínculos não permanentes; ; ;Nível Superior; ;Assistente Social; ; ; ; ; ; ;Outros vínculos não permanentes; ;1;3; ;1; ; ;2; ; ; ;4;4;Selected
130260;1302603310450; Feminino; Superior Incompleto; Profissional de nível médio; Empregada(o) Privada(o) (CLT); Outros; De 41 a 44 horas semanais;01/07/2022;1302603;Amazonas;Região Norte;Manaus;1802014;1792881;9133;Metrópole;11401,092;completo;Municipal;31.08.2022;8/31/2022;16 a 29 anos;Nível Médio;Outros vínculos não permanentes; ;Nível Médio; ; ; ; ; ; ; ; ; ;Outros vínculos não permanentes; ;1;3; ;1; ; ;2; ; ; ;4;4;Selected
130260;1302603313727; Feminino; Superior Completo; Psicóloga(o); Outro vínculo não permanente; Técnico(a) de nível superior; De 21 a 30 horas semanais;01/06/2022;1302603;Amazonas;Região Norte;Manaus;1802014;1792881;9133;Metrópole;11401,092;completo;Municipal;31.08.2022;8/31/2022;16 a 29 anos;Nível Superior;Outros vínculos não permanentes; ; ;Nível Superior; ; ; ; ;Psicólogo; ; ; ;Outros vínculos não permanentes; ; ;3;1;1; ; ;1; ; ; ;3;3;Selected
130260;1302603313727; Feminino; Especialização; Assistente Social; Outro vínculo não permanente; Técnico(a) de nível superior; De 21 a 30 horas semanais;01/06/2022;1302603;Amazonas;Região Norte;Manaus;1802014;1792881;9133;Metrópole;11401,092;completo;Municipal;31.08.2022;8/31/2022;41 a 50 anos;Nível Superior;Outros vínculos não permanentes; ; ;Nível Superior; ;Assistente Social; ; ; ; ; ; ;Outros vínculos não permanentes; ; ;3;1;1; ; ;1; ; ; ;3;3;Selected
130260;1302603313727; Feminino; Superior Completo; Pedagoga(o); Outro vínculo não permanente; Coordenador(a); De 21 a 30 horas semanais;01/08/2022;1302603;Amazonas;Região Norte;Manaus;1802014;1792881;9133;Metrópole;11401,092;completo;Municipal;31.08.2022;8/31/2022;41 a 50 anos;Nível Superior;Outros vínculos não permanentes; ; ;Nível Superior;Pedagogo; ; ; ; ; ; ; ;Outros vínculos não permanentes; ; ;3;1;1; ; ;1; ; ; ;3;3;Selected
130340;1303403309096; Feminino; Superior Completo; Assistente Social; Servidor(a) Temporária(o); Coordenador(a); De 31 a 40 horas semanais;03/01/2022;1303403;Amazonas;Região Norte;Parintins;102033;69890;32143;Grande;5956,373;completo;Municipal;31.08.2022;8/31/2022;30 a 40 anos;Nível Superior;Outros vínculos não permanentes; ; ;Nível Superior; ;Assistente Social; ; ; ; ; ; ;Outros vínculos não permanentes; ; ;2; ;2; ; ; ; ; ; ;2;2;Selected
130340;1303403309096; Feminino; Superior Completo; Assistente Social; Servidor(a) Temporária(o); Técnico(a) de nível superior; De 21 a 30 horas semanais;03/01/2022;1303403;Amazonas;Região Norte;Parintins;102033;69890;32143;Grande;5956,373;completo;Municipal;31.08.2022;8/31/2022;30 a 40 anos;Nível Superior;Outros vínculos não permanentes; ; ;Nível Superior; ;Assistente Social; ; ; ; ; ; ;Outros vínculos não permanentes; ; ;2; ;2; ; ; ; ; ; ;2;2;Selected
150157;1501573311598; Feminino; Superior Completo; Psicóloga(o); Servidor(a) Temporária(o); Técnico(a) de nível superior; De 11 a 20 horas semanais;01/08/2022;1501576;Pará;Região Norte;Bom Jesus do Tocantins;15298;8158;7140;Pequeno I;2816,616;completo;Municipal;31.08.2022;8/31/2022;16 a 29 anos;Nível Superior;Outros vínculos não permanentes; ; ;Nível Superior; ; ; ; ;Psicólogo; ; ; ;Outros vínculos não permanentes; ; ;2; ;1; ; ;1; ; ; ;2;2;Selected
150157;1501573311598; Feminino; Superior Completo; Assistente Social; Servidor(a) Temporária(o); Coordenador(a); Até 10 horas semanais;01/01/2017;1501576;Pará;Região Norte;Bom Jesus do Tocantins;15298;8158;7140;Pequeno I;2816,616;completo;Municipal;31.08.2022;8/31/2022;30 a 40 anos;Nível Superior;Outros vínculos não permanentes; ; ;Nível Superior; ;Assistente Social; ; ; ; ; ; ;Outros vínculos não permanentes; ; ;2; ;1; ; ;1; ; ; ;2;2;Selected
150230;1502303306524; Feminino; Superior Completo; Psicóloga(o); Servidor(a) Temporária(o); Técnico(a) de nível superior; De 31 a 40 horas semanais;04/01/2021;1502301;Pará;Região Norte;Capitão Poço;51893;21441;30452;Médio;2899,553;completo;Municipal;31.08.2022;8/31/2022;16 a 29 anos;Nível Superior;Outros vínculos não permanentes; ; ;Nível Superior; ; ; ; ;Psicólogo; ; ; ;Outros vínculos não permanentes; ;1;4;2;1; ; ;1; ; ;1;4;5;Selected
150230;1502303306524; Feminino; Superior Completo; Assistente Social; Servidor(a) Temporária(o); Técnico(a) de nível superior; De 21 a 30 horas semanais;04/01/2021;1502301;Pará;Região Norte;Capitão Poço;51893;21441;30452;Médio;2899,553;completo;Municipal;31.08.2022;8/31/2022;30 a 40 anos;Nível Superior;Outros vínculos não permanentes; ; ;Nível Superior; ;Assistente Social; ; ; ; ; ; ;Outros vínculos não permanentes; ;1;4;2;1; ; ;1; ; ;1;4;5;Selected
150230;1502303306524; Feminino; Especialização; Pedagoga(o); Comissionada(o); Coordenador(a); De 31 a 40 horas semanais;02/05/2022;1502301;Pará;Região Norte;Capitão Poço;51893;21441;30452;Médio;2899,553;completo;Municipal;31.08.2022;8/31/2022;30 a 40 anos;Nível Superior;Comissionado; ; ;Nível Superior;Pedagogo; ; ; ; ; ; ;Comissionado; ; ;1;4;2;1; ; ;1; ; ;1;4;5;Selected
150230;1502303306524; Feminino; Superior Completo; Pedagoga(o); Servidor(a) Temporária(o); Técnico(a) de nível superior; De 31 a 40 horas semanais;04/01/2021;1502301;Pará;Região Norte;Capitão Poço;51893;21441;30452;Médio;2899,553;completo;Municipal;31.08.2022;8/31/2022;30 a 40 anos;Nível Superior;Outros vínculos não permanentes; ; ;Nível Superior;Pedagogo; ; ; ; ; ; ; ;Outros vínculos não permanentes; ;1;4;2;1; ; ;1; ; ;1;4;5;Selected
150230;1502303306524; Feminino; Médio Completo; Profissional de nível médio; Servidor(a) Temporária(o); Apoio Administrativo; De 31 a 40 horas semanais;04/01/2021;1502301;Pará;Região Norte;Capitão Poço;51893;21441;30452;Médio;2899,553;completo;Municipal;31.08.2022;8/31/2022;30 a 40 anos;Nível Médio;Outros vínculos não permanentes; ;Nível Médio; ; ; ; ; ; ; ; ; ;Outros vínculos não permanentes; ;1;4;2;1; ; ;1; ; ;1;4;5;Selected
150275;1502753313123; Feminino; Superior Completo; Psicóloga(o); Servidor(a) Temporária(o); Técnico(a) de nível superior; De 21 a 30 horas semanais;01/10/2021;1502756;Pará;Região Norte;Concórdia do Pará;28216;15088;13128;Pequeno II;690,947;completo;Municipal;31.08.2022;8/31/2022;30 a 40 anos;Nível Superior;Outros vínculos não permanentes; ; ;Nível Superior; ; ; ; ;Psicólogo; ; ; ;Outros vínculos não permanentes; ; ;1; ; ; ; ;1; ; ; ;1;1;Selected
150420;1504203312745; Masculino; Fundamental Completo; Sem formação profissional; Servidor(a) Estatutária(o); Outros; De 31 a 40 horas semanais;19/07/2021;1504208;Pará;Região Norte;Marabá;233669;186270;47399;Grande;15128,058;completo;Municipal;31.08.2022;8/31/2022;61 a 80 anos;Nível fundamental;Servidor Estatutário;Nível fundamental; ; ; ; ; ; ; ;Servidor Estatutário; ; ; ;1;2;3; ;1; ; ;1;6; ; ; ;6;Selected
150420;1504203312745; Feminino; Médio Completo; Profissional de nível médio; Servidor(a) Estatutária(o); Coordenador(a); De 31 a 40 horas semanais;19/07/2021;1504208;Pará;Região Norte;Marabá;233669;186270;47399;Grande;15128,058;completo;Municipal;31.08.2022;8/31/2022;51 a 60 anos;Nível Médio;Servidor Estatutário; ;Nível Médio; ; ; ; ; ; ;Servidor Estatutário; ; ; ;1;2;3; ;1; ; ;1;6; ; ; ;6;Selected
150420;1504203312745; Feminino; Superior Completo; Assistente Social; Servidor(a) Estatutária(o); Técnico(a) de nível superior; De 31 a 40 horas semanais;19/07/2021;1504208;Pará;Região Norte;Marabá;233669;186270;47399;Grande;15128,058;completo;Municipal;31.08.2022;8/31/2022;41 a 50 anos;Nível Superior;Servidor Estatutário; ; ;Nível Superior; ;Assistente Social; ; ; ;Servidor Estatutário; ; ; ;1;2;3; ;1; ; ;1;6; ; ; ;6;Selected
150420;1504203312745; Masculino; Médio Completo; Sem formação profissional; Servidor(a) Estatutária(o); Outros; De 31 a 40 horas semanais;19/07/2021;1504208;Pará;Região Norte;Marabá;233669;186270;47399;Grande;15128,058;completo;Municipal;31.08.2022;8/31/2022;30 a 40 anos;Nível Médio;Servidor Estatutário; ;Nível Médio; ; ; ; ; ; ;Servidor Estatutário; ; ; ;1;2;3; ;1; ; ;1;6; ; ; ;6;Selected
150420;1504203312745; Feminino; Superior Completo; Psicóloga(o); Servidor(a) Estatutária(o); Técnico(a) de nível superior; De 31 a 40 horas semanais;19/07/2021;1504208;Pará;Região Norte;Marabá;233669;186270;47399;Grande;15128,058;completo;Municipal;31.08.2022;8/31/2022;30 a 40 anos;Nível Superior;Servidor Estatutário; ; ;Nível Superior; ; ; ; ;Psicólogo;Servidor Estatutário; ; ; ;1;2;3; ;1; ; ;1;6; ; ; ;6;Selected
150420;1504203312745; Feminino; Superior Completo; Outra formação de nível superior; Servidor(a) Estatutária(o); Serviços Gerais; De 31 a 40 horas semanais;01/01/2022;1504208;Pará;Região Norte;Marabá;233669;186270;47399;Grande;15128,058;completo;Municipal;31.08.2022;8/31/2022;30 a 40 anos;Nível Superior;Servidor Estatutário; ; ;Nível Superior; ; ; ; ; ;Servidor Estatutário; ; ; ;1;2;3; ;1; ; ;1;6; ; ; ;6;Selected
150510;1505103306376; Feminino; Superior Completo; Psicóloga(o); Servidor(a) Temporária(o); Técnico(a) de nível superior; De 31 a 40 horas semanais;04/01/2021;1505106;Pará;Região Norte;Óbidos;49333;25466;23867;Pequeno II;28021,443;completo;Municipal;31.08.2022;8/31/2022;16 a 29 anos;Nível Superior;Outros vínculos não permanentes; ; ;Nível Superior; ; ; ; ;Psicólogo; ; ; ;Outros vínculos não permanentes; ; ;3; ;1; ; ;1;1; ; ;2;3;Selected
150510;1505103306376; Feminino; Superior Completo; Assistente Social; Servidor(a) Temporária(o); Técnico(a) de nível superior; De 31 a 40 horas semanais;20/07/2022;1505106;Pará;Região Norte;Óbidos;49333;25466;23867;Pequeno II;28021,443;completo;Municipal;31.08.2022;8/31/2022;41 a 50 anos;Nível Superior;Outros vínculos não permanentes; ; ;Nível Superior; ;Assistente Social; ; ; ; ; ; ;Outros vínculos não permanentes; ; ;3; ;1; ; ;1;1; ; ;2;3;Selected
150510;1505103306376; Feminino; Superior Completo; Profissional de nível médio; Servidor(a) Estatutária(o); Apoio Administrativo; De 31 a 40 horas semanais;01/01/2021;1505106;Pará;Região Norte;Óbidos;49333;25466;23867;Pequeno II;28021,443;completo;Municipal;31.08.2022;8/31/2022;30 a 40 anos;Nível Superior;Servidor Estatutário; ; ;Nível Superior; ; ; ; ; ;Servidor Estatutário; ; ; ; ; ;3; ;1; ; ;1;1; ; ;2;3;Selected
150563;1505633308394; Feminino; Superior Completo; Advogada(o); Comissionada(o); Técnico(a) de nível superior; De 31 a 40 horas semanais;05/04/2021;1505635;Pará;Região Norte;Piçarra;12697;3581;9116;Pequeno I;3312,708;completo;Municipal;31.08.2022;8/31/2022;16 a 29 anos;Nível Superior;Comissionado; ; ;Nível Superior; ; ; ;Advogado; ; ; ;Comissionado; ; ; ;3; ;1; ;1;1; ; ;1;2;3;Selected
150563;1505633308394; Feminino; Superior Completo; Psicóloga(o); Servidor(a) Temporária(o); Técnico(a) de nível superior; De 31 a 40 horas semanais;30/04/2015;1505635;Pará;Região Norte;Piçarra;12697;3581;9116;Pequeno I;3312,708;completo;Municipal;31.08.2022;8/31/2022;16 a 29 anos;Nível Superior;Outros vínculos não permanentes; ; ;Nível Superior; ; ; ; ;Psicólogo; ; ; ;Outros vínculos não permanentes; ; ;3; ;1; ;1;1; ; ;1;2;3;Selected
150563;1505633308394; Masculino; Superior Completo; Assistente Social; Servidor(a) Temporária(o); Coordenador(a); De 21 a 30 horas semanais;05/06/2015;1505635;Pará;Região Norte;Piçarra;12697;3581;9116;Pequeno I;3312,708;completo;Municipal;31.08.2022;8/31/2022;30 a 40 anos;Nível Superior;Outros vínculos não permanentes; ; ;Nível Superior; ;Assistente Social; ; ; ; ; ; ;Outros vínculos não permanentes; ; ;3; ;1; ;1;1; ; ;1;2;3;Selected
150680;1506803308526; Feminino; Superior Completo; Psicóloga(o); Servidor(a) Temporária(o); Técnico(a) de nível superior; De 31 a 40 horas semanais;01/07/2022;1506807;Pará;Região Norte;Santarém;294580;215790;78790;Grande;17898,389;completo;Municipal;31.08.2022;8/31/2022;51 a 60 anos;Nível Superior;Outros vínculos não permanentes; ; ;Nível Superior; ; ; ; ;Psicólogo; ; ; ;Outros vínculos não permanentes; ; ;2; ;1; ; ;1; ; ; ;2;2;Selected
150680;1506803308526; Feminino; Superior Completo; Assistente Social; Servidor(a) Temporária(o); Coordenador(a); De 31 a 40 horas semanais;03/02/2021;1506807;Pará;Região Norte;Santarém;294580;215790;78790;Grande;17898,389;completo;Municipal;31.08.2022;8/31/2022;41 a 50 anos;Nível Superior;Outros vínculos não permanentes; ; ;Nível Superior; ;Assistente Social; ; ; ; ; ; ;Outros vínculos não permanentes; ; ;2; ;1; ; ;1; ; ; ;2;2;Selected
160060;1600603310408; Feminino; Superior Completo; Assistente Social; Outro vínculo não permanente; Técnico(a) de nível superior; De 31 a 40 horas semanais;01/01/2017;1600600;Amapá;Região Norte;Santana;101262;99111;2151;Grande;1541,224;completo;Municipal;31.08.2022;8/31/2022;41 a 50 anos;Nível Superior;Outros vínculos não permanentes; ; ;Nível Superior; ;Assistente Social; ; ; ; ; ; ;Outros vínculos não permanentes; ; ;3;1;1; ; ;1; ; ; ;3;3;Selected
160060;1600603310408; Feminino; Superior Completo; Pedagoga(o); Outro vínculo não permanente; Coordenador(a); De 31 a 40 horas semanais;22/01/2021;1600600;Amapá;Região Norte;Santana;101262;99111;2151;Grande;1541,224;completo;Municipal;31.08.2022;8/31/2022;41 a 50 anos;Nível Superior;Outros vínculos não permanentes; ; ;Nível Superior;Pedagogo; ; ; ; ; ; ; ;Outros vínculos não permanentes; ; ;3;1;1; ; ;1; ; ; ;3;3;Selected
