IBGE;q_Ident_0_1;q_Ident_0_2;q_Ident_0_3;q_Ident_0_4;q_Ident_0_5;q_Ident_0_6;q_Ident_0_7;q_Ident_0_8;q_Ident_0_9;q_Ident_0_10;q_Ident_0_11;q_Ident_0_12;q_Ident_0_13;q_Ident_0_14;p_latitude;p_longitude;q_1;q_2;q_3;q_4;q_5_1;q_5_2;q_5_3;q_5_4;q_5_5;q_6;q_7;q_8;q_8_99;q_9;q_10_1;q_10_2;q_10_3;q_10_4;q_10_5;q_10_99;q_10_99_99;q_11;q_12;q_13_1_1;q_13_1_2;q_13_1_3;q_13_2_1;q_13_2_2;q_13_2_3;q_13_3_1;q_13_3_2;q_13_3_3;q_13_4_1;q_13_4_2;q_13_4_3;q_14_1;q_14_2;q_14_3;q_15_1_1;q_15_2_1;q_15_3_1;q_15_1_2;q_15_2_2;q_15_3_2;q_15_1_3;q_15_2_3;q_15_3_3;q_15_1_4;q_15_2_4;q_15_3_4;q_15_1_5;q_15_2_5;q_15_3_5;q_15_1_6;q_15_2_6;q_15_3_6;q_16_99;q_18_1;UF;Região;q_5_1_velha;q_5_2_velha;q_5_3_velha;q_5_4_velha;q_5_5_velha;q_6_velha;q_7_velha;q_8_velha;q_9_velha;q_10_1_velha;q_10_2_velha;q_10_3_velha;q_10_4_velha;q_10_5_velha;q_10_99_velha;q_11_velha;q_12_velha;q_13_1_1_velha;q_13_1_2_velha;q_13_1_3_velha;q_13_2_1_velha;q_13_2_2_velha;q_13_2_3_velha;q_13_3_1_velha;q_13_3_2_velha;q_13_3_3_velha;q_13_4_1_velha;q_13_4_2_velha;q_13_4_3_velha;q_14_1_velha;q_14_2_velha;q_14_3_velha;q_5_5_rec;d_16_8bin1_sum;d_16_8bin2_sum;d_16_8bin3_sum;d_16_9bin1_sum;d_16_9bin2_sum;d_16_9bin3_sum;d_16_9bin4_sum;d_16_9bin5_sum;d_16_10bin1_sum;d_16_10bin2_sum;d_16_10bin3_sum;d_16_10bin4_sum;nu_trabalhadores;q_15_1_1_velha;q_15_2_1_velha;q_15_3_1_velha;q_15_1_2_velha;q_15_2_2_velha;q_15_3_2_velha;q_15_1_3_velha;q_15_2_3_velha;q_15_3_3_velha;q_15_1_4_velha;q_15_2_4_velha;q_15_3_4_velha;q_15_1_5_velha;q_15_2_5_velha;q_15_3_5_velha;q_15_1_6_velha;q_15_2_6_velha;q_15_3_6_velha;EXECUCAO_1MUN;EXECUCAO_2MUN;EXECUCAO_3MUN;EXECUCAO_4MUN;EXECUCAO_5MUN;EXECUCAO_6MUN;LIMP_EXECUCAO
24;FUNDO ESTADUAL DE ASSISTÊNCIA SOCIAL; ;CENTRO ADMINISTRATIVO DO ESTADO, BR 101, KM 0;BL 1; ;LAGOA NOVA; ;59064-901;NATAL;RN;feas-sethas@rn.gov.br;(84) 32321801; ;(84) 32321830;-5.827.854.617.795.790;-35.213.997.960.090.600;1;2;0;0; ; ; ; ; ;1;1;2; ;5;0;1;0;0;0;0; ;0;0;0;43;0;0;0;0;0;43;0;0;0;0;0;0;0;0;0;0;1200000;853000;0;0;0;0;0;0;0;0;0;0;1200000;853000;0; ; ;24;2; ; ; ; ; ;1;1;2;5;0;1;0;0;0;0;0;0;0;43;0;0;0;0;0;43;0;0;0;0;0;0;0; ; ; ;2; ; ; ; ; ; ; ;2; ;2;0;0;0;1200000;853000;0;0;0;0;0;0;0;0;0;0;1200000;853000;0; ;,710833333333333; ; ; ;,710833333333333; 
25;FUNDO ESTADUAL DE ASSISTÊNCIA SOCIAL; ;Desembargador Souto Maior;288; ;Centro; ;58013-190;JOAO PESSOA;PB;gabinete.sedh@sedh.pb.gov.br;(83) 32186658; ;(83) 32186658;-7.115;-34.863;1;2;2;0; ; ; ; ; ;1;1;2; ;5;1;1;1;0;1;0; ;0;0;0;223;0;0;193;0;0;68;0;0;4;0;0;143;0;14822058,54;103999163,4;18740000;270138805,1;16661118,31;3348000;263138000;21306659,25;0;810048,2;185274,91;558000;0;0;0;18783911,81;48552968,84;5580000; ; ;25;2; ; ; ; ; ;1;1;2;5;1;1;1;0;1;0;0;0;0;223;0;0;193;0;0;68;0;0;4;0;0;143;0; ; ; ;2; ;1; ; ; ; ; ;1;1;2;14822058,54;103999163,4;18740000;270138805,1;16661118,31;3348000;263138000;21306659,25;0;810048,2;185274,91;558000;0;0;0;18783911,81;48552968,84;5580000;7,01651279539475;,0616761383238976;,0809714265898502;,2287208464879; ;2,58481669479261; 
26;FUNDO ESTADUAL DE ASSISTÊNCIA SOCIAL; ;AV. CRUZ CABUGÁ;1211; ;SANTO AMARO;Ed. Frei Caneca ao lado da COMPESA;50040-000;RECIFE;PE;cassiogomes18@gmail.com;(81) 31830781; ;(81) 31833093;-8.054;-34.881;1;2;1;3;0;0;0;5;5;1;1;1; ;0;0;0;0;1;0;1;por serviços socioassistenciais Paif Paefi etc;1;0;184;184;0;184;184;0;55;55;0;8;8;0;61;61;0;1390100;1074241,93;2243734,83;0;0;3824995;0;0;429400;4528100;2179632,19;0;17150000;17245755,98;788720;23068200;20499630,1;7286849,83; ; ;26;2;0;0;0;5;5;1;1;1;0;0;0;0;1;0;1;1;0;184;184;0;184;184;0;55;55;0;8;8;0;61;61;0;5;2;4;7; ;2; ; ; ;7; ;3;3;13;1390100;1074241,93;2243734,83;0;0;3824995;0;0;429400;4528100;2179632,19;0;17150000;17245755,98;788720;23068200;20499630,1;7286849,83;,772780325156464; ; ;,481356902453568;1,00558343906706;,888653215248698; 
27;FUNDO ESTADUAL DE ASSISTÊNCIA SOCIAL; ;Av. Comendador Calaça;1399;Prédio;Poço;Secretaria de Estado da Assistência e Desenvolvimento Social;57025-640;MACEIO;AL;gabineteassistenciasocial@hotmail.com;(82) 33152887; ;-82;-9.666;-35.735;1;2;1;3;0;0;0;8;8;1;1;2; ;5;1;1;0;0;0;0; ;0;0;83;83;0;70;70;0;40;40;0;0;0;0;0;0;0;0;0;3186000;0;0;1040000;12532920;12532920;0;1969509,37;1919928,84;0;2200000;1835889,77;0;16702429,37;16288738,61;4226000; ; ;27;2;0;0;0;8;8;1;1;2;5;1;1;0;0;0;0;0;0;83;83;0;70;70;0;40;40;0;0;0;0;0;0;0;8; ;6;11; ; ; ;1; ;5; ;9;3;17;0;0;3186000;0;0;1040000;12532920;12532920;0;1969509,37;1919928,84;0;2200000;1835889,77;0;16702429,37;16288738,61;4226000; ; ;1;,974825948657457;,83449535;,975231701279154; 
28;FUNDO ESTADUAL DE ASSISTÊNCIA SOCIAL; ;SANTA LUZIA;680; ;SAO JOSE;PROXIMO AO PROCOM;49015-190;ARACAJU;SE;gabinte@inclusao.se.gov.br;(79) 31794836; ;(79) 31794836;-10.920.176.092.405.500;-3.705.215.334.892.270;1;2;1;0; ; ; ; ; ;1;1;2; ;1;1;1;1;1;0;0; ;1;0;37;37;0;0;0;0;0;0;0;37;37;0;0;0;0;50000;0;0;662100;0;596000;0;0;0;30102,62;30102,62;0;10937,93;10937,93;0;753140,55;41040,55;596000; ; ;28;2; ; ; ; ; ;1;1;2;1;1;1;1;1;0;0;1;0;37;37;0;0;0;0;0;0;0;37;37;0;0;0;0; ; ;3;1; ; ; ; ; ;1; ;3; ;4;50000;0;0;662100;0;596000;0;0;0;30102,62;30102,62;0;10937,93;10937,93;0;753140,55;41040,55;596000;0;0; ;1;1;,0544925512243366; 
29;FUNDO ESTADUAL DE ASSISTÊNCIA SOCIAL; ;AV. LUIS VIANA FILHO;390;3ª AVENIDA;CAB;No prédio da Governadoria;40301-155;SALVADOR;BA;feas@sedesba.ba.gov.br;(71) 31156643; ;-71;-12.971;-38.511;1;3;1;1;0;0;2;0;2;1;1;1; ;0;1;1;1;1;0;0; ;1;0;417;417;0;417;417;0;212;212;0;96;96;0;354;354;0;23000000;0;13959400,46;27950000;225000;17601440,86;1700000;0;1510460;0;0;0;9000000;0;15235142,12;61650000;0;48306443,44; ; ;29;2;0;0;2;0;2;1;1;1;0;1;1;1;1;0;0;1;0;417;417;0;417;417;0;212;212;0;96;96;0;354;354;0;2;1;5;8; ; ; ; ; ;4; ;9;1;14;23000000;0;13959400,46;27950000;225000;17601440,86;1700000;0;1510460;0;0;0;9000000;0;15235142,12;61650000;0;48306443,44;0;,00805008944543828;0; ;0;0; 
31;FUNDO ESTADUAL DE ASSISTÊNCIA SOCIAL; ;Papa João Paulo II;4143;14º andar - Prédio Minas;SERRA VERDE; ;30630-900;BELO HORIZONTE;MG;dgfeas@social.mg.gov.br;(31) 39168042; ;-31;-19.783.150.171.754.600;-4.395.230.770.111.080;1;2;1;1;0;1;30;0;31;1;1;3; ;1;1;1;1;1;0;1;Incentivo Financeiro para Melhoria da Qualidade da Gestão de Serviços Socioassistenciais da Proteção Social Especial de Alta Complexidade e Incentivo Financeiro no âmbito do Programa Rede Cuidar;1;2;853;853;0;853;853;0;853;853;0;853;853;0;853;853;0;2968000;0;0;30219251;4419550,69;189890,8;0;0;0;0;0;0;54045693,6;0;13466247,46;87232944,6;4419550,69;13656138,26; ; ;31;3;0;1;30;0;31;1;1;3;1;1;1;1;1;0;1;1;2;853;853;0;853;853;0;853;853;0;853;853;0;853;853;0;31;1;8;8; ;1; ;1; ;9; ;2;6;17;2968000;0;0;30219251;4419550,69;189890,8;0;0;0;0;0;0;54045693,6;0;13466247,46;87232944,6;4419550,69;13656138,26;0;,146249511280078; ; ;0;,0506637797252576; 
32;FUNDO ESTADUAL DE ASSISTÊNCIA SOCIAL; ;Doutor João Carlos de Souza;107;Ed. Green Tower;Barro Vermelho;Em frente do MS Buffet;29057-530;VITORIA;ES;gestaosuas@setades.es.gov.br;(27) 36366883; ;-27;-20.319;-40.338;1;2;2;3;0;0;0;75;75;3;1;2; ;4;1;1;1;1;0;0; ;1;0;78;78;0;78;78;0;73;73;0;62;62;0;78;78;0;9470308;9470308;14239462;16678810;16660810;25025215;3100000;2038000;3100000;0;0;0;4770500;2084487,55;0;3424123;30292592,95;42364677; ; ;32;3;0;0;0;75;75;3;1;2;4;1;1;1;1;0;0;1;0;78;78;0;78;78;0;73;73;0;62;62;0;78;78;0;75; ; ;5; ;2; ; ; ;3; ;2; ;5;9470308;9470308;14239462;16678810;16660810;25025215;3100000;2038000;3100000;0;0;0;4770500;2084487,55;0;3424123;30292592,95;42364677;1;,998920786315091;,65741935483871; ;,436953684100199;8,84681798813886; 
33;FUNDO ESTADUAL DE ASSISTÊNCIA SOCIAL; ;Erasmo Braga;118; ;CENTRO; ;20020-001;RIO DE JANEIRO;RJ;ssasdg@gmail.com;(21) 23326398; ;-21;-22.904.616.249.781.300;-43.173.772.394.657.100;1;2;1;3;0;0;12;0;12;1;1;2; ;3;1;1;1;1;1;0; ;1;0;92;92;0;92;92;0;0;0;0;0;0;0;74;74;0;28369048;6827511;2880975,28;51863348;13020979,53;1892785,87;0;0;0;320000;0;0;0;0;0;0;0;0; ;1;33;3;0;0;12;0;12;1;1;2;3;1;1;1;1;1;0;1;0;92;92;0;92;92;0;0;0;0;0;0;0;74;74;0;12;1; ;4;1; ; ; ; ; ; ;3;2;5;28369048;6827511;2880975,28;51863348;13020979,53;1892785,87;0;0;0;320000;0;0;0;0;0;0;0;0;,240667610700225;,251063227348917; ;0; ; ; 
35;FUNDO ESTADUAL DE ASSISTÊNCIA SOCIAL; ;BELA CINTRA;1032;4º ANDAR;CERQUEIRA CESAR;Em frente ao Colégio São Luiz.;01415-000;SAO PAULO;SP;ricardofelleger@sp.gov.br;(11) 27638172; ;-11;-23.555.991.677.875.500;-46.661.478.281.021.100;1;3;2;1;0;0;11;0;11;3;1;2;0;1;1;1;1;1;0;0;0;1;2;644;644;44;631;629;36;351;351;8;335;335;0;6;6;0;84596176;79893336,87;79035345,41;141260966;140321724,2;131960512,5;152330150;94363336,87;604987,5;78311110,88;77011467,19;0;5402077,88;5401943,01;5199994,57;461900480,8;396991808,1;216800840; ; ;35;3;0;0;11;0;11;3;1;2;1;1;1;1;1;0;0;1;2;644;644;44;631;629;36;351;351;8;335;335;0;6;6;0;11; ; ;12; ; ; ; ; ;5; ;7; ;12;84596176;79893336,87;79035345,41;141260966;140321724,2;131960512,5;152330150;94363336,87;604987,5;78311110,88;77011467,19;0;5402077,88;5401943,01;5199994,57;461900480,8;396991808,1;216800840;,944408372194034;,993351016727438;,61946592234039;,983404095850568;,999975033680929;,859474766972358; 
41;FUNDO ESTADUAL DE ASSISTÊNCIA SOCIAL; ;JACY LOUREIRO DE CAMPOS;0;PALÁCIO DAS ARAUCÁRIAS;CENTRO CÍVICO; ;80530-915;CURITIBA;PR;gabinete@seds.pr.gov.br;(41) 32102447; ;-41;-2.541.496.704.219.660;-4.926.986.753.940.580;1;4;1;3;29;28;7;23;87;3;1;4;O cofinancimento é comum e por serviços socioassistenciais.;3;1;1;1;1;1;1;Serviço de Proteção em Situações de Calamidades Públicas e de Emergênias.;1;1;399;399;0;399;399;0;173;173;0;202;202;0;399;399;0;8450491;3390500;1310500;16923822;11281595,87;11262950,66;0;0;0;35672461;33776266,49;33493750;5476099;50128653,31;16340000;115807753,3;98577015,67;62407200,66; ; ;41;4;29;28;7;23;87;3;1;4;3;1;1;1;1;1;1;1;1;399;399;0;399;399;0;173;173;0;202;202;0;399;399;0;87; ;13;23; ;1; ;4;1;9; ;25;2;36;8450491;3390500;1310500;16923822;11281595,87;11262950,66;0;0;0;35672461;33776266,49;33493750;5476099;50128653,31;16340000;115807753,3;98577015,67;62407200,66;,401219290098055;,666610406916357; ;,946844303509085;9,15408090869066;,851212573087712; 
42;FUNDO ESTADUAL DE ASSISTÊNCIA SOCIAL; ;MAURO RAMOS;722; ;CENTRO; ;88020-300;FLORIANOPOLIS;SC;gestaofeas@sst.sc.gov.br;(48) 36640692;692;(48) 36640800;-27.597;-48.549;1;2;2;2;0;0;0;1;1;1;1;2; ;5;1;1;0;0;0;0; ;0;1;283;283;0;283;283;0;83;83;0;0;0;0;0;0;0;0;0;9228481,11;557577,46;449181,33;6000000,04;0;0;0;12206707,29;12206707,29;0;17578131,87;12922412,64;0;30342416,62;25578301,26;15228481,15; ; ;42;4;0;0;0;1;1;1;1;2;5;1;1;0;0;0;0;0;1;283;283;0;283;283;0;83;83;0;0;0;0;0;0;0;1; ;1;4; ;1; ; ;1; ; ;5; ;5;0;0;9228481,11;557577,46;449181,33;6000000,04;0;0;0;12206707,29;12206707,29;0;17578131,87;12922412,64;0;30342416,62;25578301,26;15228481,15; ;,805594490853343; ;1;,735141409540467;,842988268875731; 
43;Secretaria de Desenvolvimento Social, Trabalho, Justiça e Direitos Humanos;3;Av. Borges de Medeiros;1501;8º andar;Centro;Centro Administrativo do Estado do Rio Grande do Sul;90119-900;PORTO ALEGRE;RS;das@sdstjdh.rs.gov.br;(51) 32886400;6483;(51) 32886526;-30.033;-51.23;1;2;0;2;0;0;2;0;2;1;1;2; ;5;1;1;1;0;0;0; ;0;0;489;489;0;473;473;0;71;71;0;4;4;0;0;0;0;0;0;3588734,08;0;0;1080000;0;0;0;0;0;0;0;0;0;0;0;4668734,08; ; ;43;4;0;0;2;0;2;1;1;2;5;1;1;1;0;0;0;0;0;489;489;0;473;473;0;71;71;0;4;4;0;0;0;0;2; ; ;3; ;2; ; ; ;3; ; ; ;3;0;0;3588734,08;0;0;1080000;0;0;0;0;0;0;0;0;0;0;0;4668734,08; ; ; ; ; ; ; 
