Variável;Rótulo
d_44_15_3bin_PopRua;d_44_15_3bin_PopRua - Principal serviço/atividade
d_44_15_3bin_Abordagem;d_44_15_3bin_Abordagem - Principal serviço/atividade
d_44_15_3bin_Cadastramento;d_44_15_3bin_Cadastramento - Principal serviço/atividade
d_44_15_3bin_Outros;d_44_15_3bin_Outros - Principal serviço/atividade
Gestao;Atividades de Gestão - mencionada, no minimo, 1 vez
PopRua;PopRua - mencionado, no mínimo, 1 vez
Abordagem;Abordagem - mencionado, no mínimo, 1 vez
Cadastramento;Cadastramento e/ou atualização cadastral (CadÚnico) -  mencionado, no mínimo, 1 vez
Outros;Outras atividades - mencionadas, no mínimo, 1 vez
d_44_15_1bin_Gestão_sum;d_44_15_1bin_Gestão_Gestão - Principal serviço/atividade
d_44_15_1bin_PopRua_sum;d_44_15_1bin_PopRua_PopRua - Principal serviço/atividade
d_44_15_1bin_Abordagem_sum;d_44_15_1bin_Abordagem_Abordagem - Principal serviço/atividade
d_44_15_1bin_Cadastramento_sum;d_44_15_1bin_Cadastramento_Cadastramento - Principal serviço/atividade
d_44_15_1bin_Outros_sum;d_44_15_1bin_Outros_Outros - Principal serviço/atividade
d_44_15_2bin_Gestão_sum;d_44_15_2bin_Gestão_Gestão - Segundo principal serviço/atividade
d_44_15_2bin_PopRua_sum;d_44_15_2bin_PopRua_PopRua - Segundo principal serviço/atividade
d_44_15_2bin_Abordagem_sum;d_44_15_2bin_Abordagem_Abordagem - Segundo principal serviço/atividade
d_44_15_2bin_Cadastramento_sum;d_44_15_2bin_Cadastramento_Cadastramento - Segundo principal serviço/atividade
d_44_15_2bin_Outros_sum;d_44_15_2bin_Outros_Outros - Segundo principal serviço/atividade
d_44_15_3bin_Gestão_sum;d_44_15_3bin_Gestão_Gestão - Terceiro principal serviço/atividade
d_44_15_3bin_PopRua_sum;d_44_15_3bin_PopRua_PopRua - Terceiro principal serviço/atividade
d_44_15_3bin_Abordagem_sum;d_44_15_3bin_Abordagem_Abordagem - Terceiro principal serviço/atividade
d_44_15_3bin_Cadastramento_sum;d_44_15_3bin_Cadastramento_Cadastramento - Terceiro principal serviço/atividade
d_44_15_3bin_Outros_sum;d_44_15_3bin_Outros_Outros - Terceiro principal serviço/atividade
