NU_IDENTIFICADOR;IBGE;Regiao;q_45_2;q_45_3;q_45_9;q_45_10;q_45_11;q_45_12;q_45_13;q_45_14;Q_completo;DataCenso;DataCenso_2018;q_45_2_rec;Idade;Faixas_etarias;d_45_9;d_45_11;d_45_9bin1;d_45_9bin2;d_45_9bin3;d_45_10bin1;d_45_10bin2;d_45_10bin3;d_45_10bin4;d_45_10bin5;d_45_11bin1;d_45_11bin2;d_45_11bin3;d_45_11bin4;d_45_9bin1_sum;d_45_9bin2_sum;d_45_9bin3_sum;d_45_10bin1_sum;d_45_10bin2_sum;d_45_10bin3_sum;d_45_10bin4_sum;d_45_10bin5_sum;d_45_11bin1_sum;d_45_11bin2_sum;d_45_11bin3_sum;d_45_11bin4_sum;nu_trabalhadores
1200403303575;12;Região Norte;14.02.1974;FEMININO;Médio Incompleto;Sem formação profissional;Servidor(a) Temporário(a);Outros;De 31 a 40 horas semanais;01/06/2017;;31.08.2018;31/ago/18;14/fev/74;44;41 a 50 anos;Nível fundamental;Outros vínculos não permanentes;Nível fundamental;;;;;;;;;;;Outros vínculos não permanentes;8,00;7,00;6,00;1,00;1,00;0,00;0,00;1,00;10,00;0,00;0,00;11,00;21
1200403303575;12;Região Norte;24.12.1988;FEMININO;Médio Completo;Sem formação profissional;Trabalhador(a) de empresa/cooperativa/entidade prestadora de serviço;Serviços Gerais;De 31 a 40 horas semanais;27/10/2014;;31.08.2018;31/ago/18;24/dez/88;29;16 a 29 anos;Nível Médio;Outros vínculos não permanentes;;Nível Médio;;;;;;;;;;Outros vínculos não permanentes;8,00;7,00;6,00;1,00;1,00;0,00;0,00;1,00;10,00;0,00;0,00;11,00;21
1302603300863;13;Região Norte;23.12.1991;FEMININO;Médio Completo;Terapeuta Ocupacional;Empregada(o) Celetista do Setor Privado;Apoio Administrativo;De 21 a 30 horas semanais;27/07/2018;;31.08.2018;31/ago/18;23/dez/91;26;16 a 29 anos;Nível Médio;Outros vínculos não permanentes;;Nível Médio;;;;;;;;;;Outros vínculos não permanentes;1,00;6,00;5,00;0,00;1,00;0,00;0,00;1,00;5,00;0,00;0,00;7,00;12
1302603300863;13;Região Norte;26.06.1992;MASCULINO;Especialização;Socióloga(o);Servidor(a)/Estatutário(a);Estagiário(a);De 11 a 20 horas semanais;27/06/2018;;31.08.2018;31/ago/18;26/jun/92;26;16 a 29 anos;Nível Superior;Servidor Estatutário;;;Nível Superior;;;;;;Servidor Estatutário;;;;1,00;6,00;5,00;0,00;1,00;0,00;0,00;1,00;5,00;0,00;0,00;7,00;12
1302603300863;13;Região Norte;20.05.1995;FEMININO;Superior Incompleto;Psicóloga(o);Sem vínculo;Estagiário(a);Até 10 horas semanais;27/06/2018;;31.08.2018;31/ago/18;20/mai/95;23;16 a 29 anos;Nível Médio;Outros vínculos não permanentes;;Nível Médio;;;;;;Psicólogo;;;;Outros vínculos não permanentes;1,00;6,00;5,00;0,00;1,00;0,00;0,00;1,00;5,00;0,00;0,00;7,00;12
1302603300863;13;Região Norte;06.10.1953;FEMININO;Superior Completo;Assistente Social;Servidor(a)/Estatutário(a);Técnico(a) de Nível Superior;De 31 a 40 horas semanais;01/06/1978;;31.08.2018;31/ago/18;06/out/53;64;Mais de 60 anos;Nível Superior;Servidor Estatutário;;;Nível Superior;;Assistente Social;;;;Servidor Estatutário;;;;1,00;6,00;5,00;0,00;1,00;0,00;0,00;1,00;5,00;0,00;0,00;7,00;12
1302603300863;13;Região Norte;03.03.1960;FEMININO;Especialização;Administrador(a);Empregada(o) Celetista do Setor Privado;Coordenador(a);De 21 a 30 horas semanais;13/07/2018;;31.08.2018;31/ago/18;03/mar/60;58;51 a 60 anos;Nível Superior;Outros vínculos não permanentes;;;Nível Superior;;;;;;;;;Outros vínculos não permanentes;1,00;6,00;5,00;0,00;1,00;0,00;0,00;1,00;5,00;0,00;0,00;7,00;12
1302603300863;13;Região Norte;09.05.1966;FEMININO;Médio Completo;Sem formação profissional;Servidor(a)/Estatutário(a);Apoio Administrativo;De 31 a 40 horas semanais;03/05/1984;;31.08.2018;31/ago/18;09/mai/66;52;51 a 60 anos;Nível Médio;Servidor Estatutário;;Nível Médio;;;;;;;Servidor Estatutário;;;;1,00;6,00;5,00;0,00;1,00;0,00;0,00;1,00;5,00;0,00;0,00;7,00;12
1302603300863;13;Região Norte;16.01.1966;FEMININO;Especialização;Administrador(a);Trabalhador(a) de empresa/cooperativa/entidade prestadora de serviço;Técnico(a) de Nível Superior;De 21 a 30 horas semanais;05/07/2018;;31.08.2018;31/ago/18;16/jan/66;52;51 a 60 anos;Nível Superior;Outros vínculos não permanentes;;;Nível Superior;;;;;;;;;Outros vínculos não permanentes;1,00;6,00;5,00;0,00;1,00;0,00;0,00;1,00;5,00;0,00;0,00;7,00;12
1302603300863;13;Região Norte;17.05.1954;FEMININO;Médio Completo;Sem formação profissional;Servidor(a)/Estatutário(a);Serviços Gerais;De 31 a 40 horas semanais;15/07/1996;;31.08.2018;31/ago/18;17/mai/54;64;Mais de 60 anos;Nível Médio;Servidor Estatutário;;Nível Médio;;;;;;;Servidor Estatutário;;;;1,00;6,00;5,00;0,00;1,00;0,00;0,00;1,00;5,00;0,00;0,00;7,00;12
1302603300863;13;Região Norte;01.03.1969;MASCULINO;Superior Incompleto;Profissional de nível médio;Servidor(a) Temporário(a);Apoio Administrativo;De 31 a 40 horas semanais;04/02/1996;;31.08.2018;31/ago/18;01/mar/69;49;41 a 50 anos;Nível Médio;Outros vínculos não permanentes;;Nível Médio;;;;;;;;;;Outros vínculos não permanentes;1,00;6,00;5,00;0,00;1,00;0,00;0,00;1,00;5,00;0,00;0,00;7,00;12
1302603300863;13;Região Norte;10.09.1969;MASCULINO;Médio Completo;Sem formação profissional;Servidor(a)/Estatutário(a);Serviços Gerais;De 31 a 40 horas semanais;17/07/1996;;31.08.2018;31/ago/18;10/set/69;48;41 a 50 anos;Nível Médio;Servidor Estatutário;;Nível Médio;;;;;;;Servidor Estatutário;;;;1,00;6,00;5,00;0,00;1,00;0,00;0,00;1,00;5,00;0,00;0,00;7,00;12
