IBGE;UF;Região;Pop_Total2010;Quant_municipios;q0_1;q0_2;q0_3;q0_4;q0_5;q0_6;q0_7;q0_8;q0_9;q0_10;q0_11;q0_12;q0_13;q0_14;Latitude;p_longitude;q1;q2;q3;q4;q5_1;q5_2;q5_3;q5_4;q5_5;q6;q6_4_99;q7;q7_4_99;q8;q9;q10;q11;q11_4_99;q12;q13_1;q13_2;q13_3;q13_4;q13_5;q13_99;q13_99_1;q14;q15;q16_1_1;q16_1_2;q16_1_3;q16_2_1;q16_2_2;q16_2_3;q16_3_1;q16_3_2;q16_3_3;q16_4_1;q16_4_2;q16_4_3;q17_1;q17_2;q17_3;q18_1_1;q18_1_1_98;q18_2_1;q18_2_1_98;q18_3_1;q18_3_1_98;q18_1_2;q18_1_2_98;q18_2_2;q18_2_2_98;q18_3_2;q18_3_2_98;q18_1_3;q18_1_3_98;q18_2_3;q18_2_3_98;q18_3_3;q18_3_3_98;q18_1_4;q18_1_4_98;q18_2_4;q18_2_4_98;q18_3_4;q18_3_4_98;q18_1_5;q18_1_5_98;q18_2_5;q18_2_5_98;q18_3_5;q18_3_5_98;q18_1_6;q18_1_6_98;q18_2_6;q18_2_6_98;q18_3_6;q18_3_6_98;q18_1_7;q18_1_7_98;q18_2_7;q18_2_7_98;q18_3_7;q18_3_7_98;q19_97;q20_3;d_19_8bin1_sum;d_19_8bin2_sum;d_19_8bin3_sum;d_19_9bin1_sum;d_19_9bin2_sum;d_19_9bin3_sum;d_19_9bin4_sum;d_19_9bin5_sum;d_19_10bin1_sum;d_19_10bin2_sum;d_19_10bin3_sum;d_19_10bin4_sum;nu_trabalhadores;q18_1_1_velha;q18_2_1_velha;q18_3_1_velha;q18_1_2_velha;q18_2_2_velha;q18_3_2_velha;q18_1_3_velha;q18_2_3_velha;q18_3_3_velha;q18_1_4_velha;q18_2_4_velha;q18_3_4_velha;q18_1_5_velha;q18_2_5_velha;q18_3_5_velha;q18_1_6_velha;q18_2_6_velha;q18_3_6_velha
24;RN;Nordeste;3168027;167;FUNDO ESTADUAL DE ASSISTÊNCIA SOCIAL;Rodovia;CENTRO ADMINISTRATIVO DO ESTADO, BR 101, KM 0;BL 1;;LAGOA NOVA;;59064-901;NATAL;RN;feas-sethas@rn.gov.br;(84) 32321801;#NULO!;(84) 32321830;-5827854617795790;-35214003324508600,0000000000000000;Sim;O(a) Secretário(a) Estadual de Assistência Social;Não, os recursos próprios do Estado não são alocados no FEAS;Sim, com recursos de outras fontes;0;0;1;0;1;Exclusivamente pela Secretaria Estadual de Assistência Social;;Exclusivamente pela Secretaria Estadual de Assistência Social;;Sim, fora do fundo;Sim, apenas fundo-a-fundo;Não;O cofinanciamento é realizado por nível de proteção (Proteção Social Básica/Proteção Social Especial);;Anualmente;Não;Sim;Não;Não;Não;Não;#NULO!;Não;Não;49;49;0;0;0;0;49;49;0;0;0;0;0;0;0;0,00;#NULO!;0,00;#NULO!;0,00;#NULO!;2467200,00;#NULO!;2467200,00;#NULO!;1794000,00;#NULO!;0,00;#NULO!;0,00;#NULO!;0,00;#NULO!;0,00;#NULO!;0,00;#NULO!;0,00;#NULO!;0,00;#NULO!;0,00;#NULO!;0,00;#NULO!;0,00;#NULO!;0,00;#NULO!;0,00;#NULO!;2467200,00;#NULO!;2467200,00;#NULO!;1794000,00;#NULO!;#NULO!;25/nov/19;#NULO!;1,00;2,00;#NULO!;1,00;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;3,00;#NULO!;3;0,00;0,00;0,00;2467200,00;2467200,00;1794000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
25;PB;Nordeste;3766528;223;FUNDO ESTADUAL DE ASSISTÊNCIA SOCIAL;Avenida;Desembargador Souto Maior;288;;Centro;;58013-190;JOAO PESSOA;PB;gabinete.sedh@sedh.pb.gov.br;(83) 32186658;#NULO!;(83) 32186658;-716540343310568;-34869784109888,0000000000000000;Sim;O(a) Secretário(a) Estadual de Assistência Social;Sim, a maior parte dos recursos próprios é alocada no FEAS;Não;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;;#NULO!;;#NULO!;Sim, apenas fundo-a-fundo;Sim;O cofinanciamento é realizado por nível de proteção (Proteção Social Básica/Proteção Social Especial);;Anualmente;Sim;Sim;Sim;Sim;Não;Não;#NULO!;Não;Não;223;223;0;193;193;0;68;68;0;4;4;0;143;143;0;0,00;#NULO!;0,00;#NULO!;3210891,32;#NULO!;0,00;#NULO!;0,00;#NULO!;1634535,60;#NULO!;0,00;#NULO!;0,00;#NULO!;352447,20;#NULO!;0,00;#NULO!;0,00;#NULO!;0,00;#NULO!;0,00;#NULO!;0,00;#NULO!;0,00;#NULO!;0,00;#NULO!;0,00;#NULO!;0,00;#NULO!;0,00;#NULO!;0,00;#NULO!;5197874,12;#NULO!;#NULO!;22/nov/19;#NULO!;#NULO!;1,00;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;1,00;1;0,00;0,00;3210891,32;0,00;0,00;1634535,60;0,00;0,00;352447,20;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
26;PE;Nordeste;8796448;185;FUNDO ESTADUAL DE ASSISTÊNCIA SOCIAL;Rua;GERVÁSIO PIRES;399;;BOA VISTA;PRÉDIO DO PRORURAL;50050-070;RECIFE;PE;severino.ssilva@sdscj.pe.gov.br;(81) 31830781;#NULO!;(81) 31833093;-8054;-34881,0000000000000000;Sim;O(a) Secretário(a) Estadual de Assistência Social;Sim, a totalidade dos recursos próprios é alocada no FEAS;Sim, com recursos do Fundo Estadual de Assistência Social (FEAS);0;0;0;2;2;Em mais de uma secretaria estadual, incluindo a da Assistência Social;;Centralizados em apenas uma secretaria do estado (Ex Secretaria de administração, economia etc.);;Sim, dentro do fundo;Sim, apenas fundo-a-fundo;Sim;O cofinanciamento é realizado por serviço socioassistencial (PAIF, PAEFI, entre outros);;Não possui frequência regular;Sim;Sim;Sim;Sim;Não;Não;#NULO!;Sim;Não;184;184;0;184;184;0;61;61;0;18;18;0;61;61;0;836234,83;#NULO!;0,00;#NULO!;836234,83;#NULO!;4436842,13;#NULO!;1544347,13;#NULO!;2892495,00;#NULO!;529400,00;#NULO!;0,00;#NULO!;529400,00;#NULO!;2454744,73;#NULO!;2454744,73;#NULO!;0,00;#NULO!;2568941,63;#NULO!;2568941,63;#NULO!;0,00;#NULO!;18166729,45;#NULO!;18046489,45;#NULO!;120240,00;#NULO!;28992892,77;#NULO!;24614522,94;#NULO!;4378369,83;#NULO!;#NULO!;14/nov/19;2,00;3,00;8,00;#NULO!;2,00;#NULO!;1,00;#NULO!;8,00;#NULO!;2,00;3,00;13;836234,83;0,00;836234,83;4436842,13;1544347,13;2892495,00;529400,00;0,00;529400,00;2454744,73;2454744,73;0,00;2568941,63;2568941,63;0,00;18166729,45;18046489,45;120240,00
27;AL;Nordeste;3120494;102;FUNDO ESTADUAL DE ASSISTÊNCIA SOCIAL;Avenida;Av. Comendador Calaça;1399;Prédio;Poço;Secretaria de Estado da Assistência e Desenvolvimento Social;57025-640;MACEIO;AL;gabineteassistenciasocial@hotmail.com;(82) 33152887;#NULO!;-82;-9658398203314570;-3572522163391110,0000000000000000;Sim;O(a) Secretário(a) Estadual de Assistência Social;Sim, a maior parte dos recursos próprios é alocada no FEAS;Sim, com recursos do Fundo Estadual de Assistência Social (FEAS);0;0;0;8;8;Centralizados em apenas uma secretaria do estado (Ex Secretaria de administração, economia etc.);;Centralizados em apenas uma secretaria do estado (Ex Secretaria de administração, economia etc.);;Sim, dentro do fundo;Sim, apenas fundo-a-fundo;Sim;O cofinanciamento é realizado por nível de proteção (Proteção Social Básica/Proteção Social Especial);;Anualmente;Sim;Sim;Não;Não;Não;Não;#NULO!;Não;Não;81;81;0;70;70;0;40;40;0;0;0;0;0;0;0;4528000,00;#NULO!;0,00;#NULO!;3564000,00;#NULO!;1440000,00;#NULO!;0,00;#NULO!;960000,00;#NULO!;0,00;#NULO!;0,00;#NULO!;0,00;#NULO!;0,00;#NULO!;0,00;#NULO!;0,00;#NULO!;0,00;#NULO!;313,43;#NULO!;0,00;#NULO!;65027445,60;#NULO!;52015929,38;#NULO!;0,00;#NULO!;70995445,60;#NULO!;52016242,81;#NULO!;4524000,00;#NULO!;#NULO!;28/nov/19;#NULO!;4,00;10,00;#NULO!;#NULO!;#NULO!;2,00;#NULO!;5,00;#NULO!;6,00;3,00;14;4528000,00;0,00;3564000,00;1440000,00;0,00;960000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;313,43;0,00;65027445,60;52015929,38;0,00
28;SE;Nordeste;2068017;75;FUNDO ESTADUAL DE ASSISTÊNCIA SOCIAL;Rua;SANTA LUZIA;680;;SAO JOSE;PROXIMO AO PROCOM;49015-190;ARACAJU;SE;gabinte@inclusao.se.gov.br;(79) 31794836;#NULO!;(79) 31794836;-10994155720353;-370949070793604,0000000000000000;Sim;O(a) Secretário(a) Estadual de Assistência Social;Sim, a maior parte dos recursos próprios é alocada no FEAS;Não;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;;#NULO!;;#NULO!;Sim, apenas fundo-a-fundo;Sim;O cofinanciamento é realizado por nível de proteção (Proteção Social Básica/Proteção Social Especial);;Mensalmente;Sim;Sim;Sim;Sim;Não;Não;#NULO!;Sim;Não;75;75;0;75;75;0;75;75;0;31;31;0;7;7;0;#NULO!;Sim;570206,98;#NULO!;0,00;#NULO!;#NULO!;Sim;14157140,96;#NULO!;2618180,00;#NULO!;#NULO!;Sim;1186200,00;#NULO!;0,00;#NULO!;#NULO!;Sim;41468,58;#NULO!;0,00;#NULO!;#NULO!;Sim;28588,86;#NULO!;0,00;#NULO!;#NULO!;Sim;116650,67;#NULO!;0,00;#NULO!;#NULO!;Sim;16100256,05;#NULO!;2618180,00;#NULO!;#NULO!;29/nov/19;#NULO!;3,00;3,00;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;2,00;#NULO!;4,00;#NULO!;6;#NULO!;570206,98;0,00;#NULO!;14157140,96;2618180,00;#NULO!;1186200,00;0,00;#NULO!;41468,58;0,00;#NULO!;28588,86;0,00;#NULO!;116650,67;0,00
29;BA;Nordeste;14016906;417;FUNDO ESTADUAL DE ASSISTÊNCIA SOCIAL;Avenida;AV. LUIS VIANA FILHO;390;3ª AVENIDA;CAB;No prédio da Governadoria;40301-155;SALVADOR;BA;feas@sedesba.ba.gov.br;(71) 31150311;#NULO!;-71;-1.29493562638966E+16;-3843086242675780,0000000000000000;Sim;Outro(a) Funcionário(a) da Secretaria de Assistência Social;Sim, a totalidade dos recursos próprios é alocada no FEAS;Sim, com recursos do Fundo Estadual de Assistência Social (FEAS);0;0;2;0;2;Exclusivamente pela Secretaria Estadual de Assistência Social;;Centralizados em apenas uma secretaria do estado (Ex Secretaria de administração, economia etc.);;Sim, dentro do fundo;Sim, apenas fundo-a-fundo;Sim;O cofinanciamento é realizado por nível de proteção (Proteção Social Básica/Proteção Social Especial);;Mensalmente;Sim;Sim;Sim;Sim;Não;Não;#NULO!;Sim;Não;417;417;0;417;417;0;231;231;0;98;98;0;362;362;0;18000000,00;#NULO!;10081486,00;#NULO!;10081486,00;#NULO!;16000000,00;#NULO!;7322464,57;#NULO!;7322464,57;#NULO!;3000000,00;#NULO!;1174240,00;#NULO!;1174240,00;#NULO!;0,00;#NULO!;0,00;#NULO!;0,00;#NULO!;0,00;#NULO!;0,00;#NULO!;0,00;#NULO!;0,00;#NULO!;0,00;#NULO!;0,00;#NULO!;37000000,00;#NULO!;18578190,57;#NULO!;18578190,57;#NULO!;#NULO!;20/nov/19;1,00;5,00;9,00;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;5,00;#NULO!;9,00;1,00;15;18000000,00;10081486,00;10081486,00;16000000,00;7322464,57;7322464,57;3000000,00;1174240,00;1174240,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
31;MG;Sudeste;19597330;853;FUNDO ESTADUAL DE ASSISTÊNCIA SOCIAL;Rodovia;Papa João Paulo II;4143;14º andar - Prédio Minas;SERRA VERDE;;30630-900;BELO HORIZONTE;MG;dgfeas@social.mg.gov.br;(31) 39168042;#NULO!;-31;-1978195103138730;-4395092010454390,0000000000000000;Sim;O(a) Secretário(a) Estadual de Assistência Social;Sim, a totalidade dos recursos próprios é alocada no FEAS;Sim, com recursos do Fundo Estadual de Assistência Social (FEAS);0;0;29;0;29;Exclusivamente pela Secretaria Estadual de Assistência Social;;Outros. Especifique quais envolvidos;Secretaria de Estado de Desenvolvimento Social;Não;Sim, apenas fundo-a-fundo;Sim;O cofinanciamento é comum a todos os serviços socioassistenciais;;Mensalmente;Sim;Sim;Sim;Sim;Não;Sim;#NULO!;Sim;Não;853;853;0;853;853;0;853;853;0;853;853;0;853;853;0;2968000,00;#NULO!;0,00;#NULO!;0,00;#NULO!;19148928,00;#NULO!;6977978,55;#NULO!;0,00;#NULO!;0,00;#NULO!;0,00;#NULO!;0,00;#NULO!;0,00;#NULO!;0,00;#NULO!;0,00;#NULO!;10000000,00;#NULO!;0,00;#NULO!;0,00;#NULO!;54045703,00;#NULO!;0,00;#NULO!;0,00;#NULO!;86162631,00;#NULO!;6977978,55;#NULO!;0,00;#NULO!;#NULO!;22/nov/19;1,00;6,00;6,00;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;8,00;#NULO!;2,00;3,00;13;2968000,00;0,00;0,00;19148928,00;6977978,55;0,00;0,00;0,00;0,00;0,00;0,00;0,00;10000000,00;0,00;0,00;54045703,00;0,00;0,00
32;ES;Sudeste;3514952;78;FUNDO ESTADUAL DE ASSISTÊNCIA SOCIAL;Rua;Doutor João Carlos de Souza;107;Ed. Green Tower;Barro Vermelho;Em frente do MS Buffet;29057-530;VITORIA;ES;gestaosuas@setades.es.gov.br;(27) 36366883;#NULO!;-27;-2.02928266545166E+16;-4029888421297070,0000000000000000;Sim;O(a) Secretário(a) Estadual de Assistência Social;Sim, a maior parte dos recursos próprios é alocada no FEAS;Sim, com recursos do Fundo Estadual de Assistência Social (FEAS);0;0;1;0;1;Em mais de uma secretaria estadual, incluindo a da Assistência Social;;Centralizados em apenas uma secretaria do estado (Ex Secretaria de administração, economia etc.);;Sim, dentro do fundo;Sim, apenas fundo-a-fundo;Sim;O cofinanciamento é realizado por nível de proteção (Proteção Social Básica/Proteção Social Especial);;Semestralmente;Sim;Sim;Sim;Sim;Não;Não;#NULO!;Sim;Sim, houve repasse de recursos aos municípios para construção e/ou reforma de unidades da assistência social;78;78;0;78;78;0;73;73;0;64;64;0;78;78;0;14337223,00;#NULO!;0,00;#NULO!;14289745,00;#NULO!;33308756,64;#NULO!;5776481,64;#NULO!;27448432,00;#NULO!;23143389,51;#NULO!;17171050,46;#NULO!;3100000,00;#NULO!;15526598,96;#NULO!;11952002,00;#NULO!;0,00;#NULO!;675239,00;#NULO!;632392,40;#NULO!;0,00;#NULO!;17056075,01;#NULO!;15090782,46;#NULO!;0,00;#NULO!;104047282,12;#NULO!;50622708,96;#NULO!;44838177,00;#NULO!;#NULO!;27/nov/19;#NULO!;3,00;7,00;#NULO!;2,00;#NULO!;#NULO!;#NULO!;3,00;#NULO!;7,00;#NULO!;10;14337223,00;0,00;14289745,00;33308756,64;5776481,64;27448432,00;23143389,51;17171050,46;3100000,00;15526598,96;11952002,00;0,00;675239,00;632392,40;0,00;17056075,01;15090782,46;0,00
33;RJ;Sudeste;15989929;92;FUNDO ESTADUAL DE ASSISTÊNCIA SOCIAL;Avenida;Erasmo Braga;118;;CENTRO;;20020-001;RIO DE JANEIRO;RJ;ssasdg@gmail.com;(21) 23326398;#NULO!;-21;-2.29045940132302E+16;-4317371606826780,0000000000000000;Sim;O(a) Secretário(a) Estadual de Assistência Social;Sim, a totalidade dos recursos próprios é alocada no FEAS;Sim, com recursos do FEAS e de outras fontes;0;0;12;0;12;Exclusivamente pela Secretaria Estadual de Assistência Social;;Por mais de uma secretaria incluindo a da Assistência Social;;Sim, dentro do fundo;Sim, apenas fundo-a-fundo;Sim;O cofinanciamento é realizado por nível de proteção (Proteção Social Básica/Proteção Social Especial);;Trimestralmente;Sim;Sim;Sim;Sim;Não;Não;#NULO!;Sim;Não;92;92;0;92;92;0;88;88;0;66;66;0;64;64;0;18750000,00;#NULO!;18437577,24;#NULO!;18037543,34;#NULO!;16618400,00;#NULO!;16308720,00;#NULO!;16308720,00;#NULO!;#NULO!;Sim;#NULO!;Sim;#NULO!;Sim;#NULO!;Sim;#NULO!;Sim;#NULO!;Sim;#NULO!;Sim;#NULO!;Sim;#NULO!;Sim;#NULO!;Sim;#NULO!;Sim;#NULO!;Sim;35368400,00;#NULO!;34746297,24;#NULO!;34346263,34;#NULO!;#NULO!;09/dez/19;1,00;#NULO!;4,00;1,00;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;3,00;2,00;5;18750000,00;18437577,24;18037543,34;16618400,00;16308720,00;16308720,00;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!
35;SP;Sudeste;41262199;645;FUNDO ESTADUAL DE ASSISTÊNCIA SOCIAL;Rua;BELA CINTRA;1032;4º ANDAR;CERQUEIRA CESAR;Próximo à Avenida Paulista.;01415-000;SAO PAULO;SP;ricardofelleger@sp.gov.br;(11) 27638172;#NULO!;-11;-2.35559474212601E+16;-4666155874729150,0000000000000000;Sim;Outro(a) Funcionário(a) da Secretaria de Assistência Social;Sim, a totalidade dos recursos próprios é alocada no FEAS;Sim, com recursos do Fundo Estadual de Assistência Social (FEAS);0;0;14;0;14;Exclusivamente pela Secretaria Estadual de Assistência Social;;Centralizados em apenas uma secretaria do estado (Ex Secretaria de administração, economia etc.);;Não;Sim, por ambos;Sim;Outra organização.;Proteção Social Básica / Proteção Social Especial de Média Complexidade / Proteção Social Especial de Alta Complexidade;Mensalmente;Sim;Sim;Sim;Não;Não;Não;#NULO!;Sim;Não;644;644;24;629;629;21;351;351;3;335;335;0;0;0;0;100414726,00;#NULO!;82528178,42;#NULO!;81459722,16;#NULO!;124072459,00;#NULO!;123321045,33;#NULO!;115369411,20;#NULO!;0,00;#NULO!;0,00;#NULO!;0,00;#NULO!;76608863,08;#NULO!;75377946,78;#NULO!;0,00;#NULO!;111122966,00;#NULO!;111065536,46;#NULO!;0,00;#NULO!;3398996,92;#NULO!;3228371,72;#NULO!;3030000,00;#NULO!;415618011,00;#NULO!;395521078,71;#NULO!;199859133,36;#NULO!;#NULO!;16/out/19;#NULO!;#NULO!;12,00;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;5,00;#NULO!;7,00;#NULO!;12;100414726,00;82528178,42;81459722,16;124072459,00;123321045,33;115369411,20;0,00;0,00;0,00;76608863,08;75377946,78;0,00;111122966,00;111065536,46;0,00;3398996,92;3228371,72;3030000,00
41;PR;Sul;10444526;399;FUNDO ESTADUAL DE ASSISTÊNCIA SOCIAL;Rua;JACY LOUREIRO DE CAMPOS;0;PALÁCIO DAS ARAUCÁRIAS;CENTRO CÍVICO;;80530-915;CURITIBA;PR;gabinete@seds.pr.gov.br;(41) 32102447;#NULO!;-41;-2.54149040537105E+16;-4926977634429930,0000000000000000;Sim;O(a) Secretário(a) Estadual de Assistência Social;Sim, a totalidade dos recursos próprios é alocada no FEAS;Sim, com recursos do FEAS e de outras fontes;0;0;0;0;0;Exclusivamente pela Secretaria Estadual de Assistência Social;;Centralizados em apenas uma secretaria do estado (Ex Secretaria de administração, economia etc.);;Sim, dentro do fundo;Sim, por ambos;Sim;Outra organização.;O cofinanciamento é por serviço, por nível de proteção e para vários serviços, bem como aprimoramento da gestão;Trimestralmente;Sim;Sim;Sim;Sim;Sim;Não;#NULO!;Sim;Sim, houve repasse de recursos aos municípios para construção e/ou reforma de unidades da assistência social;394;394;0;328;328;0;329;329;0;191;191;0;260;260;0;24406445,00;#NULO!;8453404,11;#NULO!;1944000,00;#NULO!;93396798,00;#NULO!;87633105,49;#NULO!;80941800,00;#NULO!;#NULO!;Sim;#NULO!;Sim;#NULO!;Sim;14520647,00;#NULO!;12158997,75;#NULO!;10138000,00;#NULO!;46232000,00;#NULO!;40631173,07;#NULO!;8050739,39;#NULO!;2000000,00;#NULO!;2000000,00;#NULO!;500000,00;#NULO!;180555890,00;#NULO!;150876680,42;#NULO!;101574539,39;#NULO!;#NULO!;28/nov/19;#NULO!;14,00;23,00;#NULO!;1,00;#NULO!;4,00;1,00;9,00;#NULO!;26,00;2,00;37;24406445,00;8453404,11;1944000,00;93396798,00;87633105,49;80941800,00;#NULO!;#NULO!;#NULO!;14520647,00;12158997,75;10138000,00;46232000,00;40631173,07;8050739,39;2000000,00;2000000,00;500000,00
42;SC;Sul;6248436;295;FUNDO ESTADUAL DE ASSISTÊNCIA SOCIAL;Rua;Dr. Fúlvio Aducci;767;;ESTREITO;;88075-001;FLORIANOPOLIS;SC;gestaofeas@sst.sc.gov.br;(48) 36640692;692;-48;-2.7589797004342E+16;-4857505202293390,0000000000000000;Sim;O(a) Secretário(a) Estadual de Assistência Social;Sim, a maior parte dos recursos próprios é alocada no FEAS;Sim, com recursos de outras fontes;0;0;0;1;1;Em mais de uma secretaria estadual, incluindo a da Assistência Social;;Centralizados em apenas uma secretaria do estado (Ex Secretaria de administração, economia etc.);;Sim, dentro do fundo;Sim, apenas fundo-a-fundo;Sim;O cofinanciamento é realizado por nível de proteção (Proteção Social Básica/Proteção Social Especial);;Anualmente;Sim;Sim;Não;Não;Não;Não;#NULO!;Não;Sim, houve construção e/ou reforma direta pelo estado de unidades da assistência social nos municípios.;282;282;0;282;282;0;87;87;0;0;0;0;0;0;0;12249999,13;#NULO!;0,00;#NULO!;12249999,13;#NULO!;4844152,13;#NULO!;2844152,24;#NULO!;1999999,89;#NULO!;1833294,26;#NULO!;1833294,26;#NULO!;0,00;#NULO!;15167995,80;#NULO!;15167995,80;#NULO!;0,00;#NULO!;11561949,35;#NULO!;11561949,35;#NULO!;0,00;#NULO!;606392,42;#NULO!;606392,42;#NULO!;0,00;#NULO!;46263783,09;#NULO!;32013784,07;#NULO!;14249999,02;#NULO!;#NULO!;28/nov/19;#NULO!;2,00;3,00;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;1,00;#NULO!;2,00;2,00;5;12249999,13;0,00;12249999,13;4844152,13;2844152,24;1999999,89;1833294,26;1833294,26;0,00;15167995,80;15167995,80;0,00;11561949,35;11561949,35;0,00;606392,42;606392,42;0,00
50;MS;Centro-Oeste;2449024;79;FUNDO ESTADUAL DE ASSISTÊNCIA SOCIAL;Rua;DESEMBARGADOR JOSÉ NUNES DA CUNHA, BLOCO III;S/N;;JARDIM VERANEIO;;79031-902;CAMPO GRANDE;MS;sedhast@sedhast.ms.gov.br;(67) 33184129;#NULO!;(67) 33184173;-2.04525000611303E+16;-54553590775321900,0000000000000000;Sim;O(a) Secretário(a) Estadual de Assistência Social;Sim, a maior parte dos recursos próprios é alocada no FEAS;Sim, com recursos de outras fontes;46;21;10;8;85;Centralizados em apenas uma secretaria do estado (Ex Secretaria de administração, economia etc.);;Centralizados em apenas uma secretaria do estado (Ex Secretaria de administração, economia etc.);;Sim, dentro do fundo;Sim, apenas fundo-a-fundo;Sim;Outra organização.;Valor único partilhado para cada município, com obrigatoriedade de investir até 30% para Benefícios Eventuais, e ainda, incentivos adicionais conforme demanda.;Mensalmente;Sim;Sim;Sim;Sim;Não;Não;#NULO!;Sim;Não;79;79;79;79;79;79;79;79;79;79;79;79;79;79;0;0,00;#NULO!;0,00;#NULO!;0,00;#NULO!;0,00;#NULO!;0,00;#NULO!;0,00;#NULO!;0,00;#NULO!;0,00;#NULO!;0,00;#NULO!;0,00;#NULO!;0,00;#NULO!;0,00;#NULO!;85020300,00;#NULO!;99103448,82;#NULO!;0,00;#NULO!;134699000,00;#NULO!;93221378,62;#NULO!;13822159,83;#NULO!;219719300,00;#NULO!;192324827,44;#NULO!;13822159,83;#NULO!;#NULO!;23/out/19;#NULO!;10,00;15,00;3,00;2,00;#NULO!;#NULO!;1,00;17,00;#NULO!;8,00;#NULO!;25;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;85020300,00;99103448,82;0,00;134699000,00;93221378,62;13822159,83
51;MT;Centro-Oeste;3035122;141;FUNDO ESTADUAL DE ASSISTÊNCIA SOCIAL;Rua;Júlio Domingos de Campos;100;;Centro Político Administrativo;Próximo a Casa Civil Mato Grosso;78049-931;CUIABA;MT;patriciacamargo@setasc.mt.gov.br;(65) 36135773;#NULO!;-65;-1.55664536860557E+16;-5607413828372950,0000000000000000;Sim;Outro(a) Funcionário(a) da Secretaria de Assistência Social;Sim, a menor parte dos recursos próprios é alocada no FEAS;Não;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;;#NULO!;;#NULO!;Sim, apenas fundo-a-fundo;Sim;O cofinanciamento é comum a todos os serviços socioassistenciais;;Não possui frequência regular;Não;Não;Não;Não;Não;Sim;#NULO!;Não;Não;141;141;0;141;141;0;45;45;0;75;75;0;141;141;0;0,00;#NULO!;0,00;#NULO!;0,00;#NULO!;0,00;#NULO!;0,00;#NULO!;0,00;#NULO!;0,00;#NULO!;0,00;#NULO!;0,00;#NULO!;0,00;#NULO!;0,00;#NULO!;0,00;#NULO!;0,00;#NULO!;0,00;#NULO!;0,00;#NULO!;11579753,63;#NULO!;6249699,18;#NULO!;4126118,00;#NULO!;11579753,63;#NULO!;6249699,18;#NULO!;4126118,00;#NULO!;#NULO!;22/nov/19;#NULO!;#NULO!;5,00;1,00;#NULO!;#NULO!;#NULO!;#NULO!;3,00;#NULO!;2,00;#NULO!;5;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;11579753,63;6249699,18;4126118,00
52;GO;Centro-Oeste;6003788;246;FUNDO ESTADUAL DE ASSISTÊNCIA SOCIAL;Praça;Dr. Pedro Ludovico Teixeira;332;;Setor Central;;74003-010;GOIANIA;GO;feasgoias@gmail.com;(62) 32019187;#NULO!;-62;-1668063635115390;-4925490617752070,0000000000000000;Sim;O(a) Secretário(a) Estadual de Assistência Social;Sim, a menor parte dos recursos próprios é alocada no FEAS;Sim, com recursos de outras fontes;0;74;56;20;150;Exclusivamente pela Secretaria Estadual de Assistência Social;;Exclusivamente pela Secretaria Estadual de Assistência Social;;Sim, dentro do fundo;Sim, por ambos;Sim;O cofinanciamento é realizado por nível de proteção (Proteção Social Básica/Proteção Social Especial);;Não possui frequência regular;Sim;Sim;Não;Sim;Não;Não;#NULO!;Não;Não;106;0;106;0;0;0;74;0;74;76;0;76;0;0;0;0,00;#NULO!;0,00;#NULO!;0,00;#NULO!;0,00;#NULO!;0,00;#NULO!;0,00;#NULO!;0,00;#NULO!;0,00;#NULO!;0,00;#NULO!;0,00;#NULO!;0,00;#NULO!;0,00;#NULO!;0,00;#NULO!;0,00;#NULO!;0,00;#NULO!;0,00;#NULO!;0,00;#NULO!;0,00;#NULO!;0,00;#NULO!;0,00;#NULO!;0,00;#NULO!;#NULO!;29/nov/19;#NULO!;#NULO!;2,00;#NULO!;1,00;#NULO!;#NULO!;#NULO!;#NULO!;1,00;1,00;#NULO!;2;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
