IBGE;IBGE7;UF;Regiao;Município;Pop_total_2010;Pop_Urbana2010;Pop_Rural2010;Porte_pop2010;areaKm2;NU_IDENTIFICADOR;ident_0_1;ident_0_2;ident_0_3;ident_0_4;ident_0_5;ident_0_6;ident_0_7;ident_0_8;ident_0_9;ident_0_10;ident_0_11;ident_0_12;ident_0_13;ident_0_14;Latitude;Longitude;q_1;q_2_1;q_2_2;q_2_3;q_2_4;q_3_1;q_3_2;q_4;q_5;q_6;q_7;q_7_1;q_8_1;q_8_2;q_8_3;q_8_0;q_9_1;q_9_2;q_9_3;q_9_0;q_9_3_1;q_10_0;q_10_1;q_10_2;q_10_3;q_10_4;q_10_5;q_10_6;q_10_7;q_10_8;q_10_9;q_10_10;q_10_99;q_11_1;q_11_2;q_11_3;q_11_4;q_11_99;q_11_0;q_11_99_1;q_12;q_12_1;q_13_1;q_13_2;q_13_3;q_13_4;q_13_5;q_13_6;q_13_7;q_13_8;q_13_9;q_13_10;q_13_11;q_13_12;q_13_0;q_14;q_15_1;q_15_2;q_15_3;q_15_4;q_15_5;q_15_6;q_16;q_17_1;q_17_2;q_17_3;q_17_4;q_17_5;q_17_99;q_17_99_1;q_18_1;q_18_2;q_18_3;q_18_4;q_18_5;q_18_6;q_18_7;q_18_8;q_18_9;q_18_10;q_18_11;q_18_12;q_18_13;q_18_14;q_18_15;q_19_1;q_19_2;q_19_3;q_19_4;q_20_1;q_20_2;q_20_3;q_20_4;q_20_5;q_20_6;q_20_0;q_20_4_1;q_20_5_1;q_21_1;q_21_2;q_21_3;q_21_4;q_21_5;q_21_6;q_21_7;q_21_8;q_21_9;q_21_10;q_21_11;q_21_12;q_21_13;q_21_14;q_21_15;q_21_16;q_21_17;q_21_18;q_21_19;q_21_20;q_21_21;q_21_22;q_21_23;q_21_24;q_21_25;q_21_24_1;q_22_1;q_22_2;q_22_3;q_22_4;q_22_5;q_22_6;q_22_7;q_22_8;q_22_9;q_22_10;q_22_11;q_22_12;q_22_13;q_22_14;q_22_15;q_22_16;q_22_17;q_22_18;q_22_19;q_22_20;q_22_21;q_22_22;q_22_23;q_22_24;q_22_25;q_23_1;q_23_2;q_23_3;q_23_4;q_23_5;q_23_6;q_23_7;q_23_8;q_23_9;q_23_10;q_23_11;q_23_12;q_23_13;q_23_14;q_23_15;q_23_16;q_23_17;q_23_18;q_23_19;q_23_20;q_23_21;q_23_22;q_23_99;q_23_0;q_23_99_1;q_24;q_25_1;q_25_2;q_25_3;q_25_4;q_25_5;q_25_6;q_25_7;q_25_8;q_25_9;q_25_10;q_25_11;q_26_1;q_26_2;q_26_3;q_26_4;q_26_5;q_26_99;q_26_99_1;q_27;q_28_1;q_28_2;q_28_3;q_28_4;q_28_5;q_28_99;q_28_99_1;q_29;q_30;q_31;q_32_1;q_32_2;q_32_3;q_32_4;q_32_5;q_32_6;q_32_7;q_32_99;q_33_1;q_33_1_99;q_33_2;q_33_2_99;q_33_3;q_33_3_99;q_33_4;q_33_4_99;q_33_5;q_33_5_99;q_33_6;q_33_6_99;q_33_7;q_33_7_99;q_34_1;q_34_1_99;q_34_2;q_34_2_99;q_35;q_35_99;q_36_1_1;q_36_1_2;q_36_1_3;q_36_1_4;q_36_1_5;q_36_1_6;q_36_1_7;q_36_1_8;q_36_1_9;q_36_1_10;q_36_2_1;q_36_2_2;q_36_2_3;q_36_2_4;q_36_2_5;q_36_2_6;q_36_2_7;q_36_2_8;q_36_2_9;q_36_2_10;q_36_3_1;q_36_3_2;q_36_3_3;q_36_3_4;q_36_3_5;q_36_3_6;q_36_3_7;q_36_3_8;q_36_3_9;q_36_3_10;q_36_4_1;q_36_4_2;q_36_4_3;q_36_4_4;q_36_4_5;q_36_4_6;q_36_4_7;q_36_4_8;q_36_4_9;q_36_4_10;q_36_5_1;q_36_5_2;q_36_5_3;q_36_5_4;q_36_5_5;q_36_5_6;q_36_5_7;q_36_5_8;q_36_5_9;q_36_5_10;q_36_6_1;q_36_6_2;q_36_6_3;q_36_6_4;q_36_6_5;q_36_6_6;q_36_6_7;q_36_6_8;q_36_6_9;q_36_6_10;q_37_1;q_37_2;q_37_3;q_37_4;q_37_5;q_37_6;q_37_7;q_37_8;q_37_9;q_37_10;q_37_11;q_37_12;q_37_13;q_37_14;q_37_99;q_37_0;q_37_99_1;q_38;q_38_1;q_39;Q_Municipio;Q_completo;d_3;d_18_atend;d_18_atend_categoria;d_18_adm_atend;d_18_adm_atend_categoria;d18_total_banheiros;d18_total_banheiro_cat;d_18_6_banheiro_trab;d_18_7_banheiro_usu;d21_telefone;d21_veiculo;d29_cap_atend_cat;d_32_1;d_32_2;d_32_3;d_32_4;d_32_5;d_32_6;d_32_7_total;d_33_1;d_33_2;d_33_3;d_33_4;d_33_5;d_33_6;d_33_7;d_34_1;d_34_2;d_35;d_38_1;d_40_9bin1_sum;d_40_9bin2_sum;d_40_9bin3_sum;d_40_10bin1_sum;d_40_10bin2_sum;d_40_10bin3_sum;d_40_10bin4_sum;d_40_10bin5_sum;d_40_11bin1_sum;d_40_11bin2_sum;d_40_11bin3_sum;d_40_11bin4_sum;nu_trabalhadores
310020;3100203;31;3;Abaeté;22690;19704;2986;2;1817,065;3100203501745;CENTRO-DIA E SIMILARES;32;padre vicente;80; ;marmelada;35620-000;ABAETE;MG;apaeabaete@rapidus.com.br;(37) 35413099; ; ;27/08/1991;-1.915.962.068.815.540;-4.544.534.325.599.670;2;1;1;1;0;5;10;2;23.776.156/0001-64;1;1; ;1;0;0;0; ; ; ;1; ;0;1;1;0;1;1;1;1;1;1;1;0;1;1;0;0;0;0; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;0;0;0;1;1;0;0;0;0;1;ransporte escolar municipal;0;0;4;2;1;1;6;1;1;1;1;0;1;1;1;2;2;1;1; ; ; ; ; ;0;1; ; ;1;0;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;0;0;0;1;0; ;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;1;0;0;0;1;1;1;0;1;0;0;1;1;1;1;1;1;1;0;0; ;1;1;1;1;1;1;1;1;1;0;1;1;1;1;0;0;0;0; ;0; ; ; ; ; ; ; ;55;5;4;0;14;9;57;2;0;82; ;13; ;2; ;3; ;21; ;6; ;3; ;0; ;0; ;57; ;0; ; ; ; ; ; ; ; ; ;0;1;1;1;1;1;0;1;0;1;0;0;1;1;1;1;0;1;0;1;0;0;1;1;1;0;0;1;0;0;0;0;1;0;1;1;0;1;0;0;0;0;1;1;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ;1;1;0;1; ;3;6;4;7;4;7;4;1;4;1;1;6;0;1;1;3;1;0;4;1;1;1;2;1;1;0;0;3;0;1;1; ;1; ; ; ; ; ; ;2; ; ;2
310030;3100302;31;3;Abre Campo;13311;7281;6030;1;470,551;3100303500565;CENTRO-DIA E SIMILARES;3;Pedro Nunes Vieira;55; ;Recanto das Àguas;35365-000;ABRE CAMPO;MG;apaeabrecampo@yahoo.com.br;(31) 38721140; ; ;12/09/1990;-20.304.121.873.308.400;-42.469.485.998.153.600;2;1;0;1;0;5;12;2;26.150.680/0001-13;1;1; ;1;0;0;0;0;1;0;0; ;0;1;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;0;0;0;1;1;0;0;0;0;0; ;3;5;2;3;2;2;2;1;1;1;1;1;0;1;0;2;2;2;2; ; ; ; ; ;0;1; ; ;1;0;1;1;1;1;0;1;0;0;1;1;1;1;1;1;1;1;1;1;0;1;0;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;0;0;0;1;1;1;0;0;0;0;0;0;1;1;1;0;1;1;0;1;0;1;0;1;0;1;0;0; ;1;1;1;1;1;1;1;0;0;0;0;0;0;0;1;0;1;0; ;1;0;0;1;0;0;0; ;20;5;4;0;10;5;35;0;0;50; ;5; ;0; ;0; ;40; ;3; ;2; ;0; ;0; ;45; ; ;1;1;1;0;1;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0; ; ; ; ; ; ; ; ;1;0;1;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;esperitualidade;0; ;3;1; ;3;13;5;15;5;4;3;2;2;1;1;2;0;1;1;2;0;0;3;1;0;0;2;1;1;0;0;3; ; ;2;1;7; ;1; ; ; ;6; ; ;4;10
310040;3100401;31;3;Acaiaca;3920;2553;1367;1;101,886;3100403501404;CENTRO-DIA E SIMILARES;3;EZEQUIEL MACHADO;224; ;CENTRO;35438-000;ACAIACA;MG;apaeacaiaca@gmail.com;(31) 38871280; ; ;06/02/2000;-20.361.586.421.507.400;-4.313.968.420.028.680;2;1;1;1;0;5;4;2;03.952.541/0001-08;1;1; ;1;0;0;0; ; ; ;1; ;0;1;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;1;1;0;0;0;1;0;0;0;0;1;0; ;4;2;0;1;1;1;4;0;1;1;1;0;1;0;0;2;2;2;2; ; ; ; ; ;0;1; ; ;1;0;1;1;1;1;1;1;0;0;1;1;0;1;1;1;1;1;1;1;1;0;0;1;0;10;1;1;0;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;0;1;1;0;1;1;0;0;0;0;0;0;1;1;1;0;1;1;0;1;0;1;0;1;0;1;0;0; ;1;1;1;1;1;1;1;1;1;1;1;0;1;0;0;0;1;0; ;1;1;0;1;0;1;0; ;35;4;4;0;6;3;19;2;0;30; ;6; ;0; ;0; ;30; ;8; ;2; ;0; ;1; ;24; ; ;1; ; ; ; ; ; ; ; ;0;1;1;1;1;1;1;1;1;1;0;0; ; ; ; ; ; ; ; ;0;1;1;1;1;1;1;1;1;1;0;0;1;1;1;1;0;1;1;0;0;0;1;1;0;0;0;1;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;0; ;0;1; ;0;7;4;8;5;5;3;1;3;1;1;4;0;1;1;1;1;0;2;1;0;0;2;1;1;0;1;2; ; ; ;2;2;1; ; ; ;1; ;1; ;3;4
310060;3100609;31;3;Água Boa;15195;7035;8160;1;1320,258;3100603501210;CENTRO-DIA E SIMILARES;32;Rua.Rosalvinho Alves de Oliveira;33; ;Centro;39790-000;AGUA BOA;MG;apaeaguaboa@yahoo.com.br;(33) 35151663; ; ;14/11/2000;-1.798.889.694.245.340;-42.393.654.584.884.600;2;1;1;1;0;5;8;2;04.282.906/0001-05;1;1; ; ; ; ;1;0;1;0;0; ;0;1;0;1;1;1;1;1;1;0;1;0;1;0;0;0;1;0;CNAS Conselho Nascional de Assistencia Social;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;0;1;0;0;0;1;0;0;0;0;0;1;Transporte escolar público;0;4;1;0;3;1;3;0;1;1;1;1;0;1;1;2;2;2;0;1;0;0;1;0;0;0;Teclado ampliado/ apoio para pescoço; ;1;0;1;1;1;1;1;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;0;0;0;0;0;0;0;0;1;0;1;1;0;1;1;0;1;1;0;1;0;0; ;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;0;0;0; ;1;1;0;1;0;0;0; ;30;5;4;0;7;8;35;5;0;55; ;2; ;0; ;0; ;55; ;0; ;3; ;2; ;4; ;37; ;14; ;1;0;0;0;0;0;0;0;0;0;1;1;1;1;0;1;1;1;0;0; ; ; ; ; ; ; ; ;0;1;1;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0; ;1;2;2;1; ;2;5;3;8;5;4;3;1;2;1;1;3;0;1;1;2;1;0;3;1;0;0;3;0;1;1;1;2;1;1; ;1;3; ;1; ; ; ;3; ; ;1;4
310090;3100906;31;3;Águas Formosas;18479;14318;4161;1;820,079;3100903501741;CENTRO-DIA E SIMILARES;32;NANUQUE;139; ;CENTRO;39880-000;AGUAS FORMOSAS;MG;apaeafmg@hotmail.com;(33) 36111959; ; ;15/02/2016;-17.079.225.408.636.000;-4.093.651.771.545.410;2;0;1;1;0;5;8;2;05.236.655/0001-87;1;1; ; ; ; ;1; ; ; ;1; ;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;0;0;0;2;1;0;0;0;0;0; ;2;3;2;2;2;1;4;1;1;1;1;0;0;1;0;1;2;1;1;1;1;1;0;0;0;0; ; ;1;0;1;1;1;1;1;0;1;0;1;1;1;0;1;1;1;1;1;1;0;0;0;0;0; ;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0; ;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0; ;3;1;0;1;1;0;0; ;30;5;4;0;0;0;23;1;0;25; ;8; ;0; ;0; ;15; ;0; ;0; ;0; ;0; ;23; ;6; ;1;1;0;1;0;1;1;1;0;0;1;1;1;1;1;1;1;1;0;0;1;1;1;1;1;1;1;1;0;0;1;1;1;1;0;1;1;1;0;0;1;1;1;1;0;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;1;1;1;0;1;0;1;1;1;1;1;1;0;0;0;0; ;1;1;2;1; ;2;9;5;11;5;5;3;1;3;1;1;3;0;0;0;2;1;0;2;1;0;0;1;0;0;0;0;2;1;1; ;3;6;1;1; ; ;1;1; ; ;8;9
310110;3101102;31;3;Aimorés;24959;19700;5259;2;1348,913;3101103502461;CENTRO-DIA E SIMILARES;32;Santos Dumont;340; ;Centro;35200-000;AIMORES;MG;aimores@apaemg.org.br;(33) 32673427; ; ;01/01/2018;-19.495.048.772.201.500;-4.106.744.813.958.350;2;0;1;1;0;5;10;2;04.137.649/0001-00;1;1; ;1;0;0;0; ; ; ;1; ;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;1;0;Conselho Municipal de Saúde;1;31011094328;1;0;0;0;0;1;1;1;0;1;1;1;0;4;1;1;1;0;0;0;1;1;1;0;0;0;0; ;2;1;1;0;1;1;2;1;1;1;1;0;1;1;1;1;1;1;1;0;0;0;1;0;0;0;Computadores; ;1;0;1;0;1;0;1;0;1;1;1;0;1;0;0;1;1;1;1;1;1;0;0;0;0; ;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;1;1;0;1;0;1;1;0;0;0;0;1;0;0;1;0;0; ;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0; ;2;1;0;1;1;1;0; ;25;4;4;0;0;0;47;3;0;50; ; ;1; ;1; ;1; ;1; ;1; ;1; ;1;2; ;20; ;15; ;1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1;1;1;0;0;1;1;1;1;1;1;1;1;0;0;1;1;1;1;1;1;1;1;0;0;1;1;1;1;1;1;1;1;0;0;1;1;1;1;1;1;0;0;0;0;1;0;1;0;1;1;1;0;0;1;1;0;0;1;0;0; ;1;2;2;1; ;3;4;3;5;3;3;2;1;2;1;1;3;0;0;0;3;1;0;3; ; ; ; ; ; ; ;1;1;1;1;1; ;4; ;1; ; ;1; ;3; ;2;5
310120;3101201;31;3;Aiuruoca;6162;3123;3039;1;649,68;3101203500641;CENTRO-DIA E SIMILARES ASSOCIAÇÃO DOS PAIS E AMIGOS DOS EXCEPCIONAIS - APAE;32;Tonico de Barros;255; ;Campo Prático;37450-000;AIURUOCA;MG;apaeaiuruoca@gmail.com;(35) 998623775; ; ;12/08/2005;-21.983.562.647.437.100;-4.460.749.626.159.660;2;1;1;1;0;5;4;2;07.223.864/0001-11;1;1; ;1;1;0;0; ; ; ;1; ;0;0;1;0;0;0;0;0;1;0;0;1;1;1;0;0;0;0; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;0;0;0;0;1;1;Transporte escolar;0;1;0;0;1;2;3;1;1;1;1;0;0;1;1;1;1;1;1;1;0;0;0;0;0;0; ; ;0;1;1;1;1;1;1;1;1;0;1;1;1;0;1;1;0;1;0;1;1;1;0;0;1; ;1;1;1;1;1;1;1;0;1;1;1;1;0;0;0;1;1;1;1;0;1;0;0;0;0;1;1;0;0;0;1;1;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ;15;4;3;0;0;0;15;1;0;16; ;1; ;0; ;0; ;6; ;8; ;0; ;0; ;1; ;2; ;2; ; ; ; ; ; ; ; ; ;1;0;1;1;1;1;1;1;1;1;0;0; ; ; ; ; ; ; ; ;0;1;1;1;1;1;1;1;1;1;0;0;1;1;1;1;1;1;1;1;0;0; ; ; ; ; ; ; ; ;1;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;1;1;3;1; ;0;1;1;2;2;5;3;2;2;1;1;2;0;0;0;1;1;0;1;1;0;0;1;1;0;0;1;1;1;1;1;1;4;2;1; ; ; ; ;2; ;4;6
310150;3101508;31;3;Além Paraíba;34349;32067;2282;2;510,25;3101503500512;CENTRO-DIA E SIMILARES ASSOCIAÇÃO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE ALÉM PARAÍBA APAE;32;Hermínio Ricardo Zamboni Filho;505; ;Vila Caxias;36660-000;ALEM PARAIBA;MG;assistenciasocialapaeap@gmail.com;(32) 34621427; ; ;20/12/2016;-21.871.853.940.314.300;-4.270.128.250.122.070;2;1;1;1;0;5;8;2;17.707.274/0001-18;1;1; ; ; ; ;1; ; ; ;1; ;0;1;0;0;0;0;1;0;0;1;0;1;1;1;0;0;1;0;Conselho Municipal de Saúde e Educação;1;31015094114;0;0;0;0;0;1;1;0;1;1;1;1;0;4;1;1;1;0;0;0;2;0;0;1;1;0;0; ;1;2;1;1;2;6;11;1;1;1;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;0;cadeira de rodas, banho, andador, bengala.;aplicativos pedagógicos.;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1; ;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;0;1;1;0;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;0; ;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;0; ;1;1;0;1;1;1;0; ;30;4;4;0;0;0;11;0;0;11; ;1; ;1; ;0; ;11; ;0; ;1; ;0; ;0; ;9; ;1; ;1;0;0;0;0;1;0;0;0;0;1;1;0;0;0;1;1;0;0;0;1;1;0;0;0;1;1;0;0;0;1;1;0;0;0;1;1;0;0;0;1;1;0;0;0;1;1;0;0;0;1;1;0;0;0;1;1;0;0;0;1;1;0;0;1;0;1;0;1;1;0;0;0;1;0;0; ;1;2;3;1; ;2;5;3;7;4;17;5;4;5;1;1;3;0;0;0;1;0;0;1;1;1;0;1;0;1;0;0;1;1;1;1;3;7; ;2; ; ;2; ; ; ;11;11
310160;3101607;31;3;Alfenas;73774;69176;4598;3;850,446;3101603502001;CENTRO-DIA E SIMILARES APAE DE ALFENAS;32;RUA GABRIEL MONTEIRO DA SILVA;1070; ;CENTRO;31130-001;ALFENAS;MG;servicosocial.alfenas@apaemg.org.br;(35) 32911159; ; ;01/11/2017;-21.420.951.681.636.800;-4.595.181.941.986.080;2;1;1;1;0;5;8;2;21.426.044/0001-58;1;1; ; ; ; ;1; ; ; ;1; ;0;1;0;0;0;0;1;0;0;1;0;0;1;1;0;1;0;0; ;1;13101602838;0;0;0;0;0;0;1;0;0;1;1;1;0;4;1;1;1;0;0;0;2;0;0;1;0;0;0; ;0;3;2;2;1;2;2;1;1;1;1;0;1;1;0;1;2;1;1;0;0;0;0;0;1;0; ; ;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;1;1;1;1;1;1;0;1;1;0;1;0;0;1;0;1;1;0;0; ;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0; ;0; ; ; ; ; ; ; ;20;5;4;0;9;1;29;0;0;39; ;8; ;2; ;2; ;23; ;0; ;9; ;0; ;0; ;29; ;0; ;1;1;0;1;0;1;0;0;0;0;1;1;1;1;0;0;1;1;0;0;1;1;1;1;0;1;0;1;0;0;1;1;1;1;0;1;0;1;0;0;1;1;1;1;0;1;0;1;0;0;1;1;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0; ;0; ;3;1; ;2;7;4;8;5;4;3;2;2;1;1;2;0;1;1;2;0;0;2;1;1;1;2;0;1;0;0;2;0; ; ;4;6;2;1; ; ;1; ;1; ;9;10
310190;3101904;31;3;Alpinópolis;18488;14990;3498;1;454,751;3101903500355;CENTRO-DIA E SIMILARES APAE DE ALPINOPOLIS;32;PROFESSOR TELLES;525; ;SAO BENEDITO;37940-000;ALPINOPOLIS;MG;apaealp@gmail.com;(35) 35231188; ; ;26/02/1987;-20.860.043.941.309.300;-4.638.744.235.038.750;2;0;1;0;0;5;4;2;20.939.567/0001-35;1;1; ;1;0;0;0; ; ; ;1; ;0;1;1;0;0;0;1;0;0;1;0;0;1;1;0;0;0;0; ;1;31019097948; ; ; ; ; ; ; ; ; ; ; ; ;1;4;1;1;0;0;0;0;2;1;0;0;0;0;0; ;1;3;1;0;3;2;2;1;1;1;1;0;0;1;0;2;2;2;2; ; ; ; ; ;0;1; ; ;1;1;1;1;1;1;1;1;0;0;1;1;1;0;1;1;0;1;1;1;1;1;0;0;0; ;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;0;0;0;0;0;0;1;1;1;0;1;1;1;1;0;1;1;1;1;1;0;0; ;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0; ;2;0;0;0;1;1;0; ;25;5;4;0;0;0;32;0;0;32; ;0; ;1; ;1; ;24; ;0; ;6; ;0; ;0; ;26; ;3; ; ; ; ; ; ; ; ; ;0;1;1;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;1;1;0;1;0;1;0;0;1;1;1;1;0;1;0;1;0;0;1;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0; ;1;2;3;1; ;0;5;3;8;5;4;3;2;2;1;1;3;0;0;0;2;0;0;2;0;1;1;2;0;1;0;0;2;1;1;4;3;17;2;1; ; ;1;5;14; ;5;24
310200;3102001;31;3;Alterosa;13717;10002;3715;1;362,01;3102003500313;CENTRO-DIA E SIMILARES PINGO LUZ;32;JOSE ALVES NOGUEIRA;735; ;CRUZEIRO;37145-000;ALTEROSA;MG;apaealterosa@redenetes.com.br;(35) 32941527; ; ;06/08/1995;-21.263.885.599.253.300;-46.147.867.441.177.300;2;1;1;1;0;5;8;2;00.909.916/0001-69;1;1; ;1;0;0;0; ; ; ;1; ;0;1;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;0;0;0;1;0;0;1;0;0;0; ;1;8;3;1;2;4;2;1;1;1;1;1;0;1;0;1;1;1;1; ; ; ; ; ;0;1; ; ;1;0;1;1;1;1;1;1;1;0;1;1;1;0;0;1;1;1;1;1;1;1;1;0;1; ;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;0;0;0;0;0;0;1;1;1;0;1;1;0;1;0;1;0;0;1;1;0;0; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ;25;5;3;0;0;0;20;3;0;23; ;1; ;0; ;0; ;21; ;0; ;1; ;0; ; ;1; ;1;0; ;1;1;0;0;0;0;0;0;0;0;1;1;1;1;0;1;0;1;0;0; ; ; ; ; ; ; ; ;1;0;1;1;1;1;0;1;0;0;0;0;1;1;1;1;1;1;0;1;0;0;1;1;1;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ;0; ;1;1; ;2;13;5;15;5;6;4;3;2;1;1;3;0;0;0;1;1;0;2;1;0;0;2;0;1;0; ; ;0; ; ;1;3;1; ; ; ;1; ;2; ;2;4
310260;3102605;31;3;Andradas;37270;28026;9244;2;469,396;3102603501362;CENTRO-DIA E SIMILARES ASSOCIAÇÃO DE PAIS E AMIGOS DOS EXCEPCIONAIS ANDRADAS;32;Raimundo Duarte Júnior;180; ;Jardim Primavera;37795-000;ANDRADAS;MG;apaeandradas@hotmail.com;(35) 37311324; ; ;04/11/1981;-22.059.292.244.142.400;-4.656.703.233.718.870;2;1;1;0;0;5;8;2;21.409.107/0001-68;1;1; ;1;0;0;0;0;1;0;0; ;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;0;1;0;1;0;2;1;0;0;1;1;0; ;4;1;1;0;3;1;2;1;1;1;1;1;0;1;1;1;1;1;1;0;0;0;0;1;0;0; ;.;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;0;1;1;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;0;Terapia com equinos;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;0;1;1;Equipe de saúde da entidade;3;1;0;0;0;1;0; ;30;5;5;0;1;7;9;0;0;17; ;0; ;0; ;0; ;0; ;12; ;5; ;0; ;0; ;14; ;0; ;1;0;1;1;0;1;0;0;0;0;1;1;1;1;1;1;1;1;0;0;1;1;1;1;1;1;1;1;0;0;1;1;1;0;0;1;1;1;0;0;1;1;1;0;0;0;0;1;0;0;1;1;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0; ;1;1;2;1; ;2;6;4;9;5;3;2;1;2;1;1;3;0;1;1;1;0;0;1;0;0;0;0;1;1;0;0;1;0;1;8;1;22; ;2; ; ;1; ;7; ;24;31
