N_Identificador;IBGE;q48_3;q48_9;q48_10;q48_11;q48_12;q48_14;IBGE7;codigo_UF;Região;Município;areaKm2;UF;Pop_total_2022;Porte_pop2022;Q_incompleto;q7;DataCenso;DataCenso_2024;d48_2_Faixas_etarias;d48_9;d48_11;d48_9bin1;d48_9bin2;d48_9bin3;d48_10bin1;d48_10bin2;d48_10bin3;d48_10bin4;d48_10bin5;d48_11bin1;d48_11bin2;d48_11bin3;d48_11bin4;d48_9bin1_sum;d48_9bin2_sum;d48_9bin3_sum;d48_10bin1_sum;d48_10bin2_sum;d48_10bin3_sum;d48_10bin4_sum;d48_10bin5_sum;d48_11bin1_sum;d48_11bin2_sum;d48_11bin3_sum;d48_11bin4_sum;nu_familias_acolhedoras
2506003313041;25; Masculino; Médio Completo; Sem formação profissional; Sem Vínculo; Família Acolhedora;14.06.2024;25;Paraíba;Região Nordeste;Esperança;-;PB;-;-;completo;Estadual;31.08.2024;8/31/2024;41 a 50 anos;Nível Médio;Outros vínculos não permanentes; ;Nível Médio; ; ; ; ; ; ; ; ; ;Outros vínculos não permanentes;10;8;2;1; ; ;1; ; ; ; ;20;20
2506003313041;25; Feminino; Médio Completo; Profissional de nível médio; Sem Vínculo; Família Acolhedora;16.01.2024;25;Paraíba;Região Nordeste;Esperança;-;PB;-;-;completo;Estadual;31.08.2024;8/31/2024;41 a 50 anos;Nível Médio;Outros vínculos não permanentes; ;Nível Médio; ; ; ; ; ; ; ; ; ;Outros vínculos não permanentes;10;8;2;1; ; ;1; ; ; ; ;20;20
2506003313041;25; Feminino; Fundamental Completo; Sem formação profissional; Sem Vínculo; Família Acolhedora;16.03.2022;25;Paraíba;Região Nordeste;Esperança;-;PB;-;-;completo;Estadual;31.08.2024;8/31/2024;41 a 50 anos;Nível fundamental;Outros vínculos não permanentes;Nível fundamental; ; ; ; ; ; ; ; ; ; ;Outros vínculos não permanentes;10;8;2;1; ; ;1; ; ; ; ;20;20
2506003313041;25; Feminino; Sem Escolaridade; Sem formação profissional; Sem Vínculo; Família Acolhedora;02.08.2023;25;Paraíba;Região Nordeste;Esperança;-;PB;-;-;completo;Estadual;31.08.2024;8/31/2024;30 a 40 anos;Nível fundamental;Outros vínculos não permanentes;Nível fundamental; ; ; ; ; ; ; ; ; ; ;Outros vínculos não permanentes;10;8;2;1; ; ;1; ; ; ; ;20;20
2506003313041;25; Masculino; Sem Escolaridade; Sem formação profissional; Sem Vínculo; Família Acolhedora;25.10.2023;25;Paraíba;Região Nordeste;Esperança;-;PB;-;-;completo;Estadual;31.08.2024;8/31/2024;30 a 40 anos;Nível fundamental;Outros vínculos não permanentes;Nível fundamental; ; ; ; ; ; ; ; ; ; ;Outros vínculos não permanentes;10;8;2;1; ; ;1; ; ; ; ;20;20
2506003313041;25; Feminino; Médio Completo; Sem formação profissional; Sem Vínculo; Família Acolhedora;17.06.2024;25;Paraíba;Região Nordeste;Esperança;-;PB;-;-;completo;Estadual;31.08.2024;8/31/2024;30 a 40 anos;Nível Médio;Outros vínculos não permanentes; ;Nível Médio; ; ; ; ; ; ; ; ; ;Outros vínculos não permanentes;10;8;2;1; ; ;1; ; ; ; ;20;20
2506003313041;25; Feminino; Fundamental Completo; Sem formação profissional; Voluntária(o); Família Acolhedora;10.04.2023;25;Paraíba;Região Nordeste;Esperança;-;PB;-;-;completo;Estadual;31.08.2024;8/31/2024;30 a 40 anos;Nível fundamental;Outros vínculos não permanentes;Nível fundamental; ; ; ; ; ; ; ; ; ; ;Outros vínculos não permanentes;10;8;2;1; ; ;1; ; ; ; ;20;20
2506003313041;25; Feminino; Sem Escolaridade; Sem formação profissional; Sem Vínculo; Família Acolhedora;19.10.2023;25;Paraíba;Região Nordeste;Esperança;-;PB;-;-;completo;Estadual;31.08.2024;8/31/2024;16 a 29 anos;Nível fundamental;Outros vínculos não permanentes;Nível fundamental; ; ; ; ; ; ; ; ; ; ;Outros vínculos não permanentes;10;8;2;1; ; ;1; ; ; ; ;20;20
2506003313041;25; Feminino; Fundamental Incompleto; Sem formação profissional; Sem Vínculo; Família Acolhedora;13.09.2023;25;Paraíba;Região Nordeste;Esperança;-;PB;-;-;completo;Estadual;31.08.2024;8/31/2024;30 a 40 anos;Nível fundamental;Outros vínculos não permanentes;Nível fundamental; ; ; ; ; ; ; ; ; ; ;Outros vínculos não permanentes;10;8;2;1; ; ;1; ; ; ; ;20;20
2506003313041;25; Feminino; Fundamental Incompleto; Sem formação profissional; Sem Vínculo; Família Acolhedora;01.07.2024;25;Paraíba;Região Nordeste;Esperança;-;PB;-;-;completo;Estadual;31.08.2024;8/31/2024;30 a 40 anos;Nível fundamental;Outros vínculos não permanentes;Nível fundamental; ; ; ; ; ; ; ; ; ; ;Outros vínculos não permanentes;10;8;2;1; ; ;1; ; ; ; ;20;20
2506003313041;25; Feminino; Fundamental Completo; Sem formação profissional; Voluntária(o); Família Acolhedora;18.04.2023;25;Paraíba;Região Nordeste;Esperança;-;PB;-;-;completo;Estadual;31.08.2024;8/31/2024;51 a 60 anos;Nível fundamental;Outros vínculos não permanentes;Nível fundamental; ; ; ; ; ; ; ; ; ; ;Outros vínculos não permanentes;10;8;2;1; ; ;1; ; ; ; ;20;20
2506003313041;25; Masculino; Médio Completo; Sem formação profissional; Servidor(a) Temporário(a); Família Acolhedora;26.01.2024;25;Paraíba;Região Nordeste;Esperança;-;PB;-;-;completo;Estadual;31.08.2024;8/31/2024;30 a 40 anos;Nível Médio;Outros vínculos não permanentes; ;Nível Médio; ; ; ; ; ; ; ; ; ;Outros vínculos não permanentes;10;8;2;1; ; ;1; ; ; ; ;20;20
2506003313041;25; Feminino; Superior Completo; Pedagoga(o); Sem Vínculo; Família Acolhedora;19.09.2023;25;Paraíba;Região Nordeste;Esperança;-;PB;-;-;completo;Estadual;31.08.2024;8/31/2024;51 a 60 anos;Nível Superior;Outros vínculos não permanentes; ; ;Nível Superior;Pedagogo; ; ; ; ; ; ; ;Outros vínculos não permanentes;10;8;2;1; ; ;1; ; ; ; ;20;20
2506903314385;25; Feminino; Fundamental Completo; Sem formação profissional; Voluntária(o); Família Acolhedora;16.08.2024;25;Paraíba;Região Nordeste;Itabaiana;-;PB;-;-;completo;Estadual;31.08.2024;8/31/2024;41 a 50 anos;Nível fundamental;Outros vínculos não permanentes;Nível fundamental; ; ; ; ; ; ; ; ; ; ;Outros vínculos não permanentes;6;1; ; ; ; ; ; ; ; ; ;7;7
2506903314385;25; Feminino; Médio Completo; Profissional de nível médio; Voluntária(o); Família Acolhedora;12.07.2023;25;Paraíba;Região Nordeste;Itabaiana;-;PB;-;-;completo;Estadual;31.08.2024;8/31/2024;51 a 60 anos;Nível Médio;Outros vínculos não permanentes; ;Nível Médio; ; ; ; ; ; ; ; ; ;Outros vínculos não permanentes;6;1; ; ; ; ; ; ; ; ; ;7;7
2506903314385;25; Feminino; Fundamental Incompleto; Sem formação profissional; Voluntária(o); Família Acolhedora;03.06.2024;25;Paraíba;Região Nordeste;Itabaiana;-;PB;-;-;completo;Estadual;31.08.2024;8/31/2024;41 a 50 anos;Nível fundamental;Outros vínculos não permanentes;Nível fundamental; ; ; ; ; ; ; ; ; ; ;Outros vínculos não permanentes;6;1; ; ; ; ; ; ; ; ; ;7;7
2506903314385;25; Feminino; Fundamental Completo; Sem formação profissional; Voluntária(o); Família Acolhedora;04.09.2024;25;Paraíba;Região Nordeste;Itabaiana;-;PB;-;-;completo;Estadual;31.08.2024;8/31/2024;51 a 60 anos;Nível fundamental;Outros vínculos não permanentes;Nível fundamental; ; ; ; ; ; ; ; ; ; ;Outros vínculos não permanentes;6;1; ; ; ; ; ; ; ; ; ;7;7
2506903314385;25; Feminino; Fundamental Incompleto; Sem formação profissional; Voluntária(o); Família Acolhedora;04.09.2024;25;Paraíba;Região Nordeste;Itabaiana;-;PB;-;-;completo;Estadual;31.08.2024;8/31/2024;41 a 50 anos;Nível fundamental;Outros vínculos não permanentes;Nível fundamental; ; ; ; ; ; ; ; ; ; ;Outros vínculos não permanentes;6;1; ; ; ; ; ; ; ; ; ;7;7
2506903314385;25; Feminino; Fundamental Incompleto; Sem formação profissional; Voluntária(o); Família Acolhedora;31.07.2024;25;Paraíba;Região Nordeste;Itabaiana;-;PB;-;-;completo;Estadual;31.08.2024;8/31/2024;30 a 40 anos;Nível fundamental;Outros vínculos não permanentes;Nível fundamental; ; ; ; ; ; ; ; ; ; ;Outros vínculos não permanentes;6;1; ; ; ; ; ; ; ; ; ;7;7
2506903314385;25; Feminino; Fundamental Completo; Sem formação profissional; Voluntária(o); Família Acolhedora;26.10.2023;25;Paraíba;Região Nordeste;Itabaiana;-;PB;-;-;completo;Estadual;31.08.2024;8/31/2024;30 a 40 anos;Nível fundamental;Outros vínculos não permanentes;Nível fundamental; ; ; ; ; ; ; ; ; ; ;Outros vínculos não permanentes;6;1; ; ; ; ; ; ; ; ; ;7;7
2507503313035;25; Feminino; Fundamental Completo; Sem formação profissional; Voluntária(o); Família Acolhedora;19.10.2022;25;Paraíba;Região Nordeste;João Pessoa;-;PB;-;-;completo;Estadual;31.08.2024;8/31/2024;41 a 50 anos;Nível fundamental;Outros vínculos não permanentes;Nível fundamental; ; ; ; ; ; ; ; ; ; ;Outros vínculos não permanentes;2;4;1; ;1; ; ; ; ; ; ;7;7
2507503313035;25; Feminino; Médio Completo; Sem formação profissional; Empregada(o) Privado (CLT); Família Acolhedora;29.07.2022;25;Paraíba;Região Nordeste;João Pessoa;-;PB;-;-;completo;Estadual;31.08.2024;8/31/2024;41 a 50 anos;Nível Médio;Outros vínculos não permanentes; ;Nível Médio; ; ; ; ; ; ; ; ; ;Outros vínculos não permanentes;2;4;1; ;1; ; ; ; ; ; ;7;7
2507503313035;25; Feminino; Médio Completo; Profissional de nível médio; Voluntária(o); Família Acolhedora;29.07.2022;25;Paraíba;Região Nordeste;João Pessoa;-;PB;-;-;completo;Estadual;31.08.2024;8/31/2024;41 a 50 anos;Nível Médio;Outros vínculos não permanentes; ;Nível Médio; ; ; ; ; ; ; ; ; ;Outros vínculos não permanentes;2;4;1; ;1; ; ; ; ; ; ;7;7
2507503313035;25; Feminino; Superior Completo; Assistente Social; Voluntária(o); Família Acolhedora;12.09.2022;25;Paraíba;Região Nordeste;João Pessoa;-;PB;-;-;completo;Estadual;31.08.2024;8/31/2024;30 a 40 anos;Nível Superior;Outros vínculos não permanentes; ; ;Nível Superior; ;Assistente Social; ; ; ; ; ; ;Outros vínculos não permanentes;2;4;1; ;1; ; ; ; ; ; ;7;7
2507503313035;25; Feminino; Médio Completo; Sem formação profissional; Sem Vínculo; Família Acolhedora;05.03.2024;25;Paraíba;Região Nordeste;João Pessoa;-;PB;-;-;completo;Estadual;31.08.2024;8/31/2024;51 a 60 anos;Nível Médio;Outros vínculos não permanentes; ;Nível Médio; ; ; ; ; ; ; ; ; ;Outros vínculos não permanentes;2;4;1; ;1; ; ; ; ; ; ;7;7
2507503313035;25; Feminino; Médio Completo; Sem formação profissional; Sem Vínculo; Família Acolhedora;18.11.2023;25;Paraíba;Região Nordeste;João Pessoa;-;PB;-;-;completo;Estadual;31.08.2024;8/31/2024;61 a 80 anos;Nível Médio;Outros vínculos não permanentes; ;Nível Médio; ; ; ; ; ; ; ; ; ;Outros vínculos não permanentes;2;4;1; ;1; ; ; ; ; ; ;7;7
2507503313035;25; Feminino; Fundamental Completo; Sem formação profissional; Sem Vínculo; Família Acolhedora;21.03.2024;25;Paraíba;Região Nordeste;João Pessoa;-;PB;-;-;completo;Estadual;31.08.2024;8/31/2024;51 a 60 anos;Nível fundamental;Outros vínculos não permanentes;Nível fundamental; ; ; ; ; ; ; ; ; ; ;Outros vínculos não permanentes;2;4;1; ;1; ; ; ; ; ; ;7;7
2507503313587;25; Masculino; Médio Completo; Profissional de nível médio; Sem Vínculo; Família Acolhedora;12.01.2023;25;Paraíba;Região Nordeste;Guarabira;-;PB;-;-;completo;Estadual;31.08.2024;8/31/2024;41 a 50 anos;Nível Médio;Outros vínculos não permanentes; ;Nível Médio; ; ; ; ; ; ; ; ; ;Outros vínculos não permanentes;3;11;4;1; ; ; ;1;1; ; ;17;18
2507503313587;25; Feminino; Médio Completo; Sem formação profissional; Sem Vínculo; Família Acolhedora;26.07.2022;25;Paraíba;Região Nordeste;Guarabira;-;PB;-;-;completo;Estadual;31.08.2024;8/31/2024;41 a 50 anos;Nível Médio;Outros vínculos não permanentes; ;Nível Médio; ; ; ; ; ; ; ; ; ;Outros vínculos não permanentes;3;11;4;1; ; ; ;1;1; ; ;17;18
2507503313587;25; Feminino; Especialização; Outra formação de nível superior; Servidor(a) Estatutário(a); Família Acolhedora;31.07.2023;25;Paraíba;Região Nordeste;Guarabira;-;PB;-;-;completo;Estadual;31.08.2024;8/31/2024;41 a 50 anos;Nível Superior;Servidor Estatutário; ; ;Nível Superior; ; ; ; ; ;Servidor Estatutário; ; ; ;3;11;4;1; ; ; ;1;1; ; ;17;18
2507503313587;25; Feminino; Médio Completo; Profissional de nível médio; Servidor(a) Temporário(a); Família Acolhedora;18.04.2023;25;Paraíba;Região Nordeste;Guarabira;-;PB;-;-;completo;Estadual;31.08.2024;8/31/2024;41 a 50 anos;Nível Médio;Outros vínculos não permanentes; ;Nível Médio; ; ; ; ; ; ; ; ; ;Outros vínculos não permanentes;3;11;4;1; ; ; ;1;1; ; ;17;18
2507503313587;25; Feminino; Médio Completo; Profissional de nível médio; Sem Vínculo; Família Acolhedora;15.09.2022;25;Paraíba;Região Nordeste;Guarabira;-;PB;-;-;completo;Estadual;31.08.2024;8/31/2024;41 a 50 anos;Nível Médio;Outros vínculos não permanentes; ;Nível Médio; ; ; ; ; ; ; ; ; ;Outros vínculos não permanentes;3;11;4;1; ; ; ;1;1; ; ;17;18
2507503313587;25; Feminino; Superior Incompleto; Profissional de nível médio; Sem Vínculo; Família Acolhedora;24.07.2023;25;Paraíba;Região Nordeste;Guarabira;-;PB;-;-;completo;Estadual;31.08.2024;8/31/2024;41 a 50 anos;Nível Médio;Outros vínculos não permanentes; ;Nível Médio; ; ; ; ; ; ; ; ; ;Outros vínculos não permanentes;3;11;4;1; ; ; ;1;1; ; ;17;18
2507503313587;25; Feminino; Médio Completo; Profissional de nível médio; Sem Vínculo; Família Acolhedora;31.03.2023;25;Paraíba;Região Nordeste;Guarabira;-;PB;-;-;completo;Estadual;31.08.2024;8/31/2024;41 a 50 anos;Nível Médio;Outros vínculos não permanentes; ;Nível Médio; ; ; ; ; ; ; ; ; ;Outros vínculos não permanentes;3;11;4;1; ; ; ;1;1; ; ;17;18
2507503313587;25; Feminino; Médio Completo; Profissional de nível médio; Sem Vínculo; Família Acolhedora;19.07.2023;25;Paraíba;Região Nordeste;Guarabira;-;PB;-;-;completo;Estadual;31.08.2024;8/31/2024;30 a 40 anos;Nível Médio;Outros vínculos não permanentes; ;Nível Médio; ; ; ; ; ; ; ; ; ;Outros vínculos não permanentes;3;11;4;1; ; ; ;1;1; ; ;17;18
2507503313587;25; Feminino; Médio Completo; Profissional de nível médio; Sem Vínculo; Família Acolhedora;01.02.2022;25;Paraíba;Região Nordeste;Guarabira;-;PB;-;-;completo;Estadual;31.08.2024;8/31/2024;41 a 50 anos;Nível Médio;Outros vínculos não permanentes; ;Nível Médio; ; ; ; ; ; ; ; ; ;Outros vínculos não permanentes;3;11;4;1; ; ; ;1;1; ; ;17;18
2507503313587;25; Masculino; Superior Incompleto; Sem formação profissional; Outro vínculo não permanente; Família Acolhedora;10.06.2024;25;Paraíba;Região Nordeste;Guarabira;-;PB;-;-;completo;Estadual;31.08.2024;8/31/2024;41 a 50 anos;Nível Médio;Outros vínculos não permanentes; ;Nível Médio; ; ; ; ; ; ; ; ; ;Outros vínculos não permanentes;3;11;4;1; ; ; ;1;1; ; ;17;18
2507503313587;25; Feminino; Superior Completo; Outra formação de nível superior; Empregada(o) Privado (CLT); Família Acolhedora;25.03.2024;25;Paraíba;Região Nordeste;Guarabira;-;PB;-;-;completo;Estadual;31.08.2024;8/31/2024;51 a 60 anos;Nível Superior;Outros vínculos não permanentes; ; ;Nível Superior; ; ; ; ; ; ; ; ;Outros vínculos não permanentes;3;11;4;1; ; ; ;1;1; ; ;17;18
2507503313587;25; Feminino; Superior Completo; Psicóloga(o); Servidor(a) Temporário(a); Família Acolhedora;28.08.2024;25;Paraíba;Região Nordeste;Guarabira;-;PB;-;-;completo;Estadual;31.08.2024;8/31/2024;51 a 60 anos;Nível Superior;Outros vínculos não permanentes; ; ;Nível Superior; ; ; ; ;Psicólogo; ; ; ;Outros vínculos não permanentes;3;11;4;1; ; ; ;1;1; ; ;17;18
2507503313587;25; Masculino; Fundamental Incompleto; Sem formação profissional; Sem Vínculo; Família Acolhedora;30.08.2024;25;Paraíba;Região Nordeste;Guarabira;-;PB;-;-;completo;Estadual;31.08.2024;8/31/2024;51 a 60 anos;Nível fundamental;Outros vínculos não permanentes;Nível fundamental; ; ; ; ; ; ; ; ; ; ;Outros vínculos não permanentes;3;11;4;1; ; ; ;1;1; ; ;17;18
2507503313587;25; Feminino; Superior Completo; Pedagoga(o); Sem Vínculo; Família Acolhedora;07.05.2024;25;Paraíba;Região Nordeste;Guarabira;-;PB;-;-;completo;Estadual;31.08.2024;8/31/2024;51 a 60 anos;Nível Superior;Outros vínculos não permanentes; ; ;Nível Superior;Pedagogo; ; ; ; ; ; ; ;Outros vínculos não permanentes;3;11;4;1; ; ; ;1;1; ; ;17;18
2507503313587;25; Feminino; Médio Completo; Sem formação profissional; Sem Vínculo; Família Acolhedora;15.04.2024;25;Paraíba;Região Nordeste;Guarabira;-;PB;-;-;completo;Estadual;31.08.2024;8/31/2024;16 a 29 anos;Nível Médio;Outros vínculos não permanentes; ;Nível Médio; ; ; ; ; ; ; ; ; ;Outros vínculos não permanentes;3;11;4;1; ; ; ;1;1; ; ;17;18
2507503313587;25; Feminino; Médio Completo; Profissional de nível médio; Sem Vínculo; Família Acolhedora;18.04.2023;25;Paraíba;Região Nordeste;Guarabira;-;PB;-;-;completo;Estadual;31.08.2024;8/31/2024;51 a 60 anos;Nível Médio;Outros vínculos não permanentes; ;Nível Médio; ; ; ; ; ; ; ; ; ;Outros vínculos não permanentes;3;11;4;1; ; ; ;1;1; ; ;17;18
2507503313587;25; Feminino; Fundamental Incompleto; Sem formação profissional; Sem Vínculo; Família Acolhedora;18.10.2024;25;Paraíba;Região Nordeste;Guarabira;-;PB;-;-;completo;Estadual;31.08.2024;8/31/2024;51 a 60 anos;Nível fundamental;Outros vínculos não permanentes;Nível fundamental; ; ; ; ; ; ; ; ; ; ;Outros vínculos não permanentes;3;11;4;1; ; ; ;1;1; ; ;17;18
2510803313589;25; Feminino; Superior Completo; Sem formação profissional; Outro vínculo não permanente; Família Acolhedora;13.08.2024;25;Paraíba;Região Nordeste;Patos;-;PB;-;-;completo;Estadual;31.08.2024;8/31/2024;41 a 50 anos;Nível Superior;Outros vínculos não permanentes; ; ;Nível Superior; ; ; ; ; ; ; ; ;Outros vínculos não permanentes; ;5;2;1; ; ; ; ; ; ; ;7;7
2510803313589;25; Feminino; Médio Completo; Sem formação profissional; Voluntária(o); Família Acolhedora;05.07.2023;25;Paraíba;Região Nordeste;Patos;-;PB;-;-;completo;Estadual;31.08.2024;8/31/2024;51 a 60 anos;Nível Médio;Outros vínculos não permanentes; ;Nível Médio; ; ; ; ; ; ; ; ; ;Outros vínculos não permanentes; ;5;2;1; ; ; ; ; ; ; ;7;7
2510803313589;25; Feminino; Médio Completo; Sem formação profissional; Sem Vínculo; Família Acolhedora;25.09.2023;25;Paraíba;Região Nordeste;Patos;-;PB;-;-;completo;Estadual;31.08.2024;8/31/2024;51 a 60 anos;Nível Médio;Outros vínculos não permanentes; ;Nível Médio; ; ; ; ; ; ; ; ; ;Outros vínculos não permanentes; ;5;2;1; ; ; ; ; ; ; ;7;7
