N_Identificador;IBGE;q55_3;q55_9;q55_10;q55_11;q55_12;q55_13;qIBGE7;codigo_UF;Região;Município;areaKm2;UF;Pop_total_2022;Porte_pop2022;Q_incompleto;q7;DataCenso;DataCenso_2024;d55_2_Faixas_etarias;d55_9;d55_11;d55_9bin1;d55_9bin2;d55_9bin3;d55_10bin1;d55_10bin2;d55_10bin3;d55_10bin4;d55_10bin5;d55_11bin1;d55_11bin2;d55_11bin3;d55_11bin4;d55_9bin1_sum;d55_9bin2_sum;d55_9bin3_sum;d55_10bin1_sum;d55_10bin2_sum;d55_10bin3_sum;d55_10bin4_sum;d55_10bin5_sum;d55_11bin1_sum;d55_11bin2_sum;d55_11bin3_sum;d55_11bin4_sum;nu_trabalhadores
1722103313437;17; Feminino; Superior Completo; Pedagoga(o); Servidor(a) Temporária(o); Coordenador(a);22.06.2024;17;Tocantins;Região Norte;Xambioa;-;TO;-;-;completo;Estadual;31.08.2024;8/31/2024;41 a 50 anos;Nível Superior;Outros vínculos não permanentes; ; ;Nível Superior;Pedagogo; ; ; ; ; ; ; ;Outros vínculos não permanentes;2; ;3;1;1; ; ;1; ; ; ;5;5
1722103313437;17; Feminino; Médio Incompleto; Sem formação profissional; Servidor(a) Temporária(o); Serviços Gerais;22.06.2024;17;Tocantins;Região Norte;Xambioa;-;TO;-;-;completo;Estadual;31.08.2024;8/31/2024;41 a 50 anos;Nível fundamental;Outros vínculos não permanentes;Nível fundamental; ; ; ; ; ; ; ; ; ; ;Outros vínculos não permanentes;2; ;3;1;1; ; ;1; ; ; ;5;5
2506003313041;25; Feminino; Superior Completo; Assistente Social; Outro vínculo não permanente; Técnico(a) de nível superior;01.01.2022;25;Paraíba;Região Nordeste;Esperança;-;PB;-;-;completo;Estadual;31.08.2024;8/31/2024;30 a 40 anos;Nível Superior;Outros vínculos não permanentes; ; ;Nível Superior; ;Assistente Social; ; ; ; ; ; ;Outros vínculos não permanentes; ;3;5; ;2; ; ;2; ; ; ;8;8
2506003313041;25; Feminino; Superior Completo; Outra formação de nível superior; Outro vínculo não permanente; Coordenador(a);01.02.2024;25;Paraíba;Região Nordeste;Esperança;-;PB;-;-;completo;Estadual;31.08.2024;8/31/2024;16 a 29 anos;Nível Superior;Outros vínculos não permanentes; ; ;Nível Superior; ; ; ; ; ; ; ; ;Outros vínculos não permanentes; ;3;5; ;2; ; ;2; ; ; ;8;8
2506003313041;25; Masculino; Superior Completo; Psicóloga(o); Outro vínculo não permanente; Técnico(a) de nível superior;01.02.2022;25;Paraíba;Região Nordeste;Esperança;-;PB;-;-;completo;Estadual;31.08.2024;8/31/2024;30 a 40 anos;Nível Superior;Outros vínculos não permanentes; ; ;Nível Superior; ; ; ; ;Psicólogo; ; ; ;Outros vínculos não permanentes; ;3;5; ;2; ; ;2; ; ; ;8;8
2506003313041;25; Feminino; Médio Completo; Sem formação profissional; Outro vínculo não permanente; Apoio Administrativo;01.02.2022;25;Paraíba;Região Nordeste;Esperança;-;PB;-;-;completo;Estadual;31.08.2024;8/31/2024;30 a 40 anos;Nível Médio;Outros vínculos não permanentes; ;Nível Médio; ; ; ; ; ; ; ; ; ;Outros vínculos não permanentes; ;3;5; ;2; ; ;2; ; ; ;8;8
2506003313041;25; Feminino; Superior Completo; Assistente Social; Outro vínculo não permanente; Técnico(a) de nível superior;01.02.2022;25;Paraíba;Região Nordeste;Esperança;-;PB;-;-;completo;Estadual;31.08.2024;8/31/2024;30 a 40 anos;Nível Superior;Outros vínculos não permanentes; ; ;Nível Superior; ;Assistente Social; ; ; ; ; ; ;Outros vínculos não permanentes; ;3;5; ;2; ; ;2; ; ; ;8;8
2506003313041;25; Feminino; Médio Completo; Sem formação profissional; Outro vínculo não permanente; Apoio Administrativo;01.02.2022;25;Paraíba;Região Nordeste;Esperança;-;PB;-;-;completo;Estadual;31.08.2024;8/31/2024;16 a 29 anos;Nível Médio;Outros vínculos não permanentes; ;Nível Médio; ; ; ; ; ; ; ; ; ;Outros vínculos não permanentes; ;3;5; ;2; ; ;2; ; ; ;8;8
2506003313041;25; Masculino; Médio Completo; Sem formação profissional; Outro vínculo não permanente; Motorista;01.02.2022;25;Paraíba;Região Nordeste;Esperança;-;PB;-;-;completo;Estadual;31.08.2024;8/31/2024;16 a 29 anos;Nível Médio;Outros vínculos não permanentes; ;Nível Médio; ; ; ; ; ; ; ; ; ;Outros vínculos não permanentes; ;3;5; ;2; ; ;2; ; ; ;8;8
2506003313041;25; Feminino; Superior Completo; Psicóloga(o); Outro vínculo não permanente; Técnico(a) de nível superior;01.02.2022;25;Paraíba;Região Nordeste;Esperança;-;PB;-;-;completo;Estadual;31.08.2024;8/31/2024;51 a 60 anos;Nível Superior;Outros vínculos não permanentes; ; ;Nível Superior; ; ; ; ;Psicólogo; ; ; ;Outros vínculos não permanentes; ;3;5; ;2; ; ;2; ; ; ;8;8
2506903314385;25; Feminino; Superior Completo; Assistente Social; Outro vínculo não permanente; Técnico(a) de nível superior;04.08.2023;25;Paraíba;Região Nordeste;Itabaiana;-;PB;-;-;completo;Estadual;31.08.2024;8/31/2024;41 a 50 anos;Nível Superior;Outros vínculos não permanentes; ; ;Nível Superior; ;Assistente Social; ; ; ; ; ; ;Outros vínculos não permanentes; ;1;5;1;2; ; ;2; ; ; ;6;6
2506903314385;25; Masculino; Especialização; Psicóloga(o); Outro vínculo não permanente; Técnico(a) de nível superior;04.08.2023;25;Paraíba;Região Nordeste;Itabaiana;-;PB;-;-;completo;Estadual;31.08.2024;8/31/2024;30 a 40 anos;Nível Superior;Outros vínculos não permanentes; ; ;Nível Superior; ; ; ; ;Psicólogo; ; ; ;Outros vínculos não permanentes; ;1;5;1;2; ; ;2; ; ; ;6;6
2506903314385;25; Feminino; Superior Completo; Psicóloga(o); Outro vínculo não permanente; Técnico(a) de nível superior;12.03.2024;25;Paraíba;Região Nordeste;Itabaiana;-;PB;-;-;completo;Estadual;31.08.2024;8/31/2024;30 a 40 anos;Nível Superior;Outros vínculos não permanentes; ; ;Nível Superior; ; ; ; ;Psicólogo; ; ; ;Outros vínculos não permanentes; ;1;5;1;2; ; ;2; ; ; ;6;6
2506903314385;25; Feminino; Especialização; Pedagoga(o); Outro vínculo não permanente; Técnico(a) de nível superior;12.03.2024;25;Paraíba;Região Nordeste;Itabaiana;-;PB;-;-;completo;Estadual;31.08.2024;8/31/2024;30 a 40 anos;Nível Superior;Outros vínculos não permanentes; ; ;Nível Superior;Pedagogo; ; ; ; ; ; ; ;Outros vínculos não permanentes; ;1;5;1;2; ; ;2; ; ; ;6;6
2506903314385;25; Feminino; Superior Incompleto; Profissional de nível médio; Outro vínculo não permanente; Apoio Administrativo;04.08.2023;25;Paraíba;Região Nordeste;Itabaiana;-;PB;-;-;completo;Estadual;31.08.2024;8/31/2024;16 a 29 anos;Nível Médio;Outros vínculos não permanentes; ;Nível Médio; ; ; ; ; ; ; ; ; ;Outros vínculos não permanentes; ;1;5;1;2; ; ;2; ; ; ;6;6
2506903314385;25; Feminino; Superior Completo; Assistente Social; Outro vínculo não permanente; Coordenador(a);10.10.2023;25;Paraíba;Região Nordeste;Itabaiana;-;PB;-;-;completo;Estadual;31.08.2024;8/31/2024;16 a 29 anos;Nível Superior;Outros vínculos não permanentes; ; ;Nível Superior; ;Assistente Social; ; ; ; ; ; ;Outros vínculos não permanentes; ;1;5;1;2; ; ;2; ; ; ;6;6
2507503313035;25; Feminino; Fundamental Completo; Sem formação profissional; Outro vínculo não permanente; Serviços Gerais;01.01.2022;25;Paraíba;Região Nordeste;João Pessoa;-;PB;-;-;completo;Estadual;31.08.2024;8/31/2024;41 a 50 anos;Nível fundamental;Outros vínculos não permanentes;Nível fundamental; ; ; ; ; ; ; ; ; ; ;Outros vínculos não permanentes;1;1;4; ;2; ; ;1; ; ; ;6;6
2507503313035;25; Feminino; Superior Completo; Outra formação de nível superior; Outro vínculo não permanente; Técnico(a) de nível superior;01.01.2022;25;Paraíba;Região Nordeste;João Pessoa;-;PB;-;-;completo;Estadual;31.08.2024;8/31/2024;41 a 50 anos;Nível Superior;Outros vínculos não permanentes; ; ;Nível Superior; ; ; ; ; ; ; ; ;Outros vínculos não permanentes;1;1;4; ;2; ; ;1; ; ; ;6;6
2507503313035;25; Feminino; Superior Completo; Assistente Social; Outro vínculo não permanente; Técnico(a) de nível superior;01.01.2022;25;Paraíba;Região Nordeste;João Pessoa;-;PB;-;-;completo;Estadual;31.08.2024;8/31/2024;41 a 50 anos;Nível Superior;Outros vínculos não permanentes; ; ;Nível Superior; ;Assistente Social; ; ; ; ; ; ;Outros vínculos não permanentes;1;1;4; ;2; ; ;1; ; ; ;6;6
2507503313035;25; Feminino; Superior Completo; Assistente Social; Outro vínculo não permanente; Coordenador(a);01.01.2022;25;Paraíba;Região Nordeste;João Pessoa;-;PB;-;-;completo;Estadual;31.08.2024;8/31/2024;30 a 40 anos;Nível Superior;Outros vínculos não permanentes; ; ;Nível Superior; ;Assistente Social; ; ; ; ; ; ;Outros vínculos não permanentes;1;1;4; ;2; ; ;1; ; ; ;6;6
2507503313035;25; Feminino; Médio Completo; Sem formação profissional; Outro vínculo não permanente; Apoio Administrativo;01.01.2022;25;Paraíba;Região Nordeste;João Pessoa;-;PB;-;-;completo;Estadual;31.08.2024;8/31/2024;30 a 40 anos;Nível Médio;Outros vínculos não permanentes; ;Nível Médio; ; ; ; ; ; ; ; ; ;Outros vínculos não permanentes;1;1;4; ;2; ; ;1; ; ; ;6;6
2507503313035;25; Feminino; Superior Completo; Psicóloga(o); Outro vínculo não permanente; Técnico(a) de nível superior;15.09.2023;25;Paraíba;Região Nordeste;João Pessoa;-;PB;-;-;completo;Estadual;31.08.2024;8/31/2024;61 a 80 anos;Nível Superior;Outros vínculos não permanentes; ; ;Nível Superior; ; ; ; ;Psicólogo; ; ; ;Outros vínculos não permanentes;1;1;4; ;2; ; ;1; ; ; ;6;6
2507503313587;25; Feminino; Superior Completo; Assistente Social; Outro vínculo não permanente; Técnico(a) de nível superior;01.02.2022;25;Paraíba;Região Nordeste;Guarabira;-;PB;-;-;completo;Estadual;31.08.2024;8/31/2024;41 a 50 anos;Nível Superior;Outros vínculos não permanentes; ; ;Nível Superior; ;Assistente Social; ; ; ; ; ; ;Outros vínculos não permanentes;1;2;6; ;3; ; ;1; ; ; ;9;9
2507503313587;25; Feminino; Superior Completo; Outra formação de nível superior; Outro vínculo não permanente; Coordenador(a);01.02.2022;25;Paraíba;Região Nordeste;Guarabira;-;PB;-;-;completo;Estadual;31.08.2024;8/31/2024;41 a 50 anos;Nível Superior;Outros vínculos não permanentes; ; ;Nível Superior; ; ; ; ; ; ; ; ;Outros vínculos não permanentes;1;2;6; ;3; ; ;1; ; ; ;9;9
2507503313587;25; Feminino; Superior Completo; Assistente Social; Outro vínculo não permanente; Técnico(a) de nível superior;01.06.2023;25;Paraíba;Região Nordeste;Guarabira;-;PB;-;-;completo;Estadual;31.08.2024;8/31/2024;41 a 50 anos;Nível Superior;Outros vínculos não permanentes; ; ;Nível Superior; ;Assistente Social; ; ; ; ; ; ;Outros vínculos não permanentes;1;2;6; ;3; ; ;1; ; ; ;9;9
2507503313587;25; Feminino; Superior Completo; Outra formação de nível superior; Outro vínculo não permanente; Serviços Gerais;01.02.2022;25;Paraíba;Região Nordeste;Guarabira;-;PB;-;-;completo;Estadual;31.08.2024;8/31/2024;41 a 50 anos;Nível Superior;Outros vínculos não permanentes; ; ;Nível Superior; ; ; ; ; ; ; ; ;Outros vínculos não permanentes;1;2;6; ;3; ; ;1; ; ; ;9;9
2507503313587;25; Feminino; Especialização; Psicóloga(o); Outro vínculo não permanente; Técnico(a) de nível superior;01.06.2023;25;Paraíba;Região Nordeste;Guarabira;-;PB;-;-;completo;Estadual;31.08.2024;8/31/2024;41 a 50 anos;Nível Superior;Outros vínculos não permanentes; ; ;Nível Superior; ; ; ; ;Psicólogo; ; ; ;Outros vínculos não permanentes;1;2;6; ;3; ; ;1; ; ; ;9;9
2507503313587;25; Masculino; Fundamental Completo; Sem formação profissional; Outro vínculo não permanente; Serviços Gerais;01.02.2022;25;Paraíba;Região Nordeste;Guarabira;-;PB;-;-;completo;Estadual;31.08.2024;8/31/2024;41 a 50 anos;Nível fundamental;Outros vínculos não permanentes;Nível fundamental; ; ; ; ; ; ; ; ; ; ;Outros vínculos não permanentes;1;2;6; ;3; ; ;1; ; ; ;9;9
2507503313587;25; Masculino; Superior Incompleto; Outra formação de nível superior; Outro vínculo não permanente; Apoio Administrativo;01.02.2022;25;Paraíba;Região Nordeste;Guarabira;-;PB;-;-;completo;Estadual;31.08.2024;8/31/2024;30 a 40 anos;Nível Médio;Outros vínculos não permanentes; ;Nível Médio; ; ; ; ; ; ; ; ; ;Outros vínculos não permanentes;1;2;6; ;3; ; ;1; ; ; ;9;9
2507503313587;25; Masculino; Médio Completo; Sem formação profissional; Outro vínculo não permanente; Motorista;01.02.2022;25;Paraíba;Região Nordeste;Guarabira;-;PB;-;-;completo;Estadual;31.08.2024;8/31/2024;51 a 60 anos;Nível Médio;Outros vínculos não permanentes; ;Nível Médio; ; ; ; ; ; ; ; ; ;Outros vínculos não permanentes;1;2;6; ;3; ; ;1; ; ; ;9;9
2507503313587;25; Masculino; Superior Completo; Assistente Social; Outro vínculo não permanente; Técnico(a) de nível superior;01.02.2022;25;Paraíba;Região Nordeste;Guarabira;-;PB;-;-;completo;Estadual;31.08.2024;8/31/2024;16 a 29 anos;Nível Superior;Outros vínculos não permanentes; ; ;Nível Superior; ;Assistente Social; ; ; ; ; ; ;Outros vínculos não permanentes;1;2;6; ;3; ; ;1; ; ; ;9;9
2510803313589;25; Feminino; Superior Completo; Administrador(a); Servidor(a) Temporária(o); Coordenador(a);06.02.2024;25;Paraíba;Região Nordeste;Patos;-;PB;-;-;completo;Estadual;31.08.2024;8/31/2024;30 a 40 anos;Nível Superior;Outros vínculos não permanentes; ; ;Nível Superior; ; ; ; ; ; ; ; ;Outros vínculos não permanentes; ;2;4;1;1; ; ;1; ; ; ;6;6
2510803313589;25; Feminino; Médio Completo; Sem formação profissional; Outro vínculo não permanente; Apoio Administrativo;02.05.2022;25;Paraíba;Região Nordeste;Patos;-;PB;-;-;completo;Estadual;31.08.2024;8/31/2024;30 a 40 anos;Nível Médio;Outros vínculos não permanentes; ;Nível Médio; ; ; ; ; ; ; ; ; ;Outros vínculos não permanentes; ;2;4;1;1; ; ;1; ; ; ;6;6
2510803313589;25; Feminino; Especialização; Pedagoga(o); Outro vínculo não permanente; Técnico(a) de nível superior;06.02.2024;25;Paraíba;Região Nordeste;Patos;-;PB;-;-;completo;Estadual;31.08.2024;8/31/2024;30 a 40 anos;Nível Superior;Outros vínculos não permanentes; ; ;Nível Superior;Pedagogo; ; ; ; ; ; ; ;Outros vínculos não permanentes; ;2;4;1;1; ; ;1; ; ; ;6;6
2510803313589;25; Masculino; Superior Completo; Assistente Social; Outro vínculo não permanente; Técnico(a) de nível superior;02.05.2022;25;Paraíba;Região Nordeste;Patos;-;PB;-;-;completo;Estadual;31.08.2024;8/31/2024;30 a 40 anos;Nível Superior;Outros vínculos não permanentes; ; ;Nível Superior; ;Assistente Social; ; ; ; ; ; ;Outros vínculos não permanentes; ;2;4;1;1; ; ;1; ; ; ;6;6
2510803313589;25; Masculino; Médio Completo; Sem formação profissional; Outro vínculo não permanente; Motorista;02.05.2022;25;Paraíba;Região Nordeste;Patos;-;PB;-;-;completo;Estadual;31.08.2024;8/31/2024;30 a 40 anos;Nível Médio;Outros vínculos não permanentes; ;Nível Médio; ; ; ; ; ; ; ; ; ;Outros vínculos não permanentes; ;2;4;1;1; ; ;1; ; ; ;6;6
2510803313589;25; Feminino; Superior Completo; Psicóloga(o); Outro vínculo não permanente; Técnico(a) de nível superior;02.05.2022;25;Paraíba;Região Nordeste;Patos;-;PB;-;-;completo;Estadual;31.08.2024;8/31/2024;16 a 29 anos;Nível Superior;Outros vínculos não permanentes; ; ;Nível Superior; ; ; ; ;Psicólogo; ; ; ;Outros vínculos não permanentes; ;2;4;1;1; ; ;1; ; ; ;6;6
2512103315215;25; Feminino; Superior Completo; Pedagoga(o); Servidor(a) Temporária(o); Técnico(a) de nível superior;18.01.2024;25;Paraíba;Região Nordeste;Pombal;-;PB;-;-;completo;Estadual;31.08.2024;8/31/2024;41 a 50 anos;Nível Superior;Outros vínculos não permanentes; ; ;Nível Superior;Pedagogo; ; ; ; ; ; ; ;Outros vínculos não permanentes;3;1;5;1;2; ;1;1; ; ; ;9;9
2512103315215;25; Feminino; Superior Completo; Advogada(o); Servidor(a) Temporária(o); Coordenador(a);22.12.2023;25;Paraíba;Região Nordeste;Pombal;-;PB;-;-;completo;Estadual;31.08.2024;8/31/2024;30 a 40 anos;Nível Superior;Outros vínculos não permanentes; ; ;Nível Superior; ; ; ;Advogado; ; ; ; ;Outros vínculos não permanentes;3;1;5;1;2; ;1;1; ; ; ;9;9
2512103315215;25; Feminino; Fundamental Incompleto; Administrador(a); Trabalhador(a) de Empresa/Cooperativa/Entidade prestadora de serviços; Apoio Administrativo;22.12.2023;25;Paraíba;Região Nordeste;Pombal;-;PB;-;-;completo;Estadual;31.08.2024;8/31/2024;30 a 40 anos;Nível fundamental;Outros vínculos não permanentes;Nível fundamental; ; ; ; ; ; ; ; ; ; ;Outros vínculos não permanentes;3;1;5;1;2; ;1;1; ; ; ;9;9
2512103315215;25; Feminino; Superior Completo; Assistente Social; Servidor(a) Temporária(o); Técnico(a) de nível superior;18.01.2024;25;Paraíba;Região Nordeste;Pombal;-;PB;-;-;completo;Estadual;31.08.2024;8/31/2024;30 a 40 anos;Nível Superior;Outros vínculos não permanentes; ; ;Nível Superior; ;Assistente Social; ; ; ; ; ; ;Outros vínculos não permanentes;3;1;5;1;2; ;1;1; ; ; ;9;9
2512103315215;25; Feminino; Superior Completo; Psicóloga(o); Servidor(a) Temporária(o); Técnico(a) de nível superior;18.01.2024;25;Paraíba;Região Nordeste;Pombal;-;PB;-;-;completo;Estadual;31.08.2024;8/31/2024;16 a 29 anos;Nível Superior;Outros vínculos não permanentes; ; ;Nível Superior; ; ; ; ;Psicólogo; ; ; ;Outros vínculos não permanentes;3;1;5;1;2; ;1;1; ; ; ;9;9
2512103315215;25; Masculino; Superior Completo; Assistente Social; Servidor(a) Temporária(o); Técnico(a) de nível superior;01.08.2024;25;Paraíba;Região Nordeste;Pombal;-;PB;-;-;completo;Estadual;31.08.2024;8/31/2024;16 a 29 anos;Nível Superior;Outros vínculos não permanentes; ; ;Nível Superior; ;Assistente Social; ; ; ; ; ; ;Outros vínculos não permanentes;3;1;5;1;2; ;1;1; ; ; ;9;9
2512103315215;25; Masculino; Médio Completo; Profissional de nível médio; Servidor(a) Temporária(o); Motorista;18.01.2024;25;Paraíba;Região Nordeste;Pombal;-;PB;-;-;completo;Estadual;31.08.2024;8/31/2024;30 a 40 anos;Nível Médio;Outros vínculos não permanentes; ;Nível Médio; ; ; ; ; ; ; ; ; ;Outros vínculos não permanentes;3;1;5;1;2; ;1;1; ; ; ;9;9
2512103315215;25; Feminino; Fundamental Incompleto; Sem formação profissional; Servidor(a) Temporária(o); Serviços Gerais;18.01.2024;25;Paraíba;Região Nordeste;Pombal;-;PB;-;-;completo;Estadual;31.08.2024;8/31/2024;30 a 40 anos;Nível fundamental;Outros vínculos não permanentes;Nível fundamental; ; ; ; ; ; ; ; ; ; ;Outros vínculos não permanentes;3;1;5;1;2; ;1;1; ; ; ;9;9
2512103315215;25; Masculino; Fundamental Incompleto; Sem formação profissional; Servidor(a) Temporária(o); Outros;18.01.2024;25;Paraíba;Região Nordeste;Pombal;-;PB;-;-;completo;Estadual;31.08.2024;8/31/2024;51 a 60 anos;Nível fundamental;Outros vínculos não permanentes;Nível fundamental; ; ; ; ; ; ; ; ; ; ;Outros vínculos não permanentes;3;1;5;1;2; ;1;1; ; ; ;9;9
2512303314387;25; Masculino; Fundamental Incompleto; Sem formação profissional; Outro vínculo não permanente; Motorista;21.09.2023;25;Paraíba;Região Nordeste;Princesa Isabel;-;PB;-;-;completo;Estadual;31.08.2024;8/31/2024;41 a 50 anos;Nível fundamental;Outros vínculos não permanentes;Nível fundamental; ; ; ; ; ; ; ; ; ; ;Outros vínculos não permanentes;1;1;4; ;1; ;1;1; ; ; ;6;6
2512303314387;25; Feminino; Superior Completo; Assistente Social; Outro vínculo não permanente; Técnico(a) de nível superior;04.09.2023;25;Paraíba;Região Nordeste;Princesa Isabel;-;PB;-;-;completo;Estadual;31.08.2024;8/31/2024;30 a 40 anos;Nível Superior;Outros vínculos não permanentes; ; ;Nível Superior; ;Assistente Social; ; ; ; ; ; ;Outros vínculos não permanentes;1;1;4; ;1; ;1;1; ; ; ;6;6
2512303314387;25; Feminino; Superior Completo; Outra formação de nível superior; Outro vínculo não permanente; Técnico(a) de nível superior;04.09.2023;25;Paraíba;Região Nordeste;Princesa Isabel;-;PB;-;-;completo;Estadual;31.08.2024;8/31/2024;30 a 40 anos;Nível Superior;Outros vínculos não permanentes; ; ;Nível Superior; ; ; ; ; ; ; ; ;Outros vínculos não permanentes;1;1;4; ;1; ;1;1; ; ; ;6;6
2512303314387;25; Feminino; Superior Completo; Advogada(o); Outro vínculo não permanente; Coordenador(a);04.09.2023;25;Paraíba;Região Nordeste;Princesa Isabel;-;PB;-;-;completo;Estadual;31.08.2024;8/31/2024;30 a 40 anos;Nível Superior;Outros vínculos não permanentes; ; ;Nível Superior; ; ; ;Advogado; ; ; ; ;Outros vínculos não permanentes;1;1;4; ;1; ;1;1; ; ; ;6;6
2512303314387;25; Masculino; Superior Incompleto; Profissional de nível médio; Outro vínculo não permanente; Apoio Administrativo;04.09.2023;25;Paraíba;Região Nordeste;Princesa Isabel;-;PB;-;-;completo;Estadual;31.08.2024;8/31/2024;16 a 29 anos;Nível Médio;Outros vínculos não permanentes; ;Nível Médio; ; ; ; ; ; ; ; ; ;Outros vínculos não permanentes;1;1;4; ;1; ;1;1; ; ; ;6;6
2512303314387;25; Feminino; Superior Completo; Psicóloga(o); Outro vínculo não permanente; Técnico(a) de nível superior;04.09.2023;25;Paraíba;Região Nordeste;Princesa Isabel;-;PB;-;-;completo;Estadual;31.08.2024;8/31/2024;16 a 29 anos;Nível Superior;Outros vínculos não permanentes; ; ;Nível Superior; ; ; ; ;Psicólogo; ; ; ;Outros vínculos não permanentes;1;1;4; ;1; ;1;1; ; ; ;6;6
5208703314413;52; Feminino; Superior Completo; Assistente Social; Comissionada(o); Técnico(a) de nível superior;25.05.2023;52;Goiás;Região Centro Oeste;Goiânia;-;GO;-;-;completo;Estadual;31.08.2024;8/31/2024;30 a 40 anos;Nível Superior;Comissionado; ; ;Nível Superior; ;Assistente Social; ; ; ; ; ;Comissionado; ; ; ;3; ;1; ; ;2; ; ;3; ;3
