Variável;Rótulo
q9_11;q9_11_v15679_11_9. Indique os equipamentos e materiais disponíveis, em perfeito funcionamento, para o desenvolvimento dos serviços desta Unidade11: Acervo bibliográfico
q9_12;q9_12_v15679_12_9. Indique os equipamentos e materiais disponíveis, em perfeito funcionamento, para o desenvolvimento dos serviços desta Unidade12: Brinquedoteca
q9_13;q9_13_v15679_13_9. Indique os equipamentos e materiais disponíveis, em perfeito funcionamento, para o desenvolvimento dos serviços desta Unidade13: Brinquedos
q9_14;q9_14_v15679_14_9. Indique os equipamentos e materiais disponíveis, em perfeito funcionamento, para o desenvolvimento dos serviços desta Unidade14: Materiais pedagógicos, culturais e esportivos
q9_15;q9_15_v15679_15_9. Indique os equipamentos e materiais disponíveis, em perfeito funcionamento, para o desenvolvimento dos serviços desta Unidade15: Bebedouros ou filtro de água disponível ao público
q9_16;q9_16_v15679_16_9. Indique os equipamentos e materiais disponíveis, em perfeito funcionamento, para o desenvolvimento dos serviços desta Unidade16: Ar condicionado ou ventilador
q9_1_99;q9_1_99_v15680_9.1.99. Quantos telefones:
q9_2_99;q9_2_99_v15681_9.2.99. Quantos celulares da unidade:
q9_3_99;q9_3_99_v15682_9.3.99. Quantas impressoras:
q9_4_99;q9_4_99_v15683_9.4.99. Quantas máquinas copiadoras:
q9_9_99;q9_9_99_v15684_9.9.99. Quantos veículos de uso exclusivo:
q9_10_99;q9_10_99_v15685_9.10.99. Quantos veículos de uso compartilhado:
q10_1;q10_1_v15686_10.1. Quantidade total de computadores na Unidade
q10_2;q10_2_v15688_10.2. Destes, quantos estão conectados à internet
q11_1;q11_1_v15690_11.1. Utiliza internet em outro local por insuficiência de acesso
q11_2;q11_2_v15691_11.2. Precisa revezar entre os profissionais para utilizar a internet
q11_3;q11_3_v15692_11.3. Tem que solicitar ao usuário que aguarde enquanto a internet está instável
q11_4;q11_4_v15693_11.4. Tem que reagendar o atendimento por falta de internet
q12_1;q12_1_v15695_12.1. Sistema de Cadastro Único
q12_2;q12_2_v15696_12.2. RelCad - Relatórios de Informações Gerenciais do Cadastro Único
q12_3;q12_3_v15697_12.3. CECAD – Sistema de consulta, seleção e extração de dados do Cadastro Único para Programas Sociais do Governo Federal gerido pela SAGI/MC
q12_4;q12_4_v15698_12.4. Módulo de Acompanhamento Familiar do SICON - Sistema de Condicionalidades do Programa Bolsa Família
q12_5;q12_5_v15699_12.5. SICON - Sistema de Condicionalidades do Programa Bolsa Família - demais módulos
q12_6;q12_6_v15700_12.6. SIBEC - Sistema de Benefícios ao Cidadão
q12_7;q12_7_v15701_12.7. Módulo Administração off-line (disponível no SIGPBF)– Sistema que permite solicitações de administração de benefícios, quando essas não são possíveis diretamente no SIBEC
q12_8;q12_8_v15702_12.8. Outros sistemas estaduais e ou municipais
q13_1;q13_1_v15703_1_13. Indique as ações e atividades desenvolvidas pela equipe no âmbito do Cadastro Único:1: Divulgação das ações de cadastramento
q13_2;q13_2_v15703_2_13. Indique as ações e atividades desenvolvidas pela equipe no âmbito do Cadastro Único:2: Realização de parcerias com outros órgãos
q13_3;q13_3_v15703_3_13. Indique as ações e atividades desenvolvidas pela equipe no âmbito do Cadastro Único:3: Busca ativa (entrevista domiciliar, mutirão e ações itinerantes) com a finalidade de inclusão e atualização cadastral
q13_4;q13_4_v15703_4_13. Indique as ações e atividades desenvolvidas pela equipe no âmbito do Cadastro Único:4: Ação para prestar informações às famílias sobre o Cadastro Único (Reuniões de acolhida, palestra etc)
q13_5;q13_5_v15703_5_13. Indique as ações e atividades desenvolvidas pela equipe no âmbito do Cadastro Único:5: Agendamento prévio para a realização da entrevista para inclusão/atualização cadastral
q13_6;q13_6_v15703_6_13. Indique as ações e atividades desenvolvidas pela equipe no âmbito do Cadastro Único:6: Triagem de atendimento – identificação de demandas e/ou documentação civil antes da entrevista
q13_7;q13_7_v15703_7_13. Indique as ações e atividades desenvolvidas pela equipe no âmbito do Cadastro Único:7: Entrevista para inclusão cadastral
q13_8;q13_8_v15703_8_13. Indique as ações e atividades desenvolvidas pela equipe no âmbito do Cadastro Único:8: Entrevista para atualização cadastral
q13_9;q13_9_v15703_9_13. Indique as ações e atividades desenvolvidas pela equipe no âmbito do Cadastro Único:9: Fornecimento de comprovante de cadastramento por demanda das famílias
q13_10;q13_10_v15703_10_13. Indique as ações e atividades desenvolvidas pela equipe no âmbito do Cad Único:10: Esclarecimento de dúvidas sobre o Cadastro Único e os programas, serviços e benefícios que as famílias participam ou buscam participar
q13_11;q13_11_v15703_11_13. Indique as ações e atividades desenvolvidas pela equipe desta Unidade no âmbito do Cadastro Único:11: Encaminhamento para obtenção de Documentação pessoal
q13_12;q13_12_v15703_12_13. Indique as ações e atividades desenvolvidas pela equipe desta Unidade no âmbito do Cadastro Único:12: Encaminhamento de famílias ou indivíduos para a rede de serviço socioassistencial
q13_13;q13_13_v15703_13_13. Indique as ações e atividades desenvolvidas pela equipe no âmbito do Cad Único:13: Encaminhamento para programas usuários do Cadastro Único, para acesso a benefícios ou outras políticas públicas
q13_14;q13_14_v15703_14_13. Indique as ações e atividades desenvolvidas pela equipe no âmbito do Cad Único:14: Emissão de registro técnico (parecer, relatório, formulário etc) no processo de averiguação cadastral ou apuração de denúncias
q13_15;q13_15_v15703_15_13. Indique as ações e atividades desenvolvidas pela equipe no âmbito do Cadastro Único:15: Conferência/ crítica dos formulários preenchidos no papel
q13_16;q13_16_v15703_16_13. Indique as ações e atividades desenvolvidas pela equipe no âmbito do Cad Único:16: Verificação, correção ou encaminhamento de pendências no cadastro das famílias e pessoas apontadas pelo Sistema de Cadastro Único
q13_17;q13_17_v15703_17_13. Indique as ações e atividades desenvolvidas pela equipe no âmbito do Cadastro Único:17: Arquivamento de formulários
q13_18;q13_18_v15703_18_13. Indique as ações e atividades desenvolvidas pela equipe no âmbito do Cadastro Único:18: Recebimento e tratamento de denúncias de prestação de informação inverídica
q13_99;q13_99_v15703_99_13. Indique as ações e atividades desenvolvidas pela equipe desta no âmbito do Cadastro Único:99: Outras.
q13_99_1;q13_99_1_v15704_13.99.1. Quais?
q14_1;q14_1_v15706_14.1. Total de indivíduos atendidos neste posto do Cadastro Único:
q14_98_1;q14_98_1_v15707_0_14.98.1. Não sabe informar0: Não sabe informar
q14_2;q14_2_v15792_14.2. Destes, qual o total de indivíduos que realizaram entrevista para inclusão cadastral
q14_98_2;q14_98_2_v15793_0_14.98.2. Não sabe informar0: Não sabe informar
q14_3;q14_3_v15708_14.3. Destes, qual o total de indivíduos que realizaram entrevista para atualização cadastral:
q14_98_3;q14_98_3_v15791_0_14.98.3. Não sabe informar0: Não sabe informar
q15_1;q15_1_v15710_15.1. Entre o agendamento e a realização do atendimento
q15_98_1;q15_98_1_v15794_0_15.98.1. Não realiza0: Não realiza
q15_2;q15_2_v15711_15.2. Após a entrevista, para que os dados coletados em formulário em papel sejam inseridos no sistema
q15_98_2;q15_98_2_v15795_0_15.98.2. Não realiza0: Não realiza
q15_3;q15_3_v15712_15.3. A espera de uma família nesta Unidade até que o atendimento seja iniciado
q15_98_3;q15_98_3_v15796_0_15.98.3. Não sabe0: Não realiza
q15_4;q15_4_v15713_15.4. A primeira entrevista de uma família para o Cadastro Único (inclusão cadastral)
q15_98_4;q 15_98_4_v15797_0_15.98.4. Não sabe0: Não realiza
q15_5;q15_5_v15714_15.5. A atualização cadastral de uma família no Cadastro Único
q15_98_5;q15_98_5_v15798_0_15.98.5. Não sabe0: Não realiza
q16;q16_v15715_16. Como é feito o registro das informações da entrevista no Cadastro Único?
q17;q17_v15716_17. Em geral, como ocorre o atendimento de demandas urgentes das famílias relacionadas ao Cadastro Único nesta Unidade?
q18_1;q18_1_v15717_1_18. São feitas ações específicas para atender demandas de Averiguação e Revisão Cadastral?1: Sim, as famílias de Averiguação e Revisão Cadastral são alvo de busca ativa
q18_2;q18_2_v15717_2_18. São feitas ações específicas para atender demandas de Averiguação e Revisão Cadastral?2: Sim, as famílias de Averiguação e Revisão Cadastral fazem parte do público prioritário de atendimento na unidade
q18_3;q18_3_v15717_3_18. São feitas ações específicas para atender demandas de Averiguação e Revisão Cadastral?3: Sim, há mutirões em dias específicos para atender o público de Averiguação e Revisão Cadastral
q18_99;q18_99_v15717_99_18. São feitas ações específicas para atender demandas de Averiguação e Revisão Cadastral?99: Sim, outros.
q18_0;q18_0_v15717_0_18. São feitas ações específicas para atender demandas de Averiguação e Revisão Cadastral?0: Não há ações específicas para atender o público de Averiguação e Revisão Cadastral.
q18_99_1;q18_99_1_v15718_18.99.1. Qual(is)?
q19_1;q19_1_v15720_19.1. Para a inclusão ou atualização cadastral de forma geral
q19_2;q19_2_v15721_19.2. Para apurar denúncias:
q19_3;q19_3_v15722_19.3. Para famílias incluídas em Averiguação Cadastral:
q19_4;q19_4_v15723_19.4. Para inclusão ou atualização de dados de famílias com beneficiários do Benefício de Prestação Continuada (BPC):
q19_5;q19_5_v15724_19.5. Para inclusão ou atualização de dados de famílias pertencentes à Grupos Populacionais Tradicionais ou Específicos (GPTEs):
q19_6;q19_6_v15725_19.6. Para inclusão ou atualização de dados de famílias que moram em locais de difícil acesso:
q19_99;q19_99_v15726_19.99. Outros:
q19_99_1;q19_99_1_v15727_19.99.1. Qual?
q20_1;q20_1_v15728_1_20. Esta Unidade realiza cadastramento de famílias pertencentes aos seguintes Grupos Tradicionais e Específicos?1: Não atende
q20_2;q20_2_v15728_2_20. Esta Unidade realiza cadastramento de famílias pertencentes aos seguintes Grupos Tradicionais e Específicos?2: Famílias indígenas
q20_3;q20_3_v15728_3_20. Esta Unidade realiza cadastramento de famílias pertencentes aos seguintes Grupos Tradicionais e Específicos?3: Famílias quilombolas
q20_4;q20_4_v15728_4_20. Esta Unidade realiza cadastramento de famílias pertencentes aos seguintes Grupos Tradicionais e Específicos?4: Famílias ciganas
q20_5;q20_5_v15728_5_20. Esta Unidade realiza cadastramento de famílias pertencentes aos seguintes Grupos Tradicionais e Específicos?5: Famílias pertencentes às comunidades de terreiro
q20_6;q20_6_v15728_6_20. Esta Unidade realiza cadastramento de famílias pertencentes aos seguintes Grupos Tradicionais e Específicos?6: Famílias extrativistas
q20_7;q20_7_v15728_7_20. Esta Unidade realiza cadastramento de famílias pertencentes aos seguintes Grupos Tradicionais e Específicos?7: Famílias de pescadores artesanais
q20_8;q20_8_v15728_8_20. Esta Unidade realiza cadastramento de famílias pertencentes aos seguintes Grupos Tradicionais e Específicos?8: Famílias ribeirinhas
q20_9;q20_9_v15728_9_20. Esta Unidade realiza cadastramento de famílias pertencentes aos seguintes Grupos Tradicionais e Específicos?9: Famílias acampadas
q20_10;q20_10_v15728_10_20. Esta Unidade realiza cadastramento de famílias pertencentes aos seguintes Grupos Tradicionais e Específicos?10: Famílias de assentados da reforma agrária
q20_11;q20_11_v15728_11_20. Esta Unidade realiza cadastramento de famílias pertencentes aos seguintes Grupos Tradicionais e Específicos?11: Famílias de agricultores familiares
q20_12;q20_12_v15728_12_20. Esta Unidade realiza cadastramento de famílias pertencentes aos seguintes Grupos Tradicionais e Específicos?12: Famílias de beneficiárias do Programa Nacional de Crédito Fundiário
q20_13;q20_13_v15728_13_20. Esta Unidade realiza cadastramento de famílias pertencentes aos seguintes Grupos Tradicionais e Específicos?13: Famílias de atingidas por empreendimentos de infraestrutura
q20_14;q20_14_v15728_14_20. Esta Unidade realiza cadastramento de famílias pertencentes aos seguintes Grupos Tradicionais e Específicos?14: Famílias de presos do sistema carcerário
q20_15;q20_15_v15728_15_20. Esta Unidade realiza cadastramento de famílias pertencentes aos seguintes Grupos Tradicionais e Específicos?15: Famílias de catadores de material reciclável
q20_16;q20_16_v15728_16_20. Esta Unidade realiza cadastramento de famílias pertencentes aos seguintes Grupos Tradicionais e Específicos?16: Famílias ou pessoas em situação de rua
q20_17;q20_17_v15728_17_20. Esta Unidade realiza cadastramento de famílias pertencentes aos seguintes Grupos Tradicionais e Específicos?17: Famílias de pessoas resgatadas do trabalho análogo ao escravo
q20_18;q20_18_v15728_18_20. Esta Unidade realiza cadastramento de famílias pertencentes aos seguintes Grupos Tradicionais e Específicos?18: Famílias com crianças/adolescentes identificados em situação de Trabalho Infantil
q21_1_1;q21_1_1_v15730_1_21.1. Povos indigenas1: Busca ativa para inclusão/ atualização cadastral na comunidade
q21_1_2;q21_1_2_v15730_2_21.1. Povos indigenas2: Reunião/palestra informativa na comunidade
q21_1_3;q21_1_3_v15730_3_21.1. Povos indigenas3: Reunião/ações em parceria com lideranças
q21_1_4;q21_1_4_v15730_4_21.1. Povos indigenas4: Reuniões/ações em parceria com outros órgãos/secretarias
q21_1_99;q21_1_99_v15730_99_21.1. Povos indigenas99: Outras ações (responda a questão 22)
q21_1_0;q21_1_0_v15730_0_21.1. Povos indigenas0: Não realiza ações específicas
q21_2_1;q21_2_1_v15799_1_21.2. Comunidade Quilombola1: Busca ativa para inclusão/ atualização cadastral na comunidade
q21_2_2;q21_2_2_v15799_2_21.2. Comunidade Quilombola2: Reunião/palestra informativa na comunidade
q21_2_3;q21_2_3_v15799_3_21.2. Comunidade Quilombola3: Reunião/ações em parceria com lideranças
q21_2_4;q21_2_4_v15799_4_21.2. Comunidade Quilombola4: Reuniões/ações em parceria com outros órgãos/secretarias
q21_2_99;q21_2_99_v15799_99_21.2. Comunidade Quilombola99: Outras ações (responda a questão 22)
q21_2_0;q21_2_0_v15799_0_21.2. Comunidade Quilombola0: Não realiza ações específicas
q21_3_1;q21_3_1_v15731_1_21.3. Comunidade Ribeirinha1: Busca ativa para inclusão/ atualização cadastral na comunidade
q21_3_2;q21_3_2_v15731_2_21.3. Comunidade Ribeirinha2: Reunião/palestra informativa na comunidade
q21_3_3;q21_3_3_v15731_3_21.3. Comunidade Ribeirinha3: Reunião/ações em parceria com lideranças
q21_3_4;q21_3_4_v15731_4_21.3. Comunidade Ribeirinha4: Reuniões/ações em parceria com outros órgãos/secretarias
q21_3_99;q21_3_99_v15731_99_21.3. Comunidade Ribeirinha99: Outras ações (responda a questão 22)
q21_3_0;q21_3_0_v15731_0_21.3. Comunidade Ribeirinha0: Não realiza ações específicas
q21_4_1;q21_4_1_v15732_1_21.4. Povos ciganos1: Busca ativa para inclusão/ atualização cadastral na comunidade
q21_4_2;q21_4_2_v15732_2_21.4. Povos ciganos2: Reunião/palestra informativa na comunidade
q21_4_3;q21_4_3_v15732_3_21.4. Povos ciganos3: Reunião/ações em parceria com lideranças
q21_4_4;q21_4_4_v15732_4_21.4. Povos ciganos4: Reuniões/ações em parceria com outros órgãos/secretarias
q21_4_5;q21_4_5_v15732_5_21.4. Povos ciganos5: Outras ações (responda a questão 22)
q21_4_6;q21_4_6_v15732_6_21.4. Povos ciganos6: Não realiza ações específicas
q21_5_1;q21_5_1_v15733_1_21.5. Povos de Matriz Africana e de terreiro1: Busca ativa para inclusão/ atualização cadastral na comunidade
q21_5_2;q21_5_2_v15733_2_21.5. Povos de Matriz Africana e de terreiro2: Reunião/palestra informativa na comunidade
q21_5_3;q21_5_3_v15733_3_21.5. Povos de Matriz Africana e de terreiro3: Reunião/ações em parceria com lideranças
q21_5_4;q21_5_4_v15733_4_21.5. Povos de Matriz Africana e de terreiro4: FReuniões/ações em parceria com outros órgãos/secretarias
q21_5_99;q21_5_99_v15733_99_21.5. Povos de Matriz Africana e de terreiro99: Outras ações (responda a questão 22)
q21_5_0;q21_5_0_v15733_0_21.5. Povos de Matriz Africana e de terreiro0: Não realiza ações específicas
q21_6_1;q21_6_1_v15800_1_21.6. Extrativistas1: Busca ativa para inclusão/ atualização cadastral na comunidade
q21_6_2;q21_6_2_v15800_2_21.6. Extrativistas2: Reunião/palestra informativa na comunidade
q21_6_3;q21_6_3_v15800_3_21.6. Extrativistas3: Reunião/ações em parceria com lideranças
q21_6_4;q21_6_4_v15800_4_21.6. Extrativistas4: Reuniões/ações em parceria com outros órgãos/secretarias
q21_6_99;q21_6_99_v15800_99_21.6. Extrativistas99: Outras ações (responda a questão 22)
q21_6_0;q21_6_0_v15800_0_21.6. Extrativistas0: Não realiza ações específicas
q21_7_1;q21_7_1_v15801_1_21.7. Pescadores artesanais1: Busca ativa para inclusão/ atualização cadastral na comunidade
q21_7_2;q21_7_2_v15801_2_21.7. Pescadores artesanais2: Reunião/palestra informativa na comunidade
q21_7_3;q21_7_3_v15801_3_21.7. Pescadores artesanais3: Reunião/ações em parceria com lideranças
q21_7_4;q21_7_4_v15801_4_21.7. Pescadores artesanais4: Reuniões/ações em parceria com outros órgãos/secretarias
q21_7_99;q21_7_99_v15801_99_21.7. Pescadores artesanais99: Outras ações (responda a questão 22)
q21_7_0;q21_7_0_v15801_0_21.7. Pescadores artesanais0: Não realiza ações específicas
q21_8_1;q21_8_1_v15734_1_21.8. Ribeirinhas (famílias em calhas de rios)1: Busca ativa para inclusão/ atualização cadastral na comunidade
q21_8_2;q21_8_2_v15734_2_21.8. Ribeirinhas (famílias em calhas de rios)2: Reunião/palestra informativa na comunidade
q21_8_3;q21_8_3_v15734_3_21.8. Ribeirinhas (famílias em calhas de rios)3: Reunião/ações em parceria com lideranças
q21_8_4;q21_8_4_v15734_4_21.8. Ribeirinhas (famílias em calhas de rios)4: Reuniões/ações em parceria com outros órgãos/secretarias
q21_8_5;q21_8_5_v15734_5_21.8. Ribeirinhas (famílias em calhas de rios)5: Outras ações (responda a questão 22)
q21_8_6;q21_8_6_v15734_6_21.8. Ribeirinhas (famílias em calhas de rios)6: Não realiza ações específicas
q21_9_1;q21_9_1_v15735_1_21.9. Outros Grupos tradicionais e específicos. Qual?1: Busca ativa para inclusão/ atualização cadastral na comunidade
q21_9_2;q21_9_2_v15735_2_21.9. Outros Grupos tradicionais e específicos. Qual?2: Reunião/palestra informativa na comunidade
q21_9_3;q21_9_3_v15735_3_21.9. Outros Grupos tradicionais e específicos. Qual?3: Reunião/ações em parceria com lideranças
q21_9_4;q21_9_4_v15735_4_21.9. Outros Grupos tradicionais e específicos. Qual?4: Reuniões/ações em parceria com outros órgãos/secretarias
q21_9_99;q21_9_99_v15735_99_21.9. Outros Grupos tradicionais e específicos. Qual?99: Outras ações (responda a questão 22)
q21_9_0;q21_9_0_v15735_0_21.9. Outros Grupos tradicionais e específicos. Qual?0: Não realiza ações específicas
q21_99_1;q21_99_1_v15802_21.99.1. Qual?
q22;q22_v15736_22. Nos últimos 12 meses, caso tenha marcado “Outras ações” na questão anterior, informe qual (is) outra(s) ações:
q23_0;q23_0_v15737_0_23. Indique as ações e atividades desenvolvidas pela equipe desta Unidade em relação à gestão de benefícios do PBF:0: Não realiza ações e atividades relacionadas à gestão de benefícios do PBF(pule para a questão 25
q23_1;q23_1_v15737_1_23. Indique as ações e atividades desenvolvidas pela equipe em relação à gestão de benefícios do PBF:1: As ações e atividades relacionadas à gestão de benefícios do PBF são encaminhadas para o CRAS ou outros serviços da rede
q23_2;q23_2_v15737_2_23. Indique as ações e atividades desenvolvidas em relação à gestão de benefícios do PBF:2: Esclarecimentos individuais de dúvidas sobre regras do Programa suspensão e cancelamento
q23_3;q23_3_v15737_3_23. Indique as ações e atividades desenvolvidas pela equipe desta Unidade em relação à gestão de benefícios do PBF:3: Ações coletivas para prestar informações às famílias sobre regras do Programa
q23_4;q23_4_v15737_4_23. Indique as ações e atividades desenvolvidas pela equipe desta Unidade em relação à gestão de benefícios do PBF:4: Manutenção de benefícios diretamente no SIBEC
q23_5;q23_5_v15737_5_23. Indique as ações e atividades desenvolvidas pela equipe desta Unidade em relação à gestão de benefícios do PBF:5: Registro das manutenções benefícios no Formulário Padrão de Gestão de Benefícios (FPGB) e seu arquivamento
q23_6;q23_6_v15737_6_23. Indique as ações e atividades desenvolvidas pela equipe desta Unidade em relação à gestão de benefícios doPBF:6: Solicitação de manutenção de benefícios pelo módulo de Administração Off-line do SigPBF
q23_7;q23_7_v15737_7_23. Indique as ações e atividades desenvolvidas pela equipe desta Unidade em relação à gestão de benefícios do PBF:7: Elaboração de ofícios à Senarc a respeito da administração de benefícios
q23_8;q23_8_v15737_8_23. Indique as ações e atividades desenvolvidas pela equipe desta Unidade em relação à gestão de benefícios do Programa Bolsa Família:8: Emissão de declaração de troca de responsável familiar para recebimento do benefício
q23_9;q23_9_v15737_9_23. Indique as ações e atividades desenvolvidas pela equipe desta Unidade em relação à gestão de benefícios do PBF:9: Emissão de declaração especial para recebimentto (quando em situações de emergência e calamidade pública)
q23_10;q23_10_v15737_10_23. Indique as ações e atividades desenvolvidas pela equipe desta Unidade em relação à gestão de benefícios do PBF:10: Esclarecimentos sobre o conteúdo de mensagens no extrato de pagamentos, recebida pelo beneficiário
q23_11;q23_11_v15737_11_23. Indique as ações e atividades desenvolvidas pela equipe desta Unidade em relação à gestão de benefícios do PBF:11: Esclarecimentos sobre pagamentos: entrega, desbloqueio e ativação do Cartão e calendário de pagamento
q23_12;q23_12_v15737_12_23. Indique as ações e atividades desenvolvidas pela equipe desta Unidade em relação à gestão de benefícios do PBF:12: Orientação sobre como denunciar irregularidades no pagamento e no atendimento dos canais da CAIXA
q23_13;q23_13_v15737_13_23. Indique as ações e atividades desenvolvidas pela equipe desta Unidade em relação à gestão de benefícios do Programa Bolsa Família:13: Registro de denúncias de recebimento indevido de benefícios
q23_14;q23_14_v15737_14_23. Indique as ações e atividades desenvolvidas pela equipe desta Unidade em relação à gestão de benefícios do Programa Bolsa Família:14: Apuração de denúncias de recebimento indevido de benefícios
q23_99_1;q23_99_1_v15737_99_23. Indique as ações e atividades desenvolvidas pela equipe desta Unidade em relação à gestão de benefícios do Programa Bolsa Família:99: Outros
