IBGE;IBGE7;UF;Regiao;Município;Pop_total_2010;Pop_Urbana2010;Pop_Rural2010;Porte_pop2010;areaKm2;Q_Municipal;NU_IDENTIFICADOR;ident_0_1;ident_0_2;ident_0_3;ident_0_4;ident_0_5;ident_0_6;ident_0_7;ident_0_8;ident_0_9;ident_0_10;ident_0_11;ident_0_12;ident_0_13;ident_0_14;ident_0_15;Latitude;Longitude;q_1;q_2;q_3;q_4_1;q_4_2;q_4_3;q_4_0;q_4_99;q_5_1;q_5_2;q_5_99;q_5_0;q_5_99_1;q_6;q_7;q_9_1;q_9_2;q_9_3;q_9_4;q_10;q_11;q_12;q_13;q_13_99;q_14;q_14_99;q_15;q_16_1_1;q_16_1_2;q_16_1_3;q_16_1_4;q_16_1_5;q_16_1_6;q_16_1_7;q_16_2_1;q_16_2_2;q_16_2_3;q_16_2_4;q_16_2_5;q_16_2_6;q_16_2_7;q_17_1;q_17_2;q_17_3;q_17_4;q_17_5;q_17_6;q_17_7;q_17_8;q_17_9;q_18_1;q_18_1_99;q_18_2;q_18_2_99;q_19_1;q_19_1_99;q_19_2;q_19_2_99;q_19_3;q_19_3_99;q_19_4;q_19_4_99;q_20;q_21_1;q_21_1_0;q_21_2;q_21_2_0;q_22;q_23;q_24;q_25;q_26_1;q_26_2;q_26_3;q_26_4;q_26_5;q_26_6;q_26_7;q_26_8;q_26_9;q_26_10;q_26_11;q_26_12;q_26_13;q_26_14;q_26_15;q_26_16;q_26_17;q_26_18;q_26_19;q_26_20;q_26_21;q_26_22;q_26_23;q_26_24;q_26_25;q_26_0;q_27;q_28_1;q_28_2;q_28_3;q_28_98;q_28_99;q_28_0;q_28_98_1;q_29;q_30_99;q_31;q_32;d_13_faixa;d_14_faixa;d_15_faixa;q_16_1_7_recod;q_16_2_7_recod;q_17_9_recod;d_33_9bin1_sum;d_33_9bin2_sum;d_33_9bin3_sum;d_33_10bin1_sum;d_33_10bin2_sum;d_33_10bin3_sum;d_33_10bin4_sum;d_33_10bin5_sum;d_33_11bin1_sum;d_33_11bin2_sum;d_33_11bin3_sum;d_33_11bin4_sum;nu_trabalhadores
170210;1702109;17;1;Araguaína;150484;142925;7559;4;4000,416;1;1702103305126;UNIDADE DE ACOLHIMENTO - SERVIÇO DE ACOLHIMENTO EM FAMÍLIA ACOLHEDORA;32;Humberto de Campos;505; ;SÃO JOÃO; ;77807-060;1702109;TO; ;(63) 3415-2268; ;(63) 9270-3070;05/05/2011;-7.191;-48.207;315;1; ; ; ; ; ; ; ;1;0;0; ;2; ; ; ; ; ;1;2011;1;954; ;4; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ;0; ;0; ;0; ;0; ;0; ;0; ;1;18; ;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;5;0;0;1;0;0;0; ;1; ;1;1; ;1;1;0;0;0;0;2;4;0;1;0;0;1;0;0;0;6;6
170550;1705508;17;1;Colinas do Tocantins;30838;29607;1231;2;843,846;1;1705503306371;UNIDADE DE ACOLHIMENTO - FAMÍLIA ACOLHEDORA PARA CRIANÇAS E ADOLESCENTES.;32;3;1755; ;CENTRO;PRÓXIMO AO BANCO BRADESCO.;77760-000;1705508;TO; ;(63) 3476-7042; ; ;28/03/2011;-805.578.780.121.843;-4.847.790.241.241.450;315;1; ; ; ; ; ; ; ;1;0;0; ;2; ; ; ; ; ;1;2011;1;954; ;1; ;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0; ;1; ;0; ;0; ;0; ;0; ;0;0; ;17; ;1;1;1;0;0;1;1;0;1;1;1;0;1;1;1;1;1;1;1;0;1;1;0;1;1;0;1;1;1;0;5;0;1;0;0;0;0; ;3; ;2;2; ;1;1;1;0;1;0;0;1;0;1;0;0;0;0;0;0;1;1
170610;1706100;17;1;Cristalândia;7234;5924;1310;1;1848,241;1;1706103306579;UNIDADE DE ACOLHIMENTO FAMILIAR;32;Praça Pedro Bráz;1;Em frente a Praça Pedro Bráz;Centro;Praça Pedro Bráz;77490-000;1706100;TO; ;(63) 3354-0389; ;(63) 3354-0389;20/09/2010;-10.6;-49.193;315;1; ; ; ; ; ; ; ;0;0;1; ;2; ; ; ; ; ;1;2010;1;500; ;3; ;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;1;2; ;0; ;0; ;0; ;0; ;0; ;0;0; ;17; ;1;0;1;0;1;1;1;0;1;0;0;1;0;1;1;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0; ;1; ;0;0; ;1;1;0;1;1;0;0;1;0;1;0;0;0;0;0;0;1;1
171488;1714880;17;1;Nova Olinda;10686;7465;3221;1;1566,184;1;1714883308556;UNIDADE DE ACOLHIMENTO;3;Av. 31 de Março;0; ;Centro;Pronto Atendimento;77790-000;1714880;TO; ;(63) 3452-1858; ; ;06/02/2015;-7.636.477.319.750.770;-4.842.198.371.887.200;315;1; ; ; ; ; ; ; ;1;0;0; ;2; ; ; ; ; ;1;2015;1;954; ;3; ;3;0;0;0;0;2;0;2;0;0;0;0;0;1;1;0;0;0;0;0;0;0;3;3;0; ;0; ;0; ;1; ;3; ;0; ;0; ;1; ;1;1;0;1;1;1;0;0;0;1;0;1;0;1;0;1;1;0;1;1;0;0;1;0;1;1;1;1;0;1;0;1;1;0;0;0;0;0; ;3; ;0;3; ;1;1;2;1;3;0;0;3;0;1;0;0;1;1;0;0;2;3
17; ;17;1; ; ; ; ; ; ;2;1721003308700;Unidade de Acolhimento;32;103 Norte Rua NO-11 Conj.04;11; ;Centro;PROXIMO HOTEL CASTELO;77001-036;17;TO; ;(63) 3218-1954; ; ;22/05/2017;-1.017.777.436.869.470;-48.337.719.440.460.200;315;1; ; ; ; ; ; ; ;0;0;0; ;1;0;1;1;1;1;1;2017;1;0; ;0; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ;0; ;0; ;0; ;0; ;0; ;0;0; ;18; ;1;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;5;1;0;0;0;0;0; ;3;1;1;0; ;1;1;0;0;0;1;2;7;0;4;0;0;2;1;0;0;9;10
210047;2100477;21;2;Alto Alegre do Pindaré;31057;9829;21228;2;1876,032;1;2100473309442;Unidade de Acolhimento;32;Rio Branco;110; ;Centro;Em frente ao Mercado Municipal;65298-000;2100477;MA; ;(98) 98271-1349; ; ;05/09/2018;-3.69;-45.903;315;1; ; ; ; ; ; ; ;1;0;0; ;2; ; ; ; ; ;1;2018;1;477; ;3; ;3;0;0;0;0;1;0;1;0;1;0;1;0;0;2; ; ; ; ; ; ; ; ; ;0; ;0; ;0; ;0; ;3; ;0; ;0;0; ;18; ;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;5;0;1;0;0;0;0; ;3;1;3;0; ;1;1;1;2; ;0;0;2;0;0;0;1;1;0;0;0;2;2
210100;2101004;21;2;Arari;28488;17483;11005;2;1100,275;1;2101003308844;UNIDADE DE ACOLHIMENTO;32;VI TRAVESSA DAS MALVINAS;1; ;CENTRO;ANEXO A SECRETARIA DE ASSISTÊNCIA SOCIAL E COMERCIAL RIBEIRO.;65480-000;2101004;MA; ;(98) 98105-1329; ; ;12/09/2018;-34.562.135.817.685.600;-4.472.053.527.832.030;315;1; ; ; ; ; ; ; ;1;0;0; ;2; ; ; ; ; ;1;2018;1;950; ;0; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ;0; ;0; ;0; ;0; ;0; ;0; ;1;18; ;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;5;1;0;0;0;0;0; ;4;1;1;1; ;1;1;0;0;0;0;1;3;0;1;0;1;1;0;0;0;4;4
210235;2102358;21;2;Buritirana;14784;4146;10638;1;818,424;1;2102353308494;Unidade de Acolhimento Familia Acolhedora;3;SENADOR LA ROCQUE;0; ;CENTRO;PRÓXIMO A PREFEITURA MUNICIPAL;65935-500;2102358;MA; ;(99) 98827-3582; ;(99) 9882-7358;01/01/2017;-5.593;-47.018;315;1; ; ; ; ; ; ; ;0;0;1; ;2; ; ; ; ; ;1;2017;0;0; ;6; ;2;0;1;0;0;0;0;1;0;0;0;1;0;0;1;0;0;1;1;0;0;0;0;2; ;1; ;1; ;1; ;1; ;1; ;1;0; ;1;18; ;0;0;0;0;0;1;0;1;0;1;1;1;0;0;1;1;1;0;1;1;0;0;0;1;1;0;1;1;1;0;6;0;0;1;0;0;0; ;3; ;1;0; ;1;1;1;1;2;0;0;1;1;0;0;0;0;0;0;0;1;1
210730;2107308;21;2;Nova Iorque;4590;2876;1714;1;976,872;1;2107303308560;Unidade de Acolhimento;27;PRAÇA DA MATRIZ SN;0; ;CENTRO; ;65880-000;2107308;MA; ;(99) 99173-0116; ; ;18/11/2017;-6.732.377.161.467.950;-44.043.846.130.371.000;315;1; ; ; ; ; ; ; ;0;0;1; ;2; ; ; ; ; ;1;2017;1;478,5; ;2; ;2;0;0;0;0;0;0;0;0;0;0;0;1;1;2; ; ; ; ; ; ; ; ; ;0; ;0; ;0; ;0; ;2; ;0; ;0; ;1; ;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;5;0;1;0;0;0;0; ;3; ;0;3; ;1;1;0;2; ;0;0;1;0;0;0;1;0;0;0;0;1;1
210800;2108009;21;2;Pastos Bons;18067;12307;5760;1;1635,321;1;2108003308201;Unidade de Acolhimento;3;AVENIDA DOMINGOS SERTÃO;0; ;SÃO JOSÉ;AO LADO DA DEFENSORIA PÚBLICA;65870-000;2108009;MA; ;(99) 98893-1456; ; ;04/07/2017;-6.602;-44.077;315;1; ; ; ; ; ; ; ;1;0;0; ;2; ; ; ; ; ;1;2017;1;477; ;4; ;2;0;1;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;2;0;0;2;0; ;2; ;0; ;0; ;2; ;0; ;0; ;1; ;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;5;0;1;1;0;0;0; ;3; ;1;2; ;1;1;1;1;2;0;0;2;0;0;0;2;0;0;0;0;2;2
210860;2108603;21;2;Pinheiro;78162;46487;31675;3;1512,966;1;2108603308854;UNIDADE DE ACOLHIMENTO FAMÍLIA ACOLHEDORA;3;Tarquínio Lopes;1145; ;Centro;próximo a praça do centenário;65200-000;2108603;MA; ;(98) 98848-3600; ; ;08/01/2018;-25.199.915.544.153.800;-45.082.504.749.298.000;315;1; ; ; ; ; ; ; ;1;0;0; ;2; ; ; ; ; ;1;2017;1;477; ;0; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0; ;0; ;0; ;0; ;0; ;0; ;0;0; ;15; ;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;5;0;0;1;0;0;0; ;3;1;1;1; ;1;1; ; ; ;0;0;3;0;1;0;0;1;0;0;0;3;3
211070;2110708;21;2;São Domingos do Maranhão;33607;17313;16294;2;1151,978;1;2110703308173;Unidade de Acolhimento Família Acolhedora;19;JOSÉ TIBÚRCIO FEIO;14; ;CENTRO;SECRETARIA MUNICIPAL DE ASSISTÊNCIA SOCIAL;65790-000;2110708;MA; ;(98) 99200-0529; ; ;28/04/2017;-5.576;-44.385;315;1; ; ; ; ; ; ; ;1;0;0; ;2; ; ; ; ; ;1;2017;1;954; ;8; ;4;1;1;0;0;0;0;2;0;0;2;0;0;0;2;0;1;0;3;0;0;0;0;4;1; ;0; ;0; ;0; ;4; ;0; ;0; ;1;18; ;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;6;1;0;1;0;0;0; ;3; ;2;2; ;1;1;2;2;4;0;0;3;0;2;0;0;1;0;0;0;3;3
211120;2111201;21;2;São José de Ribamar;163045;37709;125336;4;385,777;1;2111203307657;Unidade de Acolhimento;32;JOÃO ALVES CARNEIRO;8; ;MOROPOIA; ;65110-000;2111201;MA; ;(98) 3224-6803; ; ;16/06/2009;-2.562;-44.054;315;1; ; ; ; ; ; ; ;1;0;0; ;2; ; ; ; ; ;1;2009;1;937; ;0; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ;0; ;0; ;0; ;0; ;0; ;0;0; ;18; ;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;5;1;1;1;0;0;0; ;3;1;0;0; ;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1
211130;2111300;21;2;São Luís;1014837;958522;56315;5;834,827;1;2111303306232;UNIDADE DE ACOLHIMENTO FAMILIAR - FAMÍLIA ACOLHEDORA;3;Guaxenduba;1490; ;Fatima; ;65015-560;2111300;MA; ;(98) 98865-0288; ; ;01/09/2006;-25.385.969;-442.901.313;315;1; ; ; ; ; ; ; ;1;0;0; ;2; ; ; ; ; ;1;2006;1;954; ;7; ;3;0;0;1;0;0;1;2;0;1;0;0;0;0;1;0;0;2;0;1;0;0;0;3;2; ;0; ;2; ;0; ;1; ;2; ;0; ;1;17; ;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;5;1;1;1;0;0;0; ;3; ;2;1; ;1;1;2;1;3;0;1;5;1;3;0;0;1;1;0;0;5;6
211220;2112209;21;2;Timon;155460;135133;20327;4;1764,612;1;2112203307751;UNIDADE DE ACOLHIMENTO FAMILIAR-ABRAÇO ACOLHEDOR;32;Miguel Simão;825; ;Centro; ;65630-220;2112209;MA; ;(99) 3212-5430; ; ;04/04/2016;-5.100.214.657.256.870;-42.827.845.215.797.400;315;1; ; ; ; ; ; ; ;1;0;0; ;2; ; ; ; ; ;1;2016;1;300; ;0; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ;0; ;0; ;0; ;0; ;0; ;0;0; ;17; ;1;1;1;1;1;1;1;1;1;1;0;1;1;1;0;0;1;1;1;1;1;1;1;1;1;0;0;0;0;0;5;1;1;1;1;0;0;AEPETI;3;1;1;1; ;1;1;0;0;0;0;0;3;0;1;0;0;2;1;0;0;2;3
220390;2203909;22;2;Floriano;57690;49970;7720;3;3409,647;1;2203903306597;UNIDADE DE ACOLHIMENTO SERVIÇO DE ACOLHIMENTO EM FAMÍLIA ACOLHEDORA;32;joao dantas;0; ;CENTRO;praça da Bandeira;64800-000;2203909;PI; ;(89) 9922-0546; ; ;28/03/2016;-6.771.819.832.677.230;-4.303.780.317.306.510;315;1; ; ; ; ; ; ; ;1;0;0; ;2; ; ; ; ; ;2;2016;0;0; ; ;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ;1; ;1; ;1; ;1; ;1; ;1;0; ;1; ;1;2;0;1;1;0;1;1;1;0;1;1;0;0;1;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0; ;1;1;0;0; ; ;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1
221100;2211001;22;2;Teresina;814230;767557;46673;4;1391,981;1;2211003306526;UNIDADE DE ACOLHIMENTO - CENTRO DE REINTEGRAÇÃO FAMILIAR E INCENTIVO A ADOÇÃO;32;São Pedro;1841; ;centro Sul; ;64000-126;2211001;PI; ;(86) 3216-6276; ; ;15/06/2009;-5.089;-42.802;315;2;11.047.597/0001-46;1;0;0;0;0;0;1;0;0; ;2; ; ; ; ; ;3;2009;1;400; ;7; ;9;0;0;1;0;2;1;4;0;1;2;1;0;1;5;2;0;0;3;2;1;0;1;9;1; ;0; ;6; ;1; ;1; ;6; ;0;3; ;17; ;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;5;1;0;0;1;0;0;INSTITUIÇÃO DE ATENDIMENTO E 1 VARA DA INFANCIA E JUVENTUDE;3; ;1;1; ;1;1;4;5;9;0;2;5;0;2;0;0;1;2;0;0;5;7
